input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,webserver,cdn,tls_self_signed,tls_subject_org_,csp_domains_,final_url,tls_expired
alertmanager.us-east-2.codefi.network,Consensys - Sign In,200,17975,consensys.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-05-22T00:00:00Z,2024-04-12T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,acc0524426e03bda5ac8c153b81141e6,f175750cb39a3759a6c589307b799ceac53db8e46eab6e9a30490fce3aa77149,True,ctls,consensys.okta.com,443,https://alertmanager.us-east-2.codefi.network:443,https,text/html,GET,13.58.171.85,/,1441590492,3.12.157.43,Nginx,462,False,,nginx,,,"Okta, Inc.",*.tiles.mapbox.com,https://consensys.okta.com/login/login.htm?fromURI=/oauth2/v1/authorize/redirect?okta_key=N5qUW2rshxljHGeOetckSwMkmLXtV-5VjbTR-9aUcMs,
api-gateway.dev.codefi.network,404 Not Found,404,146,api-gateway.dev.codefi.network,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-07-05T02:19:57Z,2023-10-03T02:19:56Z,CN=codefi.network,codefi.network,codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d928835e824dc458315d6d92d84f6509,f0d901d3d0e17b23bc7df3e0880c8087b112224c7826cddefe711224b6fe65ec,True,ctls,api-gateway.dev.codefi.network,443,https://api-gateway.dev.codefi.network:443,https,text/html,GET,13.39.211.10,/,1494302000,15.236.223.203,HSTS,8,False,,,,,,,,
api.activate-dev.codefi.network,,404,63,api.activate-dev.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-21T00:00:00Z,2024-05-20T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,api.activate-dev.codefi.network,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",c27f15b3fab6de231c4955546a59d3b4,a20a53e6b0e71c5d20d2429440cb5ca7b078a65e3f75d4ea438222836512f1d2,,ctls,api.activate-dev.codefi.network,443,https://api.activate-dev.codefi.network:443,https,application/json,GET,104.22.12.141,/,-1793755213,2606:4700:10::ac43:41a,Node.js,1,False,cloudflare,cloudflare,True,,"Cloudflare, Inc.",,,
api.activate.codefi.network,,404,63,api.activate.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-10T00:00:00Z,2024-05-09T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",91d1d2bd3dacbb5f55c259a1e62147b7,36fff9795010a46884fc919a3b55db26cecf9cc5086ff14739f1e8bdc661df65,,ctls,api.activate.codefi.network,443,https://api.activate.codefi.network:443,https,application/json,GET,104.22.12.141,/,-1793755213,2606:4700:10::ac43:41a,Node.js,1,False,cloudflare,cloudflare,True,,"Cloudflare, Inc.",,,
api.bridge-convert.codefi.network,503 Service Temporarily Unavailable,503,190,api.bridge-convert.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-09-24T00:00:00Z,2023-09-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f1f7254eeb9140fc81923db5cedcee47,bdeb7598dacc8c0f3a086a621eabcd29436f7b5d2f701117755ba7c4ab411f9b,,ctls,api.bridge-convert.codefi.network,443,https://api.bridge-convert.codefi.network:443,https,text/html,GET,104.22.12.141,/,1457316476,2606:4700:10::6816:c8d,HSTS,8,False,cloudflare,cloudflare,True,,"Cloudflare, Inc.",,,
api.bridge-lend.codefi.network,Swagger UI,200,3104,api.bridge-lend.codefi.network,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-09-24T00:00:00Z,2023-09-24T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,api.bridge-lend.codefi.network,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",419316763909cd1d057fe1ec9de02b58,c517f55ebb03be1415346b32f286419f6045a3c1a22fec934f0da6e6364494d3,,ctls,api.bridge-lend.codefi.network,443,https://api.bridge-lend.codefi.network:443,https,text/html,GET,104.22.12.141,/,-1615154284,2606:4700:10::ac43:41a,Node.js,80,False,cloudflare,cloudflare,True,,"Cloudflare, Inc.",,,
api.defibridge-borrow-dev.codefi.network,Swagger UI,200,3104,api.defibridge-borrow-dev.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-08T20:33:37Z,2023-10-06T20:33:36Z,CN=api.defibridge-borrow-dev.codefi.network,api.defibridge-borrow-dev.codefi.network,api.defibridge-borrow-dev.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5d5906ebbd44dff114d7e3b0abdbf877,4b43b9537933283adf9af3f17f6dfe4d5de88df74a5433be8b3405da53ae69a8,,ctls,api.defibridge-borrow-dev.codefi.network,443,https://api.defibridge-borrow-dev.codefi.network:443,https,text/html,GET,15.236.171.218,/,-1615154284,35.181.109.147,Node.js,80,False,,nginx/1.17.10,,,,,,
api.defibridge-borrow-pl-1001.codefi.network,,404,21,api.defibridge-borrow-pl-1001.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-borrow-pl-1001.codefi.network,443,https://api.defibridge-borrow-pl-1001.codefi.network:443,https,text/plain,GET,15.188.255.37,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-borrow-pl-1004.codefi.network,Swagger UI,200,3104,api.defibridge-borrow-pl-1004.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-18T23:35:56Z,2023-10-16T23:35:55Z,CN=api.defibridge-borrow-pl-1004.codefi.network,api.defibridge-borrow-pl-1004.codefi.network,api.defibridge-borrow-pl-1004.codefi.network,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6a54a9a79ebaa5196c54680120f2000e,37bd469868b215273a0073b3abdd08a804fed5afe0238774dc81580f6ca94d51,,ctls,api.defibridge-borrow-pl-1004.codefi.network,443,https://api.defibridge-borrow-pl-1004.codefi.network:443,https,text/html,GET,15.236.171.218,/,-1615154284,15.188.255.37,Node.js,80,False,,nginx/1.17.10,,,,,,
api.defibridge-borrow-pl-1008.codefi.network,,404,21,api.defibridge-borrow-pl-1008.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-borrow-pl-1008.codefi.network,443,https://api.defibridge-borrow-pl-1008.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.236.171.218,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-borrow-pl-1013.codefi.network,,404,21,api.defibridge-borrow-pl-1013.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-borrow-pl-1013.codefi.network,443,https://api.defibridge-borrow-pl-1013.codefi.network:443,https,text/plain,GET,15.188.255.37,/,-1669793162,15.236.171.218,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-borrow-pl-1025.codefi.network,,404,21,api.defibridge-borrow-pl-1025.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-borrow-pl-1025.codefi.network,443,https://api.defibridge-borrow-pl-1025.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-borrow-pl-1027.codefi.network,,404,21,api.defibridge-borrow-pl-1027.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-borrow-pl-1027.codefi.network,443,https://api.defibridge-borrow-pl-1027.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.188.255.37,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-borrow-pl-1038.codefi.network,,404,21,api.defibridge-borrow-pl-1038.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-borrow-pl-1038.codefi.network,443,https://api.defibridge-borrow-pl-1038.codefi.network:443,https,text/plain,GET,35.181.109.147,/,-1669793162,15.236.171.218,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-borrow-pl-1045.codefi.network,,404,21,api.defibridge-borrow-pl-1045.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-borrow-pl-1045.codefi.network,443,https://api.defibridge-borrow-pl-1045.codefi.network:443,https,text/plain,GET,15.188.255.37,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
api.defibridge-borrow-pl-1047.codefi.network,,404,21,api.defibridge-borrow-pl-1047.codefi.network,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-06-12T07:15:25Z,2024-06-11T07:15:25Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,4a69e8a7c7f73da8821c2fa37671f6df,ce9eae0d24d48a25c0adc7596a6f8cdf97ffde8743908df1342bc93043497810,,ctls,api.defibridge-borrow-pl-1047.codefi.network,443,https://api.defibridge-borrow-pl-1047.codefi.network:443,https,text/plain,GET,15.236.171.218,/,-1669793162,35.181.109.147,Nginx:1.17.10,1,False,,nginx/1.17.10,,True,Acme Co,,,
