new,host,ttl,a,cname,soa,status_code,has_internal_ips,internal_ips,txt,aaaa,ns,cdn,cdn-name,mx,caa
[x],ima.ci.thomsonreuters.com,300,20.119.128.8,,"{'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,,,,
[x],lab01.taxone.thomsonreuters.com,300,"35.170.132.42, 3.222.222.89",a2026-taxon-ojyl2vt1awdk-1661481132.us-east-1.elb.amazonaws.com,"{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,,,,,
[x],lab02.taxone.thomsonreuters.com,300,"52.6.151.196, 52.1.93.159",a20260-taxon-ylqftkalxx36-560406041.us-east-1.elb.amazonaws.com,"{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,
[x],lserv-health.qed.thomsonreuters.com,300,"104.18.42.134, 172.64.145.122",lserv-health.qed.thomsonreuters.com.cdn.cloudflare.net,"{'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 5}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'cloudflare.net', 'ns': 'ns1.cloudflare.net', 'mailbox': 'dns.cloudflare.com', 'serial': 2352211390, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,,
[x],ltw-poc-triva.thomsonreuters.com,300,"18.66.112.96, 18.66.112.19, 18.66.112.83, 18.66.112.117",d23471lh040ypi.cloudfront.net,"{'name': 'd23471lh040ypi.cloudfront.net', 'ns': 'ns-1081.awsdns-07.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd23471lh040ypi.cloudfront.net', 'ns': 'ns-1081.awsdns-07.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd23471lh040ypi.cloudfront.net', 'ns': 'ns-1081.awsdns-07.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,"ns-1081.awsdns-07.org, ns-1906.awsdns-46.co.uk, ns-355.awsdns-44.com, ns-515.awsdns-00.net",,,,
[x],planswers.labs.thomsonreuters.com,300,"143.204.98.105, 143.204.98.129, 143.204.98.5, 143.204.98.73",d1b6mqy4fhffh3.cloudfront.net,"{'name': 'd1b6mqy4fhffh3.cloudfront.net', 'ns': 'ns-798.awsdns-35.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1b6mqy4fhffh3.cloudfront.net', 'ns': 'ns-798.awsdns-35.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd1b6mqy4fhffh3.cloudfront.net', 'ns': 'ns-798.awsdns-35.net', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,"2600:9000:25f7:8800:18:8842:45c0:93a1, 2600:9000:25f7:b200:18:8842:45c0:93a1, 2600:9000:25f7:6800:18:8842:45c0:93a1, 2600:9000:25f7:8a00:18:8842:45c0:93a1, 2600:9000:25f7:1600:18:8842:45c0:93a1, 2600:9000:25f7:4000:18:8842:45c0:93a1, 2600:9000:25f7:a000:18:8842:45c0:93a1, 2600:9000:25f7:9c00:18:8842:45c0:93a1","ns-1120.awsdns-12.org, ns-1762.awsdns-28.co.uk, ns-399.awsdns-49.com, ns-798.awsdns-35.net",,,,
[x],platformencryption.demo.thomsonreuters.com,300,163.231.20.12,csshared.demo.thomsonreuters.com,"{'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}, {'name': 'thomsonreuters.com', 'ns': 'ns-aws-5.thomsonreuters.com', 'mailbox': 'domain.name.thomsonreuters.com', 'serial': 2409171054, 'refresh': 3600, 'retry': 900, 'expire': 1209600, 'minttl': 300}",NOERROR,,,,,,,,,
[x],prod01.taxone.thomsonreuters.com,300,"54.152.206.41, 3.211.22.202",a2026-taxon-1wzznwy9mglg3-1069210993.us-east-1.elb.amazonaws.com,"{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,
[x],prod02.taxone.thomsonreuters.com,300,,a2026-taxon-1jmlwjovf2n9l-464170790.us-east-1.elb.amazonaws.com,"{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,,,,,
[x],qa.billingsupport.checkpoint.thomsonreuters.com,300,"3.218.168.222, 54.84.242.116",a203983-app-qa-ext-alb-1-1772120957.us-east-1.elb.amazonaws.com,"{'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'us-east-1.elb.amazonaws.com', 'ns': 'ns-1119.awsdns-11.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,
