input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_subject_dn,tls_subject_cn,tech_,final_url,cdn_name,webserver,cdn
my.jooki.rocks,My Jooki - Download,200,4029,,,,,,,,,,,,,,,,,443,https://my.jooki.rocks:443,https,text/html,GET,146.185.152.37,/,-319909135,146.185.152.37,58,False,,,,http://my.jooki.rocks/,,,
my.muuselabs.com,My Jooki - Download,200,4029,,,,,,,,,,,,,,,,,443,https://my.muuselabs.com:443,https,text/html,GET,146.185.152.37,/,-319909135,146.185.152.37,58,False,,,,http://my.muuselabs.com/,,,
nl.jooki.rocks,"Kid's Music and Stories Player | Screen-Free
– Jooki EU",200,185025,nl.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-19T23:41:52Z,2023-09-17T23:41:51Z,nl.jooki.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8f8afdde0d007185e745111010276420,e833e66325d9eeec1ce71918aa1ca776d10debdad43470a98d67ba9d1c7ff95c,ctls,nl.jooki.rocks,443,https://nl.jooki.rocks:443,https,text/html,GET,23.227.38.74,/,-1840324437,23.227.38.74,2966,False,CN=nl.jooki.rocks,nl.jooki.rocks,Shopify,,,cloudflare,
s.jooki.rocks,,404,19,s.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-03T18:26:46Z,2023-10-01T18:26:45Z,s.jooki.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8dae27df30eba31ff5a04b91fada2f9,550d67585ae732dbd8d6309e6f6b07d6a51d66aff3a2187e6e25b74b1aa6ce25,ctls,s.jooki.rocks,443,https://s.jooki.rocks:443,https,text/plain,GET,146.185.152.37,/,-138391155,146.185.152.37,2,False,CN=s.jooki.rocks,s.jooki.rocks,,,,,
setup-staging.jooki.rocks,,404,19,setup-staging.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-17T23:35:43Z,2024-01-13T22:59:00Z,my.jooki.rocks,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,37b4627443e9893493e4e319e0f8f212,aa642275ecb6a5aef74c166c641e90313cce7ce6607b81a61230bd6826dea294,ctls,setup-staging.jooki.rocks,443,https://setup-staging.jooki.rocks:443,https,text/plain,GET,146.185.152.37,/,-138391155,146.185.152.37,2,False,,,,,,,
setup.jooki.rocks,Jooki Setup,200,6513,setup.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-01T21:14:27Z,2023-08-30T21:14:26Z,setup.jooki.rocks,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,83cc7cf7e0330a19873d23ac310e74d5,e3912f7de672ebd9bd4463f389ac5407f262c0c457f5e3fc0e553ad9e9b2c68c,ctls,setup.jooki.rocks,443,https://setup.jooki.rocks:443,https,text/html,GET,146.185.152.37,/,-319909135,146.185.152.37,251,False,CN=setup.jooki.rocks,setup.jooki.rocks,,,,,
support.jooki.rocks,FAQs | Jooki Support,200,16391,support.jooki.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-16T10:56:05Z,2023-09-14T10:56:04Z,support.jooki.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1809f7a807508fd76a0ccfd51d1de116,952383a5e8d8dc18030b69284077a5d54a3fd23fdf8d4a68acb60cb00940c2a5,ctls,support.jooki.com,443,https://support.jooki.rocks:443,https,text/html,GET,146.185.152.37,/,1240563633,146.185.152.37,365,False,CN=support.jooki.com,support.jooki.com,Python,https://support.jooki.com/faq-landing,,Odoo.sh,
support.muuselabs.com,FAQs | Jooki Support,200,16391,support.jooki.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-16T10:56:05Z,2023-09-14T10:56:04Z,support.jooki.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1809f7a807508fd76a0ccfd51d1de116,952383a5e8d8dc18030b69284077a5d54a3fd23fdf8d4a68acb60cb00940c2a5,ctls,support.jooki.com,443,https://support.muuselabs.com:443,https,text/html,GET,146.185.152.37,/,-139447244,146.185.152.37,365,False,CN=support.jooki.com,support.jooki.com,Python,https://support.jooki.com/faq-landing,,Odoo.sh,
us.jooki.rocks,"Home
 – Jooki USA",200,116987,jooki.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-26T00:00:00Z,2023-12-26T23:59:59Z,www.jooki.com,"CN=Encryption Everywhere DV TLS CA - G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Encryption Everywhere DV TLS CA - G1,DigiCert Inc,d77007ea7153429962456e5ed85a30ae,7622eafae908b5e9398b786a92d50ecf63444ab1480a84173c746835d8de81b4,ctls,jooki.com,443,https://us.jooki.rocks:443,https,text/html,GET,34.227.254.22,/,-1840324437,34.227.254.22,2182,False,CN=jooki.com,jooki.com,jQuery,https://jooki.com/,,cloudflare,
voice.jooki.rocks,,404,19,voice.jooki.rocks,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-07-17T23:35:43Z,2024-01-13T22:59:00Z,my.jooki.rocks,"CN=Buypass Class 2 CA 5, O=Buypass AS-983163327, C=NO",Buypass Class 2 CA 5,Buypass AS-983163327,37b4627443e9893493e4e319e0f8f212,aa642275ecb6a5aef74c166c641e90313cce7ce6607b81a61230bd6826dea294,ctls,voice.jooki.rocks,443,https://voice.jooki.rocks:443,https,text/plain,GET,146.185.152.37,/,-138391155,146.185.152.37,2,False,,,,,,,
www.muuselabs.com,"About Us | Jooki
 – Jooki USA",200,117596,jooki.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-12-26T00:00:00Z,2023-12-26T23:59:59Z,www.jooki.com,"CN=Encryption Everywhere DV TLS CA - G1, OU=www.digicert.com, O=DigiCert Inc, C=US",Encryption Everywhere DV TLS CA - G1,DigiCert Inc,d77007ea7153429962456e5ed85a30ae,7622eafae908b5e9398b786a92d50ecf63444ab1480a84173c746835d8de81b4,ctls,jooki.com,443,https://www.muuselabs.com:443,https,text/html,GET,146.185.152.37,/,1187221798,146.185.152.37,1824,False,CN=jooki.com,jooki.com,jQuery,https://jooki.com/pages/about,,cloudflare,
