new,host,ttl,soa,status_code,a,has_internal_ips,internal_ips,aaaa,cname,mx,ns,txt
,cms-assets.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.37.214, 172.64.150.42",,,"2606:4700:4400::ac40:962a, 2606:4700:4400::6812:25d6",,,,
,cms-portal.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,10.80.50.31,True,10.80.50.31,,,,,
,cms-resources.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,"2606:4700:4400::ac40:962a, 2606:4700:4400::6812:25d6",,,,
,cmsapi.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.37.214, 172.64.150.42",,,,,,,
,d66-210.smtp-out.us.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,175.158.66.210,,,,,,,
,dailydigest.groww.in,30,"{'name': 'netcorecloud.net', 'ns': 'ns11.constellix.com', 'mailbox': 'dns.constellix.com', 'serial': 2015010469, 'refresh': 43200, 'retry': 3600, 'expire': 1209600, 'minttl': 180}",NOERROR,202.162.247.139,,,,inbound.eapi.world.netcorecloud.net,inbound.netcorecloud.net,,
,delivery.dailydigest.groww.in,300,"{'name': 'netcorecloud.net', 'ns': 'ns11.constellix.com', 'mailbox': 'dns.constellix.com', 'serial': 2015010469, 'refresh': 43200, 'retry': 3600, 'expire': 1209600, 'minttl': 180}",NOERROR,34.117.197.73,,,,eapi.world.netcorecloud.net,,,v=spf1 ip4:202.162.224.0/19 exists:%{ir}._spf.netcorecloud.net -all
,delivery.digest.groww.in,300,"{'name': 'pepipost.net', 'ns': 'ns11.constellix.com', 'mailbox': 'dns.constellix.com', 'serial': 2015010124, 'refresh': 43200, 'retry': 3600, 'expire': 1209600, 'minttl': 180}, {'name': 'pepipost.net', 'ns': 'ns11.constellix.com', 'mailbox': 'dns.constellix.com', 'serial': 2015010124, 'refresh': 43200, 'retry': 3600, 'expire': 1209600, 'minttl': 180}",NOERROR,34.117.197.73,,,,lnk.pepipost.net,,,"mailru-verification: 0849f61424c0e3d1, _globalsign-domain-verification=NYR_u6XJobjrCWnD4RgHfIeDZ18s2Q5xtsUiLbQqPF, v=spf1 exists:%{ir}._spf.netcorecloud.net -all"
,delivery.groww.in,30,"{'name': 'netcorecloud.net', 'ns': 'ns11.constellix.com', 'mailbox': 'dns.constellix.com', 'serial': 2015010469, 'refresh': 43200, 'retry': 3600, 'expire': 1209600, 'minttl': 180}, {'name': 'netcorecloud.net', 'ns': 'ns11.constellix.com', 'mailbox': 'dns.constellix.com', 'serial': 2015010469, 'refresh': 43200, 'retry': 3600, 'expire': 1209600, 'minttl': 180}, {'name': 'netcorecloud.net', 'ns': 'ns11.constellix.com', 'mailbox': 'dns.constellix.com', 'serial': 2015010469, 'refresh': 43200, 'retry': 3600, 'expire': 1209600, 'minttl': 180}, {'name': 'netcorecloud.net', 'ns': 'ns11.constellix.com', 'mailbox': 'dns.constellix.com', 'serial': 2015010469, 'refresh': 43200, 'retry': 3600, 'expire': 1209600, 'minttl': 180}",NOERROR,"34.117.197.73, 202.162.242.175",,,,eapi.world.netcorecloud.net,bounceapi.netcorecloud.net,"ns31.constellix.com, ns41.constellix.net, ns51.constellix.net, ns61.constellix.net, ns11.constellix.com, ns21.constellix.com",
,dev.groww.in,1800,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,digest.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,"104.18.37.214, 172.64.150.42",,,"2606:4700:4400::ac40:962a, 2606:4700:4400::6812:25d6",,,,"v=spf1 include:ncapp02.com include:7359653b.ppspf.net include:11115908b.ppspf.net ~all, amazonses:mRAv+rb9zLQ9U0ZODv69p4XDoXaSQXo5Qg0Bjq+HPNg=, google-site-verification=n1ztOf2l8VdOMIKQ0vwMHxu1BoBfoDmz5TnfTu_qkaY"
,dr-public.groww.in,1800,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,dr.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,10.1.10.13,True,10.1.10.13,,,,,
,email.groww.in,1800,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,engg.groww.in,1800,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,fallbackmta-232.73.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,150.129.232.73,,,,,,,
,fallbackmta-232.75.digest.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,150.129.232.75,,,,,,,
,fallbackmta-232.76.digest.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,150.129.232.76,,,,,,,
,fallbackmta-232.82.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,150.129.232.82,,,,,,,
,fallbackmta-232.84.groww.in,1800,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,,
,friday.groww.in,300,"{'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'groww.in', 'ns': 'nicole.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352735775, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,10.0.6.21,True,10.0.6.21,,,,,
