new,host,ttl,a,aaaa,soa,status_code,cname,ns,cdn,cdn-name,mx,txt
[x],calendar.monarchmoney.com,300,"104.22.60.121, 172.67.5.196, 104.22.61.121","2606:4700:10::6816:3c79, 2606:4700:10::6816:3d79, 2606:4700:10::ac43:5c4","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],docs.monarchmoney.com,300,"172.67.5.196, 104.22.61.121, 104.22.60.121","2606:4700:10::ac43:5c4, 2606:4700:10::6816:3c79, 2606:4700:10::6816:3d79","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],drive.monarchmoney.com,209,"188.114.98.229, 188.114.99.229",,"{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],email.monarchmoney.com,300,"104.22.61.121, 104.22.60.121, 172.67.5.196",,"{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,v=spf1 include:sendgrid.net ~all
[x],events-api.monarchmoney.com,300,"3.160.150.3, 3.160.150.105, 3.160.150.119, 3.160.150.32","2600:9000:275b:ba00:d:cf84:bb40:93a1, 2600:9000:275b:f800:d:cf84:bb40:93a1, 2600:9000:275b:7c00:d:cf84:bb40:93a1, 2600:9000:275b:7a00:d:cf84:bb40:93a1, 2600:9000:275b:8c00:d:cf84:bb40:93a1, 2600:9000:275b:800:d:cf84:bb40:93a1, 2600:9000:275b:7200:d:cf84:bb40:93a1, 2600:9000:275b:dc00:d:cf84:bb40:93a1","{'name': 'd3awusgtuhk5pp.cloudfront.net', 'ns': 'ns-1568.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3awusgtuhk5pp.cloudfront.net', 'ns': 'ns-1568.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3awusgtuhk5pp.cloudfront.net', 'ns': 'ns-1568.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd3awusgtuhk5pp.cloudfront.net', 'ns': 'ns-1568.awsdns-04.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,d3awusgtuhk5pp.cloudfront.net,"ns-1000.awsdns-61.net, ns-1310.awsdns-35.org, ns-1568.awsdns-04.co.uk, ns-321.awsdns-40.com",True,cloudfront,,
[x],features.monarchmoney.com,300,"104.22.61.121, 104.22.60.121, 172.67.5.196",,"{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],go.monarchmoney.com,300,"172.67.5.196, 104.22.60.121, 104.22.61.121","2606:4700:10::6816:3d79, 2606:4700:10::ac43:5c4, 2606:4700:10::6816:3c79","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],groups.monarchmoney.com,300,"104.22.61.121, 104.22.60.121, 172.67.5.196","2606:4700:10::6816:3d79, 2606:4700:10::6816:3c79, 2606:4700:10::ac43:5c4","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],help.monarchmoney.com,300,"216.198.53.1, 216.198.54.1",,"{'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,monarchmoney.zendesk.com,,,,mail-pod-20.int.zendesk.com,
[x],join.monarchmoney.com,300,"104.22.61.121, 104.22.60.121, 172.67.5.196",,"{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],links.monarchmoney.com,300,"104.22.61.121, 172.67.5.196, 104.22.60.121","2606:4700:10::6816:3d79, 2606:4700:10::6816:3c79, 2606:4700:10::ac43:5c4","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],mail.monarchmoney.com,300,"104.22.61.121, 104.22.60.121, 172.67.5.196","2606:4700:10::6816:3d79, 2606:4700:10::ac43:5c4, 2606:4700:10::6816:3c79","{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
[x],o1.ptr8005.monarchmoney.com,3600,149.72.29.242,,"{'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'monarchmoney.com', 'ns': 'bella.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352018392, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,
