input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,webserver,final_url,csp_domains_
central.varonis.com,,200,1727,central.varonis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-12T12:32:47Z,2023-11-13T12:32:47Z,CN=central.varonis.com,central.varonis.com,www.central.varonis.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",239b6a4bc6f8873c349ba62a21c87fdb,c0e25e0c16850787500ca80aad07f94564713ef39d9264027ca285e7ede37021,,ctls,central.varonis.com,,443,https://central.varonis.com:443,https,text/html,GET,85.222.140.13,/,-698107140,85.222.140.6,HSTS,49,False,,,sfdcedge,https://central.varonis.com/s/,
certification-labs.varonis.com,labs,200,1307,certification-labs.varonis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,certification-labs.varonis.com,incapsula,443,https://certification-labs.varonis.com:443,https,text/html,GET,45.60.154.169,/,237480611,45.60.154.169,Node.js,40,False,True,,,,
chd.varonis.io,Varonis Systems (External) - Sign In,200,9942,loginx.varonis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-09T07:11:56Z,2024-04-27T07:55:30Z,CN=loginx.varonis.com,loginx.varonis.com,www.loginx.varonis.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",0f5366cb6a77962d44ff972ae4ad5322,932e5604fe3e2960e5a25eada82aaafb9dded0c8c0ea33b305f7d3b37e7b146a,,ctls,loginx.varonis.com,,443,https://chd.varonis.io:443,https,text/html,GET,20.96.90.223,/,-373163047,20.96.90.223,Nginx,192,False,,,nginx,https://loginx.varonis.com/login/login.htm?fromURI=/oauth2/v1/authorize/redirect?okta_key=BYWghdTXQQ4-Mhd1J38wgarv4HYuEbd5c_b9HuN1o58,
cityofdallas.varonis.io,Varonis,200,2860,cityofdallas.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,cityofdallas.varonis.io,incapsula,443,https://cityofdallas.varonis.io:443,https,text/html,GET,45.60.154.169,/,-235670227,45.60.154.169,Imperva,53,False,True,,,,https:
cloud-vdi-us.varonis.com,VMware Horizon,200,2251,cloud-vdi-us.varonis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-07-29T00:59:05Z,2023-08-30T00:59:05Z,CN=cloud-vdi-us.varonis.com,cloud-vdi-us.varonis.com,www.cloud-vdi-us.varonis.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",22704399928717d806629e5ba711ea80,a5fd22e38f0254a041b07387b1a73d58cd83402114e89ef5d672992bc3de48e7,,ctls,cloud-vdi-us.varonis.com,,443,https://cloud-vdi-us.varonis.com:443,https,text/html,GET,20.72.112.105,/,1274734426,20.72.112.105,Nginx,43,False,,,nginx,https://cloud-vdi-us.varonis.com/appblast/webclient/index.html,
connect.varonis.com,Varonis Help Center,200,689675,help.varonis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-18T20:00:15Z,2023-11-19T20:00:15Z,CN=help.varonis.com,help.varonis.com,www.help.varonis.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",97160ac5e2525a525694897b527f4b70,12a31e7d74ba83a81321f0f1c9f32f4ae529c274da5bf2be4ce7652e9cb07d25,,ctls,help.varonis.com,,443,https://connect.varonis.com:443,https,text/html,GET,13.107.237.45,/,509127139,2620:1ec:29:1::45,HSTS,579,False,,,sfdcedge,https://help.varonis.com/s/,https://fast.wistia.net
content.varonis.io,,404,215,content.varonis.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-04T00:00:00Z,2023-10-04T23:59:59Z,"CN=content.varonis.io, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",content.varonis.io,content.varonis.io,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4b59703425a0e1dd5eafa6aa72e4d0e3,f2f3120302dcf57c0f640fc62666c918955929592aa49bbec1cd0d5061c117ee,,ctls,content.varonis.io,,443,https://content.varonis.io:443,https,application/xml,GET,13.107.253.45,/,880211153,2620:1ec:4f:1::45,Azure Front Door,3,False,,Microsoft Corporation,,,
cpl.varonis.io,Varonis,200,2861,cpl.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,cpl.varonis.io,incapsula,443,https://cpl.varonis.io:443,https,text/html,GET,45.60.154.169,/,-235670227,45.60.154.169,Imperva,53,False,True,,,,https:
customeredu.varonis.com,Loading,200,21449,customeredu.varonis.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-09T07:07:53Z,2024-05-10T07:07:53Z,CN=eduadmin.varonis.com,eduadmin.varonis.com,www.eduadmin.varonis.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",1251c0cb3dda33de825366f23d39c9b2,0db2869481c98fa488e0d8710d6a6809dcb153a345119488ac47d1fb08a6aa63,,ctls,customeredu.varonis.com,,443,https://customeredu.varonis.com:443,https,text/html,GET,3.125.69.61,/,-1840324437,18.157.217.148,,561,False,,,,https://customeredu.varonis.com/learn/home,
docs.app.varonis.io,,503,848,docs.app.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,docs.app.varonis.io,incapsula,443,https://docs.app.varonis.io:443,https,text/html,GET,45.60.154.169,/,-758447380,45.60.154.169,Imperva,1,False,True,,,,
docs.varonis.io,,503,848,docs.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,docs.varonis.io,incapsula,443,https://docs.varonis.io:443,https,text/html,GET,45.60.154.169,/,1803405017,45.60.154.169,Imperva,1,False,True,,,,
downloads.varonis.com,Error,403,176,downloads.varonis.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-09T00:00:00Z,2024-03-08T23:59:59Z,"CN=downloads.varonis.com, O=Varonis Systems Inc, L=New York, ST=NEW YORK, C=US",downloads.varonis.com,testdownloads.varonis.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a43a10fc139e070a4bc1e97db11a1971,c5f21a0833aa379c8e868bef69dd57453f3e85751fddeb31352f4ff16daaaf4c,,ctls,downloads.varonis.com,,443,https://downloads.varonis.com:443,https,text/html,GET,2.19.126.75,/,-118699393,2a02:26f0:480:f::213:7edf,,5,False,,Varonis Systems Inc,AkamaiGHost,,
enterpriseenrollment.varonis.com,Microsoft Intune admin center,200,40435,intune.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-20T00:03:25Z,2024-04-14T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,intune.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,fbe882ad9daeb5df0f0d14db966ea3c8,d5bab55b00d08eec6b9981deee10c77d19ccdd091bfd836e38b6bc95a281a90d,,ctls,intune.microsoft.com,azure,443,https://enterpriseenrollment.varonis.com:443,https,text/html,GET,13.74.111.192,/,1631801191,13.74.111.192,HSTS,4,False,True,Microsoft Corporation,,https://intune.microsoft.com/,
enterpriseregistration.varonis.com,Service,404,1565,enterpriseregistration.varonis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,True,2023-05-17T10:06:53Z,2024-05-11T10:06:53Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,enterpriseregistration.windows.net,"CN=Microsoft Azure TLS Issuing CA 01, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 01,Microsoft Corporation,9c63f59aa24f3f22874d7ea3998b82bd,894d8730e2e4c7c06b0d207438c8957cbd4aaae151221772f9a4db78085bdfc6,True,ctls,enterpriseregistration.varonis.com,azure,443,https://enterpriseregistration.varonis.com:443,https,text/html,GET,20.190.137.40,/,-2070773535,20.190.137.40,HSTS,14,False,True,Microsoft Corporation,,,
gp.varonis.com,,200,170,gp.varonis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-09-05T19:13:47Z,2023-10-07T19:13:47Z,CN=*.varonis.com,*.varonis.com,varonis.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",8f9b811239b9df8ecb1e685f5d686716,9173d13f00cbbd6fda72e7bccb416544adf7edfabb5aa4a61fec33faf353fec3,True,ctls,gp.varonis.com,,443,https://gp.varonis.com:443,https,text/html,GET,91.208.129.120,/,593259606,91.208.129.120,HSTS,4,False,,,,,
help.app.varonis.io,,503,848,help.app.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,help.app.varonis.io,incapsula,443,https://help.app.varonis.io:443,https,text/html,GET,45.60.154.169,/,-1592945006,45.60.154.169,Imperva,1,False,True,,,,
help.varonis.com,Varonis Help Center,200,689675,help.varonis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-18T20:00:15Z,2023-11-19T20:00:15Z,CN=help.varonis.com,help.varonis.com,www.help.varonis.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",97160ac5e2525a525694897b527f4b70,12a31e7d74ba83a81321f0f1c9f32f4ae529c274da5bf2be4ce7652e9cb07d25,,ctls,help.varonis.com,,443,https://help.varonis.com:443,https,text/html,GET,85.222.140.10,/,1433417005,85.222.140.11,HSTS,579,False,,,sfdcedge,https://help.varonis.com/s/,https://play.vidyard.com
help.varonis.io,,503,848,help.varonis.io,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,help.varonis.io,incapsula,443,https://help.varonis.io:443,https,text/html,GET,45.60.154.169,/,-322091759,45.60.154.169,Imperva,1,False,True,,,,
helpdesk.varonis.com,Varonis Systems - Prod - Sign In,200,18406,varonis.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,True,ctls,varonis.okta.com,,443,https://helpdesk.varonis.com:443,https,text/html,GET,13.107.237.45,/,1701804003,2620:1ec:4f:1::45,Nginx,472,False,,"Okta, Inc.",nginx,https://varonis.okta.com/login/login.htm?fromURI=%2Fapp%2Fservicenow_ud%2Fexkmu9yqlrJgrrJiO0x7%2Fsso%2Fsaml%3FSAMLRequest%3DlVJBbtswEPyKwLtEibJUh7AMqDaKOkgTIXZ76KVgxI1DhCIVLqU4v49Mu2iKoil65c7OzM5wgaLTrOf14B%252FMLTwNgD46dNogP00qMjjDrUCF3IgOkPuWb%252BsvV5wlKe%252Bd9ba1mkQ1IjivrFlZg0MHbgtuVC18vb2qyIP3PXJKR%252BGsUZjgaRYb%252B5y0tqNGjL3YQyItidaTA2XEkerPRfvoRdgQfU%252FPLBPJj0FSODx2w8XLk3aXe%252Bcu1U16%252BEARLT3eQaJP1rUQrqzIvdAIJNqsK7K9XpWzAsp5kaczWYpsLud5kbNCyotZdpelbTkBsRGIaoRfq4gDbAx6YXxFWMryOC3jNN%252BxjGeMp2XCWPGdRM05n4%252FKSGX274d5dwIh%252F7zbNXFzs90FglFJcNcT%252Bv9y%252FAYOQ4YTNVkuQps8%252BHZvC37fkvjZKln%252BQ3tB3yqc9Xp%252B9L1ZN1ar9iWqtbbPKwfCT7d4N0CopRP%252B7yayJAsvSsb3AcqhE0rXUjpAJHR51v39By9fAQ%253D%253D%26RelayState%3Dhttps%253A%252F%252Fvaronis.service-now.com%252Fnavpage.do,*.mtls.okta.com
https://dc.services.visualstudio.com/v2/track,,405,18,dc.services.visualstudio.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-04-20T15:13:03Z,2024-04-14T15:13:03Z,"CN=in.applicationinsights.azure.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",in.applicationinsights.azure.com,dc.services.visualstudio.com,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,d94aa06e0840409d4ce4460bcedc1f05,3937064e6e6e89a0197dcf56aa067e0b4e216517817aded98c22cfbcf48f7845,True,ctls,dc.services.visualstudio.com,azure,443,https://dc.services.visualstudio.com:443/v2/track,https,text/plain,GET,13.69.106.217,/v2/track,716467437,13.69.106.217,HSTS,1,False,True,Microsoft Corporation,,,
https://use.typekit.net,Adobe Fonts | Explore unlimited fonts,200,157314,fonts.adobe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-11-15T00:00:00Z,2023-12-16T23:59:59Z,"CN=*.typekit.com, O=Adobe Inc., L=San Jose, ST=California, C=US",*.typekit.com,typekit.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,dd40db78b9c73dbbb2ae84cef44634b4,cd14431f1c8f86d706d6c7df12191ddac4b741e930a5849abc7d39f262d0621e,True,ctls,fonts.adobe.com,,443,https://use.typekit.net:443,https,text/html,GET,2.19.126.198,/,-236991280,2a02:26f0:480:f::213:7ec6,Ruby on Rails,1833,False,,Adobe Inc.,nginx,https://fonts.adobe.com/,
hubspot.varonis.com,Varonis: We Protect Data,200,235028,www.varonis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2023-05-31T14:42:04Z,2023-11-27T14:42:04Z,CN=imperva.com,imperva.com,blog.varonis.es,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,5f4c4d2e36d483ba882ce5f87df751a4,0fb121941c90d4744eb3ae8b3bd55bbe81e27b84fbcb042ed6bb1837d225c6a8,True,ctls,www.varonis.com,incapsula,443,https://hubspot.varonis.com:443,https,text/html,GET,45.60.154.169,/,-1324777801,45.60.154.169,Imperva,3990,False,True,,cloudflare,https://www.varonis.com/,
