new,host,ttl,a,aaaa,cname,soa,status_code,ns,cdn,cdn-name,mx,txt,caa,has_internal_ips,internal_ips
[x],collection.historia.europa.eu,1800,"52.28.101.66, 35.158.33.110",,"lb-2.zetcom.online, lb-2-1975355815.eu-central-1.elb.amazonaws.com","{'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}, {'name': 'eu-central-1.elb.amazonaws.com', 'ns': 'ns-1689.awsdns-19.co.uk', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 60}",NOERROR,,,,,,,,
[x],complaints.frontex.europa.eu,1800,,,,"{'name': 'frontex.europa.eu', 'ns': 'ns1.3s.pl', 'mailbox': 'frontex.europa.eu', 'serial': 2024070300, 'refresh': 10800, 'retry': 3600, 'expire': 1814400, 'minttl': 3600}, {'name': 'frontex.europa.eu', 'ns': 'ns1.3s.pl', 'mailbox': 'frontex.europa.eu', 'serial': 2024070300, 'refresh': 10800, 'retry': 3600, 'expire': 1814400, 'minttl': 3600}, {'name': 'frontex.europa.eu', 'ns': 'ns1.3s.pl', 'mailbox': 'frontex.europa.eu', 'serial': 2024070300, 'refresh': 10800, 'retry': 3600, 'expire': 1814400, 'minttl': 3600}, {'name': 'frontex.europa.eu', 'ns': 'ns1.3s.pl', 'mailbox': 'frontex.europa.eu', 'serial': 2024070300, 'refresh': 10800, 'retry': 3600, 'expire': 1814400, 'minttl': 3600}, {'name': 'frontex.europa.eu', 'ns': 'ns1.3s.pl', 'mailbox': 'frontex.europa.eu', 'serial': 2024070300, 'refresh': 10800, 'retry': 3600, 'expire': 1814400, 'minttl': 3600}, {'name': 'frontex.europa.eu', 'ns': 'ns1.3s.pl', 'mailbox': 'frontex.europa.eu', 'serial': 2024070300, 'refresh': 10800, 'retry': 3600, 'expire': 1814400, 'minttl': 3600}",NOERROR,,,,,,,,
[x],content.med.emsa.europa.eu,600,51.144.121.203,,,"{'name': 'emsa.europa.eu', 'ns': 'ns1.emsa.europa.eu', 'mailbox': 'tech-admin.emsa.europa.eu', 'serial': 2024072201, 'refresh': 86400, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'emsa.europa.eu', 'ns': 'ns1.emsa.europa.eu', 'mailbox': 'tech-admin.emsa.europa.eu', 'serial': 2024072201, 'refresh': 86400, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'emsa.europa.eu', 'ns': 'ns1.emsa.europa.eu', 'mailbox': 'tech-admin.emsa.europa.eu', 'serial': 2024072201, 'refresh': 86400, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'emsa.europa.eu', 'ns': 'ns1.emsa.europa.eu', 'mailbox': 'tech-admin.emsa.europa.eu', 'serial': 2024072201, 'refresh': 86400, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'emsa.europa.eu', 'ns': 'ns1.emsa.europa.eu', 'mailbox': 'tech-admin.emsa.europa.eu', 'serial': 2024072201, 'refresh': 86400, 'retry': 3600, 'expire': 604800, 'minttl': 600}, {'name': 'emsa.europa.eu', 'ns': 'ns1.emsa.europa.eu', 'mailbox': 'tech-admin.emsa.europa.eu', 'serial': 2024072201, 'refresh': 86400, 'retry': 3600, 'expire': 604800, 'minttl': 600}",NOERROR,,,,,,,,
[x],cpoc.jrc.ec.europa.eu,86400,139.191.221.21,,"s-jrciprF5ext221021.jrc.it, s-jrciprf5ext221021.jrc.it","{'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}, {'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}, {'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}, {'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}",NOERROR,,,,,,,,
[x],crm.jrc.ec.europa.eu,86400,139.191.221.18,,"s-jrciprf5ext221018.jrc.it, s-jrciprF5ext221018.jrc.it","{'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}, {'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}, {'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}, {'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}",NOERROR,,,,,,,,
[x],cst4epc.europarl.europa.eu,300,136.173.69.97,,web.europarl.europa.eu,"{'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}, {'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}, {'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}, {'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}, {'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}, {'name': 'europarl.europa.eu', 'ns': 'itecluxadnsout.europarl.europa.eu', 'mailbox': 'dnsadmin.europarl.europa.eu', 'serial': 2022011651, 'refresh': 3600, 'retry': 3600, 'expire': 86400, 'minttl': 3600}",NOERROR,,,,,,,,
[x],cultural-gems.jrc.ec.europa.eu,85371,139.191.221.21,,s-jrciprf5ext221021.jrc.it,"{'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}, {'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}, {'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}, {'name': 'jrc.it', 'ns': 'dns.jrc.it', 'mailbox': 'hostmaster.jrc.it', 'serial': 970015192, 'refresh': 10800, 'retry': 3600, 'expire': 604800, 'minttl': 86400}",NOERROR,,,,,,,,
[x],cybersecurity-centre.europa.eu,300,"13.224.68.68, 13.224.68.15, 13.224.68.39, 13.224.68.105","2600:9000:223c:4400:16:4c9d:ab80:93a1, 2600:9000:223c:8c00:16:4c9d:ab80:93a1, 2600:9000:223c:5a00:16:4c9d:ab80:93a1, 2600:9000:223c:6e00:16:4c9d:ab80:93a1, 2600:9000:223c:8a00:16:4c9d:ab80:93a1, 2600:9000:223c:5400:16:4c9d:ab80:93a1, 2600:9000:223c:e600:16:4c9d:ab80:93a1, 2600:9000:223c:2e00:16:4c9d:ab80:93a1",dea1rzg75754e.cloudfront.net,"{'name': 'dea1rzg75754e.cloudfront.net', 'ns': 'ns-1427.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'dea1rzg75754e.cloudfront.net', 'ns': 'ns-1427.awsdns-50.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,"ns-1427.awsdns-50.org, ns-1950.awsdns-51.co.uk, ns-241.awsdns-30.com, ns-835.awsdns-40.net",True,cloudfront,,,,,
[x],czechia.representation.ec.europa.eu,300,"3.161.82.118, 3.161.82.11, 3.161.82.19, 3.161.82.60","2600:9000:244f:4200:1e:bf11:e7c0:93a1, 2600:9000:244f:3800:1e:bf11:e7c0:93a1, 2600:9000:244f:ba00:1e:bf11:e7c0:93a1, 2600:9000:244f:1200:1e:bf11:e7c0:93a1, 2600:9000:244f:c600:1e:bf11:e7c0:93a1, 2600:9000:244f:2000:1e:bf11:e7c0:93a1, 2600:9000:244f:bc00:1e:bf11:e7c0:93a1, 2600:9000:244f:8600:1e:bf11:e7c0:93a1",d4hf0uryurb8f.cloudfront.net,"{'name': 'd4hf0uryurb8f.cloudfront.net', 'ns': 'ns-295.awsdns-36.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd4hf0uryurb8f.cloudfront.net', 'ns': 'ns-295.awsdns-36.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd4hf0uryurb8f.cloudfront.net', 'ns': 'ns-295.awsdns-36.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'd4hf0uryurb8f.cloudfront.net', 'ns': 'ns-295.awsdns-36.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,True,cloudfront,,,,,
[x],development.complaints-handling-ai.webcloud.ec.europa.eu,277,52.233.205.103,,,"{'name': 'complaints-handling-ai.webcloud.ec.europa.eu', 'ns': 'ns-331.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'complaints-handling-ai.webcloud.ec.europa.eu', 'ns': 'ns-331.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'complaints-handling-ai.webcloud.ec.europa.eu', 'ns': 'ns-331.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'complaints-handling-ai.webcloud.ec.europa.eu', 'ns': 'ns-331.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'complaints-handling-ai.webcloud.ec.europa.eu', 'ns': 'ns-331.awsdns-41.com', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,,,_t0sjfckomuy3ef03hlrgrnju0i3s1bg,,,
