input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_subject_org_,final_url
mysql.quizlet.com,Captcha Challenge…,403,163737,mysql.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,mysql.quizlet.com,cloudflare,443,https://mysql.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1673824222,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
new.quizlet.com,Captcha Challenge…,403,163731,new.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,new.quizlet.com,cloudflare,443,https://new.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-1633723409,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
ns.quizlet.com,Captcha Challenge…,403,163709,ns.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,ns.quizlet.com,cloudflare,443,https://ns.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,-381086761,104.17.187.102,Cloudflare Bot Management,99,False,True,True,,
portal.quizlet.com,Captcha Challenge…,403,163738,portal.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,portal.quizlet.com,cloudflare,443,https://portal.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-1533647741,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
postmaster.quizlet.com,Captcha Challenge…,403,163750,postmaster.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,postmaster.quizlet.com,cloudflare,443,https://postmaster.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-1158535856,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
preelectionpickathon.quizlet.com,Captcha Challenge…,403,163836,preelectionpickathon.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,preelectionpickathon.quizlet.com,cloudflare,443,https://preelectionpickathon.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1391576790,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
preview.quizlet.com,Captcha Challenge…,403,163743,preview.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,preview.quizlet.com,cloudflare,443,https://preview.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-1783653477,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
py3.support.quizlet.com,403 Forbidden,403,151,py3.support.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2020-04-06T00:00:00Z,2020-10-13T23:59:59Z,CN=ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,ssl893504.cloudflaressl.com,"CN=COMODO ECC Domain Validation Secure Server CA 2, O=COMODO CA Limited, L=Salford, ST=Greater Manchester, C=GB",COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,cd916ca00223d1fa95c0d38178c1fc30,e9dc6756d724195961c343d092d47f4514d59c2a4d214dfc28a84072859ef286,ctls,py3.support.quizlet.com,cloudflare,443,https://py3.support.quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,1210513009,104.17.188.102,Cloudflare,8,False,True,,,
quizlet.com,Captcha Challenge…,403,163702,quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,quizlet.com,cloudflare,443,https://quizlet.com:443,https,cloudflare,text/html,GET,104.17.187.102,/,-615390052,104.17.188.102,Cloudflare Bot Management,99,False,True,True,,
rdznqw.quizlet.com,Captcha Challenge…,403,163738,rdznqw.quizlet.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-06-26T04:17:45Z,2023-09-24T05:16:36Z,CN=quizlet.com,quizlet.com,*.quizlet.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,74bc5a75d58c7f85a74a174b816cb0c6,5347befd7babe3fa76a87942fc786deb56d4e30753c28be46dac39fc229143a7,ctls,rdznqw.quizlet.com,cloudflare,443,https://rdznqw.quizlet.com:443,https,cloudflare,text/html,GET,104.17.188.102,/,404814045,104.17.187.102,Cloudflare Bot Management,99,False,True,True,,
