new,host,cname,status_code,a,soa,ns,mx,txt,caa
,crime.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",,,
,cse-prod.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,data-nodepanel.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,deeplink.aax.com,d3d5lgdd46a6g9.cloudfront.net,NOERROR,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,
,dns01test.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,dolly-parton-cbd-gummies-8.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,dub-wlc-lab.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,e79b.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,edge-web-direct.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,elpeorvecinodelmundogratisver.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,email.ma.aax.com,,NOERROR,,,,,,
,error-prod-bid459w.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,estwepicsd02.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,exchange.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,"pdns12.domaincontrol.com, pdns11.domaincontrol.com",,,
,fdac88-1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,fgnd1-1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,file.aax.com,d2yuq1231yasxc.cloudfront.net,NOERROR,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,
,fnbo1-1.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,,,
,for-sale.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,fpsapgtm-snaptax.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,fpsperfaws-tto.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,fremont-6-30.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,fsoutpost.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,g42-u-privacy.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,gaming.aax.com,d3v7slqf71c8r1.cloudfront.net,NOERROR,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,
,gast-zesennegentig.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,germany.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,ggsir.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,,,
,go.aax.com,d1xihcx6x7quv2.cloudfront.net,NOERROR,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",,,,
,grafana-apic.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,guardeuwe.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,guidestips.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,gyk4jhmmtbxc2.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-197-228-39.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-197-241-74.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-197-254-30.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-207-105-12.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-207-140-48.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-207-164-39.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-207-183-16.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-207-183-50.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-207-228-75.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-207-35-60.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,h-135-207-38-69.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-207-48-52.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,h-135-207-63-41.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,h135-197-246-40.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,hawkeyest.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,helepat.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,help-panasonicdirect.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,hfx-wlc-a.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,hgaccess.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,home-based.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,hooks.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,host-140-185-60-75.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,host-141-116-127-61.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,host-141-116-214-54.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,host-214-60-50-71.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,54.144.128.85,,,,,
,hptc.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,hracomponeocovid19.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,hssbfs-m93.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,htt-telcel-net-1-3.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
,http-dictionary-reference-com-43.deltix.aax.com,prod-dx-alb-new-1356135496.ap-southeast-1.elb.amazonaws.com,NOERROR,,,,,,
