new,host,a,soa,status_code,aaaa,cname,cdn,cdn-name,txt,mx,caa,ns
[x],routerapplet.purevpn.com,158.69.194.117,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],socket.business.purevpn.com,"104.18.1.212, 104.18.0.212","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1d4, 2606:4700::6812:d4",socket.business.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],staging-api-sma.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",staging-api-sma.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],staging-billing.purevpn.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,staging-billing.purevpn.com.cdn.cloudflare.net,,,,,,
[x],staging-my.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],staging-qa.billing.purevpn.com,"104.18.11.186, 104.18.10.186","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:bba, 2606:4700::6812:aba",staging-qa.billing.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],staging-webhook-sd.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",staging-webhook-sd.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],staging.my.purevpn.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,staging.my.purevpn.com.cdn.cloudflare.net,,,,,,
[x],tracking.purevpn.com,"188.165.1.80, 54.38.226.140, 46.105.88.234, 164.132.95.123, 94.23.161.19","ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,,api.elasticemail.com,,,,,,
[x],uat-business.purevpn.com,"104.18.4.95, 104.18.5.95","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,True,cloudflare,,,,
[x],url-server.purevpn.com,13.58.102.223,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],url1975.purevpn.com,"167.89.123.54, 167.89.123.124, 167.89.115.56, 167.89.115.120","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,sendgrid.net,,,"p8bnb2lp424dkl3c4io1aemiei, mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all","mx.sendgrid.net, mx2.sendgrid.net","amazonaws.com, godaddy.com","ns10.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns15.dnsmadeeasy.com"
[x],url5770.purevpn.com,"167.89.123.54, 167.89.115.120, 167.89.115.56, 167.89.123.124","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,sendgrid.net,,,"mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all, p8bnb2lp424dkl3c4io1aemiei","mx2.sendgrid.net, mx.sendgrid.net","amazonaws.com, godaddy.com","ns15.dnsmadeeasy.com, ns14.dnsmadeeasy.com, ns12.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns13.dnsmadeeasy.com"
[x],webhook-sd.purevpn.com,"104.18.24.105, 104.18.25.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",webhook-sd.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],webmail.purevpn.com,64.235.59.215,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],white-label.purevpn.com,"104.18.25.105, 104.18.24.105","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:1969, 2606:4700::6812:1869",white-label.purevpn.com.cdn.cloudflare.net,True,cloudflare,,,,
[x],whm.purevpn.com,64.235.59.215,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
[x],www.forum.purevpn.com,107.6.13.166,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",NOERROR,,,,,,,,
