input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,favicon,csp_domains_,tls_mismatched,final_url,tls_wildcard_certificate,tls_subject_org_
auth-api.purevpn.com,,404,60,auth-api.purevpn.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2024-12-23T12:06:05Z,2025-03-23T13:06:04Z,CN=auth-api.purevpn.com,auth-api.purevpn.com,auth-api.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,73879affbb9df18bee3d8fcb88bb78bf,64b1f106b8d258d5e2fa57e3fec2ab955c3e926be9e6d947a879253f809e060d,ctls,auth-api.purevpn.com,cloudflare,443,https://auth-api.purevpn.com,https,cloudflare,application/json,GET,104.18.25.105,/,/favicon.ico,2606:4700::6812:1869,PHP:7.4.33,1,False,True,nonerror,0,,,,,,
auth.purevpn.com,,200,27500,auth.purevpn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-28T01:17:37Z,2025-03-28T01:17:36Z,CN=auth.purevpn.com,auth.purevpn.com,auth.purevpn.com,"CN=E6, O=Let's Encrypt, C=US",E6,Let's Encrypt,2b57ca5578a72df43402ba21e101e991,0a1742878d4e72038918ae4ddf371e556053a7efe99f1c3d10e5bce4c6a7d216,ctls,auth.purevpn.com,,443,https://auth.purevpn.com,https,,text/html,GET,52.223.54.229,/,/images/apple-icon-57x57.png,76.223.21.8,HTTP/3,1026,False,,nonerror,0,574630269,,,,,
beta2.purevpn.com,Attention Required! | Cloudflare,403,4513,beta2.purevpn.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2024-12-25T21:07:04Z,2025-03-25T22:07:03Z,CN=beta2.purevpn.com,beta2.purevpn.com,beta2.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,10c0c411f992c0018bf5637a6789e4e5,0e503d5d8500f0ec4ff43e932b304f290f0952d79a9f6ab0127a5f5e8048ecf4,ctls,beta2.purevpn.com,cloudflare,443,https://beta2.purevpn.com,https,cloudflare,text/html,GET,104.18.24.105,/,/favicon.ico,2606:4700::6812:1969,HTTP/3,94,False,True,nonerror,0,,,,,,
beta3.purevpn.com,Attention Required! | Cloudflare,403,4513,beta3.purevpn.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2024-12-18T15:39:09Z,2025-03-18T16:39:08Z,CN=beta3.purevpn.com,beta3.purevpn.com,beta3.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,2de4ad2166625b9c8eb2f55d456ab64f,50884a4c695dbbdc12912bfdb26edf2da168827e8360ae2ede44b253ed632ce7,ctls,beta3.purevpn.com,cloudflare,443,https://beta3.purevpn.com,https,cloudflare,text/html,GET,104.18.24.105,/,/favicon.ico,2606:4700::6812:1969,HTTP/3,94,False,True,nonerror,0,,,,,,
beta4.purevpn.com,Attention Required! | Cloudflare,403,4513,beta4.purevpn.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2025-01-06T03:46:38Z,2025-04-06T04:46:35Z,CN=beta4.purevpn.com,beta4.purevpn.com,beta4.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,ba374a0044decd13b106bac383d4021a,3b9af74fa104e2e5832430460e3702df4229c81e241ec27e99e64ecfe3b8bca8,ctls,beta4.purevpn.com,cloudflare,443,https://beta4.purevpn.com,https,cloudflare,text/html,GET,104.18.24.105,/,/favicon.ico,2606:4700::6812:1969,HTTP/3,94,False,True,nonerror,0,,,,,,
biapi.purevpn.com,,404,360,biapi.purevpn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T11:53:34Z,2025-04-27T12:53:29Z,CN=biapi.purevpn.com,biapi.purevpn.com,biapi.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,778e03c4ac002b080a43db820d5ae196,e1b3e510648fcaf13073739cbd65bcb9ec2e3ea8a8e6be5996eebf5482793984,ctls,biapi.purevpn.com,cloudflare,443,https://biapi.purevpn.com,https,cloudflare,application/json,GET,172.67.207.83,/,/favicon.ico,104.21.85.157,HTTP/3,19,False,True,error,0,,,,,,
billing.purevpn.com,Attention Required! | Cloudflare,403,4516,my.purevpn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-25T08:19:07Z,2025-03-25T09:19:04Z,CN=my.purevpn.com,my.purevpn.com,my.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,11ff9c8e6fbd0e27b284e92a0d8900b3,b6c96423405f00f1c00adc0e0d5a37b926adb7cb516e69e4020a202e2ec60a03,ctls,my.purevpn.com,cloudflare,443,https://billing.purevpn.com,https,cloudflare,text/html,GET,104.18.17.57,/,/favicon.ico,2606:4700::6812:1139,Cloudflare,94,False,True,nonerror,0,-944132923,,,https://my.purevpn.com/,,
business.purevpn.com,my.dome.purevpn.com,200,35994,my.dome.purevpn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-02T16:11:21Z,2025-05-03T17:11:18Z,CN=my.dome.purevpn.com,my.dome.purevpn.com,my.dome.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,bb3657b4b45c920ad29dc0f7332a69fc,c7305b2120c8dc79c95dbe5c37188049fcd0362a71860bcefaaaa1e9bfbd9ce5,ctls,my.dome.purevpn.com,cloudflare,443,https://business.purevpn.com,https,cloudflare,text/html,GET,104.18.0.212,/,/images/favicon_final.ico,2606:4700::6812:1d4,PHP:7.4.33,109,False,True,nonerror,0,,,,https://my.dome.purevpn.com/login,,
cms.proxy.purevpn.com,Attention Required! | Cloudflare,403,4523,cms.proxy.purevpn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-03T03:06:57Z,2025-05-04T04:06:55Z,CN=cms.proxy.purevpn.com,cms.proxy.purevpn.com,cms.proxy.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,717f6589dec0f5db88d4070f8103b55f,df09df1a16b10c3935662258d6da24718842692ce24a03adec665ae9d0f45dd5,ctls,cms.proxy.purevpn.com,cloudflare,443,https://cms.proxy.purevpn.com,https,cloudflare,text/html,GET,104.18.16.105,/,/favicon.ico,2606:4700::6812:1169,Cloudflare,94,False,True,nonerror,0,,,,,,
dome.purevpn.com,PureDome: Zero Trust & Cybersecurity Solutions,200,159401,www.puredome.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-16T09:47:55Z,2025-04-16T10:47:50Z,CN=www.puredome.com,www.puredome.com,www.puredome.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,8d17aeab828748240c1c613b9bd3fbcc,ef9824528f70ffe01d04bb02043fc36dad7b7e3911b00b21fd3c1fbc94891025,ctls,www.puredome.com,cloudflare,443,https://dome.purevpn.com,https,cloudflare,text/html,GET,104.21.31.199,/,/hubfs/favicon.ico,2606:4700:3034::ac43:b3a8,HubSpot CMS Hub,3736,False,True,other,0,-1214383068,,,https://www.puredome.com,,
dspro.purevpn.com,,404,81,dspro.purevpn.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2025-02-07T07:55:20Z,2025-05-08T08:55:17Z,CN=dspro.purevpn.com,dspro.purevpn.com,dspro.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,5dda27e883b7370d054aab067dbc4bc6,10fa9ff16361282317f7cbd83d3e648e6379beee37e4308c84aed6950b517084,ctls,dspro.purevpn.com,cloudflare,443,https://dspro.purevpn.com,https,cloudflare,application/json,GET,104.18.24.105,/,/favicon.ico,2606:4700::6812:1969,Node.js,1,False,True,error,0,,,,,,
email1.purevpn.com,404 Not Found,404,162,email1.purevpn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-01-09T21:09:57Z,2026-02-10T21:09:57Z,CN=*.sendgrid.net,*.sendgrid.net,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",1b821e2b3b82392de236e77327178a94,a90dca2ea08b8046359c8e6d9e1cfa8d52bd098f3d3c334439fac8e58746a1e4,ctls,email1.purevpn.com,,443,https://email1.purevpn.com,https,nginx,text/html,GET,167.89.118.83,/,/favicon.ico,167.89.118.109,Nginx,8,False,,error,0,,,True,,True,
emails.purevpn.com,Log in to Mandrill,200,2536,emails.purevpn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-05-08T00:00:00Z,2025-06-06T23:59:59Z,CN=alb-app-prod.us-west-2.tx-prod.prod.mandrillapp.com,alb-app-prod.us-west-2.tx-prod.prod.mandrillapp.com,alb-app-prod.us-west-2.tx-prod.prod.mandrillapp.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,2b472fe867a8800a9c83133039afa925,5a6df8c01d278bfd80e7ab71cea0d92a05b8fcbc201b2e79b0107ec786b5a2e1,ctls,emails.purevpn.com,,443,https://emails.purevpn.com,https,nginx,text/html,GET,76.223.125.47,/,/img/favicon.ico,15.197.175.4,PHP,44,False,,nonerror,0,868509162,,True,https://emails.purevpn.com/login/?referrer=%2F,,
fa-callback-staging.purevpn.com,,200,,fa-callback-staging.purevpn.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2025-01-03T04:00:56Z,2025-04-03T05:00:53Z,CN=fa-callback-staging.purevpn.com,fa-callback-staging.purevpn.com,fa-callback-staging.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,cf6a72c896d1dffae96ee71519cb6466,f661b9f3e32001c23cfa23d9c6256abaecc4d902be09a8bc95d75686cc9b2fee,ctls,fa-callback-staging.purevpn.com,cloudflare,443,https://fa-callback-staging.purevpn.com,https,cloudflare,,GET,104.18.24.105,/,/favicon.ico,2606:4700::6812:1969,HTTP/3,1,False,True,other,0,,https://fonts.googleapis.com,,,,
fawebhooks.purevpn.com,,404,22,fawebhooks.purevpn.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2025-01-11T01:58:15Z,2025-04-11T02:58:14Z,CN=fawebhooks.purevpn.com,fawebhooks.purevpn.com,fawebhooks.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,cb626de66315beb688ebbf66a1caa334,8fd240d45edbf92cbe2accb762f5564e9b88ab4099d0221735abb194df6e2b50,ctls,fawebhooks.purevpn.com,cloudflare,443,https://fawebhooks.purevpn.com,https,cloudflare,application/json,GET,104.18.24.105,/,/favicon.ico,2606:4700::6812:1969,HTTP/3,1,False,True,error,0,,,,,,
gateway.purevpn.com,An Error Occurred: Not Found,404,60725,gateway.purevpn.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2025-02-07T11:55:18Z,2025-05-08T12:55:16Z,CN=gateway.purevpn.com,gateway.purevpn.com,gateway.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,71f551b87f2fcb225d189b81d4b430b1,03a49b2e9d2797b4fcb675abcdc24885471a551f9a4e0358b4abee6df86b9f7f,ctls,gateway.purevpn.com,cloudflare,443,https://gateway.purevpn.com,https,cloudflare,text/html,GET,104.18.24.105,/,,2606:4700::6812:1969,PHP:8.1.29,25,False,True,error,0,,,,,,
gw.api.atom.purevpn.com,,403,83,gw.api.atom.purevpn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-26T16:38:29Z,2025-03-26T17:38:27Z,CN=gw.api.atom.purevpn.com,gw.api.atom.purevpn.com,gw.api.atom.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,22c5e91e00ace5906cdc84e5dad6d9b7,0a2306ac992b6da29f755d5dab893f67d0177a180e7c3984f7647e9023ace019,ctls,gw.api.atom.purevpn.com,cloudflare,443,https://gw.api.atom.purevpn.com,https,cloudflare,application/json,GET,104.18.25.18,/,/favicon.ico,104.18.24.18,Cloudflare,1,False,True,nonerror,0,,,,,,
health.proxy.purevpn.com,,404,16031,health.proxy.purevpn.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2024-12-25T06:42:30Z,2025-03-25T07:42:26Z,CN=health.proxy.purevpn.com,health.proxy.purevpn.com,health.proxy.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,c875442ce39c0782c17cf15715a6966f,28753445d05826d2918c7a76dcd04d94c6bb7b99097fcb1944ca0ff02bb3dfd7,ctls,health.proxy.purevpn.com,cloudflare,443,https://health.proxy.purevpn.com,https,cloudflare,text/html,GET,104.18.24.105,/,/favicon.ico,2606:4700::6812:1969,PHP:5.6.40,91,False,True,nonerror,0,,,,,,
heartbeat.bi.purevpn.com,Attention Required! | Cloudflare,403,4516,heartbeat.bi.purevpn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-28T19:58:06Z,2025-04-28T20:58:05Z,CN=heartbeat.bi.purevpn.com,heartbeat.bi.purevpn.com,heartbeat.bi.purevpn.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,25617601f48cbcc1226bed5446d728fb,048b70374f04e09eafa84049fa54bb5b7ba7907fe3fdff32562c0c7badb22e4a,ctls,heartbeat.bi.purevpn.com,cloudflare,443,https://heartbeat.bi.purevpn.com,https,cloudflare,text/html,GET,172.67.192.77,/,/favicon.ico,104.21.36.97,HTTP/3,94,False,True,nonerror,0,,,,,,
help.purevpn.com,Just a moment...,403,8744,help.purevpn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-31T23:45:48Z,2025-05-01T23:45:47Z,CN=help.purevpn.com,help.purevpn.com,help.purevpn.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,fa30382a99de4791a55574208055f299,638436c5c5617b2dc0bd015abc762bde57e09d70ec68c28658cc1c863059af27,ctls,help.purevpn.com,,443,https://help.purevpn.com,https,cloudflare,text/html,GET,216.198.54.1,/,/favicon.ico,216.198.53.1,Cloudflare Bot Management,1,False,,nonerror,0,,,,https://help.purevpn.com/hc/en-us/restricted?return_to=https%3A%2F%2Fhelp.purevpn.com%2Fhc&locale=en-us,,
https://assets.zendesk.com,Just a moment...,403,8484,www.zendesk.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-20T15:05:25Z,2025-04-20T16:05:24Z,CN=www.zendesk.com,www.zendesk.com,www.zendesk.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,50eed25b8e33577fbffe0ccb6eae8230,7055182be7bd1fa81c4637d6f570ad316f0c655435edafa706adac99e9490527,ctls,www.zendesk.com,,443,https://assets.zendesk.com,https,cloudflare,text/html,GET,216.198.54.3,/,/favicon.ico,216.198.53.3,HSTS,1,False,,nonerror,0,,,,https://www.zendesk.com/help-center-closed/?utm_source=helpcenter-closed&utm_medium=poweredbyzendesk&utm_campaign=text&utm_content=assets.zendesk.com,,
https://connect.facebook.net,Facebook – Anmelden oder Registrieren,200,271097,m.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-11-23T00:00:00Z,2025-02-21T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,702d2b0932fd5ebea31c76206978f179,f2c8f008ba1906ce652abb157d56d10ba23475770baf3d844bcdc48f37b15766,ctls,m.facebook.com,,443,https://connect.facebook.net,https,,text/html,GET,157.240.251.9,/,/favicon.ico,2a03:2880:f084:d:face:b00c:0:3,HTTP/3,30,False,,nonerror,0,-560962771,*.fbsbx.com,,https://m.facebook.com/?wtsid=rdr_0QCt3MRtgF7PINkkX,True,"Meta Platforms, Inc."
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1621,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:36:37Z,2025-04-21T08:36:36Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,f1dc2980140c005132b8172f180f8f8b,93d393e94d211a68524a2703c7f36a24aacadf5cb72cedc50b4bec8b65d0f923,ctls,fonts.googleapis.com,google,443,https://fonts.googleapis.com,https,ESF,text/html,GET,172.217.18.106,/,/favicon.ico,2a00:1450:4001:80f::200a,HTTP/3,1,False,True,error,0,,,,,True,
