new,host,a,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,cname,aaaa,txt,caa,mx
,blog.fe-cloudrun.skypicker.com,"104.16.155.238, 104.16.154.238","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,blueskyaviation.kiwi.com,"104.16.193.226, 104.16.192.226","fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,boocsek-api.cs-systems-prod.skypicker.com,"104.18.6.44, 104.18.7.44","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,bookie.reservations-prod.skypicker.com,"104.18.12.9, 104.18.13.9","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,booking-api.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,booking-data.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,booking-production.skypicker.com,,"alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"alina.ns.cloudflare.com, ernest.ns.cloudflare.com",,,,,,,
,booktravel.kiwi.com,"104.16.193.226, 104.16.192.226","fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,br.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,bravofly.kiwi.com,"104.16.192.226, 104.16.193.226","fattouche.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,brxt.booking-sandbox.skypicker.com,"104.18.2.112, 104.18.3.112","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,ca.skypicker.com,"104.17.46.20, 104.17.45.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,camunda-message-publisher.autobooking-sandbox.skypicker.com,"104.18.29.18, 104.18.28.18","alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,car-rentals-api.skypicker.com,"104.17.45.20, 104.17.46.20","nelly.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,,
,cars.kiwi.com,"104.19.165.108, 104.19.164.108","brad.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,glb.wlb.rentalcars.com,,,,
