new,host,a,cname,soa,status_code,txt,cdn,cdn-name,ns,aaaa,caa,mx
,git.deribit.com,194.28.45.190,history.deribit.com,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,his.deribit.com,194.28.45.190,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,history-test.deribit.com,194.28.45.190,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,history.deribit.com,194.28.45.190,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,hlth.analyze.deribit.com,,_5e00ce681320bb8a8d1105d79bdd1752.ltfvzjuylp.acm-validations.aws,"ns-2005.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",NOERROR,041e5d7e9d5f4d3b8d14896b2eb55872,,,,,,
,hub.deribit.com,,,,NOERROR,,,,,,,
,im.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,insights.deribit.com,"104.18.5.240, 104.18.4.240",,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,"2606:4700::6812:5f0, 2606:4700::6812:4f0",,
,kubernetes-dashboard.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,landing-page-backend.deribit.com,"13.42.195.176, 18.133.15.248, 13.41.125.27",k8s-frontend-ingressl-75dfc44962-1083576531.eu-west-2.elb.amazonaws.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,legacy.deribit.com,193.72.79.190,www.deribit.com,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,mail.deribit.com,193.72.79.200,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,mailer.deribit.com,149.202.211.45,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,metrics.deribit.com,,systematic-penguin-zje5pev5tp0f1x46wpr5k5f8.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,new.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,ns2.deribit.com,193.72.79.195,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,office.deribit.com,"54.73.26.109, 54.216.252.255, 108.128.72.146",limitless-scallop-ukgnpkb60b6k7zcq0tdx3hew.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,pb-test.deribit.com,"18.135.26.152, 13.41.111.61, 35.176.48.3",k8s-frontend-ingressp-262d09776d-1851403151.eu-west-2.elb.amazonaws.com,"ns-1198.awsdns-21.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,pblegacy.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,positionbuilder.deribit.com,"18.67.65.60, 18.67.65.56, 18.67.65.112, 18.67.65.72, 205.251.192.2, 205.251.195.110, 205.251.196.5, 205.251.199.72",dc7qxm8k759wy.cloudfront.net,"ns-1864.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-878.awsdns-45.net, ns-2.awsdns-00.com, ns-1864.awsdns-41.co.uk, ns-1029.awsdns-00.org",,,
,pro.deribit.com,"99.86.4.18, 99.86.4.19, 99.86.4.124, 99.86.4.9",d1gukmb2e2y2tl.cloudfront.net,"ns-1715.awsdns-22.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-489.awsdns-61.com, ns-631.awsdns-14.net, ns-1150.awsdns-15.org, ns-1715.awsdns-22.co.uk",,,
,proxy.chat.deribit.com,18.170.89.253,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,proxy.chattest.deribit.com,18.134.250.244,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,pubsub.chat.deribit.com,18.170.89.253,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,r0m.deribit.com,,,,NOERROR,,,,,,,
,r2d2.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,registry.deribit.com,194.28.45.190,history.deribit.com,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,scim.deribit.com,35.204.1.255,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,google,,,,
,static.deribit.com,3.8.61.26,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,status.deribit.com,18.234.32.149,gsjyzwnpcv2r.stspg-customer.com,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"globalsign.com;, letsencrypt.org",
,streams.deribit.com,194.28.45.190,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,sygna-test-backend.deribit.com,35.178.129.205,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,sygna-test.deribit.com,35.178.129.205,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,test.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,test.pb.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,test.pro.deribit.com,"108.138.17.23, 108.138.17.63, 108.138.17.26, 108.138.17.74",d1xa6yartrhk0i.cloudfront.net,"ns-194.awsdns-24.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-1242.awsdns-27.org, ns-1793.awsdns-32.co.uk, ns-194.awsdns-24.com, ns-942.awsdns-53.net",,,
,testcf.deribit.com,193.73.250.190,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,tools.deribit.com,"54.73.26.109, 108.128.72.146, 54.216.252.255",stark-cougar-ymy3xh01ero35op0wmvbzvq8.herokudns.com,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,
,upload.chat.deribit.com,18.170.89.253,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,upload.chattest.deribit.com,18.134.250.244,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,users-config-extranet-database-officebackups-domain.analyze.deribit.com,,_5e00ce681320bb8a8d1105d79bdd1752.ltfvzjuylp.acm-validations.aws,"ns-2005.awsdns-58.co.uk, awsdns-hostmaster.amazon.com",NOERROR,041e5d7e9d5f4d3b8d14896b2eb55872,,,,,,
,v3test-aws.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,veriscope.deribit.com,18.134.6.65,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,vpn.deribit.com,,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,wordpress.deribit.com,172.65.235.22,043262c8aeb74e608aa72dca5e7dbd6b.pacloudflare.com,"brenda.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,2606:4700:90:0:5e62:47fe:a352:4bcd,,
,www.deribit.com,193.72.79.190,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
,zh4-test.deribit.com,193.73.250.190,,"malavika.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
