new,host,a,soa,status_code,cname,ns,aaaa,has_internal_ips,internal_ips,mx,txt,cdn,cdn-name,caa
,ablog.baidu.com,220.181.107.168,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,abot.pos.baidu.com,,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,abot.pos1.n.shifen.com,,,,,,,,,
,ac.baidu.com,180.97.104.203,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,"mx.maillb.baidu.com, jpmx.baidu.com, mx1.baidu.com, mx.n.shifen.com, mx50.baidu.com",v=spf1 include:spf1.baidu.com include:spf2.baidu.com include:spf3.baidu.com a mx ptr -all,,,
,acc.baidu.com,"110.242.68.248, 110.242.68.249, 112.34.116.14, 112.34.116.137, 124.237.176.215, 124.237.176.216, 153.37.235.143, 157.255.77.110, 180.101.212.145, 14.215.179.66","dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,acc.su.baidu.com,42.81.8.225,"ns1.yjs-cdn.com, dns.yjs-cdn.com",NOERROR,yjs-any.su.baidu.com.cname.yunjiasu-cdn.net,,240e:928:201::e1,,,,,,,
,access.mobads.baidu.com,"124.237.176.38, 39.156.68.179","dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,acct.baidu.com,10.141.80.143,"dns.baidu.com, sa.baidu.com",NOERROR,,,,True,10.141.80.143,,,,,
,ace.baidu.com,112.34.116.21,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,robox.n.shifen.com,,,,,,,,,
,ack.tuisong.baidu.com,"110.242.69.51, 110.242.69.52, 112.34.111.33, 180.101.212.56","dns.baidu.com, sa.baidu.com",NOERROR,,,"240e:83:205:c0:0:ff:b035:56ef, 2409:8c85:0:123:0:ff:b07a:79de, 2408:80f0:410b:3:0:ff:b09b:348e, 2409:8c54:881:7b:0:ff:b058:357d, 2409:8c20:6:21:0:ff:b02f:8abe, 2408:8756:c52:6aa:0:ff:b017:35bc, 240e:ff:e020:4a4:0:ff:b06a:139e, 240e:e9:800e:13:0:ff:b008:148c",,,,,,,
,acsp.baidu.com,,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,bdedu.n.shifen.com,,,,,,,,,
,acstatic.baidu.com,54.144.128.85,,NOERROR,,,,,,,,,,
,act.baidu.com,"183.232.231.68, 183.232.232.93","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,eopa.n.shifen.com,,,,,,,,,
,act.zhidao.baidu.com,,,NOERROR,bapp.n.shifen.com,,,,,,,,,
,activity.baidu.com,"183.232.232.93, 183.232.231.68","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,eopa.n.shifen.com,,,,,,,,,
,activitydianying.baidu.com,,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,jpaas-movie.e.shifen.com,,,,,,,,,
,ad.baidu.com,"182.61.62.50, 110.242.68.134, 220.181.33.31, 36.152.45.193, 112.80.248.64, 14.215.178.80, 111.45.3.226, 180.76.76.92","dns.baidu.com, sa.baidu.com",NOERROR,domain-offline.baidu.com,"ns3.baidu.com, dns.baidu.com, ns7.baidu.com, ns2.baidu.com, ns4.baidu.com","240e:bf:b801:1002:0:ff:b024:26de, 240e:940:603:4:0:ff:b01b:589a",,,,,,,
,ad.maillb.baidu.com,,123.maillb.baidu.com,NOERROR,,,,,,,,,,
,ad.v.baidu.com,"180.76.186.6, 180.76.137.203","dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,ada.baidu.com,"163.177.151.160, 110.242.68.103, 112.80.248.191","ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,ada.e.shifen.com,,,,,,,,,
,adata.baidu.com,"10.36.253.93, 110.242.68.134, 220.181.33.31, 112.80.248.64, 36.152.45.193, 111.45.3.226, 14.215.178.80, 180.76.76.92","dns.baidu.com, sa.baidu.com",NOERROR,,"ns2.baidu.com, ns7.baidu.com, ns4.baidu.com, ns3.baidu.com, dns.baidu.com","240e:bf:b801:1002:0:ff:b024:26de, 240e:940:603:4:0:ff:b01b:589a",True,10.36.253.93,,,,,
,addata.baidu.com,"124.237.176.215, 124.237.176.216, 39.156.68.156, 110.242.68.248, 110.242.68.249, 112.34.116.14, 112.34.116.137","dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,adl-cve.pos.baidu.com,0.0.0.0,"fake-for-negative-caching.adguard.com, hostmaster.adl-cve.pos.baidu.com",NOERROR,,,::,True,0.0.0.0,,,,,
,adm.baidu.com,112.34.111.113,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,ssp.bfe.e.shifen.com,,,,,,,,,
,admin.baidu.com,,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,adn.baidu.com,,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,adsdianying.baidu.com,112.80.255.248,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,jpaas-movie.e.shifen.com,,,,,,,,,
,adtest.maillb.baidu.com,172.31.63.133,123.maillb.baidu.com,NOERROR,,,,True,172.31.63.133,,,,,
,advertising.baidu.com,112.80.248.40,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,mms.n.shifen.com,,,,,,,,,
,ae.baidu.com,"110.242.68.134, 220.181.33.31, 36.152.45.193, 112.80.248.64, 14.215.178.80, 111.45.3.226, 180.76.76.92","ns1.wshifen.com, baidu_dns_master.baidu.com",NOERROR,search-ar.wshifen.com,"ns3.baidu.com, ns2.baidu.com, ns7.baidu.com, ns4.baidu.com, dns.baidu.com","240e:bf:b801:1002:0:ff:b024:26de, 240e:940:603:4:0:ff:b01b:589a",,,,,,,
,aep.baidu.com,10.207.6.186,"dns.baidu.com, sa.baidu.com",NOERROR,,,,True,10.207.6.186,,,,,
,aep.noah.baidu.com,"10.212.15.56, 10.208.7.142",,NOERROR,,,,True,"10.212.15.56, 10.208.7.142",,,,,
,af.baidu.com,"110.242.68.110, 157.255.77.113","dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,afd.baidu.com,110.242.68.136,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,afd.e.shifen.com,,,,,,,,,
,aff.baidu.com,"36.152.44.182, 111.206.209.96, 124.237.176.251","dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,affim.baidu.com,"111.206.208.82, 124.237.177.103, 220.181.111.33, 39.156.66.21, 110.242.70.124, 39.156.66.97","ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,affim.e.shifen.com,,,,,,,,,
,ag.baidu.com,"202.108.23.198, 202.108.23.199","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,tc.router.n.shifen.com,,,,,,,,,
,agentchannel.tuisong.baidu.com,103.235.46.102,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,ai.baidu.com,110.242.69.34,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,ai.n.shifen.com,,,,,,,,,
,aib.baidu.com,"153.37.235.65, 163.177.151.234","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,bkm.n.shifen.com,,,,,,,,,
,aibot.baidu.com,180.97.93.32,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,aic.baidu.com,10.26.5.60,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,aic.e.shifen.com,,,True,10.26.5.60,,,,,
,aida.baidu.com,183.232.232.89,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,aifanfan.baidu.com,"110.242.68.171, 153.37.235.139, 157.255.77.61","ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,aifanfan.e.shifen.com,,,,,,,,,
,aijia.baidu.com,,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,aimp.baidu.com,180.76.116.250,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,aiot.baidu.com,124.237.177.60,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,aipagetest.bce.baidu.com,"103.235.46.159, 103.235.46.160","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,sugar.n.shifen.com,,,,,,,,,
,aiqicha.baidu.com,39.156.66.166,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,cs.e.shifen.com,,,,,,,,,
,airec-test.baidu.com,120.48.56.208,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,airec.baidu.com,180.76.160.211,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,airos.baidu.com,112.34.116.62,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,ocnow.n.shifen.com,,,,,,,,,
,ais.baidu.com,103.235.47.169,"ns1.a.shifen.com, baidu_dns_master.baidu.com",NOERROR,chat.a.shifen.com,,,,,,,,,
,aistudio.baidu.com,103.235.46.166,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,aistudio.n.shifen.com,,,,,,,,,
,aka.baidu.com,220.181.111.130,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,ala.baidu.com,,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,post.n.shifen.com,,,,,,,,,
,aladdin.baidu.com,"103.235.46.116, 103.235.46.119","ns1.a.shifen.com, baidu_dns_master.baidu.com",NOERROR,open.a.shifen.com,,,,,,,,,
,alarm.baidu.com,220.181.33.230,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,alarm.n.shifen.com,,,,,,,,,
,albtest.baidu.com,,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,alert.baidu.com,"220.181.33.230, 110.242.68.39, 220.181.33.34, 36.152.45.197, 112.80.248.31, 14.215.178.45, 111.20.4.27, 180.76.76.96","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,"alarm.baidu.com, alarm.n.shifen.com","ns2.n.shifen.com, ns3.n.shifen.com, ns4.n.shifen.com, ns5.n.shifen.com, ns1.n.shifen.com","240e:bf:b801:1004:0:ff:b0df:15ef, 240e:940:603:7:0:ff:b0bc:8bde",,,,,,,
,alert.su.baidu.com,112.34.111.27,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,alert.n.shifen.com,,,,,,,,,
,allstar.baidu.com,"10.42.7.81, 110.242.68.134, 220.181.33.31, 36.152.45.193, 112.80.248.64, 14.215.178.80, 111.45.3.226, 180.76.76.92","dns.baidu.com, sa.baidu.com",NOERROR,,"ns3.baidu.com, ns2.baidu.com, ns4.baidu.com, dns.baidu.com, ns7.baidu.com","240e:bf:b801:1002:0:ff:b024:26de, 240e:940:603:4:0:ff:b01b:589a",True,10.42.7.81,,,,,
,alphatest.baidu.com,180.101.49.167,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,alphatest.n.shifen.com,,,,,,,,,
,als.baidu.com,"182.61.62.40, 163.177.151.171","ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,als.e.shifen.com,,,,,,,,,
,ame.baidu.com,"10.11.1.202, 10.169.42.35","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,inrouter.n.shifen.com,,,True,"10.11.1.202, 10.169.42.35",,,,,
,amis.baidu.com,"10.11.1.203, 10.169.42.23","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,tc.inrouter.n.shifen.com,,,True,"10.11.1.203, 10.169.42.23",,,,,
,amu.baidu.com,110.242.69.89,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,amu.n.shifen.com,,,,,,,,,
,android.im.baidu.com,,"ns1.wshifen.com, baidu_dns_master.baidu.com",NOERROR,"im.n.shifen.com, in.m.wshifen.com",,,,,,,,,
,androidapp.baidu.com,182.61.62.50,"dns.baidu.com, sa.baidu.com",NOERROR,"androidapp0.wshifen.com, domain-offline.baidu.com",,,,,,,,,
,ani.baidu.com,,,NOERROR,,,,,,,,,,
,anp.baidu.com,,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,anquan.baidu.com,153.37.235.114,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,aqgw.n.shifen.com,,,,,,,,,
,anti.gdown.baidu.com,60.190.116.47,"ns1.jomodns.com, baidu_dns_master.baidu.com",NOERROR,mgdown.jomodns.com,,,,,,,,,
,antibot.baidu.com,110.242.68.200,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,antibot.n.shifen.com,,,,,,,,,
,antivirus.baidu.com,103.235.46.69,"ns1.wshifen.com, baidu_dns_master.baidu.com",NOERROR,bavhome.wshifen.com,,,,,,,,,
,ap.baidu.com,117.185.16.78,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,apbr.n.shifen.com,,,,,,,,,
,apaas.baidu.com,220.181.111.91,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,yiyun.n.shifen.com,,240c:4003:111:53:0:ff:b09a:146f,,,,,,,
,apaas.cloud.baidu.com,"103.235.46.159, 103.235.46.160","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,sugar.n.shifen.com,,,,,,,,,
,api-aifanfan.baidu.com,39.156.68.9,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,apigw.baidu.n.shifen.com,,,,,,,,,
,api-cp.baidu.com,"110.242.69.134, 163.177.151.251","ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,yuzhou.n.shifen.com,,,,,,,,,
,api-duping.baidu.com,157.255.78.44,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,api-sao.baidu.com,110.242.69.161,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,apis.sao.n.shifen.com,,,,,,,,,
,api.baidu.com,103.235.46.38,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,api.e.shifen.com,,,,,,,,,
,api.bce.baidu.com,111.13.100.108,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,api.bes.baidu.com,,,NOERROR,,,,,,,,,,
,api.ce.baidu.com,,,NOERROR,,,,,,,,,,
,api.es.baidu.com,61.135.162.252,"ns1.e.shifen.com, baidu_dns_master.baidu.com",NOERROR,api.es.e.shifen.com,,,,,,,,,
,api.ghk.hao123.com,,"ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",NOERROR,sg-hao123-entry-1143122436.ap-southeast-1.elb.amazonaws.com,,,,,,,,,
,api.im.baidu.com,,"ns1.wshifen.com, baidu_dns_master.baidu.com",NOERROR,"im.n.shifen.com, in.m.wshifen.com",,,,,,,,,
,api.map.baidu.com,103.235.46.245,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,api.map.n.shifen.com,,,,,,,,,
,api.noah.baidu.com,"10.180.113.175, 10.11.112.168",,NOERROR,noah.baidu.com,,,True,"10.180.113.175, 10.11.112.168",,,,,
,api.open.baidu.com,"103.235.46.119, 103.235.46.116","ns1.a.shifen.com, baidu_dns_master.baidu.com",NOERROR,open.a.shifen.com,,,,,,,,,
,api.push.baidu.com,110.242.69.55,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,api.push.n.shifen.com,,,,,,,,,
,api.safe.baidu.com,112.34.111.177,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,mobsecmultiplatform.n.shifen.com,,,,,,,,,
,api.sao.baidu.com,110.242.69.161,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,"api-sao.baidu.com, apis.sao.n.shifen.com",,,,,,,,,
,api.su.baidu.com,,"dns.baidu.com, sa.baidu.com",NOERROR,,,,,,,,,,
,api0.tuisong.baidu.com,110.242.69.51,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,api.duapp.n.shifen.com,,"240e:83:205:c8:0:ff:b078:adf, 2409:8c85:0:17:0:ff:b058:136a",,,,,,,
,api1.tuisong.baidu.com,110.242.69.51,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,api.duapp.n.shifen.com,,,,,,,,,
,api2.tuisong.baidu.com,110.242.69.51,"ns1.n.shifen.com, baidu_dns_master.baidu.com",NOERROR,api.duapp.n.shifen.com,,"240e:83:205:c8:0:ff:b078:adf, 2409:8c85:0:17:0:ff:b058:136a",,,,,,,
