input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_wildcard_certificate,tls_expired,csp_domains_,final_url
ahcvp125-vpnin1.ford.com,,200,315,ahcvp125-vpnin1.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-22T12:01:27Z,2023-12-24T12:01:26Z,"CN=vpnin1.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",vpnin1.ford.com,Ford Motor Company,vpnin4.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,286c3b881af1efe0509ea38b60f1ccc2,9250025e86703f1ca93934c9f48bef890ab372a761937cbee31f8ee4fa32ca0b,ctls,ahcvp125-vpnin1.ford.com,443,https://ahcvp125-vpnin1.ford.com:443,https,,text/html,GET,103.147.129.7,/,-1840324437,103.147.129.7,9,False,,HSTS,,,,,
ahovp124-vpnau1.ford.com,,200,315,ahovp124-vpnau1.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-11-16T20:33:37Z,2023-12-18T20:33:36Z,"CN=vpnau1.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",vpnau1.ford.com,Ford Motor Company,ahovp125-vpnau1-6.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,9bc02b1ae5ee0f4ed8a0e14a0e115523,70c60ff0abb957abf2d51b359069916b56ea7e068dda16b43141e8a54d400ba8,ctls,ahovp124-vpnau1.ford.com,443,https://ahovp124-vpnau1.ford.com:443,https,,text/html,GET,19.12.54.8,/,-1840324437,19.12.54.8,9,False,,HSTS,,,,,
akamai.au.wwwqa.brandap.ford.com,Access Denied,403,294,,,,,,,,,,,,,,,,,,,,80,http://akamai.au.wwwqa.brandap.ford.com:80,http,AkamaiGHost,text/html,GET,184.25.219.5,/,-179007586,2a02:26f0:1700:38b::b11,10,False,,,,,,,
akamai.wwwqa.brandap.lincoln.com,Access Denied,403,289,akamai.wwwqa.brandap.lincoln.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-28T00:00:00Z,2024-03-27T23:59:59Z,"CN=touch.secure.ford.co.za, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",touch.secure.ford.co.za,Ford Motor Company,wwwqa.motorcraft.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,8475046b987b913254cfffd5580489c3,f9f4ce539b88c4300563f26cff286954a285b36cbe0728fd74cd452a7b15daf8,ctls,akamai.wwwqa.brandap.lincoln.com,443,https://akamai.wwwqa.brandap.lincoln.com:443,https,AkamaiGHost,text/html,GET,23.212.205.67,/,-1749254115,23.212.205.67,10,False,,,,,,,
alexaremotelogin.ford.com,,404,77,alexaremotelogin.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-27T17:23:13Z,2024-04-27T17:23:12Z,"CN=alexaremotelogin.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",alexaremotelogin.ford.com,Ford Motor Company,perf.alexaremotelogin.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,7ec5434a658e8e146a89feed09d0614b,65b2ee8db7ceabc2fab6c23bda71862ddaf5e4c5e46ee5b290b1359cd70c9f7a,ctls,alexaremotelogin.ford.com,443,https://alexaremotelogin.ford.com:443,https,,text/plain,GET,52.151.224.232,/,-615559871,52.151.224.232,2,False,azure,,True,,,,
annualreport.ford.com,Ford Motor Company - Investors - Reports & Filings,200,149103,shareholder.ford.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-06-21T00:00:00Z,2023-06-21T23:59:59Z,"CN=shareholder.ford.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",shareholder.ford.com,"Cloudflare, Inc.",shareholder.ford.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3678903428e97a77769a2f2285c78c28,3b87cac1105d772ff35785d427c8d32226929862f795a642cc06cc677c21d170,ctls,shareholder.ford.com,80,http://annualreport.ford.com:80,http,cloudflare,text/html,GET,19.12.97.118,/,-194463134,19.12.113.118,2199,False,,Microsoft ASP.NET,,,,*.gstatic.com,https://shareholder.ford.com/Investors/financials/default.aspx#annual-reports
api-epsw.prod.cf.app.ford.com,,404,210,api-epsw.prod.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T19:46:39Z,2024-04-24T19:46:38Z,"CN=api-epsw.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-epsw.prod.cf.app.ford.com,Ford Motor Company,api.epsw.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,9537119862ac10b9284ad6172f764320,0cc8d772809e211a345555b73d9df9d1696bbf09dc71d0f5bfac6e4cf7c4b9cf,ctls,api-epsw.prod.cf.app.ford.com,443,https://api-epsw.prod.cf.app.ford.com:443,https,,application/json,GET,19.12.128.15,/,1566815546,2620:0:402:2012:0:ffff:130c:800f,1,False,,HSTS,,,,,
api-qavehicleremarketing.cf.app.ford.com,,404,89,api-qavehicleremarketing.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T01:04:11Z,2024-04-24T01:04:10Z,"CN=api-qavehicleremarketing.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-qavehicleremarketing.pp.cf.app.ford.com,Ford Motor Company,api-qavehicleremarketing.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,699e0e3953a9b5c7bbe9f53cbcaed937,7e536223bd6f93bff004460c1ac4772f8cbf4b14e7c9111476687149c6c0b8cb,ctls,api-qavehicleremarketing.cf.app.ford.com,443,https://api-qavehicleremarketing.cf.app.ford.com:443,https,,application/json,GET,19.12.104.3,/,2113326960,2620:0:403:2013:0:ffff:130c:7803,1,False,,HSTS,,,,,
api-qavehicleremarketing.pp.cf.app.ford.com,,404,89,api-qavehicleremarketing.pp.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T01:04:11Z,2024-04-24T01:04:10Z,"CN=api-qavehicleremarketing.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-qavehicleremarketing.pp.cf.app.ford.com,Ford Motor Company,api-qavehicleremarketing.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,699e0e3953a9b5c7bbe9f53cbcaed937,7e536223bd6f93bff004460c1ac4772f8cbf4b14e7c9111476687149c6c0b8cb,ctls,api-qavehicleremarketing.pp.cf.app.ford.com,443,https://api-qavehicleremarketing.pp.cf.app.ford.com:443,https,,application/json,GET,19.12.104.3,/,1758263551,2620:0:402:2013:0:ffff:130c:6803,1,False,,HSTS,,,,,
api-stg01e-gcp.pp.cf.app.ford.com,,404,,api-stg01e-gcp.pp.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-24T01:06:31Z,2024-04-24T01:06:30Z,"CN=api-stg01e-gcp.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-stg01e-gcp.pp.cf.app.ford.com,Ford Motor Company,api.stg01e.gcp.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,ac78baa1061075f661ca60c161d13ed7,5b92fa8acd30cdf9f4690df4504cc4be87428425447e7989abb3aaa086cdc108,ctls,api-stg01e-gcp.pp.cf.app.ford.com,80,http://api-stg01e-gcp.pp.cf.app.ford.com:80,http,nginx/1.18.0 (Ubuntu),,GET,19.12.104.28,/,-1840324437,2620:0:402:2013:0:ffff:130c:681c,1,False,,Ubuntu,,,,,https://api-stg01e-gcp.pp.cf.app.ford.com/
api-transformationqa.cf.app.ford.com,,401,102,api-transformationqa.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T01:29:26Z,2024-04-24T01:29:25Z,"CN=api-transformationqa.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-transformationqa.pp.cf.app.ford.com,Ford Motor Company,api-transformationqa.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,713293a3df81753e209fde8dcbd9f060,8d45a31e4d16dcd261b438c7806866734083beca8b633143d1de53b76abf63d8,ctls,api-transformationqa.cf.app.ford.com,443,https://api-transformationqa.cf.app.ford.com:443,https,,application/json,GET,19.12.120.17,/,-469146358,2620:0:403:2013:0:ffff:130c:7811,1,False,,HSTS,,,,,
api-transformationqa.pp.cf.app.ford.com,,401,102,api-transformationqa.pp.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T01:29:26Z,2024-04-24T01:29:25Z,"CN=api-transformationqa.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-transformationqa.pp.cf.app.ford.com,Ford Motor Company,api-transformationqa.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,713293a3df81753e209fde8dcbd9f060,8d45a31e4d16dcd261b438c7806866734083beca8b633143d1de53b76abf63d8,ctls,api-transformationqa.pp.cf.app.ford.com,443,https://api-transformationqa.pp.cf.app.ford.com:443,https,,application/json,GET,19.12.120.17,/,-469146358,2620:0:402:2013:0:ffff:130c:6811,1,False,,HSTS,,,,,
api-uat-gtac-dealerconnection-com.pp.cf.app.ford.com,,404,150,api-uat-gtac-dealerconnection-com.pp.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T01:31:55Z,2024-04-24T01:31:54Z,"CN=api-uat-gtac-dealerconnection-com.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-uat-gtac-dealerconnection-com.pp.cf.app.ford.com,Ford Motor Company,api-uat-gtac-dealerconnection-com.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,f41f9c678ee49a6779b9299dbb4e67f6,e81f10c2c2fe184690b7837dba352d3f531155545d233f6a2d3c717aff6a2cc2,ctls,api-uat-gtac-dealerconnection-com.pp.cf.app.ford.com,80,http://api-uat-gtac-dealerconnection-com.pp.cf.app.ford.com:80,http,,application/json,GET,19.12.120.21,/,-1840324437,2620:0:403:2013:0:ffff:130c:7815,1,False,,HSTS,,,,,https://api-uat-gtac-dealerconnection-com.pp.cf.app.ford.com/
api-uat-swcm.cf.app.ford.com,,404,280,api-uat-swcm.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-27T22:52:01Z,2024-04-27T22:52:00Z,"CN=api-uat-swcm.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-uat-swcm.pp.cf.app.ford.com,Ford Motor Company,api-uat-swcm.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,72eae4c80bfcace10d333ef9d68bf23b,c7d8f2f0747df6d1d164ee81a12c3c8671dc6657982a5f18d3890601591bf29a,ctls,api-uat-swcm.cf.app.ford.com,443,https://api-uat-swcm.cf.app.ford.com:443,https,,application/problem+json,GET,19.12.105.11,/,861598705,2620:0:403:2013:0:ffff:130c:790b,1,False,,HSTS,,,,,
api-uat-tfoams.cf.app.ford.com,,404,280,api-uat-tfoams.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-03-24T01:14:35Z,2024-04-24T01:14:34Z,"CN=api-uat-tfoams.pp.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-uat-tfoams.pp.cf.app.ford.com,Ford Motor Company,api-uat-tfoams.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,9f58ee24a0bb8dc370c473a3c0e7e028,513c126bd29bee9242021f2d4b147c26f41a4c58d4f0ca2b39557f88ee07d4ea,ctls,api-uat-tfoams.cf.app.ford.com,443,https://api-uat-tfoams.cf.app.ford.com:443,https,,application/problem+json,GET,19.12.104.23,/,-1840324437,2620:0:403:2013:0:ffff:130c:7817,1,False,,HSTS,,,,,
api-vehicleremarketing.prod.cf.app.ford.com,,404,89,api-vehicleremarketing.prod.cf.app.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-03T16:53:24Z,2024-06-03T16:53:23Z,"CN=api-vehicleremarketing.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-vehicleremarketing.prod.cf.app.ford.com,Ford Motor Company,api-vehicleremarketing.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,9b90a7927f7fcdbcd2a442feddaf772a,ae29c63b85bfeaf52fa319b08eeccc6731b399124a79c9c2d0727111c67c5064,ctls,api-vehicleremarketing.prod.cf.app.ford.com,80,http://api-vehicleremarketing.prod.cf.app.ford.com:80,http,,application/json,GET,19.12.136.78,/,1602157885,2620:0:403:2012:0:ffff:130c:884e,1,False,,HSTS,,,,,https://api-vehicleremarketing.prod.cf.app.ford.com/
api.anypointsa.ford.com,403 Forbidden,403,520,api.anypointsa.ford.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-01T18:20:45Z,2024-04-01T18:20:44Z,"CN=api.anypointsa.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api.anypointsa.ford.com,Ford Motor Company,api.anypointsa.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,5e1139908d9e867690a6fb499c85bca3,d188643ac3f73339bbaa972a11c834b8a963f97902c679874a2c7eacfb6c665b,ctls,api.anypointsa.ford.com,443,https://api.anypointsa.ford.com:443,https,,text/html,GET,3.138.113.106,/,-115358342,52.15.61.228,13,False,,HSTS,,,,,
api.tfoams.ford.com,,404,280,api.tfoams.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-09T17:39:08Z,2024-06-09T17:39:07Z,"CN=api-tfoams.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-tfoams.prod.cf.app.ford.com,Ford Motor Company,api-tfoams.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,120bb55bd3565b9ac7b1c316fc2967b9,92be5615916c2e6b6c60ea0ee2c604520de3fe76aacd0fc09644650244992f97,ctls,api.tfoams.ford.com,80,http://api.tfoams.ford.com:80,http,,application/problem+json,GET,19.12.136.168,/,-1840324437,2620:0:403:2012:0:ffff:130c:88a8,1,False,,HSTS,,,,,https://api.tfoams.ford.com/
api.vehicleremarketing.ford.com,,404,89,api.vehicleremarketing.ford.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-03T16:49:14Z,2024-06-03T16:49:13Z,"CN=api-vehicleremarketing.prod.cf.app.ford.com, O=Ford Motor Company, L=Dearborn, ST=Michigan, C=US",api-vehicleremarketing.prod.cf.app.ford.com,Ford Motor Company,api-vehicleremarketing.cf.app.ford.com,"CN=GlobalSign RSA OV SSL CA 2018, O=GlobalSign nv-sa, C=BE",GlobalSign RSA OV SSL CA 2018,GlobalSign nv-sa,6579e134f4c81e1b4bd326b386f6bb27,5fef99653e436d3c737a0f98fe5845e26d47433c98f316f4aa10978862413521,ctls,api.vehicleremarketing.ford.com,80,http://api.vehicleremarketing.ford.com:80,http,,application/json,GET,19.12.128.78,/,-904537957,2620:0:403:2012:0:ffff:130c:884e,1,False,,HSTS,,,,,https://api.vehicleremarketing.ford.com/
