input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_subject_org_,csp_domains_,tls_mismatched,final_url
d.adroll.mgr.consensu.org,,404,10,d.adroll.mgr.consensu.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-08T00:00:00Z,2023-12-07T23:59:59Z,CN=d.adroll.com,d.adroll.com,*.adroll.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,2de12a85c556fc7dec9a4e190f666aa6,798d6211909a841def0900477edde4a424c9ee0ad7dad4873f7cd7d1b27066ec,True,ctls,d.adroll.mgr.consensu.org,443,https://d.adroll.mgr.consensu.org:443,https,nginx/1.22.1,text/plain,GET,34.252.163.190,/,-1840324437,2a05:d018:cc3:fe04:6c4f:e54d:3d48:b256,Nginx:1.22.1,1,False,,,,,True,
extension.core.app,Core: The Best Way to Connect to Web3,200,2876,extension.core.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-22T18:12:51Z,2023-07-21T18:12:50Z,CN=extension.core.app,extension.core.app,extension.core.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,232a59a1f48395235cf46685fe6f611a,34c7d1d57a88e160af48b7a415e792812d064bd60a2202073baaa36550398814,,ctls,extension.core.app,443,https://extension.core.app:443,https,cloudflare,text/html,GET,188.114.97.3,/,463760993,2a06:98c1:3120::3,HTTP/3,75,False,cloudflare,True,,,,
fwitecore.app.fwandbox.directly.com,Sign up | Directly,200,10530,fwitecore.app.fwandbox.directly.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-08-02T23:59:59Z,CN=*.directly.com,*.directly.com,directly.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0aebf4de38b4749e2ac7e2e8df561338,9820943a05e57ab6bfe64896bd7422a5ab68e5ce5f9d908f51e4daa72b19a6b0,True,ctls,fwitecore.app.fwandbox.directly.com,443,https://fwitecore.app.fwandbox.directly.com:443,https,Apache,text/html,GET,52.200.227.66,/,1899044793,44.213.34.225,Pure CSS,283,False,,,,heapanalytics.com,True,https://fwitecore.app.fwandbox.directly.com/login/auth
heapanalytics.com,Heap - Better Insights. Faster. | Heap,200,509824,www.heap.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-07T21:00:29Z,2023-08-05T21:00:28Z,CN=heap.io,heap.io,www.heap.io,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,571c824b8b60920b5832abc8d42a765e,5bf9c0991f27b0a91399a1c162c8aa4e8b5bb45919c0bc9f418fc8dfbc789b3d,,ctls,www.heap.io,443,https://heapanalytics.com:443,https,Netlify,text/html,GET,54.160.109.233,/,322181805,3.222.145.24,Netlify,30,False,,,,,,https://www.heap.io/
jira-core.app-content.muslimpro.com,Muslim Pro,200,325407,app-content.muslimpro.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-24T11:40:19Z,2023-06-22T11:40:18Z,CN=tls.automattic.com,tls.automattic.com,www.queenblog.music.blog,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,75d88842f03f51fd8158041ee92663d3,06e3512e8ff4fc070c007690835b929dbd3abde3c667340189134bc0a4733fa8,,ctls,app-content.muslimpro.com,443,https://jira-core.app-content.muslimpro.com:443,https,nginx,text/html,GET,192.0.78.233,/,1274734426,192.0.78.128,WordPress.com,2297,False,,,,,,https://app-content.muslimpro.com/
mobile.core.app,Download Core Mobile,200,31049,mobile.core.app,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-18T17:19:45Z,2023-08-16T17:19:44Z,CN=mobile.core.app,mobile.core.app,mobile.core.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1b3e9d5ef0d4244c8667c39e8a7dc53b,c0a6ee6355fc54521b4cfca41a675a7e10cbc51ba8a3fa5a43fa6c04c46a8ab6,,ctls,mobile.core.app,443,https://mobile.core.app:443,https,,text/html,GET,34.251.201.224,/,15169780,34.253.101.190,Webflow,65,False,,,,,,
monolith-qa-core-apps.linktr.ee,403 Forbidden,403,520,monolith-qa-core-apps.linktr.ee,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-04-01T23:59:59Z,CN=monolith-qa-core-apps.linktr.ee,monolith-qa-core-apps.linktr.ee,cms.qa.linktr.ee,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d875541800c87265a424f6d03717db42,461ff3f45167542772444d0ed789193128f013ac20b9319c9baf5607dbdb0540,,ctls,monolith-qa-core-apps.linktr.ee,443,https://monolith-qa-core-apps.linktr.ee:443,https,awselb/2.0,text/html,GET,34.215.77.78,/,2095155567,44.230.124.9,,13,False,,,,,,
rsa-concierge-cmacore.apple.com,403 Forbidden,403,146,rsa-concierge-cmacore.apple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-02-14T14:20:51Z,2023-08-13T14:30:51Z,"C=US, ST=California, O=Apple Inc., CN=cma-services-prz.apple.com",cma-services-prz.apple.com,rsa-concierge-cmacore.apple.com,"C=US, ST=California, O=Apple Inc., CN=Apple Public Server RSA CA 12 - G1",Apple Public Server RSA CA 12 - G1,Apple Inc.,cf9d87715b880996165b7ab24b2ce3e6,70c1c87f7dadb50da4c7b2363e8a6ffceda123d1ec917806e3a106a388784953,,ctls,rsa-concierge-cmacore.apple.com,443,https://rsa-concierge-cmacore.apple.com:443,https,Apple,text/html,GET,17.137.160.151,/,-315953756,17.137.160.151,HSTS,8,False,,,Apple Inc.,,,
rules.quantcount.com,,200,2,rules.quantcount.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-14T21:57:51Z,2023-07-13T21:57:50Z,CN=quantserve.com,quantserve.com,quantserve.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f6894e0c5e64e31c31cf4c418e11880e,d89039d253edb7b417a4d667a2e47ffdfebfca1654bdebd3b4023957edc7bf81,True,ctls,rules.quantcount.com,443,https://rules.quantcount.com:443,https,AmazonS3,application/javascript,GET,18.244.140.4,/,-1206076886,2600:9000:2127:3600:6:44e3:f8c0:93a1,Amazon Web Services,1,False,cloudfront,True,,,True,
sitecore.app.acorns.com,,404,290,sitecore.app.acorns.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-07T23:59:59Z,CN=*.app.acorns.com,*.app.acorns.com,app.acorns.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1637d2fd3f1eb8343542959e0793eeb,a3564573c76911de12dc35e9df83c0c55a2498a38a75816713e66bf7be4ca5b6,True,ctls,sitecore.app.acorns.com,443,https://sitecore.app.acorns.com:443,https,AmazonS3,application/xml,GET,18.244.155.10,/,-529929658,18.244.155.15,HSTS,2,False,cloudfront,True,,,,
test.core.app,Core | The Best Way to Connect to Web3,200,146133,test.core.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T02:53:45Z,2023-07-14T02:53:44Z,CN=test.core.app,test.core.app,test.core.app,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4b55133d39318b25ccc0182047ab4bc0,7c8c823dd8c6c6b1b39d58cf8458facb152944d4783557454f432308bbcfe34d,,ctls,test.core.app,443,https://test.core.app:443,https,cloudflare,text/html,GET,188.114.97.3,/,463760993,2a06:98c1:3121::3,HTTP/3,113,False,cloudflare,True,,,,
www.googleadservices.com,Error 404 (Not Found)!!1,404,1561,www.googleadservices.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:50Z,2023-07-17T12:00:49Z,CN=www.googleadservices.com,www.googleadservices.com,www.googleadservices.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,8f1dbd8a3af112f94f4265d9061b6cf8,627ad86ad5f417259b4442761f58f6de69a622f4f34d2f64412100ca00274524,,ctls,www.googleadservices.com,443,https://www.googleadservices.com:443,https,sffe,text/html,GET,172.217.16.130,/,302920777,172.217.16.130,HTTP/3,12,False,,,,,,
www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,60de21960acc1135956a2968026b647c,3b0044e06b0f98f11a360ad2bd0f640c989df03ba6deeb8b1d3d963d4097fdfb,True,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443,https,Google Tag Manager,text/html,GET,142.250.185.168,/,302920777,2a00:1450:4001:82f::2008,HTTP/3,12,False,,,,,True,
