new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,has_internal_ips,internal_ips
,api.sdsi.intel.com,"54.225.247.140, 34.197.59.229, 52.200.137.154",api.sdsi.skuprd.adsdcsp.com,"ns-254.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,api.telemetrydata.intel.com,52.10.237.187,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,api.trustedservices.intel.com,40.87.90.88,"sgxintel.azure-api.net, apimgmttmwi78pmzmm0stfecre4mynxozrbv6dy06xfrig32wb.trafficmanager.net, sgxintel-eastus-01.regional.azure-api.net, apimgmthsvmzinmu3tvpglxj0erhgyee9rmyuhzecwzzlnyae0.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,True,azure,,,,,,
,api.unitecloud.intel.com,"54.164.61.8, 54.159.84.240",unite-prod-us-east-1.uniteprd.adsdcsp.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,apihelp.intel.com,184.72.218.206,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-hf.intel.com,198.175.98.139,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-ir.eglb.intel.com,134.191.246.33,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-ir.intel.com,,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-kerb-hf.intel.com,198.175.96.156,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-kerb.intel.com,192.198.164.65,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-kerberos.eglb.intel.com,192.198.164.65,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-pg.eglb.intel.com,192.198.144.51,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-pg.intel.com,192.198.144.51,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-test-fm.intel.com,192.198.167.15,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext-test.eglb.intel.com,192.198.167.15,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-ext.eglb.intel.com,192.198.160.160,,"egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,apis-prod.intel.com,35.227.173.176,"intel-prod.apigee.net, intel-portal.dn.apigee.net, agwe1rt001-1-routers.dn.apigee.net","ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,apis-sandbox.intel.com,35.227.173.176,"intel-sandbox.apigee.net, intel-portal.dn.apigee.net, agwe1rt001-1-routers.dn.apigee.net","ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,apis.intel.com,35.227.173.176,"intel-prod.apigee.net, intel-portal.dn.apigee.net, agwe1rt001-1-routers.dn.apigee.net","ns-1671.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,
,app-framework-software.intel.com,198.175.96.183,"rebounder.intel.com, rebounder.eglb.intel.com","egeglb01.eglb.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
,app.plan.intel.com,147.154.23.33,"s334284386.t.en25.com, p03h.t.en25.com","ns1.p201.dns.oraclecloud.net, hostmaster.t.en25.com",NOERROR,True,oracle,,,,,,
,applab.mwb-threatintel.com,"104.21.87.245, 172.67.171.134",,"eric.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700:3033::6815:57f5, 2606:4700:3032::ac43:ab86",,,,,
,appsec-dev01.intel.com,192.198.167.75,,"ns1.intel.com, hostmaster.intel.com",NOERROR,,,,,,,,
