input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,tech_,cdn,tls_wildcard_certificate,final_url,csp_domains_
email.gh-mail.upgrade.com,,404,19,email.gh-mail.upgrade.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-30T18:11:53Z,2023-09-28T18:11:52Z,CN=email.gh-mail.upgrade.com,email.gh-mail.upgrade.com,,email.gh-mail.upgrade.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a1f6b94452087f2f42beaf698a3167a1,716c7d82155e7c005a14dbb8de835dd9d5e5baf7c586d36ebf797e3c8f199511,ctls,email.gh-mail.upgrade.com,443,https://email.gh-mail.upgrade.com:443,https,,text/plain,GET,2.16.187.155,/,-138391155,2a02:26f0:ab00::214:8e53,2,False,,,,,,
go.upgrade.com,"Upgrade - Personal Loans, Cards and Rewards Checking | Home",200,204258,www.upgrade.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-02-13T23:59:59Z,"CN=www.upgrade.com, O=Upgrade\, Inc., L=San Francisco, ST=California, C=US, serialNumber=6049832, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.upgrade.com,"Upgrade, Inc.",static.upgrade.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7f647d540b9adc6340f7cedfe161e098,97a0889a8101386f84e64abed01ca0877f3224992c7a69b16252796f67243fb3,ctls,www.upgrade.com,443,https://go.upgrade.com:443,https,istio-envoy,text/html,GET,34.237.219.119,/,-1840324437,18.208.125.13,571,False,,webpack,,,https://www.upgrade.com:443/,https://*.youtube.com
hi.marketing.upgrade.com,Unsecured Home Improvement Loans |  Upgrade,200,178896,www.upgrade.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-02-13T23:59:59Z,"CN=www.upgrade.com, O=Upgrade\, Inc., L=San Francisco, ST=California, C=US, serialNumber=6049832, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.upgrade.com,"Upgrade, Inc.",static.upgrade.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7f647d540b9adc6340f7cedfe161e098,97a0889a8101386f84e64abed01ca0877f3224992c7a69b16252796f67243fb3,ctls,www.upgrade.com,443,https://hi.marketing.upgrade.com:443,https,istio-envoy,text/html,GET,3.215.172.219,/,-1840324437,18.208.125.13,667,False,,webpack,,,https://www.upgrade.com:443/personal-loans/home-improvement/,https://*.go-mpulse.net
https://ugn.access.use1.upgrade.com:*,,200,778,access.use1.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.use1.upgrade.com,access.use1.upgrade.com,,*.services.access.use1.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c3bae02ceec07256adb9c86f3925371a,15305ec5ad65d230659ecb820637f14207c604368e269970aba00bd4a565db1f,ctls,access.use1.upgrade.com,443,https://ugn.access.use1.upgrade.com:443,https,,text/html,GET,,/,-883631117,,1,False,,HSTS,,True,https://access.use1.upgrade.com:443/web/launch/ugn.access.use1.upgrade.com?path=%2F,https://ugn.access.use1.upgrade.com:*
independent4-xsrvjp.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://independent4-xsrvjp.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,-1361402096,52.89.199.50,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/independent4-xsrvjp.access.upgrade.com?path=%2F,https://independent4-xsrvjp.access.upgrade.com:*
is.upgrade.com,,404,9,is.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-21T00:00:00Z,2024-07-19T23:59:59Z,CN=is.upgrade.com,is.upgrade.com,,is.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,954deac6224ca8c940fd63fcbf8c75f3,1b4bc92e3aefd537055fd939a5cd645876090da9b7c7fa13887798bb9c361cde,ctls,is.upgrade.com,443,https://is.upgrade.com:443,https,nginx,text/plain,GET,13.32.121.21,/,-738705486,2600:9000:2240:ca00:18:d7e8:a980:93a1,1,False,cloudfront,Nginx,True,,,
labbeta.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://labbeta.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,2130430952,44.242.59.212,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/labbeta.access.upgrade.com?path=%2F,https://labbeta.access.upgrade.com:*
link.upgrade.com,404 Not Found,404,150,link.upgrade.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-27T14:58:46Z,2023-09-25T14:58:45Z,CN=link.upgrade.com,link.upgrade.com,,link.upgrade.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,01f2fbce533bed625c7b6b6708241a59,cb2184415ad921e736114491a530b5ec35dc07870c3dea7dc3f085c50a66f6d0,ctls,link.upgrade.com,443,https://link.upgrade.com:443,https,msys-http,text/plain,GET,23.213.161.224,/,-1840324437,2a02:26f0:480:23::1726:629c,8,False,,,,,,
links.upgrade.com,404 Not Found,404,1438,links.upgrade.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-07T07:00:33Z,2024-03-10T07:00:33Z,CN=links.upgrade.com,links.upgrade.com,,www.links.upgrade.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3e20f10dbcf83210fadc66836e93d1a3,23d39cbd19faa0d53640e6b505145ef458aa60040ade5ae349a36291ff657e73,ctls,links.upgrade.com,443,https://links.upgrade.com:443,https,keycdn-engine,text/html,GET,185.172.148.128,/,-1232733415,2a0b:4d07:101::1,62,False,,KeyCDN,,,,
ondemand.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://ondemand.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,1478712798,44.242.59.212,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/ondemand.access.upgrade.com?path=%2F,https://ondemand.access.upgrade.com:*
ondemand.access.use1.upgrade.com,,200,778,access.use1.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.use1.upgrade.com,access.use1.upgrade.com,,*.services.access.use1.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c3bae02ceec07256adb9c86f3925371a,15305ec5ad65d230659ecb820637f14207c604368e269970aba00bd4a565db1f,ctls,access.use1.upgrade.com,443,https://ondemand.access.use1.upgrade.com:443,https,,text/html,GET,50.19.155.36,/,-1453677520,100.25.83.128,1,False,,HSTS,,True,https://access.use1.upgrade.com:443/web/launch/ondemand.access.use1.upgrade.com?path=%2F,https://ondemand.access.use1.upgrade.com:*
partner.upgrade.com,Access Denied,403,267,partner.upgrade.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-13T00:00:00Z,2024-02-13T23:59:59Z,"CN=www.upgrade.com, O=Upgrade\, Inc., L=San Francisco, ST=California, C=US, serialNumber=6049832, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.upgrade.com,"Upgrade, Inc.",static.upgrade.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,7f647d540b9adc6340f7cedfe161e098,97a0889a8101386f84e64abed01ca0877f3224992c7a69b16252796f67243fb3,ctls,partner.upgrade.com,443,https://partner.upgrade.com:443,https,AkamaiGHost,text/html,GET,2.16.187.144,/,1104009116,2a02:26f0:ab00::214:8e61,10,False,,,,,,
preprod.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://preprod.access.upgrade.com:443,https,,text/html,GET,54.71.40.177,/,-440994975,44.242.59.212,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/preprod.access.upgrade.com?path=%2F,https://preprod.access.upgrade.com:*
preprod.access.use1.upgrade.com,,200,778,access.use1.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.use1.upgrade.com,access.use1.upgrade.com,,*.services.access.use1.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c3bae02ceec07256adb9c86f3925371a,15305ec5ad65d230659ecb820637f14207c604368e269970aba00bd4a565db1f,ctls,access.use1.upgrade.com,443,https://preprod.access.use1.upgrade.com:443,https,,text/html,GET,50.19.155.36,/,-1764491655,100.25.83.128,1,False,,HSTS,,True,https://access.use1.upgrade.com:443/web/launch/preprod.access.use1.upgrade.com?path=%2F,https://preprod.access.use1.upgrade.com:*
private-ziadtwdzwlhh2rct.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://private-ziadtwdzwlhh2rct.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,1701863803,44.242.59.212,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/private-ziadtwdzwlhh2rct.access.upgrade.com?path=%2F,https://private-ziadtwdzwlhh2rct.access.upgrade.com:*
prod.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://prod.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,411881163,52.89.199.50,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/prod.access.upgrade.com?path=%2F,https://prod.access.upgrade.com:*
rdpr-co.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://rdpr-co.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,-1313588309,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/rdpr-co.access.upgrade.com?path=%2F,https://rdpr-co.access.upgrade.com:*
services.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://services.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,1621718637,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/services.access.upgrade.com?path=%2F,https://services.access.upgrade.com:*
services.access.use1.upgrade.com,,200,778,access.use1.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.use1.upgrade.com,access.use1.upgrade.com,,*.services.access.use1.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c3bae02ceec07256adb9c86f3925371a,15305ec5ad65d230659ecb820637f14207c604368e269970aba00bd4a565db1f,ctls,access.use1.upgrade.com,443,https://services.access.use1.upgrade.com:443,https,,text/html,GET,100.25.83.128,/,1682025087,50.19.155.36,1,False,,HSTS,,True,https://access.use1.upgrade.com:443/web/launch/services.access.use1.upgrade.com?path=%2F,https://services.access.use1.upgrade.com:*
stage.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://stage.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,52388328,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/stage.access.upgrade.com?path=%2F,https://stage.access.upgrade.com:*
test-elearning-dev.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://test-elearning-dev.access.upgrade.com:443,https,,text/html,GET,52.89.199.50,/,-262371703,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/test-elearning-dev.access.upgrade.com?path=%2F,https://test-elearning-dev.access.upgrade.com:*
tor131-99-pda.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://tor131-99-pda.access.upgrade.com:443,https,,text/html,GET,44.242.59.212,/,-479493901,54.71.40.177,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/tor131-99-pda.access.upgrade.com?path=%2F,https://tor131-99-pda.access.upgrade.com:*
tube.upgrade.com,Cookie support required,200,164,tube.upgrade.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-10T22:37:07Z,2023-07-24T19:15:28Z,CN=tube.upgrade.com,tube.upgrade.com,,www.tube.upgrade.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b1ac78a12ac6f92af97c905622d56579,d6ad955a87fd74bf8156675b346b771db42a46f74fba82693555716873465b2e,ctls,tube.upgrade.com,443,https://tube.upgrade.com:443,https,OpenVPN-AS,text/html,GET,44.225.228.227,/,396533629,44.225.228.227,1,False,,,,,https://tube.upgrade.com/__session_start__,
ugn.access.upgrade.com,,200,778,access.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.upgrade.com,access.upgrade.com,,*.stage.access.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,5a1c6fbe3dbb437ea458fe49fc7733b6,d7835384f939d0ce412688f345d75e3e969ca94c0998a9538b61e7d47d62a719,ctls,access.upgrade.com,443,https://ugn.access.upgrade.com:443,https,,text/html,GET,54.71.40.177,/,-1274883867,44.242.59.212,1,False,,HSTS,,True,https://access.upgrade.com:443/web/launch/ugn.access.upgrade.com?path=%2F,https://ugn.access.upgrade.com:*
ugn.access.use1.upgrade.com,,200,778,access.use1.upgrade.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T00:00:00Z,2024-08-01T23:59:59Z,CN=access.use1.upgrade.com,access.use1.upgrade.com,,*.services.access.use1.upgrade.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c3bae02ceec07256adb9c86f3925371a,15305ec5ad65d230659ecb820637f14207c604368e269970aba00bd4a565db1f,ctls,access.use1.upgrade.com,443,https://ugn.access.use1.upgrade.com:443,https,,text/html,GET,50.19.155.36,/,224135610,100.25.83.128,1,False,,HSTS,,True,https://access.use1.upgrade.com:443/web/launch/ugn.access.use1.upgrade.com?path=%2F,https://ugn.access.use1.upgrade.com:*
