new,host,ttl,a,aaaa,soa,status_code,cname,mx,txt,ns,caa
,contract.hotbit.io,300,"104.21.48.68, 172.67.180.82","2a06:98c1:3121::3, 2a06:98c1:3120::3","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,contractadmin.hotbit.io,300,"172.67.180.82, 104.21.48.68","2a06:98c1:3120::3, 2a06:98c1:3121::3","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,cr.hotbit.io,216,"188.114.97.3, 188.114.96.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,dist.hotbit.io,120,"188.114.97.3, 188.114.96.3","2606:4700:3031::6815:3044, 2606:4700:3036::ac43:b452","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,down.hotbit.io,300,,"2a06:98c1:3120::3, 2a06:98c1:3121::3","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,error.hotbit.io,300,"188.114.97.0, 188.114.96.0","2a06:98c1:3120::3, 2a06:98c1:3121::3","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,ethmainnode.hotbit.io,300,"188.114.97.3, 188.114.96.3","2a06:98c1:3120::3, 2a06:98c1:3121::3","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,fund.hotbit.io,300,"188.114.97.3, 188.114.96.3","2606:4700:3036::ac43:b452, 2606:4700:3031::6815:3044","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,grafana.hotbit.io,300,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,grin.hotbit.io,300,"188.114.96.3, 188.114.97.3","2a06:98c1:3121::3, 2a06:98c1:3120::3","{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,
,help.hotbit.io,300,"216.198.53.1, 216.198.54.1",,"{'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,hotbit.zendesk.com,mail-pod-23.int.zendesk.com,"pod=23, v=spf1 include:mail.zendesk.com ~all",,
,httpapi.hotbit.io,1765,,,"{'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'hotbit.io', 'ns': 'jule.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2355410604, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,godaddy.com
