input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,csp_domains_,tls_mismatched,final_url,tls_subject_org_
incident-playbook.zapier.com,Sign In,403,2519,incident-playbook.zapier.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-05-27T23:59:59Z,CN=zapier.com,zapier.com,*.k8s.zapier.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,916b9414729817115cf6d58d13df59d1,da0746db9939c6a1f2b3b60d7c083bb26bfa09d06478e753f9efbe542aa6e041,True,ctls,incident-playbook.zapier.com,443,https://incident-playbook.zapier.com:443,https,,text/html,GET,52.87.144.228,/,1219667363,44.209.38.104,HSTS,119,False,,,,,,
insights.data.zapier.com,Sign In,403,2519,insights.data.zapier.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-01T12:56:52Z,2023-06-30T12:56:51Z,CN=insights.data.zapier.com,insights.data.zapier.com,insights.data.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,77551cd4127600b19a8cd8ecb44c67a9,1cd6e690dcca3ff0364521361251d0a9ba4858b88deba0c148d621269bda82b9,,ctls,insights.data.zapier.com,443,https://insights.data.zapier.com:443,https,,text/html,GET,23.20.210.241,/,1219667363,3.93.90.98,HSTS,119,False,,,,,,
interfaces.zapier.com,,200,21228,interfaces.zapier.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-03-24T17:59:16Z,2023-06-22T17:59:15Z,CN=interfaces.zapier.com,interfaces.zapier.com,interfaces.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ffd6610af16cbe5fa8601ade3a0149dc,73995f1a305831f7e175a51593c72692cafbc99e4c7d1b9eb296df7125659ddc,,ctls,interfaces.zapier.com,443,https://interfaces.zapier.com:443,https,Vercel,text/html,GET,76.76.21.22,/,365829082,76.76.21.123,Vercel,78,False,,,wss://nexus-australia-websocket.intercom.io,,https://interfaces.zapier.com/interfaces,
issues.zapier.com,404 Not Found,404,548,issues.zapier.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-29T14:36:23Z,2023-07-28T14:36:22Z,CN=issues.zapier.com,issues.zapier.com,issues.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,0d80587fa5e0b02370012b360caff537,734f175d8738e485e7067c5c69e278868b4fe0e0b1b8e07fcc644257c73c86e2,,ctls,issues.zapier.com,443,https://issues.zapier.com:443,https,,text/html,GET,3.225.68.208,/,-48476174,54.198.157.53,,14,False,,,,,https://issues.zapier.com/admin/,
learn.zapier.com,Zapier Learn,200,271153,learn.zapier.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-11-05T23:59:59Z,CN=learn.zapier.com,learn.zapier.com,learn.zapier.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,c2a91df5be0dec72d22ced73bb70b994,e71911d9d3025b2477910174b368da88ba519ee05bca7f033b4ea82fd3552706,,ctls,learn.zapier.com,443,https://learn.zapier.com:443,https,gunicorn,text/html,GET,108.138.7.19,/,-2042218730,108.138.7.47,gunicorn,5294,False,cloudfront,True,,,,
links.zapier.com,Zapier | Automation that moves you forward,200,1130961,zapier.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-29T00:00:00Z,2024-05-27T23:59:59Z,CN=zapier.com,zapier.com,*.k8s.zapier.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,916b9414729817115cf6d58d13df59d1,da0746db9939c6a1f2b3b60d7c083bb26bfa09d06478e753f9efbe542aa6e041,True,ctls,zapier.com,443,https://links.zapier.com:443,https,Vercel,text/html,GET,18.66.112.30,/,-1897491480,18.66.112.54,Vercel,400,False,cloudfront,True,,,https://zapier.com,
log.vercel.zapier.com,,404,67,log.vercel.zapier.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-22T18:08:06Z,2023-08-20T18:08:05Z,CN=*.vercel.zapier.com,*.vercel.zapier.com,*.vercel.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8c215ddec24ce23e1b79e76da6084c85,f088e2945ed27ba4cc8993fa01d479e86cb3d1ae846514aa45292b880c81295f,True,ctls,log.vercel.zapier.com,80,http://log.vercel.zapier.com:80,http,Vercel,text/plain,GET,76.76.21.22,/,1307429962,76.76.21.241,Vercel,4,False,,,,,https://log.vercel.zapier.com/,
lw-dc2-dist6-po2.vercel.zapier.com,,404,67,lw-dc2-dist6-po2.vercel.zapier.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-22T18:08:06Z,2023-08-20T18:08:05Z,CN=*.vercel.zapier.com,*.vercel.zapier.com,*.vercel.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8c215ddec24ce23e1b79e76da6084c85,f088e2945ed27ba4cc8993fa01d479e86cb3d1ae846514aa45292b880c81295f,True,ctls,lw-dc2-dist6-po2.vercel.zapier.com,443,https://lw-dc2-dist6-po2.vercel.zapier.com:443,https,Vercel,text/plain,GET,76.76.21.98,/,1307429962,76.76.21.123,Vercel,4,False,,,,,,
makerpad.zapier.com,"Build your ideas, no coding required | Makerpad",200,130210,makerpad.zapier.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-04T16:56:18Z,2023-07-03T16:56:17Z,CN=makerpad.zapier.com,makerpad.zapier.com,makerpad.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3d3326420990ec1e6708a074a121e628,0785a6e1a0913a12d48024ea005eb6e3193c600f5885856e66c7ba2b78e53515,,ctls,makerpad.zapier.com,443,https://makerpad.zapier.com:443,https,,text/html,GET,54.194.170.100,/,1602764457,34.253.101.190,YouTube,63,False,,,,,,
media.zapier.com,Zapier Brand Portal,200,73087,media.zapier.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-02-28T23:59:59Z,CN=zapier.bynder.com,zapier.bynder.com,media.zapier.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0ff26c6fd3cc2d477de785b2a794b884,44106c2431f378dc4089b0d4ec53a5d7e82d4ad8c5ecd46c368c0e05615c84b9,,ctls,media.zapier.com,443,https://media.zapier.com:443,https,nginx,text/html,GET,99.86.4.72,/,-1840324437,2600:9000:2057:1200:1e:81ad:bc0:93a1,Nginx,770,False,cloudfront,True,https://staging2-apiv2.webdamdb.com/oauth2/token,,https://media.zapier.com/login/,
memberhome-storybook.vercel.zapier.com,Webpack App,200,2312,memberhome-storybook.vercel.zapier.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-22T18:08:06Z,2023-08-20T18:08:05Z,CN=*.vercel.zapier.com,*.vercel.zapier.com,*.vercel.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8c215ddec24ce23e1b79e76da6084c85,f088e2945ed27ba4cc8993fa01d479e86cb3d1ae846514aa45292b880c81295f,True,ctls,memberhome-storybook.vercel.zapier.com,443,https://memberhome-storybook.vercel.zapier.com:443,https,Vercel,text/html,GET,76.76.21.61,/,1574384512,76.76.21.22,Vercel,59,False,,,,,,
miscomplain.vercel.zapier.com,,404,67,miscomplain.vercel.zapier.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-22T18:08:06Z,2023-08-20T18:08:05Z,CN=*.vercel.zapier.com,*.vercel.zapier.com,*.vercel.zapier.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8c215ddec24ce23e1b79e76da6084c85,f088e2945ed27ba4cc8993fa01d479e86cb3d1ae846514aa45292b880c81295f,True,ctls,miscomplain.vercel.zapier.com,443,https://miscomplain.vercel.zapier.com:443,https,Vercel,text/plain,GET,76.76.21.142,/,1307429962,76.76.21.241,Vercel,4,False,,,,,,
