input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_expired,csp_domains_
dev.r.krisp.ai,Krisp,200,1573,dev.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-21T18:35:41Z,2023-09-19T18:35:40Z,CN=dev.account.krisp.ai,dev.account.krisp.ai,,dev.account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,44bd60c1e38370c7197d4df1955d86e0,b11a576a73afa70db022ce443913f773f5bbe3a5b12c4bc6754571204fe3cacc,,ctls,dev.account.krisp.ai,,443,https://dev.r.krisp.ai:443,https,cloudflare,text/html,GET,3.234.105.241,/,1669899765,52.71.145.226,Cloudflare,1,False,,https://dev.account.krisp.ai:443/share/record/,,
dev.ref.krisp.ai,Krisp,200,1573,dev.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-21T18:35:41Z,2023-09-19T18:35:40Z,CN=dev.account.krisp.ai,dev.account.krisp.ai,,dev.account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,44bd60c1e38370c7197d4df1955d86e0,b11a576a73afa70db022ce443913f773f5bbe3a5b12c4bc6754571204fe3cacc,,ctls,dev.account.krisp.ai,,443,https://dev.ref.krisp.ai:443,https,cloudflare,text/html,GET,52.71.145.226,/,1953174895,3.234.105.241,Cloudflare,1,False,,https://dev.account.krisp.ai:443/,,
dev.teams.krisp.ai,,503,,dev.teams.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dadf6233733a113a563d28bd1d0f0c27,abda35ecfa56b3a369613a43910910e4962848a45c51a56e37b2e37f1fd0a348,True,ctls,dev.teams.krisp.ai,cloudflare,443,https://dev.teams.krisp.ai:443,https,cloudflare,text/plain,GET,104.18.26.251,/,-1840324437,104.18.27.251,Cloudflare,1,False,True,,,
dev.upld.krisp.ai,,200,21,dev.upld.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dadf6233733a113a563d28bd1d0f0c27,abda35ecfa56b3a369613a43910910e4962848a45c51a56e37b2e37f1fd0a348,True,ctls,dev.upld.krisp.ai,cloudflare,443,https://dev.upld.krisp.ai:443,https,cloudflare,application/json,GET,104.18.26.251,/,1593207841,104.18.27.251,Node.js,1,False,True,,,
email.service.krisp.ai,,404,23,email.service.krisp.ai,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,True,2023-07-25T00:00:00Z,2024-08-21T23:59:59Z,CN=*.execute-api.us-east-1.amazonaws.com,*.execute-api.us-east-1.amazonaws.com,,*.execute-api.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,70f7d6c5b0549849e003c75e15751d90,7c88176fecfe800f3caa83fcaebf1ab3eae6e185ccd33b140a7ecfd24d10dcd6,True,ctls,email.service.krisp.ai,,443,https://email.service.krisp.ai:443,https,,application/json,GET,50.19.224.127,/,631524574,52.71.138.154,,1,False,,,,
files.krisp.ai,,403,243,files.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-28T00:00:00Z,2023-10-03T23:59:59Z,CN=files.krisp.ai,files.krisp.ai,,files.krisp.ai,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,203670c9a9e0557c3237a509bc6f7ecd,e2b34b9e0e0e482e27b30a8c1c30f9331e04df80add7209f8e21373680757ac8,,ctls,files.krisp.ai,cloudfront,443,https://files.krisp.ai:443,https,AmazonS3,application/xml,GET,18.66.97.102,/,-1054758425,18.66.97.22,Amazon Web Services,2,False,True,,,
files.prelive.krisp.ai,,403,243,files.prelive.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2021-11-16T00:00:00Z,2022-12-15T23:59:59Z,CN=files.prelive.krisp.ai,files.prelive.krisp.ai,,files.prelive.krisp.ai,"CN=Amazon, OU=Server CA 1B, O=Amazon, C=US",Amazon,Amazon,732d33f451324c9b83e4b705ee198c72,cb9d4e5b29aeb6059aec91f975f2266045846a86ad030cd4798bd4ebe2a0b5f1,,ctls,files.prelive.krisp.ai,cloudfront,443,https://files.prelive.krisp.ai:443,https,AmazonS3,application/xml,GET,18.65.39.31,/,-588940983,18.65.39.74,Amazon Web Services,2,False,True,,True,
help.krisp.ai,Security check,403,6527,help.krisp.ai,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-07-20T00:15:35Z,2023-10-18T00:15:34Z,CN=help.krisp.ai,help.krisp.ai,,help.krisp.ai,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,f1c6d48cd4180275a6579f9c9c8b1e34,dc0b6b273856a2851b5dbaf0b0b19d990fb57abbba8b81d67815e6a166eaf8a6,,ctls,help.krisp.ai,cloudflare,443,https://help.krisp.ai:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,32,False,True,https://help.krisp.ai/hc/en-us,,
https://accounts.google.com,Sign in - Google Accounts,200,579036,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:48Z,2023-10-02T08:21:47Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,9f3326ff4593e37a7af6a82ce4c770ba,3234e511b50209b2aff25a93e3fdd14f127b548394740cda2a61fc42cdaa5bfb,True,ctls,accounts.google.com,,443,https://accounts.google.com:443,https,ESF,text/html,GET,142.250.186.173,/,708578229,2a00:1450:4001:828::200d,HTTP/3,76,False,,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Faccounts.google.com%2F&followup=https%3A%2F%2Faccounts.google.com%2F&ifkv=AeDOFXg_9Ee8CWG068Wq3uSdGka6sMCfe9ZzElIrXbaSG35xDGVsWrYpGd52H8G5xtsL1ZMT7xlK&passive=1209600&flowName=GlifWebSignIn&flowEntry=ServiceLogin&dsh=S-1710293381%3A1690910379160400,,
https://maps.google.com,Google Maps,200,691232,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-10T08:21:46Z,2023-10-02T08:21:45Z,CN=www.google.com,www.google.com,,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,531b6f0d6764795fb395fb7874cb00a6,9e39587ca471bdddb7c67a1e20d6b44c230f74a20a26c08a1b93762215747ac6,,ctls,www.google.com,,443,https://maps.google.com:443,https,gws,text/html,GET,142.250.185.142,/,708578229,2a00:1450:4001:82f::200e,HTTP/3,1299,False,,https://www.google.com/maps?ucbcb=1,,https://csp.withgoogle.com/csp/gws/maps-lite
jpmchase.krisp.ai,Krisp,200,2407,jpmchase.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-02-22T00:00:00Z,2023-11-02T23:59:59Z,CN=jpmchase.krisp.ai,jpmchase.krisp.ai,,jpmchase.krisp.ai,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,79149c449f0fb76d0932ba4f8527c01c,339b0f28a168db90050967138e97e9a8aa6ea06cf2bcd3391942971532d74d03,,ctls,jpmchase.krisp.ai,cloudfront,443,https://jpmchase.krisp.ai:443,https,AmazonS3,text/html,GET,108.156.60.4,/,1332930069,108.156.60.24,Amazon Web Services,58,False,True,,,
krisp-blog-dev.krisp.ai,403 Forbidden,403,139,krisp-blog-dev.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,krisp-blog-dev.krisp.ai,cloudflare,443,https://krisp-blog-dev.krisp.ai:443,https,cloudflare,text/html,GET,104.18.26.251,/,-476454734,104.18.27.251,Cloudflare,8,False,True,,,
metabase.krisp.ai,Metabase,200,102479,metabase.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,metabase.krisp.ai,cloudflare,443,https://metabase.krisp.ai:443,https,cloudflare,text/html,GET,104.18.27.251,/,727387070,104.18.26.251,HSTS,28,False,True,,,metabase.us10.list-manage.com
metabase.us10.list-manage.com,,200,615,mailchimp.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-16T00:00:00Z,2024-04-16T23:59:59Z,"CN=mailchimp.com, O=THE ROCKET SCIENCE GROUP LLC, L=Atlanta, ST=Georgia, C=US",mailchimp.com,THE ROCKET SCIENCE GROUP LLC,mailchimp.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,d699e8b31417edec1d4e1ff54f9d4552,3a7e834c4038f910abbab747b54eed1932e33ebb502f32b44f583e9caefcef17,,ctls,mailchimp.com,,443,https://metabase.us10.list-manage.com:443,https,openresty,text/plain,GET,2.20.212.97,/,-771885917,2.20.212.97,OpenResty,16,False,,https://mailchimp.com/about/mcsv-static,,
new.account.krisp.ai,Krisp,200,1573,account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-25T12:52:49Z,2023-09-23T12:52:48Z,CN=account.krisp.ai,account.krisp.ai,,account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,eec56a79183b016e57986aa919a6c2bf,f12cd15ac4a73e04ec0109158fc4cbe7b5ee219cc0302dfe09f3d6561d11052c,,ctls,account.krisp.ai,cloudflare,443,https://new.account.krisp.ai:443,https,cloudflare,text/html,GET,104.18.27.251,/,1953174895,104.18.26.251,Cloudflare,1,False,True,https://account.krisp.ai:443/,,
old.account.krisp.ai,Krisp,200,1573,account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-25T12:52:49Z,2023-09-23T12:52:48Z,CN=account.krisp.ai,account.krisp.ai,,account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,eec56a79183b016e57986aa919a6c2bf,f12cd15ac4a73e04ec0109158fc4cbe7b5ee219cc0302dfe09f3d6561d11052c,,ctls,account.krisp.ai,cloudflare,443,https://old.account.krisp.ai:443,https,cloudflare,text/html,GET,104.18.26.251,/,1953174895,104.18.27.251,Cloudflare,1,False,True,https://account.krisp.ai:443/,,
onboarding-dev.krisp.ai,,200,824,onboarding-dev.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,onboarding-dev.krisp.ai,cloudflare,443,https://onboarding-dev.krisp.ai:443,https,cloudflare,text/html,GET,104.18.27.251,/,-659280710,104.18.26.251,React,1,False,True,,,
plive.analytics.krisp.ai,,403,23,plive.analytics.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-03-31T00:00:00Z,2024-03-30T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5f18a5ec377f6033d9f976041b538966,3905f82cde10450f4698e8daa36f00558c0c629a066fa09a1fbcfd7b975c73ac,True,ctls,plive.analytics.krisp.ai,cloudflare,443,https://plive.analytics.krisp.ai:443,https,cloudflare,application/json,GET,104.18.26.251,/,968070783,104.18.27.251,Cloudflare,1,False,True,,,
plive.api.krisp.ai,Error,404,139,plive.api.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dadf6233733a113a563d28bd1d0f0c27,abda35ecfa56b3a369613a43910910e4962848a45c51a56e37b2e37f1fd0a348,True,ctls,plive.api.krisp.ai,cloudflare,443,https://plive.api.krisp.ai:443,https,cloudflare,text/html,GET,104.18.27.251,/,1593207841,104.18.26.251,Cloudflare,11,False,True,,,
plive.app.krisp.ai,Deployment Not Found,404,15820,plive.app.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-07-31T10:51:42Z,2023-10-29T10:51:41Z,CN=plive.app.krisp.ai,plive.app.krisp.ai,,plive.app.krisp.ai,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ad4e2d49a26c61b87489436a1e616b90,d7ebbc93d14da8bc46f00908a157bc1caee63989bac77cd863af367d81d9e38d,,ctls,plive.app.krisp.ai,cloudflare,443,https://plive.app.krisp.ai:443,https,cloudflare,text/html,GET,104.18.27.251,/,-496405566,104.18.26.251,Cloudflare,230,False,True,,,
plive.download.krisp.ai,Origin DNS error | plive.download.krisp.ai | Cloudflare,530,6220,plive.download.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dadf6233733a113a563d28bd1d0f0c27,abda35ecfa56b3a369613a43910910e4962848a45c51a56e37b2e37f1fd0a348,True,ctls,plive.download.krisp.ai,cloudflare,443,https://plive.download.krisp.ai:443,https,cloudflare,text/html,GET,104.18.26.251,/,724125835,104.18.27.251,Cloudflare,92,False,True,,,
plive.old.account.krisp.ai,Origin DNS error | plive.old.account.krisp.ai | Cloudflare,530,6229,plive.old.account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-10-30T00:00:00Z,2023-10-30T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.old.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",e4e1bc1fc2f632d7647bf5c408ff2112,b74b6ca72fb73960e638aa2a8ef2b19a6bfdd849afcc514bf1bf0a7695edffb2,True,ctls,plive.old.account.krisp.ai,cloudflare,443,https://plive.old.account.krisp.ai:443,https,cloudflare,text/html,GET,104.18.26.251,/,1939520158,104.18.27.251,Cloudflare,92,False,True,,,
plive.upld.krisp.ai,Origin DNS error | plive.upld.krisp.ai | Cloudflare,530,6208,plive.upld.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,True,2022-11-21T00:00:00Z,2023-11-21T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",dadf6233733a113a563d28bd1d0f0c27,abda35ecfa56b3a369613a43910910e4962848a45c51a56e37b2e37f1fd0a348,True,ctls,plive.upld.krisp.ai,cloudflare,443,https://plive.upld.krisp.ai:443,https,cloudflare,text/html,GET,104.18.27.251,/,-261519691,104.18.26.251,Cloudflare,92,False,True,,,
r.krisp.ai,Krisp,200,1573,account.krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-06-25T12:52:49Z,2023-09-23T12:52:48Z,CN=account.krisp.ai,account.krisp.ai,,account.krisp.ai,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,eec56a79183b016e57986aa919a6c2bf,f12cd15ac4a73e04ec0109158fc4cbe7b5ee219cc0302dfe09f3d6561d11052c,,ctls,account.krisp.ai,,443,https://r.krisp.ai:443,https,cloudflare,text/html,GET,54.209.87.86,/,361958598,54.85.27.94,Cloudflare,1,False,,https://account.krisp.ai:443/share/record/,,
resources.krisp.ai,World’s #1 Noise Cancelling App | Krisp,200,86286,krisp.ai,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-14T00:00:00Z,2024-05-13T23:59:59Z,"CN=krisp.ai, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",krisp.ai,"Cloudflare, Inc.",*.new.account.krisp.ai,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",2f54e755a86e9a02def2a5f39362aaed,b6640a2e3538b31f386c128f7c98ac342909f50775cac7b43d655990b828e55d,True,ctls,krisp.ai,,443,https://resources.krisp.ai:443,https,cloudflare,text/html,GET,199.60.103.30,/,-279508125,2606:2c40::c73c:67e2,WordPress,1328,False,,https://krisp.ai/,,https://account.krisp.ai
sdk.krisp.ai,SDK Dashboard,200,678,sdk.krisp.ai,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-03-21T00:00:00Z,2024-04-18T23:59:59Z,CN=sdk.krisp.ai,sdk.krisp.ai,,sdk.krisp.ai,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,36a033c95d69b3629ad7927389060aeb,76f8ad61f988d94aaefa93115ad3b20aa1323d842da1e32348e68f117b8de572,,ctls,sdk.krisp.ai,,443,https://sdk.krisp.ai:443,https,nginx,text/html,GET,52.4.75.219,/,-1537916877,34.195.84.235,Nginx,1,False,,,,
