new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,ns,aaaa,caa,mx,txt
,stage.new.account.krisp.ai,"188.114.98.224, 188.114.99.224","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,stage.old.account.krisp.ai,"188.114.98.224, 188.114.99.224","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,stage.sdk.krisp.ai,"3.225.73.108, 34.225.39.105","ns-2023.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,stage.teams.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,stage.upld.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,syn-bt2ywgclz3.api.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,ui.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,upld.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,upld.plive.env.krisp.ai,,"gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,url5145.krisp.ai,"104.18.27.251, 104.18.26.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,whatsnew.krisp.ai,35.226.60.2,"garret.ns.cloudflare.com, dns.cloudflare.com",NOERROR,customer.launchnotes.net,,,True,google,,,,,
,www.krisp.ai,"104.18.26.251, 104.18.27.251","gloria.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare,,,,,
,zendesk1.krisp.ai,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail1.zendesk.com,,,True,cloudflare,,,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all
,zendesk2.krisp.ai,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail2.zendesk.com,,,True,cloudflare,,,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all
,zendesk3.krisp.ai,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail3.zendesk.com,,,True,cloudflare,,,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all
,zendesk4.krisp.ai,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail4.zendesk.com,,,True,cloudflare,,,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all
