new,host,a,soa,status_code,txt,ns,has_internal_ips,internal_ips,aaaa,cdn,cdn-name,cname,mx,caa
[x],4.secure.blockchain.ibm.com,,"ns1.softlayer.com, support.softlayer.com",NOERROR,,,,,,,,,,
[x],4autorenew.eu-gb.e2e.certificate-manager.test.cloud.ibm.com,,,NOERROR,,,,,,,,,,
[x],4em-fy-mdc01-v505.torolab.ibm.com,199.246.40.30,"ns.torolab.ibm.com, rdsilva.ca.ibm.com",NOERROR,,,,,,,,,,
[x],5.secure.blockchain.ibm.com,,"ns1.softlayer.com, support.softlayer.com",NOERROR,,,,,,,,,,
[x],54ef6460229a4855a7a1204b16d10e5d-mwxmcvai.bastionx.cloud.ibm.com,"10.12.144.3, 10.12.143.3","ns051.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,True,"10.12.144.3, 10.12.143.3",,,,,,
[x],a-p-infwjmp-01b.sec.ibm.com,207.231.143.129,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],alertmanager-appc.platform.saas.ibm.com,"104.22.73.78, 172.67.22.90, 104.22.72.78","ns102.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700:10::6816:494e, 2606:4700:10::ac43:165a, 2606:4700:10::6816:484e",True,cloudflare,,,
[x],alertmanager-dawa.platform.saas.ibm.com,"188.114.98.229, 188.114.99.229","ns102.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",True,cloudflare,,,
[x],alertmanager-itom.platform.saas.ibm.com,"172.67.22.90, 104.22.72.78, 104.22.73.78","ns102.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700:10::ac43:165a, 2606:4700:10::6816:484e, 2606:4700:10::6816:494e",True,cloudflare,,,
[x],alertmanager-stm.platform.saas.ibm.com,"172.67.22.90, 104.22.72.78, 104.22.73.78","ns102.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700:10::6816:494e, 2606:4700:10::ac43:165a, 2606:4700:10::6816:484e",True,cloudflare,,,
[x],alt-prd-lms-offense-01a.sec.ibm.com,209.134.187.132,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],apcluster.csirt.ibm.com,"10.210.64.7, 10.210.128.7","ns004.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,True,"10.210.64.7, 10.210.128.7",,,,b554e683-jp-tok.lb.appdomain.cloud,,
[x],api-prod-eu.yourlearning.ibm.com,"141.101.90.104, 141.101.90.105, 141.101.90.106, 141.101.90.107","elma.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,"elma.ns.cloudflare.com, felipe.ns.cloudflare.com",,,"2a06:98c1:3200::90:80, 2a06:98c1:3200::90:82, 2a06:98c1:3200::90:83, 2a06:98c1:3200::90:81",True,cloudflare,,,
[x],api-sjc.sec.ibm.com,"104.21.54.158, 172.67.140.87","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,,,,"2606:4700:3031::ac43:8c57, 2606:4700:3035::6815:369e",True,cloudflare,api-sjc.sec.ibm.com.cdn.cloudflare.net,,
[x],api.4826-2e74a09b.eu-de.ri.apiconnect.cloud.ibm.com,"161.156.126.6, 149.81.71.139, 169.50.51.42","ns004.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-3aem35l4.cloud.techzone.ibm.com,159.8.188.151,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-5rec3n23.cloud.techzone.ibm.com,161.156.90.231,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-69jnj719.cloud.techzone.ibm.com,162.133.110.74,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-9kclpz6z.cloud.techzone.ibm.com,161.156.176.213,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-bgvuykd5.cloud.techzone.ibm.com,161.156.176.126,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-bog9mh52.cloud.techzone.ibm.com,5.10.108.105,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-fvpd8tpy.cloud.techzone.ibm.com,159.8.188.181,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-gi7q2ww6.cloud.techzone.ibm.com,,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-jbn64ssw.cloud.techzone.ibm.com,162.133.110.206,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-ncf6ihsk.cloud.techzone.ibm.com,162.133.110.94,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.daffy-zoyeg4g3.cloud.techzone.ibm.com,169.63.171.247,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-0600015dpx-d814.cloud.techzone.ibm.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],api.ocp-060001xbbx-x1s4.cloud.techzone.ibm.com,159.8.188.168,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-1100007f4q-g8yq.cloud.techzone.ibm.com,5.10.108.118,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-110000c2n4-o24s.cloud.techzone.ibm.com,162.133.110.225,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-120000bc2j-p9ww.cloud.techzone.ibm.com,159.8.188.178,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-120000k5r7-phfd.cloud.techzone.ibm.com,158.176.162.44,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-270004w3qr-fzaj.cloud.techzone.ibm.com,,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-270005she9-ubqv.cloud.techzone.ibm.com,5.10.108.102,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-270007bqan-jonk.cloud.techzone.ibm.com,162.133.110.138,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-3100014h3v-545k.cloud.techzone.ibm.com,169.63.171.161,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-550000xsec-6pod.cloud.techzone.ibm.com,,,NOERROR,,,,,,,,,,
[x],api.ocp-550004rf00-7tyx.cloud.techzone.ibm.com,158.176.125.245,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-6610021u7r-ia40.cloud.techzone.ibm.com,,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-661002ezum-idov.cloud.techzone.ibm.com,169.60.87.13,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-661003xo0g-2dqg.cloud.techzone.ibm.com,,,NOERROR,,,,,,,,,,
[x],api.ocp-662001vacx-1vct.cloud.techzone.ibm.com,,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-6620026by5-u9qt.cloud.techzone.ibm.com,5.10.98.249,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-663002m9hg-xhpb.cloud.techzone.ibm.com,169.63.95.88,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-664004o6el-0we7.cloud.techzone.ibm.com,169.63.171.153,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-665000ggcz-54lf.cloud.techzone.ibm.com,169.63.95.98,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-665000v9in-01iq.cloud.techzone.ibm.com,162.133.110.171,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-665001f951-t5ql.cloud.techzone.ibm.com,5.10.108.98,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-665002asoa-2lv7.cloud.techzone.ibm.com,5.10.108.104,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-666000s8wk-toze.cloud.techzone.ibm.com,,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-66700006dp-rtor.cloud.techzone.ibm.com,169.63.171.213,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-6750005vsk-9ld6.cloud.techzone.ibm.com,169.63.131.20,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-675000m8qo-7p77.cloud.techzone.ibm.com,162.133.110.126,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.ocp-675000mvdq-up2b.cloud.techzone.ibm.com,162.133.110.194,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],api.us.tip-oss-flow.test.cloud.ibm.com,"104.16.58.87, 104.16.57.87","ns002.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700::6810:3a57, 2606:4700::6810:3957",True,cloudflare,,,
[x],api.us.us-south-1.tip-oss-flow.test.cloud.ibm.com,"104.16.57.87, 104.16.58.87","ns002.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700::6810:3957, 2606:4700::6810:3a57",True,cloudflare,,,
[x],api.us.us-south-2.tip-oss-flow.test.cloud.ibm.com,"104.16.57.87, 104.16.58.87","ns002.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700::6810:3a57, 2606:4700::6810:3957",True,cloudflare,,,
[x],api.us.us-south-3.tip-oss-flow.test.cloud.ibm.com,"104.16.58.87, 104.16.57.87","ns002.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700::6810:3a57, 2606:4700::6810:3957",True,cloudflare,,,
[x],apps.daffy-3aem35l4.cloud.techzone.ibm.com,159.8.188.151,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-5rec3n23.cloud.techzone.ibm.com,161.156.90.231,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-69jnj719.cloud.techzone.ibm.com,162.133.110.74,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-9kclpz6z.cloud.techzone.ibm.com,161.156.176.213,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-bog9mh52.cloud.techzone.ibm.com,5.10.108.105,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-fvpd8tpy.cloud.techzone.ibm.com,159.8.188.181,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-gi7q2ww6.cloud.techzone.ibm.com,169.63.171.201,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-jbn64ssw.cloud.techzone.ibm.com,162.133.110.206,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-mhirs43f.cloud.techzone.ibm.com,169.60.64.12,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-ncf6ihsk.cloud.techzone.ibm.com,162.133.110.94,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.daffy-zoyeg4g3.cloud.techzone.ibm.com,169.63.171.247,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-060001xbbx-x1s4.cloud.techzone.ibm.com,159.8.188.168,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-1100007f4q-g8yq.cloud.techzone.ibm.com,5.10.108.118,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-110000c2n4-o24s.cloud.techzone.ibm.com,162.133.110.225,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-120000bc2j-p9ww.cloud.techzone.ibm.com,159.8.188.178,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-120000k5r7-phfd.cloud.techzone.ibm.com,158.176.162.44,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-270004w3qr-fzaj.cloud.techzone.ibm.com,161.156.90.208,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-270005she9-ubqv.cloud.techzone.ibm.com,5.10.108.102,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-270007fk6e-cgkr.cloud.techzone.ibm.com,159.8.188.160,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-3100014h3v-545k.cloud.techzone.ibm.com,169.63.171.161,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-50avscmg0p-gy9y.cloud.techzone.ibm.com,169.60.87.51,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-550004rf00-7tyx.cloud.techzone.ibm.com,158.176.125.245,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-6610021u7r-ia40.cloud.techzone.ibm.com,169.63.171.211,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-661002ezum-idov.cloud.techzone.ibm.com,169.60.87.13,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-662001vacx-1vct.cloud.techzone.ibm.com,162.133.113.184,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-6620026by5-u9qt.cloud.techzone.ibm.com,5.10.98.249,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-6620027z0t-eajl.cloud.techzone.ibm.com,161.156.176.20,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-663002m9hg-xhpb.cloud.techzone.ibm.com,169.63.95.88,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-664001uyas-k4nq.cloud.techzone.ibm.com,54.144.128.85,,NOERROR,,,,,,,,,,
[x],apps.ocp-665000ggcz-54lf.cloud.techzone.ibm.com,169.63.95.98,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-665001f951-t5ql.cloud.techzone.ibm.com,5.10.108.98,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-666000b1x8-5via.cloud.techzone.ibm.com,5.10.108.113,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-666000s8wk-toze.cloud.techzone.ibm.com,161.156.90.215,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-66700006dp-rtor.cloud.techzone.ibm.com,169.63.171.213,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-6750005vsk-9ld6.cloud.techzone.ibm.com,,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-675000m8qo-7p77.cloud.techzone.ibm.com,162.133.110.126,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],apps.ocp-675000mvdq-up2b.cloud.techzone.ibm.com,162.133.110.194,"ns070.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],argocd.4826-2e74a09b.eu-de.ri.apiconnect.cloud.ibm.com,"149.81.71.139, 161.156.126.6, 169.50.51.42","ns004.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
[x],atl-itpodev-esx-06b.sec.ibm.com,207.231.141.106,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-p-guardcm-01b.sec.ibm.com,207.231.142.220,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-ads-02a.sec.ibm.com,209.134.187.5,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-ads-02c.sec.ibm.com,207.231.142.227,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-ads-02d.sec.ibm.com,"209.134.187.53, 206.253.234.10","ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,"dal09-prd-dns-01a.sec.ibm.com, ehecatl.iss.net, litdnssrvp01.iss.net",,,,,,,,
[x],atl-prd-agg-04b.sec.ibm.com,209.134.187.198,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-aidrone-01l.sec.ibm.com,207.231.142.76,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-apphost-02a.sec.ibm.com,209.134.177.77,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-apphost-15a.sec.ibm.com,209.134.177.90,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-aurahap-01a.sec.ibm.com,207.231.142.222,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-aurahap-01b.sec.ibm.com,207.231.142.223,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-bd-11-vl2.sec.ibm.com,209.134.160.8,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-coudb-01a.sec.ibm.com,207.231.143.201,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-esxb-01n.sec.ibm.com,207.231.143.145,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-fmc-03a.sec.ibm.com,209.134.190.12,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-kfk-01c.sec.ibm.com,207.231.143.224,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-kubmin-02b.sec.ibm.com,"209.134.187.150, 206.253.234.10","ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,"dal09-prd-dns-01a.sec.ibm.com, ehecatl.iss.net, litdnssrvp01.iss.net",,,,,,,,
[x],atl-prd-res-27a.sec.ibm.com,"209.134.186.142, 206.253.234.10","ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,"litdnssrvp01.iss.net, dal09-prd-dns-01a.sec.ibm.com, ehecatl.iss.net",,,,,,,,
[x],atl-prd-res-52a.sec.ibm.com,209.134.177.47,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-res-66a.sec.ibm.com,209.134.177.68,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-res-67a.sec.ibm.com,209.134.177.69,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-resint-20a.sec.ibm.com,209.134.177.62,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-resint-32a.sec.ibm.com,209.134.177.63,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-prd-rpsvcs-02b.sec.ibm.com,"209.134.186.177, 206.253.234.10","ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,"dal09-prd-dns-01a.sec.ibm.com, ehecatl.iss.net, litdnssrvp01.iss.net",,,,,,,,
[x],atl-prd-svcs-01dnew.sec.ibm.com,192.168.68.53,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,True,192.168.68.53,,,,,,
[x],atl-stg-ocp-services.sec.ibm.com,207.231.140.166,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,stg-services.sec.ibm.com,,
[x],atl-stg-snowdb-01a.sec.ibm.com,207.231.140.131,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],atl-stg-xdrdca-01a.sec.ibm.com,"207.231.140.211, 206.253.234.10","ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,"ehecatl.iss.net, dal09-prd-dns-01a.sec.ibm.com, litdnssrvp01.iss.net",,,,,,,,
[x],atla-xps-ag01.sec.ibm.com,209.134.187.181,"ehecatl.iss.net, iss-dnsadmin.iss.net",NOERROR,,,,,,,,,,
[x],au04dns011ccpra.ca.ibm.com,170.225.230.215,"asia3.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,,
[x],au04dns021ccpra.ca.ibm.com,170.225.230.216,"asia3.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,,
[x],auth.techzone.ibm.com,"104.18.4.98, 104.18.5.98","ns086.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,,,"2606:4700::6812:462, 2606:4700::6812:562",True,cloudflare,,,
[x],broker.eu-gb.monitoring-reg.test.cloud.ibm.com,"2.16.241.201, 2.16.241.215","n0dscksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,"2a02:26f0:480:c::210:f19a, 2a02:26f0:480:c::210:f189",,,"broker.eu-gb.monitoring-reg.test.cloud.ibm.com-v1.edgekey.net, e34183.dscksd.akamaiedge.net",,
[x],broker.mon-dev-03.monitoring-reg.dev.cloud.ibm.com,,"n0dscksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,"broker.mon-dev-03.monitoring-reg.dev.cloud.ibm.com.edgekey.net, e108369.dscksd.akamaiedge.net",,
[x],broker.mon-sdev.monitoring-reg.dev.cloud.ibm.com,"2.16.1.24, 2.16.1.25","n0dscksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,"2a02:26f0:7100::687e:2511, 2a02:26f0:7100::687e:251a",,,"broker.mon-sdev.monitoring-reg.dev.cloud.ibm.com.edgekey.net, e69136.dscksd.akamaiedge.net",,
[x],broker.prodmon.monitoring-reg.test.cloud.ibm.com,"23.64.12.17, 23.64.12.24","n0dscksd.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,"2a02:26f0:d8::1740:c59, 2a02:26f0:d8::1740:c58",,,"broker.prodmon.monitoring-reg.test.cloud.ibm.com.edgekey.net, e117714.dscksd.akamaiedge.net",,
[x],cete802f0n45u8051gvg-qbts4gmaq6m0eke7dtgy.bastionx.cloud.ibm.com,10.135.175.206,"ns051.name.cloud.ibm.com, dns.cloudflare.com",NOERROR,,,True,10.135.175.206,,,,,,
[x],chef.res.ibm.com,170.224.50.216,"asia3.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,watson.ihost.com,,
[x],cil.res.ibm.com,169.48.210.78,"ns11.haifa.il.ibm.com, itay.il.ibm.com",NOERROR,,,,,,,,,,
