input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,tls_subject_org_,final_url
comics-yeo.staging.sketch.com,,404,,comics-yeo.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,comics-yeo.staging.sketch.com,,443,https://comics-yeo.staging.sketch.com:443,https,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.205.185.240,,1,False,,,,
database-demo-dal12.test.sketch.com,,404,,database-demo-dal12.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,database-demo-dal12.test.sketch.com,,443,https://database-demo-dal12.test.sketch.com:443,https,awselb/2.0,text/plain,GET,34.193.137.106,/,-1840324437,54.236.174.78,,1,False,,,,
dax-rd.dev.sketch.com,,404,,dax-rd.dev.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=dev.sketch.com,dev.sketch.com,dev.sketch.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6c9f913ec2dbd1ed9d7c85c321706b48,a6f3d0929504856d99874948d4fdfc492c7a129e6545388c36921de97c6440c1,True,ctls,dax-rd.dev.sketch.com,,443,https://dax-rd.dev.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
dev.sketch.com,,404,,dev.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=dev.sketch.com,dev.sketch.com,dev.sketch.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6c9f913ec2dbd1ed9d7c85c321706b48,a6f3d0929504856d99874948d4fdfc492c7a129e6545388c36921de97c6440c1,True,ctls,dev.sketch.com,,80,http://dev.sketch.com:80,http,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.193.137.106,,1,False,,,,https://dev.sketch.com:443/
download-staging.sketch.com,,403,243,download-staging.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ca9ea4913eb50ed328d8f3a308ada5f9,3ee5b4006cb9021f548ca77fcda4882face99eb9c7896ea50639a4baa491e848,,ctls,download-staging.sketch.com,cloudflare,443,https://download-staging.sketch.com:443,https,cloudflare,application/xml,GET,172.67.13.208,/,-1772712328,2606:4700:10::ac43:dd0,HTTP/3,2,False,True,,"Cloudflare, Inc.",
experimental-download-staging.sketch.com,,403,243,experimental-download-staging.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,experimental-download-staging.sketch.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",4d4995eaca5f2119b14790c125e792e5,75c4f3911f7b08d26aad10b68713fa6fcacc3dae29c66f269716a056991c637f,,ctls,experimental-download-staging.sketch.com,cloudflare,443,https://experimental-download-staging.sketch.com:443,https,cloudflare,application/xml,GET,104.22.36.172,/,-471040115,2606:4700:10::ac43:dd0,HTTP/3,2,False,True,,"Cloudflare, Inc.",
f1-9-9-7.dev.sketch.com,,404,,f1-9-9-7.dev.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=dev.sketch.com,dev.sketch.com,dev.sketch.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6c9f913ec2dbd1ed9d7c85c321706b48,a6f3d0929504856d99874948d4fdfc492c7a129e6545388c36921de97c6440c1,True,ctls,f1-9-9-7.dev.sketch.com,,80,http://f1-9-9-7.dev.sketch.com:80,http,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.205.185.240,,1,False,,,,https://f1-9-9-7.dev.sketch.com:443/
feature-preview-download-staging.sketch.com,,403,243,feature-preview-download-staging.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",3d0cbc3829e0984f338a1eca83ddcb8a,7f44e3796554546c0d2c71f8df2219e191e86b0d1e6148763a1492ac129c4b5d,,ctls,feature-preview-download-staging.sketch.com,cloudflare,443,https://feature-preview-download-staging.sketch.com:443,https,cloudflare,application/xml,GET,172.67.13.208,/,-1315521038,2606:4700:10::ac43:dd0,HTTP/3,2,False,True,,"Cloudflare, Inc.",
feature-preview-download.sketch.com,,403,243,feature-preview-download.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,feature-preview-download.sketch.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",f5f798717f35afc7216e5838d623146f,df157d4cd7968360b4a5160e6ae6b0f458a5e0096019fc0f08d8a62bfc3bb1eb,,ctls,feature-preview-download.sketch.com,cloudflare,443,https://feature-preview-download.sketch.com:443,https,cloudflare,application/xml,GET,172.67.13.208,/,-1711048114,2606:4700:10::6816:24ac,HTTP/3,2,False,True,,"Cloudflare, Inc.",
fpos1-1.staging.sketch.com,,404,,fpos1-1.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,fpos1-1.staging.sketch.com,,443,https://fpos1-1.staging.sketch.com:443,https,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.205.185.240,,1,False,,,,
h-135-207-181-46.staging.sketch.com,,404,,h-135-207-181-46.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,h-135-207-181-46.staging.sketch.com,,443,https://h-135-207-181-46.staging.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
h-135-207-49-77.staging.sketch.com,,404,,h-135-207-49-77.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,h-135-207-49-77.staging.sketch.com,,443,https://h-135-207-49-77.staging.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
homewithheroes.test.sketch.com,,404,,homewithheroes.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,homewithheroes.test.sketch.com,,443,https://homewithheroes.test.sketch.com:443,https,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.193.137.106,,1,False,,,,
http-fp-juanfutbol-com-05.dev.sketch.com,,404,,http-fp-juanfutbol-com-05.dev.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=dev.sketch.com,dev.sketch.com,dev.sketch.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6c9f913ec2dbd1ed9d7c85c321706b48,a6f3d0929504856d99874948d4fdfc492c7a129e6545388c36921de97c6440c1,True,ctls,http-fp-juanfutbol-com-05.dev.sketch.com,,443,https://http-fp-juanfutbol-com-05.dev.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
https-abs-twimg-com9-1.test.sketch.com,,404,,https-abs-twimg-com9-1.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,https-abs-twimg-com9-1.test.sketch.com,,443,https://https-abs-twimg-com9-1.test.sketch.com:443,https,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.193.137.106,,1,False,,,,
internal-download.sketch.com,,403,243,internal-download.sketch.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-23T00:00:00Z,2023-09-23T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,internal-download.sketch.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",69646898ddfbba5d207478eb25a5dbf9,88a6aba1dd2738230b17625902f174beac535c1f4d2c6c0131bb26a2f26def65,,ctls,internal-download.sketch.com,cloudflare,443,https://internal-download.sketch.com:443,https,cloudflare,application/xml,GET,172.67.13.208,/,-1484940434,2606:4700:10::6816:25ac,HTTP/3,2,False,True,,"Cloudflare, Inc.",
ip-154-18.prod.sketch.com,,503,31,ip-154-18.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,ip-154-18.prod.sketch.com,,443,https://ip-154-18.prod.sketch.com:443,https,,text/plain,GET,54.146.167.77,/,-1144739014,44.206.171.110,,1,False,,True,,
jplyncfe05.dev.sketch.com,,404,,jplyncfe05.dev.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=dev.sketch.com,dev.sketch.com,dev.sketch.cloud,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6c9f913ec2dbd1ed9d7c85c321706b48,a6f3d0929504856d99874948d4fdfc492c7a129e6545388c36921de97c6440c1,True,ctls,jplyncfe05.dev.sketch.com,,443,https://jplyncfe05.dev.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
jvn8q22.staging.sketch.com,,404,,jvn8q22.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,jvn8q22.staging.sketch.com,,80,http://jvn8q22.staging.sketch.com:80,http,awselb/2.0,text/plain,GET,34.193.137.106,/,-1840324437,34.205.185.240,,1,False,,,,https://jvn8q22.staging.sketch.com:443/
labbeta.test.sketch.com,,404,,labbeta.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,labbeta.test.sketch.com,,443,https://labbeta.test.sketch.com:443,https,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,34.193.137.106,,1,False,,,,
lbpinternship.prod.sketch.com,,503,31,lbpinternship.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,lbpinternship.prod.sketch.com,,443,https://lbpinternship.prod.sketch.com:443,https,,text/plain,GET,54.146.167.77,/,-1144739014,54.204.85.13,,1,False,,True,,
lv-jobs.test.sketch.com,,404,,lv-jobs.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,lv-jobs.test.sketch.com,,443,https://lv-jobs.test.sketch.com:443,https,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.205.185.240,,1,False,,,,
mentalhealthsurvey-stage.prod.sketch.com,,503,31,mentalhealthsurvey-stage.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,mentalhealthsurvey-stage.prod.sketch.com,,443,https://mentalhealthsurvey-stage.prod.sketch.com:443,https,,text/plain,GET,54.146.167.77,/,-1144739014,44.206.171.110,,1,False,,True,,
miscomplain.test.sketch.com,,404,,miscomplain.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,miscomplain.test.sketch.com,,443,https://miscomplain.test.sketch.com:443,https,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.193.137.106,,1,False,,,,
mixcomputer.test.sketch.com,,404,,mixcomputer.test.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=test.sketch.com,test.sketch.com,test.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e573755d4c6090ea08aab1abeb3af68c,a1cfb5e08955f0e9a4af3794da3b1f8b101762617c6af9112c2c2e8dbb7e5724,True,ctls,mixcomputer.test.sketch.com,,80,http://mixcomputer.test.sketch.com:80,http,awselb/2.0,text/plain,GET,34.205.185.240,/,-1840324437,54.236.174.78,,1,False,,,,https://mixcomputer.test.sketch.com:443/
oembed.staging.sketch.com,,404,,oembed.staging.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=staging.sketch.com,staging.sketch.com,*.staging.sketch.cloud,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,65339d860366ec7a917713485beae580,867f5ce6349607167de386567e093edf443f72228d6c26d3856e54a0e1c8e70d,True,ctls,oembed.staging.sketch.com,,443,https://oembed.staging.sketch.com:443,https,awselb/2.0,text/plain,GET,54.236.174.78,/,-1840324437,34.205.185.240,,1,False,,,,
payments.prod.sketch.com,,404,18,payments.prod.sketch.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-07-04T23:59:59Z,CN=prod.sketch.com,prod.sketch.com,*.prod.sketch.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d9014394c34aa10adb8c33f1b1297b06,e95649b6e357134eee1c45afaa94da6aeba66762723e0008ff416995b1ae09d7,True,ctls,payments.prod.sketch.com,,443,https://payments.prod.sketch.com:443,https,,text/plain,GET,44.206.171.110,/,-429073533,54.204.85.13,,1,False,,True,,
