input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_expired
dex.btse.com,"BTSE DEX - Defi Cryptocurrency Exchange for Bitcoin, Ethereum",200,2086,dex.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,dex.btse.com,cloudfront,443,https://dex.btse.com:443,https,AmazonS3,text/html,GET,143.204.98.123,/,313846789,2600:9000:2156:8e00:b:442c:aa00:93a1,Amazon Web Services,1,False,True,,
doc.btse.com,BTSE API documentation,200,2841,doc.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,doc.btse.com,cloudfront,443,https://doc.btse.com:443,https,AmazonS3,text/html,GET,18.66.122.71,/,880848080,2600:9000:2250:6200:15:547a:3940:93a1,Amazon Web Services,75,False,True,,
docs.btse.com,,403,243,docs.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,docs.btse.com,cloudfront,443,https://docs.btse.com:443,https,AmazonS3,application/xml,GET,65.9.66.91,/,-100517327,2600:9000:206f:2e00:1c:39c0:ad40:93a1,Amazon Web Services,2,False,True,,
enterprise.btse.com,Blockchain Solutions - BTSE White Label Exchange,200,277281,www.btsesolutions.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-12T00:00:00Z,2024-05-10T23:59:59Z,CN=*.btsesolutions.com,*.btsesolutions.com,*.btsesolutions.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a06fc0ba555d7da876db6dfbdb7b65dd,08a4233316b041968a1fceaaca07b244ab3fcc237dfb3c049087aa1eea304648,True,ctls,www.btsesolutions.com,cloudfront,443,https://enterprise.btse.com:443,https,nginx,text/html,GET,108.138.17.69,/,2009733340,2600:9000:2491:ac00:1a:1aec:d8c0:93a1,Yoast SEO:20.7,586,False,True,https://www.btsesolutions.com,
fix.btse.com,,200,4,fix.btse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,fix.btse.com,,443,https://fix.btse.com:443,https,nginx,text/html,GET,27.50.52.60,/,1494302000,27.50.52.60,Nginx,2,False,,,True
mt.btse.com,,200,,mt.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,mt.btse.com,cloudfront,443,https://mt.btse.com:443,https,AmazonS3,application/x-directory,GET,13.32.99.96,/,613760423,2600:9000:2251:e400:a:74a6:2b40:93a1,Amazon Web Services,1,False,True,,
origin-api99.btse.com,,200,4,origin-api99.btse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,origin-api99.btse.com,,443,https://origin-api99.btse.com:443,https,nginx,text/html,GET,1.32.235.38,/,1494302000,1.32.235.38,Nginx,2,False,,,True
origin-blog.btse.com,,200,4,origin-blog.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,origin-blog.btse.com,,443,https://origin-blog.btse.com:443,https,nginx,text/html,GET,1.32.214.134,/,1494302000,1.32.214.134,Nginx,2,False,,,
origin-ws3.btse.com,,200,4,origin-ws3.btse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,origin-ws3.btse.com,,443,https://origin-ws3.btse.com:443,https,nginx,text/html,GET,1.32.235.38,/,1494302000,1.32.235.38,Nginx,2,False,,,True
origin-ws99.btse.com,,200,4,origin-ws99.btse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,origin-ws99.btse.com,,443,https://origin-ws99.btse.com:443,https,nginx,text/html,GET,1.32.235.38,/,1494302000,1.32.235.38,Nginx,2,False,,,True
peru.btse.com,BTSE | Your Favorite Crypto Exchange,200,5802,peru.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,peru.btse.com,cloudfront,443,https://peru.btse.com:443,https,AmazonS3,text/html,GET,18.66.122.124,/,-701593973,18.66.122.93,Vue.js,19,False,True,,
pushgateway.btse.com,,401,13,pushgateway.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-06T00:00:00Z,2023-07-06T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,69e495c1716be7ec362d34ba7229db63,c57f6abef4cb9ced5ff73bf8611b9ba7b0687f416299a8ced99afadf351b02df,True,ctls,pushgateway.btse.com,,443,https://pushgateway.btse.com:443,https,,text/plain,GET,35.76.225.252,/,-126969290,35.76.225.252,Basic,2,False,,,True
support.btse.com,Support : BTSE Support,200,57097,support.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-20T04:39:49Z,2023-08-18T04:39:48Z,CN=support.btse.com,support.btse.com,support.btse.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d3e64bbe7722b5a155a66d650bf18bcb,918958847074ebda6344506c6b2e6b8083bd0a37be83d0e3b6728920037a5e01,,ctls,support.btse.com,,443,https://support.btse.com:443,https,fwe,text/html,GET,3.218.236.232,/,-1611011004,52.70.20.204,Vue.js,873,False,,https://support.btse.com/en/support/home,
tools.btse.com,BTSE | Your Favorite Crypto Exchange,200,5735,tools.btse.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-20T07:10:51Z,2023-09-20T06:31:09Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",0afb23cbcfe710dcf3d86652b61f47b3,251ca8a04b6822dc50b8768a7653c5e61d22b30edb41cc0020cb93666949c8a3,True,ctls,tools.btse.com,,443,https://tools.btse.com:443,https,nginx,text/html,GET,104.102.51.55,/,-701593973,2a02:26f0:1700:188::38b3,Vue.js,7,False,,,
trade.btse.com,BTSE | Your Favorite Crypto Exchange,200,5735,www.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,www.btse.com,,443,https://trade.btse.com:443,https,AmazonS3,text/html,GET,67.199.248.13,/,-434501501,67.199.248.12,Vue.js,7,False,,https://www.btse.com,
trading.btse.com,,200,19,trading.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,trading.btse.com,,443,https://trading.btse.com:443,https,awselb/2.0,text/plain,GET,35.74.34.232,/,245012539,35.73.195.26,,1,False,,,
w3.btse.com,BTSE | Your Favorite Crypto Exchange,200,5802,w3.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,w3.btse.com,cloudfront,443,https://w3.btse.com:443,https,AmazonS3,text/html,GET,18.66.122.127,/,-701593973,18.66.122.93,Vue.js,19,False,True,,
web.btse.com,BTSE | Your Favorite Crypto Exchange,200,5802,web.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,web.btse.com,cloudfront,443,https://web.btse.com:443,https,AmazonS3,text/html,GET,18.66.122.127,/,-701593973,18.66.122.122,Vue.js,19,False,True,,
ws.btse.com,403 Forbidden,403,532,ws.btse.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,ws.btse.com,cloudflare,443,https://ws.btse.com:443,https,cloudflare,text/html,GET,104.18.8.160,/,323140978,2606:4700::6812:8a0,Cloudflare,9,False,True,,
ws2.btse.com,403 Forbidden,403,280,ws2.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,ws2.btse.com,incapsula,443,https://ws2.btse.com:443,https,nginx,text/html,GET,45.60.198.35,/,-1964304078,45.60.198.35,Nginx,8,False,True,,
ws3.btse.com,403 Forbidden,403,146,ws3.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,ws3.btse.com,cloudfront,443,https://ws3.btse.com:443,https,nginx,text/html,GET,18.66.147.48,/,1494302000,18.66.147.122,Nginx,8,False,True,,
ws99.btse.com,403 Forbidden,403,146,ws99.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,ws99.btse.com,cloudfront,443,https://ws99.btse.com:443,https,nginx,text/html,GET,18.66.147.18,/,1494302000,18.66.147.99,Nginx,8,False,True,,
www1.btse.com,BTSE | Your Favorite Crypto Exchange,200,5802,www1.btse.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-29T00:00:00Z,2024-05-28T23:59:59Z,CN=*.btse.com,*.btse.com,btse.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,7b993aa3bc3c806011ff9511dd42744b,93ca0ba923e071260b170ea04eb23bdb3d9ba825990db5cca3f0f05884569cce,True,ctls,www1.btse.com,cloudfront,443,https://www1.btse.com:443,https,AmazonS3,text/html,GET,18.66.122.122,/,-701593973,18.66.122.124,Vue.js,19,False,True,,
