input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,csp_domains_,favicon,final_url
apigw-staging.topechelon.com,,403,23,apigw-staging.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-12T00:00:00Z,2026-03-13T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6d0d09f6da985815dd595a9cb9ae7538,ff1fe79d8a28e63e50a804446c3639dcc155ffb28971127872c38bf26011ba8b,ctls,apigw-staging.topechelon.com,cloudfront,443,https://apigw-staging.topechelon.com,https,,application/json,GET,143.204.215.4,/,/favicon.ico,143.204.215.89,Amazon Web Services,1,False,True,nonerror,0,True,,,,,
apigw.topechelon.com,,403,23,apigw.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,apigw.topechelon.com,cloudfront,443,https://apigw.topechelon.com,https,,application/json,GET,143.204.98.54,/,/favicon.ico,143.204.98.126,Amazon Web Services,1,False,True,nonerror,0,True,,,,,
backend.careers.topechelon.com,,404,,backend.careers.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,backend.careers.topechelon.com,,443,https://backend.careers.topechelon.com,https,istio-envoy,,GET,52.54.42.23,/,/favicon.ico,54.197.104.53,,1,False,,other,0,True,True,,,,
badger.topechelon.com,403 Forbidden,403,118,badger.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,badger.topechelon.com,,443,https://badger.topechelon.com,https,awselb/2.0,text/html,GET,52.54.42.23,/,/favicon.ico,54.197.104.53,Amazon Web Services,7,False,,error,0,True,,,,,
bb3api.topechelon.com,,404,,bb3api.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-11T20:42:59Z,2025-03-11T20:42:58Z,CN=*.topechelon.com,*.topechelon.com,*.topechelon.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,4c8e02c08f95722382eab86b2886f44a,e7bc5d49af0643a8771c6045978f0f43fb056bbaacad3e75fcf59eb18d508526,ctls,bb3api.topechelon.com,,443,https://bb3api.topechelon.com,https,,,GET,52.22.169.79,/,/favicon.ico,54.224.204.92,,1,False,,other,0,True,,,https://bb3jobboardstaging.topechelon.com/app.css,,
bb3apistaging.topechelon.com,,404,,bb3apistaging.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-06T13:57:48Z,2025-03-06T13:57:47Z,CN=*.topechelon.com,*.topechelon.com,*.topechelon.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,4406235d1c64ca524c496dfe7901d6f5,8d49d1abba1ee857779bfc28faed1f02cf31fc2f00c0fdef1352c70e9ef567d3,ctls,bb3apistaging.topechelon.com,,443,https://bb3apistaging.topechelon.com,https,,,GET,52.70.81.253,/,/favicon.ico,98.83.84.30,,1,False,,other,0,True,,,https://-jbweb.sandbox.topechelon.com/app.css,,
bb3jobboard.topechelon.com,Job Board,200,910,bb3jobboard.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,bb3jobboard.topechelon.com,,443,https://bb3jobboard.topechelon.com,https,nginx,text/html,GET,18.210.104.37,/,/favicon.ico,3.232.17.215,Nginx,50,False,,other,0,True,,,,,
bb3jobboardstaging.topechelon.com,Job Board,200,910,bb3jobboardstaging.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-06T13:57:48Z,2025-03-06T13:57:47Z,CN=*.topechelon.com,*.topechelon.com,*.topechelon.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,4406235d1c64ca524c496dfe7901d6f5,8d49d1abba1ee857779bfc28faed1f02cf31fc2f00c0fdef1352c70e9ef567d3,ctls,bb3jobboardstaging.topechelon.com,,443,https://bb3jobboardstaging.topechelon.com,https,,text/html,GET,52.70.81.253,/,/favicon.ico,98.83.84.30,,50,False,,other,0,True,,,,,
beta.topechelon.com,Recruiting Solutions | Top Echelon,200,28600,beta.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,beta.topechelon.com,,443,https://beta.topechelon.com,https,Apache,text/html,GET,54.163.86.33,/,/wp-content/uploads/2015/08/favicon.ico,3.226.102.32,Yoast SEO:17.0,559,False,,nonerror,0,True,,,,983190166,
bigbiller.topechelon.com,,200,13749,bigbiller.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:58:57Z,2025-04-18T12:56:07Z,CN=topechelon.com,topechelon.com,*.topechelon.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,83680f78e7e60a868544b4227ef1c5a6,345ae83bae3feba97661f64b58ac3fb20be8c4877c876dee9a60eea2350d482c,ctls,bigbiller.topechelon.com,cloudflare,443,https://bigbiller.topechelon.com,https,cloudflare,text/html,GET,104.21.21.234,/,/assets/images/favicon.png,2606:4700:3036::6815:15ea,Typekit,86,False,True,nonerror,0,True,,,https://topechelon-tm-test.chargebee.com/,1862309075,
calendar.topechelon.com,Sign in - Google Accounts,200,1422,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:37:23Z,2025-04-21T08:37:22Z,CN=www.google.com,www.google.com,www.google.com,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,63f15ff9f2f55a05b138cb99273c3b11,5991b59e9a9d39dbaa87cdd0426f5057bf81f7c19f09d75eabb9729cb4098082,ctls,www.google.com,google,80,http://calendar.topechelon.com,http,GSE,text/html,GET,172.217.18.19,/,/favicon.ico,2a00:1450:4001:80e::2013,OpenGSE,32,False,True,nonerror,0,,,,url=https://www.google.com/accounts/AccountChooser?hd=topechelon.com&continue=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&followup=https%3A%2F%2Fcalendar.google.com%2Fcalendar%2F&osid=1&service=cl,,https://www.google.com/a/topechelon.com/ServiceLogin?service=cl&continue=https://calendar.google.com/calendar/&followup=https://calendar.google.com/calendar/&osid=1&passive=1209600
careers-dev.topechelon.com,Error,404,139,careers-dev.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-06T13:57:48Z,2025-03-06T13:57:47Z,CN=*.topechelon.com,*.topechelon.com,*.topechelon.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,4406235d1c64ca524c496dfe7901d6f5,8d49d1abba1ee857779bfc28faed1f02cf31fc2f00c0fdef1352c70e9ef567d3,ctls,careers-dev.topechelon.com,,443,https://careers-dev.topechelon.com,https,,text/html,GET,98.83.84.30,/,/favicon.ico,44.198.132.210,,11,False,,error,0,True,,,,,
careers.topechelon.com,Error,404,139,careers.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-18T11:58:57Z,2025-04-18T12:56:07Z,CN=topechelon.com,topechelon.com,*.topechelon.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,83680f78e7e60a868544b4227ef1c5a6,345ae83bae3feba97661f64b58ac3fb20be8c4877c876dee9a60eea2350d482c,ctls,careers.topechelon.com,cloudflare,443,https://careers.topechelon.com,https,cloudflare,text/html,GET,104.21.21.234,/,/favicon.ico,2606:4700:3032::ac43:c8f7,HTTP/3,11,False,True,error,0,True,,,,,
certbot.topechelon.com,503 Service Temporarily Unavailable,503,162,certbot.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,certbot.topechelon.com,,443,https://certbot.topechelon.com,https,awselb/2.0,text/html,GET,18.210.104.37,/,/favicon.ico,3.232.17.215,Amazon Web Services,7,False,,error,0,True,,,,,
connect.topechelon.com,Top Echelon Connect,200,70263,connect.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-05T21:29:07Z,2025-05-06T21:29:06Z,CN=connect.topechelon.com,connect.topechelon.com,connect.topechelon.com,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,b5ba6a6a3d1542c1016f3245516c01ce,889bd515a6f6e77fd452102df18f804310f2ad8e2fb726e58bcf3081bf313f55,ctls,connect.topechelon.com,,443,https://connect.topechelon.com,https,cloudflare,text/html,GET,141.193.213.10,/,/wp-content/uploads/2017/11/cropped-site-favicon-32x32.png,141.193.213.11,WordPress,878,False,,other,0,,,,,426487556,
conventions.topechelon.com,Top Echelon Connect,200,70263,connect.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-05T21:29:07Z,2025-05-06T21:29:06Z,CN=connect.topechelon.com,connect.topechelon.com,connect.topechelon.com,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,b5ba6a6a3d1542c1016f3245516c01ce,889bd515a6f6e77fd452102df18f804310f2ad8e2fb726e58bcf3081bf313f55,ctls,connect.topechelon.com,,443,https://conventions.topechelon.com,https,cloudflare,text/html,GET,141.193.213.11,/,/wp-content/uploads/2017/11/cropped-site-favicon-32x32.png,141.193.213.10,WordPress,878,False,,other,0,,,,,426487556,https://connect.topechelon.com/
dex.topechelon.com,403 Forbidden,403,118,dex.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,dex.topechelon.com,,443,https://dex.topechelon.com,https,awselb/2.0,text/html,GET,54.197.104.53,/,/favicon.ico,52.54.42.23,Amazon Web Services,7,False,,error,0,True,,,,,
dmz.careers-dev.topechelon.com,,404,,dmz.careers-dev.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-05T12:12:02Z,2025-05-06T12:12:01Z,CN=*.careers-dev.topechelon.com,*.careers-dev.topechelon.com,*.careers-dev.topechelon.com,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,acaf575305086cd2790358ef6a2b710c,ffe7cd0dac06239f89d3c3055521789ff56283a5f385699ce7bf9489ae4328c2,ctls,dmz.careers-dev.topechelon.com,,443,https://dmz.careers-dev.topechelon.com,https,,,GET,98.83.84.30,/,/favicon.ico,52.70.81.253,,1,False,,other,0,True,,,,,
docs.topechelon.com,Sign in - Google Accounts,200,1499,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-27T08:37:23Z,2025-04-21T08:37:22Z,CN=www.google.com,www.google.com,www.google.com,"CN=WE2, O=Google Trust Services, C=US",WE2,Google Trust Services,63f15ff9f2f55a05b138cb99273c3b11,5991b59e9a9d39dbaa87cdd0426f5057bf81f7c19f09d75eabb9729cb4098082,ctls,www.google.com,google,80,http://docs.topechelon.com,http,GSE,text/html,GET,142.250.186.51,/,/favicon.ico,2a00:1450:4001:80e::2013,OpenGSE,32,False,True,nonerror,0,,,,url=https://www.google.com/accounts/AccountChooser?hd=topechelon.com&continue=https%3A%2F%2Fdrive.google.com%2Fa%2Ftopechelon.com%2F&followup=https%3A%2F%2Fdrive.google.com%2Fa%2Ftopechelon.com%2F&osid=1&service=wise&faa=1,,https://www.google.com/a/topechelon.com/ServiceLogin?service=wise&passive=1209600&osid=1&continue=https://drive.google.com/a/topechelon.com/&followup=https://drive.google.com/a/topechelon.com/&faa=1
elk-dev.topechelon.com,403 Forbidden,403,118,elk-dev.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-02-12T00:00:00Z,2026-03-13T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6d0d09f6da985815dd595a9cb9ae7538,ff1fe79d8a28e63e50a804446c3639dcc155ffb28971127872c38bf26011ba8b,ctls,elk-dev.topechelon.com,,443,https://elk-dev.topechelon.com,https,awselb/2.0,text/html,GET,44.195.253.1,/,/favicon.ico,54.221.171.30,Amazon Web Services,7,False,,error,0,True,,,,,
elk.topechelon.com,403 Forbidden,403,118,elk.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,elk.topechelon.com,,443,https://elk.topechelon.com,https,awselb/2.0,text/html,GET,54.197.104.53,/,/favicon.ico,34.203.100.171,Amazon Web Services,7,False,,error,0,True,,,,,
feeds.topechelon.com,,403,255,feeds.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,feeds.topechelon.com,,443,https://feeds.topechelon.com,https,nginx,application/xml,GET,18.210.104.37,/,/favicon.ico,54.82.86.26,Nginx,2,False,,error,0,True,,,,,
feedsstaging.topechelon.com,,503,168,feedsstaging.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-06T13:57:48Z,2025-03-06T13:57:47Z,CN=*.topechelon.com,*.topechelon.com,*.topechelon.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,4406235d1c64ca524c496dfe7901d6f5,8d49d1abba1ee857779bfc28faed1f02cf31fc2f00c0fdef1352c70e9ef567d3,ctls,feedsstaging.topechelon.com,,443,https://feedsstaging.topechelon.com,https,,text/plain,GET,44.198.132.210,/,/favicon.ico,98.83.84.30,,1,False,,nonerror,0,True,,,,,
gems.topechelon.com,403 Forbidden,403,118,gems.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2025-02-12T00:00:00Z,2026-03-13T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,6d0d09f6da985815dd595a9cb9ae7538,ff1fe79d8a28e63e50a804446c3639dcc155ffb28971127872c38bf26011ba8b,ctls,gems.topechelon.com,,443,https://gems.topechelon.com,https,awselb/2.0,text/html,GET,44.195.253.1,/,/favicon.ico,54.221.171.30,Amazon Web Services,7,False,,error,0,True,,,,,
get.topechelon.com,Top Echelon | The Platform for Recruiters – TE Recruit™ and TE Network™ - Top Echelon | TE Recruit™ and TE Network™,200,167680,topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-28T15:14:45Z,2025-03-28T15:14:44Z,CN=topechelon.com,topechelon.com,topechelon.com,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,9ae5afb002394fef9ead2421a8f90b51,694d005c9d1b3aec3a4dce690b1df27621b9117a4a57aa762d9c15bf3958a4af,ctls,topechelon.com,cloudflare,443,https://get.topechelon.com,https,cloudflare,text/html,GET,104.18.31.133,/,/wp-content/uploads/2024/12/cropped-TEfavicon-32x32.png,2606:4700::6812:1e85,Yoast SEO:24.4,1841,False,True,other,0,,,,,-1280097282,https://topechelon.com
grafana.topechelon.com,403 Forbidden,403,118,grafana.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-03-16T00:00:00Z,2025-04-14T23:59:59Z,CN=*.topechelon.com,*.topechelon.com,topechelon.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,7792397bfbca899a7889936dac36ce3a,dfa3e4b1fa6da531fa2359d2d95c4791588fd91ba583e053069a8c3aab4ac8a2,ctls,grafana.topechelon.com,,443,https://grafana.topechelon.com,https,awselb/2.0,text/html,GET,52.54.42.23,/,/favicon.ico,54.197.104.53,Amazon Web Services,7,False,,error,0,True,,,,,
help.topechelon.com,Top Echelon Help Center,200,22972,help.topechelon.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2025-02-09T21:02:25Z,2025-05-10T21:02:24Z,CN=help.topechelon.com,help.topechelon.com,help.topechelon.com,"CN=R11, O=Let's Encrypt, C=US",R11,Let's Encrypt,9cc806f738206490c570e88839d871c1,92226bd289cbd4b30f23ffe3a5a00d0200691ec570be82d81cde5c8a26f6045c,ctls,help.topechelon.com,,443,https://help.topechelon.com,https,openresty,text/html,GET,23.21.18.71,/,/d33v4339jhl8k0.cloudfront.net/docs/assets/58d181cedd8c8e7f5974c617/images/6267fc9b7488cf771e51cd0d/te-fav-icon.png,3.209.166.35,Scala,493,False,,nonerror,0,,,,,,
https://*.sandbox.topechelon.com,,404,,*.sandbox.topechelon.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-22T11:26:59Z,2025-04-22T11:26:58Z,CN=*.sandbox.topechelon.com,*.sandbox.topechelon.com,*.sandbox.topechelon.com,"CN=R10, O=Let's Encrypt, C=US",R10,Let's Encrypt,9f0929245b8b20250f2d51957064eb56,93242f20b36d225c63ed8241cf25de83c4c076c4290c28699b6434ed9fe7d2e7,ctls,*.sandbox.topechelon.com,,443,https://*.sandbox.topechelon.com,https,,,GET,44.198.132.210,/,/favicon.ico,98.83.84.30,,1,False,,other,0,True,,,,,
