new,host,a,cname,soa,caa,status_code,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,ptr,ns
,developers.techsupport.bcc.nl,"76.76.21.93, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,dhl.bcc.nl,52.178.114.226,"prod-bcc-dhl-dnsfix.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,discounts-test.bcc.nl,40.118.100.127,"test-bcc-discounts-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,discounts.bcc.nl,52.178.114.226,"prod-bcc-discounts-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,dmz.techsupport.bcc.nl,"76.76.21.98, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,docs.techsupport.bcc.nl,"76.76.21.9, 76.76.21.61",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,e3bbd4f703c5e154197796ddc6478a43.bcc.nl,"204.79.197.200, 13.107.21.200","verify.bing.com, star-bing-com.a-0001.a-msedge.net, dual-a-0001.a-msedge.net","ns1.a-msedge.net, msnhst.microsoft.com",,NOERROR,2620:1ec:c11::200,,,,,,,,
,employee-acc.bcc.nl,52.166.119.99,"acc-bcc-employee.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,errorreports-acc.bcc.nl,52.166.119.99,"acc-bcc-errorreports-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,errorreports-test.bcc.nl,40.118.100.127,"test-bcc-errorreports-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,errorreports.bcc.nl,52.178.114.226,"prod-bcc-errorreports-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,essent-acc.bcc.nl,52.166.119.99,"acc-bcc-essent-weu.azurewebsites.net, waws-prod-am2-147.vip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,essent.bcc.nl,52.178.114.226,"prod-bcc-essent-weu.azurewebsites.net, waws-prod-am2-061.vip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,eu-east-1.techsupport.bcc.nl,"76.76.21.9, 76.76.21.22",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,faq.techsupport.bcc.nl,"76.76.21.61, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net",,NOERROR,,,,,,,,,
,fast.techsupport.bcc.nl,"76.76.21.241, 76.76.21.22",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, sectigo.com, letsencrypt.org",NOERROR,,,,,,,,,
,features-acc.bcc.nl,52.166.119.99,"acc-bcc-features-weu.azurewebsites.net, waws-prod-am2-147.vip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,features-test.bcc.nl,40.118.100.127,"test-bcc-features-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,features.bcc.nl,52.178.114.226,"prod-bcc-features-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,final.techsupport.bcc.nl,"76.76.21.22, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","globalsign.com, letsencrypt.org, sectigo.com",NOERROR,,,,,,,,,
,finance-acc.bcc.nl,52.166.119.99,"acc-bcc-finance-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,finance-test.bcc.nl,40.118.100.127,"test-bcc-finance-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,finance.bcc.nl,52.178.114.226,"prod-bcc-finance-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,folder.bcc.nl,13.69.68.71,"prod-bcc-shop-weu.azurewebsites.net, waws-prod-am2-037a.sip.azurewebsites.windows.net, waws-prod-am2-037a.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,folders-acc.bcc.nl,13.95.238.192,"www-acc.bcc.nl, acc-bcc-shop-weu.azurewebsites.net, waws-prod-am2-099.sip.azurewebsites.windows.net, waws-prod-am2-099.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,freebees-acc.bcc.nl,52.166.119.99,"acc-bcc-freebees-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,freebees-test.bcc.nl,40.118.100.127,"test-bcc-freebees-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,freebees.bcc.nl,52.178.114.226,"prod-bcc-freebees-weu.azurewebsites.net, waws-prod-am2-061.sip.azurewebsites.windows.net, waws-prod-am2-061.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,ftpservice.bcc.nl,185.78.251.45,,"ns01.hostnet.nl, hostmaster.hostnet.nl",,NOERROR,,,,,,,,,
,general-acc.bcc.nl,52.166.119.99,"acc-bcc-general-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,h-135-197-137-42.techsupport.bcc.nl,"76.76.21.123, 76.76.21.241",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","sectigo.com, letsencrypt.org, globalsign.com",NOERROR,,,,,,,,,
,h-135-207-105-1.techsupport.bcc.nl,"76.76.21.164, 76.76.21.9",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,h-135-207-28-75.techsupport.bcc.nl,"76.76.21.241, 76.76.21.123",cname.vercel-dns.com,"dns1.p07.nsone.net, hostmaster.nsone.net","letsencrypt.org, globalsign.com, sectigo.com",NOERROR,,,,,,,,,
,harmony-acc.bcc.nl,52.166.119.99,"acc-bcc-harmony-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,harmony-test.bcc.nl,40.118.100.127,"test-bcc-harmony-weu.azurewebsites.net, waws-prod-am2-169.sip.azurewebsites.windows.net, waws-prod-am2-169.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
,homedelivery-acc.bcc.nl,52.166.119.99,"acc-bcc-homedelivery-weu.azurewebsites.net, waws-prod-am2-147.sip.azurewebsites.windows.net, waws-prod-am2-147.cloudapp.net","ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,,True,azure,,,,,,
