input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,final_url
mirmon.mariadb.org,the status of MariaDB mirrors,200,52525,mirmon.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T17:21:18Z,2023-10-10T17:21:17Z,CN=translate.mariadb.org,translate.mariadb.org,translate.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9d93e47659216be5e231411719a48258,03db4139c81340191ebc8590e5a8f95156e2a3917f6f96c84c20b3c4b46c645d,ctls,mirmon.mariadb.org,443,https://mirmon.mariadb.org:443,https,nginx,text/html,GET,78.46.129.105,/,-1298654501,2a01:4f8:c2c:35c::1,Nginx,1206,False,,
mirror.fi.mariadb.org,Index of /,200,6046,mirror.fi.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-26T20:15:49Z,2023-08-24T20:15:48Z,CN=mirror.fi.mariadb.org,mirror.fi.mariadb.org,mirror.fi.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ef2e56cc02238ccfd7fa01ec2ef52d0c,23569692aaee637eed367583cc33befed673f5bb5de528a9a360e8a405a419c0,ctls,mirror.fi.mariadb.org,443,https://mirror.fi.mariadb.org:443,https,nginx,text/html,GET,194.136.193.147,/,1494302000,194.136.193.147,Nginx,55,False,,
monitoring.mariadb.org,monitoring.mariadb.org: Zabbix,200,5998,monitoring.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-08T08:07:27Z,2023-10-06T08:07:26Z,CN=monitoring.mariadb.org,monitoring.mariadb.org,zabbix.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d6fd2537e8f72dd175d0eccae23ba9c0,3ca6701809f075c8551f30132b8ddc0a94e10357191d91afb0d3748ca05082c2,ctls,monitoring.mariadb.org,443,https://monitoring.mariadb.org:443,https,Apache,text/html,GET,195.201.151.221,/,892542951,2a01:4f8:1c1c:cf6e::1,Zabbix,36,False,,
sponsors.dev.mariadb.org,401 Authorization Required,401,172,sponsors.dev.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T17:21:18Z,2023-10-10T17:21:17Z,CN=translate.mariadb.org,translate.mariadb.org,translate.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9d93e47659216be5e231411719a48258,03db4139c81340191ebc8590e5a8f95156e2a3917f6f96c84c20b3c4b46c645d,ctls,sponsors.dev.mariadb.org,443,https://sponsors.dev.mariadb.org:443,https,nginx,text/html,GET,78.46.129.105,/,-1710455754,2a01:4f8:c2c:35c::1,Nginx,8,False,,
sponsors.mariadb.org,MariaDB Sponsors,200,3840,sponsors.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T17:21:18Z,2023-10-10T17:21:17Z,CN=translate.mariadb.org,translate.mariadb.org,translate.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9d93e47659216be5e231411719a48258,03db4139c81340191ebc8590e5a8f95156e2a3917f6f96c84c20b3c4b46c645d,ctls,sponsors.mariadb.org,443,https://sponsors.mariadb.org:443,https,nginx,text/html,GET,78.46.129.105,/,1494302000,2a01:4f8:c2c:35c::1,Nginx,42,False,,
tools.mariadb.org,Welcome to nginx!,200,612,tools.mariadb.org,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-07-18T06:49:14Z,2023-10-16T06:49:13Z,CN=tools.mariadb.org,tools.mariadb.org,tools.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,df7f0989309a04bb9d2ad94eb8cc0024,37aae0ed11c56ed772267f9923e322325eb7a849865431b72502f08580890940,ctls,tools.mariadb.org,443,https://tools.mariadb.org:443,https,nginx,text/html,GET,116.203.136.12,/,190856733,2a01:4f8:c2c:2c68::1,Nginx,26,False,,
translate.mariadb.org,Weblate,200,14170,translate.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T17:21:18Z,2023-10-10T17:21:17Z,CN=translate.mariadb.org,translate.mariadb.org,translate.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9d93e47659216be5e231411719a48258,03db4139c81340191ebc8590e5a8f95156e2a3917f6f96c84c20b3c4b46c645d,ctls,translate.mariadb.org,443,https://translate.mariadb.org:443,https,nginx,text/html,GET,78.46.129.105,/,1257755997,2a01:4f8:c2c:35c::1,Python,453,False,,
websites.mariadb.org,Collation Charts,200,3825,websites.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-12T17:21:18Z,2023-10-10T17:21:17Z,CN=translate.mariadb.org,translate.mariadb.org,translate.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9d93e47659216be5e231411719a48258,03db4139c81340191ebc8590e5a8f95156e2a3917f6f96c84c20b3c4b46c645d,ctls,websites.mariadb.org,443,https://websites.mariadb.org:443,https,nginx,text/html,GET,78.46.129.105,/,-736071921,2a01:4f8:c2c:35c::1,Nginx,116,False,True,
www.mariadb.org,MariaDB Foundation - MariaDB.org,200,101979,mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-04T10:40:44Z,2023-10-02T10:40:43Z,CN=mariadb.org,mariadb.org,www.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6f01bf0da94de7b9d61d692a96d4552d,fb1e09012f11d263616eab8d1bdee930b44f3e9e36e86d13dddff4f6aa3580a6,ctls,mariadb.org,443,https://www.mariadb.org:443,https,nginx,text/html,GET,157.90.247.81,/,715728591,2a01:4f8:c012:39f8::1,YouTube,864,False,,https://mariadb.org/
yum.mariadb.org,Index of /yum/,200,3067,mirror.mariadb.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T18:20:07Z,2023-10-01T18:20:06Z,CN=mirror.mariadb.org,mirror.mariadb.org,yum.mariadb.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b6ee44ef7136a5af7e88cfcd782d1f86,30f7da8ac485da3655a33523b475af2f480fe3ba487f113ce6afae4b58642b76,ctls,mirror.mariadb.org,443,https://yum.mariadb.org:443,https,nginx,text/html,GET,162.55.42.214,/,-1840324437,2a01:4f8:1c17:e53d::1,Nginx,33,False,,https://mirror.mariadb.org/yum/
