input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,cdn,content_type,tls_mismatched,final_url,csp_domains_
brand.postmates.com,Login - Uber,200,25845,brand.postmates.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-20T00:00:00Z,2024-02-19T23:59:59Z,CN=brand.postmates.com,brand.postmates.com,,brand.postmates.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dec35dcc83b2c55381fff62e5687d655,f21f3e70b7c4d4590d44e6e0247a2aaaf2f8a15eee623ebfc339bf0039fd6719,,ctls,brand.postmates.com,,443,https://brand.postmates.com:443,https,frontify,GET,54.236.235.101,/,1349262368,54.87.166.198,PHP,174,False,,text/html,,https://brand.postmates.com/auth/?referer=%2F,
careers.postmates.com,,406,14,www.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,www.uber.com,google,443,https://careers.postmates.com:443,https,ufe,GET,34.98.127.226,/,611515849,34.98.127.226,HTTP/3,1,False,True,text/plain,,https://www.uber.com/us/en/careers/teams/eats/,
click.business.postmates.com,404 Not Found,404,162,,,,,,,,,,,,,,,,,,,,,80,http://click.business.postmates.com:80,http,nginx,GET,167.89.118.83,/,190856733,167.89.118.52,Nginx,8,False,,text/html,,,
click.merchant.postmates.com,404 Not Found,404,162,click.merchant.postmates.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,click.merchant.postmates.com,,443,https://click.merchant.postmates.com:443,https,nginx,GET,167.89.118.83,/,190856733,167.89.118.52,Nginx,8,False,,text/html,True,,
click.postmates.com,404 Not Found,404,162,click.postmates.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,click.postmates.com,,443,https://click.postmates.com:443,https,nginx,GET,167.89.118.83,/,190856733,167.89.118.52,Nginx,8,False,,text/html,True,,
courierhelp.postmates.com,Page Not Found - Uber,404,2783,courierhelp.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,courierhelp.postmates.com,google,443,https://courierhelp.postmates.com:443,https,ufe,GET,34.98.127.226,/,1303786269,34.98.127.226,HTTP/3,109,False,True,text/html,,,
deliver.postmates.com,,406,14,deliver.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,deliver.postmates.com,google,443,https://deliver.postmates.com:443,https,ufe,GET,34.98.127.226,/,611515849,34.98.127.226,HTTP/3,1,False,True,text/plain,,,
developer.postmates.com,,404,,developer.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,developer.postmates.com,google,443,https://developer.postmates.com:443,https,ufe,GET,34.98.127.226,/,-1840324437,34.98.127.226,HTTP/3,1,False,True,,,,
email.postmates.com,404 Not Found,404,162,email.postmates.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,email.postmates.com,,443,https://email.postmates.com:443,https,nginx,GET,167.89.115.120,/,190856733,167.89.115.120,Nginx,8,False,,text/html,True,,
eml.postmates.com,404 Not Found,404,162,eml.postmates.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,eml.postmates.com,,443,https://eml.postmates.com:443,https,nginx,GET,167.89.118.83,/,190856733,167.89.118.52,Nginx,8,False,,text/html,True,,
fleet-eml.postmates.com,,403,683,,,,,,,,,,,,,,,,,,,,,80,http://fleet-eml.postmates.com:80,http,openresty,GET,13.56.90.172,/,1960915587,52.8.5.217,OpenResty,18,False,,text/html,,,
help.postmates.com,,404,9,help.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,help.uber.com,google,443,https://help.postmates.com:443,https,ufe,GET,34.98.127.226,/,-738705486,34.98.127.226,HTTP/3,1,False,True,text/plain,,https://help.uber.com/postmates,
https://csp.uber.com/csp?a=uber-blog&ro=true,,405,,csp.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,csp.uber.com,,443,https://csp.uber.com:443/csp?a=uber-blog&ro=true,https,ufe,GET,104.36.192.148,/csp?a=uber-blog&ro=true,-1840324437,104.36.192.148,HSTS,1,False,,,,,
join.postmates.com,,406,14,www.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,www.uber.com,google,443,https://join.postmates.com:443,https,ufe,GET,34.98.127.226,/,611515849,34.98.127.226,HTTP/3,1,False,True,text/plain,,https://www.uber.com/us/en/careers/teams/eats/,
merchants.postmates.com,,406,14,merchants.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,merchants.postmates.com,google,443,https://merchants.postmates.com:443,https,ufe,GET,34.98.127.226,/,611515849,34.98.127.226,HTTP/3,1,False,True,text/plain,,,
order.postmates.com,"Postmates: Food Delivery, Groceries, Alcohol - Anything from Anywhere",200,412764,postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,postmates.com,google,443,https://order.postmates.com:443,https,ufe,GET,34.98.127.226,/,-738705486,34.98.127.226,HTTP/3,211,False,True,text/html,,https://postmates.com/,connect.facebook.net
partner-help.postmates.com,,404,9,help.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,help.uber.com,google,443,https://partner-help.postmates.com:443,https,ufe,GET,34.98.127.226,/,-738705486,34.98.127.226,HTTP/3,1,False,True,text/plain,,https://help.uber.com/merchants-and-restaurants,
partner.postmates.com,,404,9,auth.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,auth.uber.com,google,443,https://partner.postmates.com:443,https,ufe,GET,34.98.127.226,/,-738705486,34.98.127.226,HTTP/3,1,False,True,text/plain,,https://auth.uber.com/v2/?breeze_local_zone=dca23&next_url=https%3A%2F%2Fdirect.uber.com%2F&state=5Jyk_LPzYQoiFP-QOYgIIzQYxubamN2p9FOjpyQybX8%3D,
payments.postmates.com,,404,9,payments.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,payments.postmates.com,google,443,https://payments.postmates.com:443,https,ufe,GET,34.98.127.226,/,-738705486,34.98.127.226,HTTP/3,1,False,True,text/plain,,https://payments.postmates.com/not-found,
serve.postmates.com,Postmates Serve,200,8304,serve.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-03-20T23:59:59Z,"CN=*.github.io, O=GitHub\, Inc., L=San Francisco, ST=California, C=US",*.github.io,"GitHub, Inc.",githubusercontent.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f45a0dd4c867ee46fb7560d0015132c3,382cd42d33c02bc6678e657ce17b846d0473a7e791cdb35b8ead901af1e11a08,True,ctls,serve.postmates.com,,443,https://serve.postmates.com:443,https,GitHub.com,GET,185.199.110.153,/,-953760731,2606:50c0:8001::153,Varnish,2,False,,text/html,True,,
support.postmates.com,,404,9,help.uber.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-30T00:00:00Z,2023-10-03T23:59:59Z,"CN=*.uber.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.uber.com,"Uber Technologies, Inc.",uber.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,692a3dec7f7fe489f744f07447046311,337248ed49adbd45b3a914361233645bb6ad69794f6c7f1b39e04625eb69200f,True,ctls,help.uber.com,google,443,https://support.postmates.com:443,https,ufe,GET,34.98.127.226,/,-738705486,34.98.127.226,HTTP/3,1,False,True,text/plain,,https://help.uber.com/postmates,
test-fleet-eml.postmates.com,,403,683,,,,,,,,,,,,,,,,,,,,,80,http://test-fleet-eml.postmates.com:80,http,openresty,GET,13.56.90.172,/,1960915587,52.8.5.217,OpenResty,18,False,,text/html,,,
testauth.postmates.com,"Postmates: Food Delivery, Groceries, Alcohol - Anything from Anywhere",200,411124,testauth.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,testauth.postmates.com,google,443,https://testauth.postmates.com:443,https,ufe,GET,34.98.127.226,/,-738705486,34.98.127.226,HTTP/3,211,False,True,text/html,,,https://*.ubereats.com
theresa-test.postmates.com,,200,42875,theresa-test.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,theresa-test.postmates.com,google,443,https://theresa-test.postmates.com:443,https,ufe,GET,34.98.127.226,/,1317851576,34.98.127.226,HTTP/3,205,False,True,image/jpeg,,,
ufe.postmates.com,Page Not Found - Uber,404,2783,ufe.postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,ufe.postmates.com,google,443,https://ufe.postmates.com:443,https,ufe,GET,34.98.127.226,/,1303786269,34.98.127.226,HTTP/3,109,False,True,text/html,,,
www.postmates.com,"Postmates: Food Delivery, Groceries, Alcohol - Anything from Anywhere",200,411880,postmates.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,2023-09-28T23:59:59Z,"CN=*.postmates.com, O=Uber Technologies\, Inc., L=San Francisco, ST=California, C=US",*.postmates.com,"Uber Technologies, Inc.",postmates.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,cf7e5be6f1b995b884157e109a3d6583,1fff78d1ce25ae7a1de6701e29e645af72c360d8ef18f702b385badb1fa68763,True,ctls,postmates.com,google,443,https://www.postmates.com:443,https,ufe,GET,34.98.127.226,/,-738705486,34.98.127.226,HTTP/3,211,False,True,text/html,,https://postmates.com/,https://b92.yahoo.co.jp
