new,host,ttl,a,soa,has_internal_ips,internal_ips,status_code,mx,ns,txt,cname,caa
[x],analytics-eu.planethoster.com,3600,146.88.233.234,"{'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],analytics-global.planethoster.com,3600,199.16.129.207,"{'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],analytics-preview.planethoster.com,3600,199.16.129.208,"{'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],anborn.planethoster.net,8803,199.16.128.41,"{'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],anycast1.planethoster.net,14400,199.188.223.4,"{'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],anycast2.planethoster.net,14400,85.236.159.4,"{'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],api.planethoster.com,53,199.188.221.138,"{'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.planethoster.com', 'serial': 2024100101, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],api.planethoster.net,222,199.188.220.66,"{'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],apidoc.planethoster.com,10887,185.221.181.68,"{'name': 'apidoc.planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.apidoc.planethoster.com', 'serial': 2024102706, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'apidoc.planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.apidoc.planethoster.com', 'serial': 2024102706, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'apidoc.planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.apidoc.planethoster.com', 'serial': 2024102706, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'apidoc.planethoster.com', 'ns': 'nsa.n0c.com', 'mailbox': 'hostmaster.apidoc.planethoster.com', 'serial': 2024102706, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,mail.apidoc.planethoster.com,"nsa.n0c.com, nsc.n0c.com, nsb.n0c.com",,,
[x],apidoc.planethoster.net,14400,85.236.154.74,"{'name': 'apidoc.planethoster.net', 'ns': 'extrafeatures.fr.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2019082900, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}, {'name': 'apidoc.planethoster.net', 'ns': 'extrafeatures.fr.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2019082900, 'refresh': 3600, 'retry': 1800, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,"extrafeatures-1.fr.planethoster.net, extrafeatures.fr.planethoster.net",,,
[x],apiextend.planethoster.net,14400,199.188.222.246,"{'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],arathon.planethoster.net,14400,199.16.130.163,"{'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
[x],arod.planethoster.net,3600,,"{'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}, {'name': 'planethoster.net', 'ns': 'anycast1.planethoster.net', 'mailbox': 'report.planethoster.info', 'serial': 2024102500, 'refresh': 3600, 'retry': 7200, 'expire': 1209600, 'minttl': 86400}",,,NOERROR,,,,,
