new,host,soa,status_code,a,cname,ns,txt,caa,cdn,cdn-name,aaaa,mx
,broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"64.115.132.177, 108.162.195.99, 162.159.44.99, 172.64.35.99, 108.162.194.1, 162.159.38.1, 172.64.34.1",,"adelaide.ns.cloudflare.com, viddy.ns.cloudflare.com","v=spf1 include:spf.protection.outlook.com ip4:40.76.130.222 ip4:13.68.217.42 ip4:98.17.202.0/23 include:servers.mcsv.net include:_spf.salesforce.com -all, pardot_214211_*=b7924512b5bb37ccf873184f9185d34bb540c0b553fd188aa71ea4352a4c65c1, Vppfev0ZzhBlpMwzq5l7KDCsM+VCH7Rm2JhMcbQVFn+q8HIM7uLDsibBubVAgA/bKaCwuuuAnmF4gf3lplP/4A==",,,,"2606:4700:58::a29f:2c63, 2803:f800:50::6ca2:c363, 2a06:98c1:50::ac40:2363, 2606:4700:50::a29f:2601, 2803:f800:50::6ca2:c201, 2a06:98c1:50::ac40:2201","alt1.us.email.fireeyecloud.com, primary.us.email.fireeyecloud.com, alt3.us.email.fireeyecloud.com, alt2.us.email.fireeyecloud.com"
,bvapigw.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.25,,,,,,,,
,bvbrightmail.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.103,,,,,,,,
,bvdns.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.29,,,,,,,,
,bvextftp.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,bvklms1.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.84,,,,,,,,
,bvvpn1.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,146.145.49.164,,,,,,,,
,bvweb1.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.24,,,,,,,,
,bvweb2.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.25,,,,,,,,
,bvweb4.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.170,,,,,,,,
,bvwebdev.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.71,,,,,,,,
,cart.orderwindstream.com,"alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.64.154.12, 104.18.33.244",,,,,True,cloudflare,"2606:4700:4400::ac40:9a0c, 2606:4700:4400::6812:21f4",
,cart.windstreamoffers.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.21.68.120, 172.67.195.85",,,,,True,cloudflare,"2606:4700:3032::6815:4478, 2606:4700:3031::ac43:c355",
,cartdemo.windstreamoffers.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.67.195.85, 104.21.68.120",,,,,True,cloudflare,"2606:4700:3032::6815:4478, 2606:4700:3031::ac43:c355",
,chatbot.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.39,,,,,,,,
,cloudcomputing.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.16,,,,,,,,
,community.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,controlpanel.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,199.66.132.144,,,,,,,,
,customerservicerequest.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.168,,,,,,,,
,custview.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,dispatch.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,dispatchmobile.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,e911.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.78,,,,,,,,
,easy.broadviewnet.com,"ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",NOERROR,"3.126.202.50, 3.69.136.55",unbouncepages.com,"ns-362.awsdns-45.com, ns-748.awsdns-29.net, ns-1465.awsdns-55.org, ns-1575.awsdns-04.co.uk",google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,"amazon.com, comodoca.com, globalsign.com, letsencrypt.org",,,,
,email.getwindstream.com,"cns1.secureserver.net, dns.jomax.net",NOERROR,"68.178.252.20, 173.201.193.5, 173.201.193.20, 173.201.193.133, 173.201.193.148, 45.40.130.40, 45.40.130.41, 45.40.140.6",email.secureserver.net,,,,,,,
,enroll.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.155,,,,,,,,
,esales.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.168,,,,,,,,
,identity.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.12,,,,,,,,
,info.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.16,,,v=spf1 a:mktomail.com ~all,,,,,
,insidebroadview.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.177,www.broadviewnet.com,,,,,,,
,interim.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,itt01vmail.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,72.1.195.230,,,,,,,,
,k8services.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.46,,,,,,,,
,m.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.16,,,,,,,,
,mail.getwindstream.com,"ans01.domaincontrol.com, dns.jomax.net",NOERROR,"68.178.252.247, 173.201.193.240, 68.178.252.117, 68.178.252.246, 68.178.252.116, 68.178.252.153, 68.178.252.154, 173.201.193.97","pop.secureserver.net, pop.vox.secureserver.net, pop.us-phx.vox.secureserver.net",,,,,,,
,marketing.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,199.66.132.146,,,,,,,,
,meeting.broadviewnet.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"54.161.193.70, 3.215.47.228, 54.84.163.222",bvn-web-488092420.us-east-1.elb.amazonaws.com,,,,,,,
,msp.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.92,,,,,,,,
,mya.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,myofficesuite.broadviewnet.com,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,"13.107.237.45, 13.107.238.45","officesuite.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net",,,,,,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",
,nms.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.88.20.254,,,,,,,,
,officesuite1.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.172.164,officesuite1.broadviewnet.net,,,,,,,
,officesuite10.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.171.100,officesuite10.broadviewnet.net,,,,,,,
,officesuite13.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.163.20,officesuite13.broadviewnet.net,,,,,,,
,officesuite14.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.94.108,officesuite14.broadviewnet.net,,,,,,,
,officesuite15.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.166.100,officesuite15.broadviewnet.net,,,,,,,
,officesuite16.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.16.244,officesuite16.broadviewnet.net,,,,,,,
,officesuite17.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.66.76,officesuite17.broadviewnet.net,,,,,,,
,officesuite18.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.160.52,officesuite18.broadviewnet.net,,,,,,,
,officesuite19.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,216.214.54.246,officesuite19.broadviewnet.net,,,,,,,
,officesuite2.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.66.28,officesuite2.broadviewnet.net,,,,,,,
,officesuite21.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,72.4.242.102,officesuite21.broadviewnet.net,,,,,,,
,officesuite22.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,72.4.237.70,officesuite22.broadviewnet.net,,,,,,,
,officesuite23.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,72.4.238.150,officesuite23.broadviewnet.net,,,,,,,
,officesuite24.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.196.250.244,officesuite24.broadviewnet.net,,,,,,,
,officesuite25.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,75.90.218.4,officesuite25.broadviewnet.net,,,,,,,
,officesuite26.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,75.90.218.20,officesuite26.broadviewnet.net,,,,,,,
,officesuite27.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,75.90.218.36,officesuite27.broadviewnet.net,,,,,,,
,officesuite28.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,75.90.218.84,officesuite28.broadviewnet.net,,,,,,,
,officesuite3.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.66.92,officesuite3.broadviewnet.net,,,,,,,
,officesuite4.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.73.180,officesuite4.broadviewnet.net,,,,,,,
,officesuite7.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,64.61.184.148,officesuite7.broadviewnet.net,,,,,,,
,officesuite9.broadviewnet.com,"ns5-auth.windstream.net, hostmaster.windstream.net",NOERROR,216.214.54.116,officesuite9.broadviewnet.net,,,,,,,
,officesuiteacd.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,216.214.55.15,,,,,,,,
,officesuiteacd2.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.61.5.138,,,,,,,,
,officesuiteccs.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.61.71.252,,,,,,,,
,officesuitecti.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,officesuitectibeta.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,officesuitelantest.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,officesuiteuc.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,ort.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.142,,,,,,,,
,oskeygen.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.173,,,,,,,,
,owa.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.85,,,,,,,,
,partnerconnect.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,post.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.7,,,,,,,,
,post2.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,146.145.38.15,,,,,,,,
,presence.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,ps.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,146.145.49.174,,,,,,,,
,pslab.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,209.87.246.41,,,,,,,,
,rcavm.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.161,,,,,,,,
,sconnector.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.15,,,,,,,,
,secure.orderwindstream.com,"alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.99.229, 188.114.98.229",,,,,True,cloudflare,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",
,shop.getwindstream.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"34.206.181.91, 3.222.37.195","shop-getwindstream.clear.link, wds-fuse-cart.production.clearlink.com, fuse-production-lb-1428451199.us-east-1.elb.amazonaws.com",,,,,,,
,simplicity.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,slack.broadviewnet.com,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.t-msedge.net",NOERROR,"13.107.237.45, 13.107.238.45","officesuite.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net",,,,,,"2620:1ec:4e:1::45, 2620:1ec:4f:1::45",
,sms.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,smtp.getwindstream.com,"cns3.secureserver.net, dns.jomax.net",NOERROR,92.204.80.0,smtp.secureserver.net,"cns4.secureserver.net, cns3.secureserver.net",,,,,,
,ssltest.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,146.145.38.2,,,,,,,,
,static.go.broadviewnet.com,"n0dscg10.akamai.net, hostmaster.akamai.com",NOERROR,"23.55.161.211, 23.55.161.185","c349217.r17.cf1.rackcdn.com, a17.rackcdn.com, a17.rackcdn.com.mdc.edgesuite.net, a19.dscg10.akamai.net",,,,,,"2a02:26f0:1700:f::1737:a1b9, 2a02:26f0:1700:f::1737:a1d3",
,synnex.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.168,,,,,,,,
,t2s.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.26,,,,,,,,
,tacte.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.80,,,,,,,,
,taskbucket.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,tc.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.38,,,,,,,,
,test.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.168,,,,,,,,
,tftp.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,20.221.201.121,,,,,,,,
,upgrade.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.78,,,,,,,,
,v2tadmin.broadviewnet.com,"ns1.name.com, hostmaster.nsone.net",NOERROR,192.186.64.25,v2tadmin.nexiwave.com,,,,,,,
,v911rmi.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.90,,,,,,,,
,vlab175.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,72.1.196.240,,,,,,,,
,vlab65.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,209.87.246.61,,,,,,,,
,voicemail.broadviewnet.com,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com",NOERROR,"13.107.237.44, 13.107.238.44","officesuite.azurefd.net, star-azurefd-prod.trafficmanager.net, shed.dual-low.part-0016.t-0009.fdv2-t-msedge.net, part-0016.t-0009.fdv2-t-msedge.net",,,,,,"2620:1ec:4e:1::44, 2620:1ec:4f:1::44",
,voipe911.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.52,,,,,,,,
,webmail.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.19,,,,,,,,
,windstreamdeals.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,12.97.50.40,,"adelaide.ns.cloudflare.com, viddy.ns.cloudflare.com",,,,,,
,windstreamoffers.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,35.196.98.9,,"jake.ns.cloudflare.com, hera.ns.cloudflare.com","v=spf1 include:emsd1.com ~all, google-site-verification=euiUUrc8UwhTVtDqxfv1bjQra-XTH4-ZyUY0IOBIbFc, google-site-verification=anSNeW3YYxD2_I1ycxRwji6BQWVztqx1nu2_0A5aPDo, google-site-verification=AIXdX7FV6F3n6GZc7qc-wqaO1kL4B12JwYiKFVaMSS0",,True,google,,"alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com"
,windstreamsmallbusiness.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,35.196.98.9,,"viddy.ns.cloudflare.com, adelaide.ns.cloudflare.com",,,True,google,,
,www.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.177,,,,,,,,
,www.myofficesuite.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.81.14,,,,,,,,
,www.orderwindstream.com,"alina.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"188.114.98.229, 188.114.99.229",,,,,True,cloudflare,"2a06:98c1:3122:e000::5, 2a06:98c1:3123:e000::5",
,www.os.broadviewnet.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"18.208.125.13, 3.215.172.219, 52.54.96.194, 3.92.120.28, 34.237.219.119","go.pardot.com, pi.pardot.com, pi-ue1.pardot.com, pi-ue1-public-lb-f0209c6950285322.elb.us-east-1.amazonaws.com",,,,,,,
,www.os2.broadviewnet.com,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"3.215.172.219, 34.237.219.119, 18.208.125.13, 52.54.96.194, 3.92.120.28","go.pardot.com, pi.pardot.com, pi-ue1.pardot.com, pi-ue1-public-lb-f0209c6950285322.elb.us-east-1.amazonaws.com","ns-1286.awsdns-32.org, ns-1826.awsdns-36.co.uk, ns-281.awsdns-35.com, ns-844.awsdns-41.net",,,,,,
,www.windstreamdeals.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,windstreamdeals.com,,,,,,,
,www.windstreamsmallbusiness.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,35.196.98.9,windstreamsmallbusiness.com,"viddy.ns.cloudflare.com, adelaide.ns.cloudflare.com",,,True,google,,
,www1.windstreamoffers.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"172.67.195.85, 104.21.68.120",,,,,True,cloudflare,"2606:4700:3031::ac43:c355, 2606:4700:3032::6815:4478",
,xwall.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.27,,,,,,,,
,xwall3.broadviewnet.com,"adelaide.ns.cloudflare.com, dns.cloudflare.com",NOERROR,64.115.132.87,,,,,,,,
