input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_expired,tls_wildcard_certificate,final_url
api.int.monespacesante.fr,403 Forbidden,403,199,api.int.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T13:39:33Z,2023-09-22T13:39:32Z,"CN=www.int.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.int.monespacesante.fr,Atos,www.int.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,37d54855475d2f29b46a1935fea23152,0f9e139f33fa428cc5b3f2bdbbfe6275c0f9a24d83fca2c9700f0d6ba01dc81f,ctls,api.int.monespacesante.fr,443,https://api.int.monespacesante.fr:443,https,text/html,GET,80.78.4.122,/,-855688948,80.78.4.122,HSTS,8,False,,,,
api.intnext.monespacesante.fr,403 Forbidden,403,199,api.intnext.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-31T15:21:39Z,2023-08-31T15:21:38Z,"CN=www.intnext.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.intnext.monespacesante.fr,Atos,www.intnext.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,77cd78b4c019e9c6a30ce39d47bdd807,455be08aa86092c93d3b27412534d3e5a234806faa972394c1aab34cb6617480,ctls,api.intnext.monespacesante.fr,443,https://api.intnext.monespacesante.fr:443,https,text/html,GET,80.78.4.122,/,-855688948,80.78.4.122,HSTS,8,False,,,,
api.monespacesante.fr,403 Forbidden,403,199,api.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-23T22:00:00Z,2023-08-23T21:59:59Z,"serialNumber=S246440994, CN=www.monespacesante.fr, OU=0002 18003502402369, O=CAISSE NATIONALE D'ASSURANCE MALADIE, L=PARIS, C=FR",www.monespacesante.fr,CAISSE NATIONALE D'ASSURANCE MALADIE,cms.monespacesante.fr,"CN=Certigna Services CA, organizationIdentifier=NTRFR-48146308100036, OU=0002 48146308100036, O=DHIMYOTIS, C=FR, organizationIdentifier=NTRFR-48146308100036",Certigna Services CA,DHIMYOTIS,51c4d58c6364520f33dd29690714db52,4a129c56fa83650136f596bfb2f67a232b67f7a7c0d2703acec67fee7a854567,ctls,api.monespacesante.fr,443,https://api.monespacesante.fr:443,https,text/html,GET,80.78.4.124,/,-855688948,80.78.4.124,,8,False,,,,
api.pe1.monespacesante.fr,403 Forbidden,403,199,api.pe1.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T09:03:33Z,2023-10-06T09:03:32Z,"CN=www.securite.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.securite.monespacesante.fr,Atos,www.securite.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,6e2461278f96317fa0b49be81baeeee2,edf7f6ac1e42ef044419d1dcf9c738c52e22a12ceab1c0f9dd316d40d6475a70,ctls,api.pe1.monespacesante.fr,80,http://api.pe1.monespacesante.fr:80,http,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,,,,https://api.pe1.monespacesante.fr/
api.preprod.monespacesante.fr,403 Forbidden,403,199,api.preprod.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T12:21:03Z,2023-10-06T12:21:02Z,"CN=www.preprod.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.preprod.monespacesante.fr,Atos,www.preprod2.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,685c822ce50853368d706a365b8809d1,e27978b578bf9997dda14ba83f92b13843a6bfc4c92703f92b562d984f57a96e,ctls,api.preprod.monespacesante.fr,80,http://api.preprod.monespacesante.fr:80,http,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,,,,https://api.preprod.monespacesante.fr/
api.preprod1.monespacesante.fr,403 Forbidden,403,199,api.preprod1.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T12:21:03Z,2023-10-06T12:21:02Z,"CN=www.preprod.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.preprod.monespacesante.fr,Atos,www.preprod2.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,685c822ce50853368d706a365b8809d1,e27978b578bf9997dda14ba83f92b13843a6bfc4c92703f92b562d984f57a96e,ctls,api.preprod1.monespacesante.fr,443,https://api.preprod1.monespacesante.fr:443,https,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,,,,
api.rec.monespacesante.fr,403 Forbidden,403,199,api.rec.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T12:45:45Z,2023-10-06T12:45:44Z,"CN=www.rec.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.rec.monespacesante.fr,Atos,www.rec.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,65c9703a73d16d1f837aafab13b8b9ec,3250146301e1909c4a188bbfdca690424ab824c0c02550702dcd6addc715d00b,ctls,api.rec.monespacesante.fr,443,https://api.rec.monespacesante.fr:443,https,text/html,GET,80.78.4.122,/,-855688948,80.78.4.122,HSTS,8,False,,,,
auth.int.monespacesante.fr,403 Forbidden,403,199,auth.int.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T13:39:33Z,2023-09-22T13:39:32Z,"CN=www.int.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.int.monespacesante.fr,Atos,www.int.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,37d54855475d2f29b46a1935fea23152,0f9e139f33fa428cc5b3f2bdbbfe6275c0f9a24d83fca2c9700f0d6ba01dc81f,ctls,auth.int.monespacesante.fr,443,https://auth.int.monespacesante.fr:443,https,text/html,GET,80.78.4.122,/,-855688948,80.78.4.122,HSTS,8,False,,,,
auth.pe1.monespacesante.fr,403 Forbidden,403,199,auth.pe1.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T09:03:33Z,2023-10-06T09:03:32Z,"CN=www.securite.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.securite.monespacesante.fr,Atos,www.securite.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,6e2461278f96317fa0b49be81baeeee2,edf7f6ac1e42ef044419d1dcf9c738c52e22a12ceab1c0f9dd316d40d6475a70,ctls,auth.pe1.monespacesante.fr,443,https://auth.pe1.monespacesante.fr:443,https,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,,,,
auth.preprod.monespacesante.fr,403 Forbidden,403,199,auth.preprod.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T12:21:03Z,2023-10-06T12:21:02Z,"CN=www.preprod.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.preprod.monespacesante.fr,Atos,www.preprod2.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,685c822ce50853368d706a365b8809d1,e27978b578bf9997dda14ba83f92b13843a6bfc4c92703f92b562d984f57a96e,ctls,auth.preprod.monespacesante.fr,443,https://auth.preprod.monespacesante.fr:443,https,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,,,,
auth.preprod1.monespacesante.fr,403 Forbidden,403,199,auth.preprod1.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T12:21:03Z,2023-10-06T12:21:02Z,"CN=www.preprod.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.preprod.monespacesante.fr,Atos,www.preprod2.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,685c822ce50853368d706a365b8809d1,e27978b578bf9997dda14ba83f92b13843a6bfc4c92703f92b562d984f57a96e,ctls,auth.preprod1.monespacesante.fr,443,https://auth.preprod1.monespacesante.fr:443,https,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,,,,
auth.securite.monespacesante.fr,403 Forbidden,403,199,auth.securite.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T09:03:33Z,2023-10-06T09:03:32Z,"CN=www.securite.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.securite.monespacesante.fr,Atos,www.securite.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,6e2461278f96317fa0b49be81baeeee2,edf7f6ac1e42ef044419d1dcf9c738c52e22a12ceab1c0f9dd316d40d6475a70,ctls,auth.securite.monespacesante.fr,80,http://auth.securite.monespacesante.fr:80,http,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,,,,https://auth.securite.monespacesante.fr/
cms.developer.monespacesante.fr,403 Forbidden,403,199,cms.developer.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T13:22:38Z,2023-10-06T13:22:37Z,"CN=www.developer.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.developer.monespacesante.fr,Atos,www.developer.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,ffc3e2da35897b2fef8c1ef60015691e,ee09a0cb80b13601ac5e84e75d60decf062aeadd9da5513e3be798d82d5d2ba6,ctls,cms.developer.monespacesante.fr,443,https://cms.developer.monespacesante.fr:443,https,text/html,GET,80.78.4.65,/,-855688948,80.78.4.65,,8,False,,,,
cms.int.monespacesante.fr,403 Forbidden,403,199,cms.int.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T13:39:33Z,2023-09-22T13:39:32Z,"CN=www.int.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.int.monespacesante.fr,Atos,www.int.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,37d54855475d2f29b46a1935fea23152,0f9e139f33fa428cc5b3f2bdbbfe6275c0f9a24d83fca2c9700f0d6ba01dc81f,ctls,cms.int.monespacesante.fr,443,https://cms.int.monespacesante.fr:443,https,text/html,GET,80.78.4.122,/,-855688948,80.78.4.122,HSTS,8,False,,,,
cms.intnext.monespacesante.fr,403 Forbidden,403,199,cms.intnext.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-31T15:21:39Z,2023-08-31T15:21:38Z,"CN=www.intnext.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.intnext.monespacesante.fr,Atos,www.intnext.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,77cd78b4c019e9c6a30ce39d47bdd807,455be08aa86092c93d3b27412534d3e5a234806faa972394c1aab34cb6617480,ctls,cms.intnext.monespacesante.fr,443,https://cms.intnext.monespacesante.fr:443,https,text/html,GET,80.78.4.122,/,-855688948,80.78.4.122,HSTS,8,False,,,,
cms.pe1.monespacesante.fr,403 Forbidden,403,199,cms.pe1.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T12:21:03Z,2023-10-06T12:21:02Z,"CN=www.preprod.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.preprod.monespacesante.fr,Atos,www.preprod2.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,685c822ce50853368d706a365b8809d1,e27978b578bf9997dda14ba83f92b13843a6bfc4c92703f92b562d984f57a96e,ctls,cms.pe1.monespacesante.fr,80,http://cms.pe1.monespacesante.fr:80,http,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,True,,,https://cms.pe1.monespacesante.fr/
cms.preprod.monespacesante.fr,403 Forbidden,403,199,cms.preprod.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T12:21:03Z,2023-10-06T12:21:02Z,"CN=www.preprod.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.preprod.monespacesante.fr,Atos,www.preprod2.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,685c822ce50853368d706a365b8809d1,e27978b578bf9997dda14ba83f92b13843a6bfc4c92703f92b562d984f57a96e,ctls,cms.preprod.monespacesante.fr,443,https://cms.preprod.monespacesante.fr:443,https,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,,,,
cms.recbb.monespacesante.fr,403 Forbidden,403,199,cms.recbb.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T13:16:42Z,2023-10-06T13:16:41Z,"CN=www.recbb.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.recbb.monespacesante.fr,Atos,www.recbb.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,2c7b62a773e1dc1e0849e8f98dab14c4,126a6a0e0ace2af2173bd01579fb4040efa5851b5d847e5331c150843cb63713,ctls,cms.recbb.monespacesante.fr,443,https://cms.recbb.monespacesante.fr:443,https,text/html,GET,80.78.4.122,/,-855688948,80.78.4.122,HSTS,8,False,,,,
cms.securite.monespacesante.fr,403 Forbidden,403,199,cms.securite.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T12:21:03Z,2023-10-06T12:21:02Z,"CN=www.preprod.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.preprod.monespacesante.fr,Atos,www.preprod2.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,685c822ce50853368d706a365b8809d1,e27978b578bf9997dda14ba83f92b13843a6bfc4c92703f92b562d984f57a96e,ctls,cms.securite.monespacesante.fr,443,https://cms.securite.monespacesante.fr:443,https,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,True,,,
editeurs.developer.monespacesante.fr,403 Forbidden,403,199,editeurs.developer.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T13:22:38Z,2023-10-06T13:22:37Z,"CN=www.developer.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.developer.monespacesante.fr,Atos,www.developer.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,ffc3e2da35897b2fef8c1ef60015691e,ee09a0cb80b13601ac5e84e75d60decf062aeadd9da5513e3be798d82d5d2ba6,ctls,editeurs.developer.monespacesante.fr,443,https://editeurs.developer.monespacesante.fr:443,https,text/html,GET,80.78.4.65,/,-855688948,80.78.4.65,,8,False,,,,
editeurs.int.monespacesante.fr,403 Forbidden,403,199,editeurs.int.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T13:39:33Z,2023-09-22T13:39:32Z,"CN=www.int.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.int.monespacesante.fr,Atos,www.int.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,37d54855475d2f29b46a1935fea23152,0f9e139f33fa428cc5b3f2bdbbfe6275c0f9a24d83fca2c9700f0d6ba01dc81f,ctls,editeurs.int.monespacesante.fr,443,https://editeurs.int.monespacesante.fr:443,https,text/html,GET,80.78.4.122,/,-855688948,80.78.4.122,HSTS,8,False,,,,
editeurs.monespacesante.fr,Référencement éditeurs,200,1352,editeurs.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-23T22:00:00Z,2023-08-23T21:59:59Z,"serialNumber=S246440994, CN=www.monespacesante.fr, OU=0002 18003502402369, O=CAISSE NATIONALE D'ASSURANCE MALADIE, L=PARIS, C=FR",www.monespacesante.fr,CAISSE NATIONALE D'ASSURANCE MALADIE,cms.monespacesante.fr,"CN=Certigna Services CA, organizationIdentifier=NTRFR-48146308100036, OU=0002 48146308100036, O=DHIMYOTIS, C=FR, organizationIdentifier=NTRFR-48146308100036",Certigna Services CA,DHIMYOTIS,51c4d58c6364520f33dd29690714db52,4a129c56fa83650136f596bfb2f67a232b67f7a7c0d2703acec67fee7a854567,ctls,editeurs.monespacesante.fr,80,http://editeurs.monespacesante.fr:80,http,text/html,GET,80.78.4.124,/,-1252041730,80.78.4.124,HSTS,1,False,,,,https://editeurs.monespacesante.fr/
editeurs.pe1.monespacesante.fr,403 Forbidden,403,199,editeurs.pe1.monespacesante.fr,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-06T12:21:03Z,2023-10-06T12:21:02Z,"CN=www.preprod.monespacesante.fr, O=Atos, L=Bezons, C=FR",www.preprod.monespacesante.fr,Atos,www.preprod2.monespacesante.fr,"C=DE, O=Atos, CN=Atos TrustedRoot Server-CA 2019",Atos TrustedRoot Server-CA 2019,Atos,685c822ce50853368d706a365b8809d1,e27978b578bf9997dda14ba83f92b13843a6bfc4c92703f92b562d984f57a96e,ctls,editeurs.pe1.monespacesante.fr,443,https://editeurs.pe1.monespacesante.fr:443,https,text/html,GET,80.78.4.121,/,-855688948,80.78.4.121,,8,False,True,,,
