input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,favicon,tls_mismatched,tls_subject_org_,final_url,csp_domains_
app-new.jojo.exchange,,404,50,app-new.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-31T00:00:00Z,2026-03-03T23:59:59Z,"CN=*.netlify.app, O=Netlify\, Inc, L=San Francisco, ST=California, C=US",*.netlify.app,netlify.app,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ba36bf9a6cd32bb4fee1eaf083eefc45,fa346aa01cf59cc730ca552313a13e0f218c3a0bb5cce56709fe64ec974e8d75,True,ctls,app-new.jojo.exchange,,443,https://app-new.jojo.exchange,https,Netlify,text/plain,GET,3.124.100.143,/,/favicon.ico,2a05:d014:58f:6202::65,Netlify,1,False,,error,0,,True,"Netlify, Inc",,
app.gitbook.com,GitBook,200,4955,app.gitbook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-05T05:45:46Z,2025-04-05T06:45:25Z,CN=gitbook.com,gitbook.com,*.gitbook.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,acb72f197bcaf07df5bb0960ba77a325,a94e7f7186177e28ee214ddd3db4481ac2a46b823e40b568fcd77e16e6e00ae5,True,ctls,app.gitbook.com,cloudflare,443,https://app.gitbook.com,https,cloudflare,text/html,GET,104.18.41.89,/,/public/images/icon-512.png,2606:4700:4400::ac40:92a7,Linkedin Ads,57,False,True,nonerror,0,-886115405,,,,assets.getripe.com
app.jojo.exchange,JOJO,200,4885,app.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-21T21:53:38Z,2025-03-21T21:53:37Z,CN=app.jojo.exchange,app.jojo.exchange,app.jojo.exchange,"CN=E6, O=Let's Encrypt, C=US",E6,Let's Encrypt,12f34414082bdfef15b1fb7f47e9c055,d0bec788dc7835771bb0ff923f42866aa604231edd056250fbc183a726ce980b,,ctls,app.jojo.exchange,,443,https://app.jojo.exchange,https,Netlify,text/html,GET,3.125.36.175,/,/favicon.png,2a05:d014:58f:6202::65,Netlify,1,False,,nonerror,0,951854852,,,,
autodandomain-zkerfig-labproxy-qa.inter.customer.base-sepolia.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://autodandomain-zkerfig-labproxy-qa.inter.customer.base-sepolia.jojo.exchange,http,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::ac43:4545,Cloudflare,1,False,True,error,0,,,,,
autodandomain-zkerfig-labproxy.beta.customer.base-sepolia.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://autodandomain-zkerfig-labproxy.beta.customer.base-sepolia.jojo.exchange,http,cloudflare,application/json,GET,104.26.10.41,/,/favicon.ico,2606:4700:20::ac43:4545,Cloudflare,1,False,True,error,0,,,,,
autodandomain-zkerfig-labproxy.stage.customer.base-sepolia.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://autodandomain-zkerfig-labproxy.stage.customer.base-sepolia.jojo.exchange,http,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
backend-autodandomain-zkerfig-labproxy.customer.base-sepolia.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://backend-autodandomain-zkerfig-labproxy.customer.base-sepolia.jojo.exchange,http,cloudflare,application/json,GET,104.26.10.41,/,/favicon.ico,2606:4700:20::ac43:4545,Cloudflare,1,False,True,error,0,,,,,
backend-inter.dandomaineronenterpriseire-mainnet.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://backend-inter.dandomaineronenterpriseire-mainnet.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
backenddandomaineronfixire.inter.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://backenddandomaineronfixire.inter.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
base-dandomaineronenterpriseire.base-mainnet.jojo.exchange,,404,24,base-dandomaineronenterpriseire.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,base-dandomaineronenterpriseire.base-mainnet.jojo.exchange,cloudflare,443,https://base-dandomaineronenterpriseire.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
base.jojo.exchange,JOJO,200,4653,base.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-04T20:53:39Z,2025-05-05T20:53:38Z,CN=base.jojo.exchange,base.jojo.exchange,base.jojo.exchange,"CN=E5, O=Let's Encrypt, C=US",E5,Let's Encrypt,5010aebbaa79c906a865476dca3a4426,a10be2a3e5c410ccd93810a83cb7d39aa810a2bbead243bab7c841b604e8971f,,ctls,base.jojo.exchange,,443,https://base.jojo.exchange,https,Netlify,text/html,GET,3.75.10.80,/,/favicon.png,2a05:d014:58f:6202::65,Netlify,1,False,,nonerror,0,951854852,,,,
beta-internal-dandomainarbitrum-testnetonfire.base-mainnet.jojo.exchange,,404,24,beta-internal-dandomainarbitrum-testnetonfire.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,beta-internal-dandomainarbitrum-testnetonfire.base-mainnet.jojo.exchange,cloudflare,443,https://beta-internal-dandomainarbitrum-testnetonfire.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::ac43:4545,Cloudflare,1,False,True,error,0,,,,,
beta.temp-inter.dandomaineronfibg.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://beta.temp-inter.dandomaineronfibg.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,104.26.10.41,/,/favicon.ico,2606:4700:20::ac43:4545,Cloudflare,1,False,True,error,0,,,,,
build.preinfrapdandomaineronfire-originnk.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://build.preinfrapdandomaineronfire-originnk.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
builddevuat.03dandomaineronfire.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://builddevuat.03dandomaineronfire.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,104.26.11.41,Cloudflare,1,False,True,error,0,,,,,
ccbizagw-e2.base-mainnet.jojo.exchange,,404,24,ccbizagw-e2.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,ccbizagw-e2.base-mainnet.jojo.exchange,cloudflare,443,https://ccbizagw-e2.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
ci-final.dev.dandomaineronfire-fortworth.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://ci-final.dev.dandomaineronfire-fortworth.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
ci-gitinter.dandomaineronenterpriseire.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://ci-gitinter.dandomaineronenterpriseire.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
ci.system-infrapdandomaineronfire-originnk.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://ci.system-infrapdandomaineronfire-originnk.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
cidandomaineronkoere-uat.base-mainnet.jojo.exchange,,404,24,cidandomaineronkoere-uat.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,cidandomaineronkoere-uat.base-mainnet.jojo.exchange,cloudflare,443,https://cidandomaineronkoere-uat.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,104.26.10.41,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
confdandomaineronfarbitrum-papertradee-final.base-mainnet.jojo.exchange,,404,24,confdandomaineronfarbitrum-papertradee-final.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,confdandomaineronfarbitrum-papertradee-final.base-mainnet.jojo.exchange,cloudflare,443,https://confdandomaineronfarbitrum-papertradee-final.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
confdandomaineronfarbitrum.base-mainnet.jojo.exchange,,404,24,confdandomaineronfarbitrum.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,confdandomaineronfarbitrum.base-mainnet.jojo.exchange,cloudflare,443,https://confdandomaineronfarbitrum.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
crome-test.base-sepolia.jojo.exchange,,404,24,crome-test.base-sepolia.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-07T19:15:27Z,2025-05-08T20:15:25Z,CN=jojo.exchange,jojo.exchange,*.internal.base-sepolia.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,c106e9d79958f4eb9b799ffad4b0a929,842981ed2af1f2314573517f7ad69c25c423ed60a3a5dc2ba55cc5200d3a20cf,True,ctls,crome-test.base-sepolia.jojo.exchange,cloudflare,443,https://crome-test.base-sepolia.jojo.exchange,https,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
dandomaineronbronzere-internal.demo.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://dandomaineronbronzere-internal.demo.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
dandomaineronfire-mainnet.base-mainnet.jojo.exchange,,404,24,dandomaineronfire-mainnet.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,dandomaineronfire-mainnet.base-mainnet.jojo.exchange,cloudflare,443,https://dandomaineronfire-mainnet.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::ac43:4545,Cloudflare,1,False,True,error,0,,,,,
dandomaineronfirespam-uat.dandomaineronkoere-mainnet.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://dandomaineronfirespam-uat.dandomaineronkoere-mainnet.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
dandomaineronfirespam.build.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://dandomaineronfirespam.build.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::ac43:4545,Cloudflare,1,False,True,error,0,,,,,
dandomaineronfirespamprod.base-mainnet.jojo.exchange,,404,24,dandomaineronfirespamprod.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,dandomaineronfirespamprod.base-mainnet.jojo.exchange,cloudflare,443,https://dandomaineronfirespamprod.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
dandomaineronfisoporteinternal.base-mainnet.jojo.exchange,,404,24,dandomaineronfisoporteinternal.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,dandomaineronfisoporteinternal.base-mainnet.jojo.exchange,cloudflare,443,https://dandomaineronfisoporteinternal.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
dandomaineronkoere-mainnet.base-mainnet.jojo.exchange,,404,24,dandomaineronkoere-mainnet.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,dandomaineronkoere-mainnet.base-mainnet.jojo.exchange,cloudflare,443,https://dandomaineronkoere-mainnet.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
db98.base-sepolia.jojo.exchange,,404,24,db98.base-sepolia.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-07T19:15:27Z,2025-05-08T20:15:25Z,CN=jojo.exchange,jojo.exchange,*.internal.base-sepolia.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,c106e9d79958f4eb9b799ffad4b0a929,842981ed2af1f2314573517f7ad69c25c423ed60a3a5dc2ba55cc5200d3a20cf,True,ctls,db98.base-sepolia.jojo.exchange,cloudflare,443,https://db98.base-sepolia.jojo.exchange,https,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::ac43:4545,Cloudflare,1,False,True,error,0,,,,,
demo-dandomaineronkoere-uat.base-mainnet.jojo.exchange,,404,24,demo-dandomaineronkoere-uat.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,demo-dandomaineronkoere-uat.base-mainnet.jojo.exchange,cloudflare,443,https://demo-dandomaineronkoere-uat.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
dev.build.confdandomaineronfarbitrum-papertradee.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://dev.build.confdandomaineronfarbitrum-papertradee.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
devuat-zkerfig-lab.confdandomaineronfarbitrum.base-mainnet.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://devuat-zkerfig-lab.confdandomaineronfarbitrum.base-mainnet.jojo.exchange,http,cloudflare,application/json,GET,172.67.69.69,/,/favicon.ico,2606:4700:20::ac43:4545,Cloudflare,1,False,True,error,0,,,,,
docs.jojo.exchange,Home | JOJO Exchange Docs,200,15267,docs.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-18T19:53:38Z,2025-03-18T19:53:37Z,CN=docs.jojo.exchange,docs.jojo.exchange,docs.jojo.exchange,"CN=E6, O=Let's Encrypt, C=US",E6,Let's Encrypt,a840c7a145724aa5d9b2b116206c432b,8a14be4108fcf9d44f170813d22ebe05ebbdbac7acc4e1f8a3f6dd58116c1168,,ctls,docs.jojo.exchange,,443,https://docs.jojo.exchange,https,Netlify,text/html,GET,3.75.10.80,/,/img/favicon.png,2a05:d014:58f:6202::65,Webpack,17,False,,nonerror,0,1205086387,,,,
emr.uat.autodandomain-zkemrfig-labpmroxy.base-sepolia.jojo.exchange,,404,24,,,,,,,,,,,,,,,,,,,cloudflare,80,http://emr.uat.autodandomain-zkemrfig-labpmroxy.base-sepolia.jojo.exchange,http,cloudflare,application/json,GET,104.26.10.41,/,/favicon.ico,2606:4700:20::681a:a29,Cloudflare,1,False,True,error,0,,,,,
faue1-2.base-mainnet.jojo.exchange,,404,24,faue1-2.base-mainnet.jojo.exchange,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-12-23T03:17:37Z,2025-03-23T04:17:31Z,CN=jojo.exchange,jojo.exchange,*.base-mainnet.jojo.exchange,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,78a6e608f486d41da298dd3af960435c,11fbb31281069ffad614710c80a16fca0d2abeec0e68dd8a1ef5f6731058b608,True,ctls,faue1-2.base-mainnet.jojo.exchange,cloudflare,443,https://faue1-2.base-mainnet.jojo.exchange,https,cloudflare,application/json,GET,104.26.11.41,/,/favicon.ico,2606:4700:20::681a:b29,Cloudflare,1,False,True,error,0,,,,,
