input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,tls_mismatched,tls_wildcard_certificate,tls_subject_org_,tls_expired,final_url
core.stanford.edu,,404,14,,earth.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,earth.stanford.edu,443,https://core.stanford.edu:443,https,nginx,text/html,GET,171.67.166.75,/,-712017513,171.67.166.75,Varnish,1,False,,,True,True,Stanford University,,https://earth.stanford.edu/core/
csdev.sahr.stanford.edu,Index Page,200,1931,,csdev.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-21T00:00:00Z,2024-07-20T23:59:59Z,"CN=csdev.sahr.stanford.edu, O=Stanford University, ST=California, C=US",csdev.sahr.stanford.edu,csdev.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,a3a21018d7761e037342e0f8e5c36593,c4be90ce445acd53b0a83b0321b53383584581910125a856583a4da342e648ab,ctls,csdev.sahr.stanford.edu,443,https://csdev.sahr.stanford.edu:443,https,,text/html,GET,171.67.55.83,/,-2113408924,171.67.55.83,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
csfix.sahr.stanford.edu,Index Page,200,1931,,csfix.sahr.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-14T00:00:00Z,2024-06-13T23:59:59Z,"CN=csfix.sahr.stanford.edu, O=Stanford University, ST=California, C=US",csfix.sahr.stanford.edu,csfix.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,d090c70c470eb9d9becf01f23893df5c,1d48e912c6715dff8f9d64064669a61cfd1bfbd4a6c4e1a4589b72eeca8a6713,ctls,csfix.sahr.stanford.edu,443,https://csfix.sahr.stanford.edu:443,https,,text/html,GET,171.67.55.167,/,-2113408924,171.67.55.167,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
csperf.sahr.stanford.edu,Index Page,200,1932,,csperf.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-06-05T23:59:59Z,"CN=csperf.sahr.stanford.edu, O=Stanford University, ST=California, C=US",csperf.sahr.stanford.edu,csperf.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,b3c52bf31f824efd08b402d56ab09995,427cf7a85a006873cb55d4de0a6c5f965117ca933266b009f149ca1c76bbe8fb,ctls,csperf.sahr.stanford.edu,443,https://csperf.sahr.stanford.edu:443,https,,text/html,GET,171.67.55.36,/,-2113408924,171.67.55.36,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
csprd.sahr.stanford.edu,Index Page,200,1931,,csprd.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-19T00:00:00Z,2024-07-18T23:59:59Z,"CN=csprd.sahr.stanford.edu, O=Stanford University, ST=California, C=US",csprd.sahr.stanford.edu,csprd.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,846185f2af0dc5b06a227195aa40a1d0,ac21c75e971e24a39f318a3047c6d9eec82b90674db2a67b2707687fc67f24a8,ctls,csprd.sahr.stanford.edu,443,https://csprd.sahr.stanford.edu:443,https,,text/html,GET,171.67.37.75,/,-2113408924,171.67.37.75,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
dashboard.stanford.edu,Stanford Login - Stale Request,200,5774,,login.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=login.stanford.edu, O=Stanford University, ST=California, C=US",login.stanford.edu,weblogin.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,f9b8ece1f754fd432d44de5f1fe848e3,9ecf5abe95a63c37baa1d6224f0b25c58b7200da0b7fbd8d143be42cb447dd8e,ctls,login.stanford.edu,443,https://dashboard.stanford.edu:443,https,Apache,text/html,GET,35.235.110.88,/,-1787317344,35.235.110.88,Java,106,False,google,True,,,Stanford University,,https://login.stanford.edu/idp/profile/SAML2/Redirect/SSO?execution=e1s1
data.stanford.edu,Stanford Libraries Social Science Data Collection,200,46936,,data.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,data.stanford.edu,443,https://data.stanford.edu:443,https,nginx,text/html,GET,34.215.171.12,/,997500400,34.215.171.12,Varnish,337,False,,,True,True,Stanford University,,
dev.stanford.edu,WebAuth Error,200,2317,,webkdc.cs.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-06-13T00:00:00Z,2024-06-12T23:59:59Z,"CN=cs.stanford.edu, O=Stanford University, ST=California, C=US",cs.stanford.edu,*.cs.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,39f72dec38834765fafb7d241092c449,eafa94a2adc38c793bfdeea0b83a22f3969fcd31893b8d30a395243257169a32,ctls,webkdc.cs.stanford.edu,443,https://dev.stanford.edu:443,https,Apache,text/html,GET,171.64.68.36,/,-1383752173,171.64.68.36,HSTS,75,False,,,,True,Stanford University,,https://webkdc.cs.stanford.edu/login?RT=ZMHT7Cq7cZlsUJLL%208s9KuEFgFi3dWXHaTJ7qM2403x4mMmvgD9BbMJWhpXAJTsw%200i4qvUsk2tBUBcj6kvaEtPwHx3xvUloqjgNaQ48YBRvBVyPI7BCrW2vtsB0MtlBYSmywHYjTahGgYbNNc5S9E22j%202up5bizr0QgLFKQRQQircznuUh%2Fj1VommBIBobbpL2B3Lol8%2FAAmGy7lblkN2%2F016uUsS80eCsuz5v2eAUMLeTLqbtXcNxsdY0yZ1JMTirgA%3D%3D;ST=ZKJZHtJcor7haOrcwkzipN39ox2CPA7prF6y8lGcEc4kU6TC8B1gDTf5m02DcmTde7GUHoNwskZ7rEJVrlVtnYpXVN8i0TP9o8u6NaIgoc8IyvXttgQaw%2FG%2F36rRtuAnZABfcY8jcPvQV0OqjJQCaxJPqg%2FAejrJHgqY8AB%20ywb%2FSTBlaIf6nJ9%2Fchztvjz40p12Xw%3D%3D;test_cookie=1
docs.stanford.edu,Access forbidden : Stanford University,403,5471,,docs.stanford.edu,443,True,tls12,TLS_RSA_WITH_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,www-v6.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,6e50ace6409cd02ee665f3112237bb52,d4d0b2f39624e14730b74d57fc150a18d3fed5c1f24754ee9bea40b3d7df8e6e,ctls,docs.stanford.edu,443,https://docs.stanford.edu:443,https,Apache,text/html,GET,171.67.215.200,/,1495961220,2607:f6d0:0:925a::ab43:d7c8,HSTS,123,False,,,,True,Stanford University,,
engineering.stanford.edu,Stanford University School of Engineering,200,154545,,engineering.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,engineering.stanford.edu,443,https://engineering.stanford.edu:443,https,nginx,text/html,GET,52.36.131.229,/,997500400,52.36.131.229,Varnish,936,False,,,True,True,Stanford University,,
enrollmentdev.sahr.stanford.edu,403 Forbidden,403,328,,enrollmentdev.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-30T00:00:00Z,2024-01-30T23:59:59Z,"CN=enrollmentdev.sahr.stanford.edu, O=Stanford University, ST=California, C=US",enrollmentdev.sahr.stanford.edu,enrollmentdev.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,096a61f07a704577f073ce8941a117aa,34b7c045f672c6eda52cd056b69ef529a877b7bf61b0924827b8c6f9898b0ed0,ctls,enrollmentdev.sahr.stanford.edu,443,https://enrollmentdev.sahr.stanford.edu:443,https,Apache,text/html,GET,171.67.7.59,/,-2034643550,171.67.7.59,HSTS,12,False,,,,,Stanford University,,
forum.stanford.edu,Computer Forum,200,95305,,forum.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-29T00:00:00Z,2023-09-29T23:59:59Z,"CN=stanford.edu, O=Stanford University, ST=California, C=US",stanford.edu,sites.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,ba79de701433a1bbb7ae5adf8ba7cbe3,73b5d7a20c9dad276dfbf9c390ec5ad3ab464de77150592f2ab56cb1c8c561c2,ctls,forum.stanford.edu,443,https://forum.stanford.edu:443,https,nginx,text/html,GET,34.215.171.12,/,997500400,34.215.171.12,Varnish,595,False,,,True,True,Stanford University,,
lab.stanford.edu,,403,136,,lab.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-05T00:00:00Z,2024-04-05T23:59:59Z,CN=*.us-west-2.es.amazonaws.com,*.us-west-2.es.amazonaws.com,*.us-west-2.es.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,27900259cae1c4f0fecbd8258b9f367e,d8e063506530d4401c24638898529196fc995388a92edd6a6fa8ab08348d10c1,ctls,lab.stanford.edu,443,https://lab.stanford.edu:443,https,,application/json,GET,52.89.113.217,/,1327305858,52.89.113.217,,1,False,,,True,True,,,
live.stanford.edu,Stanford Live,200,59407,,live.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-16T20:23:20Z,2023-10-14T20:23:19Z,CN=live.stanford.edu,live.stanford.edu,live.stanford.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,79fc13c0b1157e8fa4b621ddd34acd51,451bf6bd299e96b465e81c996d8d4d16362631f5820e10874e5b711e1f96d876,ctls,live.stanford.edu,443,https://live.stanford.edu:443,https,nginx,text/html,GET,23.185.0.1,/,-1438609193,2620:12a:8000::1,Varnish,541,False,,,,,,,
manager.stanford.edu,Manager Toolkit | Manager Toolkit,200,98028,,cardinalatwork.stanford.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-05T00:00:00Z,2024-04-04T23:59:59Z,"CN=*.stanford.edu, O=Stanford University, L=Stanford, ST=California, C=US",*.stanford.edu,stanford.edu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4cc9a13ec99950cda50f52e941fe35d7,9b175938543ac36ab48c8a4139ccef0ae972fc801c46bd95526ab7b8d9854eb0,ctls,cardinalatwork.stanford.edu,443,https://manager.stanford.edu:443,https,,text/html,GET,54.81.116.232,/,1494302000,54.81.116.232,Red Hat Gluster,733,False,,,,True,Stanford University,,https://cardinalatwork.stanford.edu/manager-toolkit
pseldev.sahr.stanford.edu,Index Page,200,1933,,pseldev.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-21T00:00:00Z,2024-07-20T23:59:59Z,"CN=pseldev.sahr.stanford.edu, O=Stanford University, ST=California, C=US",pseldev.sahr.stanford.edu,pseldev.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,bb2389da58c92c286d53a50f0016a111,fb14c640bfc07d66abfcfdc55fcf7510778894430b0b2202a241e77fcb2709b6,ctls,pseldev.sahr.stanford.edu,443,https://pseldev.sahr.stanford.edu:443,https,,text/html,GET,171.67.55.170,/,-2113408924,171.67.55.170,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
pselfix.sahr.stanford.edu,Index Page,200,1933,,pselfix.sahr.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-15T00:00:00Z,2024-06-14T23:59:59Z,"CN=pselfix.sahr.stanford.edu, O=Stanford University, ST=California, C=US",pselfix.sahr.stanford.edu,pselfix.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,6c80063c42120872865ab91f1fbbec0f,9b9330e379576773914214b8b5492ac7dfaf02d5fa219ae74b2ca0736654cdbb,ctls,pselfix.sahr.stanford.edu,443,https://pselfix.sahr.stanford.edu:443,https,,text/html,GET,171.67.37.236,/,-2113408924,171.67.37.236,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
pselperf.sahr.stanford.edu,Index Page,200,1934,,pselperf.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-06T00:00:00Z,2024-06-05T23:59:59Z,"CN=pselperf.sahr.stanford.edu, O=Stanford University, ST=California, C=US",pselperf.sahr.stanford.edu,pselperf.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,35f633c08906646ec5a08c79adebf494,081f3c1ca9ef8238217a7e2583fe09fa175c1ed10369b2ba18ae028f1cc41205,ctls,pselperf.sahr.stanford.edu,443,https://pselperf.sahr.stanford.edu:443,https,,text/html,GET,171.67.55.82,/,-2113408924,171.67.55.82,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
pselprd.sahr.stanford.edu,Index Page,200,1933,,pselprd.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-19T00:00:00Z,2024-07-18T23:59:59Z,"CN=pselprd.sahr.stanford.edu, O=Stanford University, ST=California, C=US",pselprd.sahr.stanford.edu,pselprd.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,5c936e4d4be73e395af5446376bec0a3,ed5a8c5232876050c0a07b243cdcfbb06bb65dfabb4bb15ddd65b28e37fd0235,ctls,pselprd.sahr.stanford.edu,443,https://pselprd.sahr.stanford.edu:443,https,,text/html,GET,171.67.37.115,/,-2113408924,171.67.37.115,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
pseluat.sahr.stanford.edu,Index Page,200,1933,,pseluat.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-23T00:00:00Z,2024-05-22T23:59:59Z,"CN=pseluat.sahr.stanford.edu, O=Stanford University, ST=California, C=US",pseluat.sahr.stanford.edu,pseluat.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,bcddc9f594877313a8498c297d652db1,a5ea34f361b6cf65764e06438d4032371481976e1f9cacd3df357e6cf9549981,ctls,pseluat.sahr.stanford.edu,443,https://pseluat.sahr.stanford.edu:443,https,,text/html,GET,171.67.55.174,/,-2113408924,171.67.55.174,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
pshrdev.sahr.stanford.edu,Index Page,200,1933,,pshrdev.sahr.stanford.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-21T00:00:00Z,2024-07-20T23:59:59Z,"CN=pshrdev.sahr.stanford.edu, O=Stanford University, ST=California, C=US",pshrdev.sahr.stanford.edu,pshrdev.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,8cc7f0a35134f6c6396704198986813d,ece003700e21f14e0cb4e4627258cd94d8bca6e6c2bfb638937498d557beb6ce,ctls,pshrdev.sahr.stanford.edu,443,https://pshrdev.sahr.stanford.edu:443,https,,text/html,GET,171.67.55.88,/,-2113408924,171.67.55.88,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
pshrdmo.sahr.stanford.edu,Index Page,200,1933,,pshrdmo.sahr.stanford.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-19T00:00:00Z,2024-04-18T23:59:59Z,"CN=pshrdmo.sahr.stanford.edu, O=Stanford University, ST=California, C=US",pshrdmo.sahr.stanford.edu,pshrdmo.sahr.stanford.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,2ff2f437e36e3a365f6ac2e2e6b1cf78,a558bb679b076c96ee0773ab2a95e76c3367d0de9720fc7c7ddb19152373eaa8,ctls,pshrdmo.sahr.stanford.edu,443,https://pshrdmo.sahr.stanford.edu:443,https,,text/html,GET,171.67.46.36,/,-2113408924,171.67.46.36,Oracle Dynamic Monitoring Service,55,False,,,,,Stanford University,,
