input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_subject_org_,tls_wildcard_certificate,webserver,cdn_name,cdn,csp_domains_,final_url
apt.octopus.com,,403,243,apt.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-23T00:00:00Z,2023-12-23T23:59:59Z,CN=apt.octopus.com,apt.octopus.com,apt.octopus.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,95d0a570cf2fca9d624d48029457bb1c,518b52a9326bcc2798147f4de2782e2ea372499a1a49e3c0bc7ed4c2f8331d78,ctls,apt.octopus.com,443,https://apt.octopus.com:443,https,application/xml,GET,18.66.97.18,/,-1391782492,2600:9000:223c:5c00:3:5e6e:eb40:93a1,HTTP/3,2,False,,,,AmazonS3,cloudfront,True,,
atlas.octopus.com,,400,194,atlas.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T10:26:00Z,2024-04-14T10:26:00Z,"CN=*.azureedge.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azureedge.net,*.streaming.mediaservices.windows.net,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,1cf60e102bec7fce7f39e618a6491cd9,f3b7f233a835735a9539a9fe92a3fdfb197264097ea4a61575badffa784239c1,ctls,atlas.octopus.com,443,https://atlas.octopus.com:443,https,,GET,13.107.228.28,/,897158398,2620:1ec:4a::28,,1,False,True,Microsoft Corporation,True,,,,,
b.dev.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,99721,b.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-08-07T23:59:59Z,CN=b.dev.octopus.com,b.dev.octopus.com,b.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",503e5b048a7ce14fc627a1bc7d8f5610,81a64be5910734523f49880dd98c33a4c799dd639be9722d23c10309916311df,ctls,b.dev.octopus.com,443,https://b.dev.octopus.com:443,https,text/html,GET,13.107.246.45,/,1903789261,2620:1ec:46::45,Microsoft ASP.NET,2300,False,,,,,,,,
billing.a.dev.octopus.com,Octopus Billing,200,3831,billing.a.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2023-08-08T23:59:59Z,CN=billing.a.dev.octopus.com,billing.a.dev.octopus.com,billing.a.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ecc243ea3c84c976d4c6faf3b24f3509,48f0edd40bc2a97794e67085e5667173413feaaa0a65af4eba69be990ba2ec02,ctls,billing.a.dev.octopus.com,443,https://billing.a.dev.octopus.com:443,https,text/html,GET,13.107.246.45,/,-262835157,2620:1ec:46::45,HSTS,110,False,,,,,,,,
billing.c.dev.octopus.com,Octopus Billing,200,3831,billing.c.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=billing.c.dev.octopus.com,billing.c.dev.octopus.com,billing.c.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",db5f29403267454de2f54e2d42e2cc4b,c2233f564f0ef012c1d7cb3b47be95d1dbe990b85acfd814cbb0a0c981d2bb06,ctls,billing.c.dev.octopus.com,443,https://billing.c.dev.octopus.com:443,https,text/html,GET,13.107.246.45,/,-262835157,2620:1ec:46::45,HSTS,110,False,,,,,,,,
billing.octopus.com,Octopus Billing,200,3831,billing.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-27T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,octopus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,649b28c98342c2bcb66c780cab845cb7,af2d96176219f3dabebc19167f13e367b5bf08c351649818f75c5e0e0efb3d29,ctls,billing.octopus.com,443,https://billing.octopus.com:443,https,text/html,GET,13.107.213.45,/,-262835157,2620:1ec:46::45,HSTS,110,False,,,True,,,,,
billing.preprod.octopus.com,Octopus Billing,200,3831,billing.preprod.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2023-08-08T23:59:59Z,CN=billing.preprod.octopus.com,billing.preprod.octopus.com,billing.preprod.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",030703ba343976028b1e4c8648581772,91e3bc09961bc9802de5f31359edb93f5910b0bd505d95645cd25697b721285c,ctls,billing.preprod.octopus.com,443,https://billing.preprod.octopus.com:443,https,text/html,GET,13.107.246.45,/,-262835157,2620:1ec:46::45,HSTS,110,False,,,,,,,,
books.octopus.com,Introduction - Octopus Handbook,200,115968,handbook.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T04:01:00Z,2023-08-06T04:00:59Z,CN=handbook.octopus.com,handbook.octopus.com,handbook.octopus.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,5cbfb2daccd7225d8dcf4aca1a57579f,496639cef1139bc0596761a78220dc35c8ac02b9024aeb213dd791915d6952c0,ctls,handbook.octopus.com,443,https://books.octopus.com:443,https,text/html,GET,104.18.2.117,/,1049647004,2606:4700::6812:375,HTTP/3,1082,False,,,,cloudflare,cloudflare,True,app.gitbook.com,https://handbook.octopus.com/
c.dev.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,80432,c.dev.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-08-09T23:59:59Z,CN=c.dev.octopus.com,c.dev.octopus.com,c.dev.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",de13171720334c8b450e58d63ddbaa7a,a327ad0df0fe517cde95e27a8a7fceaed21f98ed1e39c9a41617ce905376ea30,ctls,c.dev.octopus.com,443,https://c.dev.octopus.com:443,https,text/html,GET,13.107.246.45,/,83737380,2620:1ec:46::45,Microsoft ASP.NET,2270,False,,,,,,,,
demo.octopus.com,Octopus Deploy,200,4617,samples.octopus.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-19T00:00:00Z,2023-10-19T23:59:59Z,CN=*.octopus.app,*.octopus.app,octopus.app,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,52905b5b90d2383cfdd73b287fd23f4f,f81bb773ea8e70c782af2e386fc37753947b6bd66994b51c5164e778c09f1b33,ctls,samples.octopus.app,443,https://demo.octopus.com:443,https,text/html,GET,13.107.246.45,/,-1590381466,2620:1ec:46::45,HSTS,120,False,,,True,,,,https://telemetry.octopus.com,https://samples.octopus.app/app
extensions.octopus.com,,403,243,extensions.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-25T00:00:00Z,2024-02-24T23:59:59Z,CN=extensions.octopus.com,extensions.octopus.com,extensions.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0e1cf1269d9faf16e6e95eba31015202,911945981e249dd57c3659eb2296a94a5e4860ed34a418926dd41331e9bf4447,ctls,extensions.octopus.com,443,https://extensions.octopus.com:443,https,application/xml,GET,13.224.189.11,/,-2132909510,2600:9000:20eb:6a00:13:a3a2:c40:93a1,HTTP/3,2,False,,,,AmazonS3,cloudfront,True,,
get.octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,80052,octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-27T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,octopus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,649b28c98342c2bcb66c780cab845cb7,af2d96176219f3dabebc19167f13e367b5bf08c351649818f75c5e0e0efb3d29,ctls,octopus.com,443,https://get.octopus.com:443,https,text/html,GET,104.17.74.206,/,-2025226881,104.17.72.206,Microsoft ASP.NET,2265,False,,,True,,cloudflare,True,,https://octopus.com
githubactionsworkflowgenerator.octopus.com,Pipeline Builder,200,3645,githubactionsworkflowgenerator.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-03-31T23:59:59Z,CN=githubactionsworkflowgenerator.octopus.com,githubactionsworkflowgenerator.octopus.com,githubactionsworkflowgenerator.octopus.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8c15d3d111ab54a8d8ae09ac40587165,7a11fbe1b2f13bed9556a877f57d3a966306d5800d267e5dea494d344e6fc75a,ctls,githubactionsworkflowgenerator.octopus.com,443,https://githubactionsworkflowgenerator.octopus.com:443,https,text/html,GET,52.52.80.217,/,-1840324437,52.52.204.48,HSTS,1,False,,,,,,,*.amazonaws.com,
handbook.octopus.com,Introduction - Octopus Handbook,200,115968,handbook.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T04:01:00Z,2023-08-06T04:00:59Z,CN=handbook.octopus.com,handbook.octopus.com,handbook.octopus.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,5cbfb2daccd7225d8dcf4aca1a57579f,496639cef1139bc0596761a78220dc35c8ac02b9024aeb213dd791915d6952c0,ctls,handbook.octopus.com,443,https://handbook.octopus.com:443,https,text/html,GET,104.18.2.117,/,1049647004,2606:4700::6812:375,HTTP/3,1082,False,,,,cloudflare,cloudflare,True,*.intercom-attachments-9.com,
hatch.octopus.com,Hatch,200,1746,hatch.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-27T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,octopus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,649b28c98342c2bcb66c780cab845cb7,af2d96176219f3dabebc19167f13e367b5bf08c351649818f75c5e0e0efb3d29,ctls,hatch.octopus.com,443,https://hatch.octopus.com:443,https,text/html,GET,20.211.64.12,/,1908147121,20.211.64.12,Windows Server,39,False,,,True,Microsoft-IIS/10.0,,,,
help-preprod.octopus.com,Octopus Deploy,200,188532,help-preprod.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-09T00:00:00Z,2023-09-14T23:59:59Z,CN=help-preprod.octopus.com,help-preprod.octopus.com,help-preprod.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1509e95efa1143fdbf0a90bde2fb83e1,6c05791192cf911d6b58bf26937bb6112ffa3e6dae10a7c89383ca6f200e3bf0,ctls,help-preprod.octopus.com,443,https://help-preprod.octopus.com:443,https,text/html,GET,52.11.124.40,/,-1840324437,54.190.144.78,Ruby on Rails,606,False,,,,nginx,,,https://help-preprod.octopus.com/theme-javascripts/,
help.octopus.com,Octopus Deploy,200,188263,help.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2023-10-04T23:59:59Z,CN=help.octopus.com,help.octopus.com,help.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c640bd173b041025dac749ad435d8696,5cfffc205fa041aa354f9721136bc98964c3b6d7de0e984b41c2f9a6001076ac,ctls,help.octopus.com,443,https://help.octopus.com:443,https,text/html,GET,44.240.243.36,/,-1840324437,54.201.227.90,Ruby on Rails,614,False,,,,nginx,,,https://help.octopus.com/svg-sprite/,
i.octopus.com,,403,243,i.octopus.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-14T00:00:00Z,2024-01-13T23:59:59Z,CN=i.octopus.com,i.octopus.com,i.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4fe24fa443f2dce1de4d54193c49d3cc,d42a3d2847ac0cd7fca60534eb410037e6fdf3df897126b84c0f600889467c47,ctls,i.octopus.com,443,https://i.octopus.com:443,https,application/xml,GET,108.138.7.87,/,214739724,2600:9000:2490:c800:19:882b:f440:93a1,HTTP/3,2,False,,,,AmazonS3,cloudfront,True,,
jenkinspipelinegenerator.octopus.com,Pipeline Builder,200,3645,jenkinspipelinegenerator.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-03-31T23:59:59Z,CN=jenkinspipelinegenerator.octopus.com,jenkinspipelinegenerator.octopus.com,jenkinspipelinegenerator.octopus.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,09b782fd19dc4140eabbc9accf866472,f5e3565bf00f4857d9da6a9224eec7f50d4138fcfe097783011857aa1f6c18dc,ctls,jenkinspipelinegenerator.octopus.com,443,https://jenkinspipelinegenerator.octopus.com:443,https,text/html,GET,54.183.86.99,/,-1840324437,54.215.194.203,HSTS,1,False,,,,,,,*.cloudflareinsights.com,
jiraconnectapp.octopus.com,,200,1062,jiraconnectapp.octopus.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,2023-03-09T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,octopus.com,"CN=Sectigo ECC Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo ECC Domain Validation Secure Server CA,Sectigo Limited,6d7500c84becacb34046ab5aa1ee8a6b,5022bc15cb9a7577bbf984ad7786856293345ea903a642dd9f613c8a267f5f72,ctls,jiraconnectapp.octopus.com,443,https://jiraconnectapp.octopus.com:443,https,application/json,GET,52.187.229.23,/,1321168149,52.187.229.23,Windows Server,1,False,,,True,Microsoft-IIS/10.0,azure,True,connect-cdn.atl-paas.net,https://jiraconnectapp.octopus.com/Jira/atlassian-connect.json
legacydocs.octopus.com,Octopus Deploy documentation  | Documentation and Support,200,148220,octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-27T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,octopus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,649b28c98342c2bcb66c780cab845cb7,af2d96176219f3dabebc19167f13e367b5bf08c351649818f75c5e0e0efb3d29,ctls,octopus.com,443,https://legacydocs.octopus.com:443,https,text/html,GET,13.107.246.45,/,1755246170,2620:1ec:46::45,HSTS,4527,False,,,True,,,,,https://octopus.com/docs
link.octopus.com,,200,101,link.octopus.com,443,True,tls12,TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,2022-10-04T00:00:00Z,2023-10-03T23:59:59Z,"CN=link.octopus.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",link.octopus.com,link.octopus.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5a52dbdcaf67040265ccce47c41bffd4,5284864e7c8067d18781431a39d572465a2ed3b1dbccc590a189420467b3cf0b,ctls,link.octopus.com,443,https://link.octopus.com:443,https,text/html,GET,104.17.72.206,/,-1840324437,104.17.71.206,Cloudflare Bot Management,7,False,,"Cloudflare, Inc.",,cloudflare,cloudflare,True,,
octopus-marketo-test.octopus.com,Home Page - MarketoDemo.Web,200,3056,octopus-marketo-test.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-04T00:00:00Z,2023-09-04T23:59:59Z,CN=octopus-marketo-test.octopus.com,octopus-marketo-test.octopus.com,octopus-marketo-test.octopus.com,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",3f0e469ddc2acdf92dc2ec14bf6647c4,768adccb3c461c8f2d194a6e190ff41d06025d578dd563d9beb943cbdf261af7,ctls,octopus-marketo-test.octopus.com,443,https://octopus-marketo-test.octopus.com:443,https,text/html,GET,13.70.123.149,/,1908147121,13.70.123.149,Windows Server,74,False,,,,Microsoft-IIS/10.0,azure,True,,
octopus.com,Continuous delivery & deployment automation tool for DevOps teams | Octopus Deploy - Octopus Deploy,200,80052,octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-27T00:00:00Z,2024-04-08T23:59:59Z,CN=*.octopus.com,*.octopus.com,octopus.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,649b28c98342c2bcb66c780cab845cb7,af2d96176219f3dabebc19167f13e367b5bf08c351649818f75c5e0e0efb3d29,ctls,octopus.com,443,https://octopus.com:443,https,text/html,GET,13.107.228.28,/,1161648344,2620:1ec:4a::28,Microsoft ASP.NET,2265,False,,,True,,,,,
octopusworkflowbuilder-test.octopus.com,Octopus Builder,200,3574,octopusworkflowbuilder-test.octopus.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-06T23:59:59Z,CN=octopusworkflowbuilder-test.octopus.com,octopusworkflowbuilder-test.octopus.com,octopusworkflowbuilder-test.octopus.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,44e8383fad41f0549a209957a30788ac,4c8156e43b9cd597720763cc1ce163ff7a9edb27c2711073e44bea2dcff842cd,ctls,octopusworkflowbuilder-test.octopus.com,443,https://octopusworkflowbuilder-test.octopus.com:443,https,text/html,GET,52.53.87.154,/,-1840324437,54.241.104.29,HSTS,1,False,,,,,,,*.youtube.com,
