input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,csp_domains_
e-dev.issuu.com,,403,243,e-dev.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,e-dev.issuu.com,,443,https://e-dev.issuu.com:443,https,AmazonS3,application/xml,GET,52.217.194.168,/,-164407723,52.217.91.38,Amazon Web Services,2,False,,True,,
e.issuu.com,,403,243,e.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T12:45:14Z,2024-08-04T12:45:13Z,CN=*.issuu.com,*.issuu.com,*.issuu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,4ae82823d576052d659b5882505f0fe1,9fd8c50edd84dfa2a1e3f6b6479cb58b6c6c4ff355957c26cd7d22bb11404715,True,ctls,e.issuu.com,fastly,443,https://e.issuu.com:443,https,AmazonS3,application/xml,GET,151.101.2.110,/,51982793,2a04:4e42:600::622,Varnish,2,False,True,,,
engineering.issuu.com,issuu engineering blog,200,19146,engineering.issuu.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-28T12:03:43Z,2023-09-26T12:03:42Z,CN=engineering.issuu.com,engineering.issuu.com,engineering.issuu.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,03a67a920d7b0d4376f937edb4c30fa0,81bcd486c1d2a470ea6dd8eb160b0f701f54d0b3e06b9d7deefdf037e39d04e2,,ctls,engineering.issuu.com,,443,https://engineering.issuu.com:443,https,GitHub.com,text/html,GET,185.199.109.153,/,1181440715,2606:50c0:8003::153,Varnish,629,False,,,,
feed.issuu.com,,403,275,feed.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,feed.issuu.com,,443,https://feed.issuu.com:443,https,AmazonS3,application/xml,GET,3.229.36.252,/,1501958182,34.232.58.190,Amazon Web Services,2,False,,,,
hello.issuu.com,,204,,hello.issuu.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-07-01T16:03:36Z,2023-09-29T16:03:35Z,CN=hello.issuu.com,hello.issuu.com,hello.issuu.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,eb8c82beb75c3a6eaf45858e4e3ecd4c,11aedf8bd64fc5c5893d0efbdcae49a857252e75823892abb2a34a6f2450b9f5,,ctls,hello.issuu.com,,443,https://hello.issuu.com:443,https,,,GET,54.152.90.23,/,-1840324437,44.207.116.214,HSTS,1,False,,,,
help.issuu.com,Security check,403,7316,help.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-10T23:39:34Z,2023-09-08T23:39:33Z,CN=help.issuu.com,help.issuu.com,help.issuu.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d30bbaa7140be2c900d74ad5f0a670f1,dc7912f16507908c8b3ffb38cac477baa36a378c7769b5964e969629908dcdb7,,ctls,help.issuu.com,cloudflare,443,https://help.issuu.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,98,False,True,,https://help.issuu.com/hc/en-us,
hootsuite.issuu.com,Hootsuite App,200,2210,hootsuite.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,hootsuite.issuu.com,,443,https://hootsuite.issuu.com:443,https,,text/html,GET,3.229.36.252,/,1501958182,34.232.58.190,Node.js,1,False,,,,
image.issuu.com,,403,243,image.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T12:45:14Z,2024-08-04T12:45:13Z,CN=*.issuu.com,*.issuu.com,*.issuu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,4ae82823d576052d659b5882505f0fe1,9fd8c50edd84dfa2a1e3f6b6479cb58b6c6c4ff355957c26cd7d22bb11404715,True,ctls,image.issuu.com,fastly,443,https://image.issuu.com:443,https,AmazonS3,application/xml,GET,151.101.2.110,/,994400121,2a04:4e42:600::622,Varnish,2,False,True,,,
indesign.issuu.com,issuu.com,200,3454,indesign.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,indesign.issuu.com,,443,https://indesign.issuu.com:443,https,,text/html,GET,34.232.58.190,/,1501958182,3.229.36.252,React,31,False,,,,
issuu.com,Digital Publishing Platform & Content Publishing Solutions | Issuu,200,127939,issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T20:06:42Z,2024-04-20T20:06:41Z,CN=issuu.com,issuu.com,www.issuu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,bb3cc7d99fa74a39891f356565c03f3a,a89ad3be9c3a49099a15dd3c0c47f521eaafd5e825e67c9ea132c7c182b9f30a,,ctls,issuu.com,fastly,443,https://issuu.com:443,https,,text/html,GET,151.101.194.110,/,1501958182,151.101.2.110,Varnish,291,False,True,,,
links.issuu.com,Digital Publishing Platform & Content Publishing Solutions | Issuu,200,129027,links.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,links.issuu.com,,443,https://links.issuu.com:443,https,,text/html,GET,34.232.58.190,/,1501958182,3.229.36.252,React,291,False,,,,
lite.issuu.com,issuu.com,200,2559,lite.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,lite.issuu.com,,443,https://lite.issuu.com:443,https,,text/html,GET,34.232.58.190,/,1501958182,3.229.36.252,React,27,False,,,,
log.issuu.com,,403,243,log.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,log.issuu.com,,443,https://log.issuu.com:443,https,AmazonS3,application/xml,GET,52.216.216.88,/,62429267,52.217.0.37,Amazon Web Services,2,False,,True,,
mail.issuu.com,Sign in - Google Accounts,200,1331,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:21:20Z,2023-09-11T08:21:19Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,356ce917eecdafd8f0964fab2c01c648,5ef40e8e31e911278e5335d41c69a84dd90bf0acba633d6fa7c761005296d8e0,,ctls,www.google.com,,80,http://mail.issuu.com:80,http,GSE,text/html,GET,142.250.184.211,/,963773886,2a00:1450:4001:830::2013,OpenGSE,32,False,,,https://www.google.com/a/issuu.com/ServiceLogin?service=mail&passive=true&continue=https://mail.google.com/mail/&ss=1&ltmpl=ecobhgm&nui=5&btmpl=mobile&emr=1&osid=1,url=https://www.google.com/accounts/AccountChooser?hd=issuu.com&btmpl=mobile&continue=https%3A%2F%2Fmail.google.com%2Fmail%2F&osid=1&service=mail&ss=1&ltmpl=ecobhgm
mm.issuu.com,,404,9,mm.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T12:45:14Z,2024-08-04T12:45:13Z,CN=*.issuu.com,*.issuu.com,*.issuu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,4ae82823d576052d659b5882505f0fe1,9fd8c50edd84dfa2a1e3f6b6479cb58b6c6c4ff355957c26cd7d22bb11404715,True,ctls,mm.issuu.com,fastly,443,https://mm.issuu.com:443,https,fiws/1.b.334.9 (Solaris),text/html,GET,151.101.2.110,/,804475183,2a04:4e42:600::622,Varnish,1,False,True,,,
oauth.issuu.com,,404,19,oauth.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,oauth.issuu.com,,443,https://oauth.issuu.com:443,https,,text/plain,GET,107.21.167.153,/,1501958182,18.233.80.95,,2,False,,,,
photo.issuu.com,,403,243,photo.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T12:45:14Z,2024-08-04T12:45:13Z,CN=*.issuu.com,*.issuu.com,*.issuu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,4ae82823d576052d659b5882505f0fe1,9fd8c50edd84dfa2a1e3f6b6479cb58b6c6c4ff355957c26cd7d22bb11404715,True,ctls,photo.issuu.com,fastly,443,https://photo.issuu.com:443,https,AmazonS3,application/xml,GET,151.101.2.110,/,1336597780,2a04:4e42:600::622,Varnish,2,False,True,,,
publish.issuu.com,ISSUU - Sorry the content you requested is no longer available - please update your link(s).,410,8213,publish.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,publish.issuu.com,,443,https://publish.issuu.com:443,https,,text/html,GET,3.229.36.252,/,351862007,3.223.176.255,,135,False,,,,
search.issuu.com,Digital Publishing Platform & Content Publishing Solutions | Issuu,200,127939,issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T20:06:42Z,2024-04-20T20:06:41Z,CN=issuu.com,issuu.com,www.issuu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q1, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q1,GlobalSign nv-sa,bb3cc7d99fa74a39891f356565c03f3a,a89ad3be9c3a49099a15dd3c0c47f521eaafd5e825e67c9ea132c7c182b9f30a,,ctls,issuu.com,,443,https://search.issuu.com:443,https,,text/html,GET,3.223.176.255,/,-774210031,34.232.58.190,Varnish,291,False,,,https://issuu.com,
sentry.issuu.com,Sign In | Sentry,200,7690,sentry.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-02T00:00:00Z,2024-01-27T23:59:59Z,CN=*.issuu.com,*.issuu.com,*.isu.pub,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d86f91a64b7a84833e1bc7ad83ec7fd6,e83f0d637a288b847c72ac04e8c9fa12307740373e567b9b128b39b672047cb1,True,ctls,sentry.issuu.com,,443,https://sentry.issuu.com:443,https,nginx,text/html,GET,3.229.36.252,/,-1840324437,3.223.176.255,Python,239,False,,,https://sentry.issuu.com/auth/login/frontend/,
seo.issuu.com,403 Forbidden,403,303,,,,,,,,,,,,,,,,,,,,80,http://seo.issuu.com:80,http,AmazonS3,text/html,GET,52.216.200.34,/,-481699398,52.217.206.237,Amazon Web Services,14,False,,,,
sidebar.issuu.com,,403,243,sidebar.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-20T23:59:59Z,CN=s3.amazonaws.com,s3.amazonaws.com,s3-deprecated.us-east-1.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e6c74e7bcc0a301938b7a3509ca3ace,31494611b3e6659b4e9a3af805171907756aee7e37d017bcc27104768c785fbd,True,ctls,sidebar.issuu.com,,443,https://sidebar.issuu.com:443,https,AmazonS3,application/xml,GET,52.216.220.96,/,350681625,52.216.21.93,Amazon Web Services,2,False,,True,,
skin.issuu.com,,403,243,skin.issuu.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-04T12:45:14Z,2024-08-04T12:45:13Z,CN=*.issuu.com,*.issuu.com,*.issuu.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,4ae82823d576052d659b5882505f0fe1,9fd8c50edd84dfa2a1e3f6b6479cb58b6c6c4ff355957c26cd7d22bb11404715,True,ctls,skin.issuu.com,fastly,443,https://skin.issuu.com:443,https,AmazonS3,application/xml,GET,151.101.2.110,/,-1836135732,2a04:4e42:600::622,Varnish,2,False,True,,,
slf.issuu.com,,204,,slf.issuu.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-12T08:28:17Z,2023-09-10T08:28:16Z,CN=slf.issuu.com,slf.issuu.com,slf.issuu.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5290b5a470bcd492224fb1c56dc917b0,d62fb0323a6cf1713fca1943ec47fea415cf9e1232c71b159d2972767dc24cb5,,ctls,slf.issuu.com,,443,https://slf.issuu.com:443,https,,,GET,52.54.201.11,/,-1840324437,54.144.52.150,HSTS,1,False,,,,
