new,host,ttl,a,soa,txt,status_code,ns,has_internal_ips,internal_ips,cname,cdn,cdn-name,aaaa,caa,mx
[x],21150.discos.orbis.tomtom.com,300,108.142.115.18,"{'name': '21150.discos.orbis.tomtom.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '21150.discos.orbis.tomtom.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '21150.discos.orbis.tomtom.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '21150.discos.orbis.tomtom.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '21150.discos.orbis.tomtom.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",,NOERROR,"ns2-05.azure-dns.net, ns4-05.azure-dns.info, ns1-05.azure-dns.com, ns3-05.azure-dns.org",,,,,,,,
[x],2169.dev.tti-cancun.tomtomgroup.com,60,20.23.23.105,"{'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",,NOERROR,,,,,,,,,
[x],22004.discos.orbis.tomtom.com,207,57.153.254.242,"{'name': '22004.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '22004.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '22004.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '22004.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}","\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/consumer-22004/discos-state-reader\""",NOERROR,"ns3-37.azure-dns.org, ns2-37.azure-dns.net, ns4-37.azure-dns.info, ns1-37.azure-dns.com",,,,,,,,
[x],22542.discos.orbis.tomtom.com,300,108.141.57.124,"{'name': '22542.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '22542.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '22542.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '22542.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '22542.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",,NOERROR,,,,,,,,,
[x],25681.discos.orbis.tomtom.com,300,57.153.39.203,"{'name': '25681.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '25681.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '25681.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '25681.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}","\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/consumer-19773/discos-state-reader\""",NOERROR,"ns4-37.azure-dns.info, ns1-37.azure-dns.com, ns2-37.azure-dns.net, ns3-37.azure-dns.org",,,,,,,,
[x],26010.discos.orbis.tomtom.com,300,,"{'name': '26010.discos.orbis.tomtom.com', 'ns': 'ns1-35.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '26010.discos.orbis.tomtom.com', 'ns': 'ns1-35.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '26010.discos.orbis.tomtom.com', 'ns': 'ns1-35.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '26010.discos.orbis.tomtom.com', 'ns': 'ns1-35.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",,NOERROR,,,,,,,,,
[x],2620.dev.tti-cancun.tomtomgroup.com,298,,"{'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': 'tti-cancun.tomtomgroup.com', 'ns': 'ns1-05.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}",,NOERROR,,,,,,,,,
[x],26351.discos.orbis.tomtom.com,300,20.8.141.28,"{'name': '26351.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '26351.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '26351.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}","\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/consumer-26351/discos-state-reader\""",NOERROR,,,,,,,,,
[x],27707.discos.orbis.tomtom.com,300,20.54.236.122,"{'name': '27707.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '27707.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '27707.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '27707.discos.orbis.tomtom.com', 'ns': 'ns1-37.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}","\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/consumer-27707/discos-state-reader\""",NOERROR,"ns1-37.azure-dns.com, ns2-37.azure-dns.net, ns3-37.azure-dns.org, ns4-37.azure-dns.info",,,,,,,,
[x],28195.discos.orbis.tomtom.com,300,57.153.152.62,"{'name': '28195.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '28195.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '28195.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '28195.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}","\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/matter-ws/matter-ws\""",NOERROR,"ns4-36.azure-dns.info, ns3-36.azure-dns.org, ns1-36.azure-dns.com, ns2-36.azure-dns.net",,,,,,,,
[x],31441.discos.orbis.tomtom.com,300,98.64.124.155,"{'name': '31441.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '31441.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '31441.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}, {'name': '31441.discos.orbis.tomtom.com', 'ns': 'ns1-36.azure-dns.com', 'mailbox': 'azuredns-hostmaster.microsoft.com', 'serial': 1, 'refresh': 3600, 'retry': 300, 'expire': 2419200, 'minttl': 300}","\""heritage=external-dns,external-dns/owner=default,external-dns/resource=ingress/consumer-31441/discos-state-reader\""",NOERROR,,,,,,,,,
