new,host,a,aaaa,soa,status_code,cdn,cdn-name,txt,cname,mx,ns,has_internal_ips,internal_ips
,delivery-time.boozt.com,142.250.185.211,2a00:1450:4001:82f::2013,"ns1.google.com, dns-admin.google.com",NOERROR,,,,ghs.googlehosted.com,,,,
,email.boozt.com,136.147.129.27,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,"google-site-verification=IlnVLMKvFq4F71MTwIpuguGtiB5lhsrd67dzGJDTba4, spf2.0/pra include:cust-senderid.exacttarget.com -all, v=spf1 include:cust-spf.exacttarget.com -all, google-site-verification=wjIJ90kUwuhNl5h-j2acCen5QZh9zNuh4BrYeWqNSVI",,inbound-reply.s7.exacttarget.com,"ns1.exacttarget.com, ns3.exacttarget.com, ns2.exacttarget.com, ns4.exacttarget.com",,
,fpt.boozt.com,35.227.225.212,2600:1901:0:576::,"adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,
,fpt.booztlet.com,34.120.63.215,2600:1901:0:fd98::,"adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,google,,,,,,
,gcp.boozt.com,"104.16.130.31, 104.16.254.30, 104.16.129.31, 104.16.128.31, 104.16.255.30","2606:4700::6810:ff1e, 2606:4700::6810:fe1e, 2606:4700::6810:801f, 2606:4700::6810:821f, 2606:4700::6810:811f","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,gcp.booztlet.com,"104.18.177.197, 104.18.181.197, 104.18.180.197, 104.18.179.197, 104.18.178.197","2606:4700::6812:b3c5, 2606:4700::6812:b5c5, 2606:4700::6812:b1c5, 2606:4700::6812:b2c5, 2606:4700::6812:b4c5","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,ia.boozt.com,,,"adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,ib.boozt.com,,,"adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,image.email.booztlet.com,95.100.67.235,,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"akamai-san18.exacttarget.com.edgekey.net, e14762.x.akamaiedge.net",,,,
,localhost.email.booztlet.com,127.0.0.1,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,True,127.0.0.1
,m.boozt.com,"104.16.255.30, 104.16.128.31, 104.16.130.31, 104.16.254.30, 104.16.129.31","2606:4700::6810:ff1e, 2606:4700::6810:821f, 2606:4700::6810:801f, 2606:4700::6810:fe1e, 2606:4700::6810:811f","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,mail.boozt.com,172.217.18.19,2a00:1450:4001:813::2013,"ns1.google.com, dns-admin.google.com",NOERROR,,,,ghs.googlehosted.com,,,,
,mta.email.boozt.com,13.111.16.180,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,
,mta.email.booztlet.com,13.111.4.41,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,
,mta2.email.boozt.com,13.111.4.66,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,
,nw.boozt.com,"104.16.255.30, 104.16.130.31, 104.16.129.31, 104.16.254.30, 104.16.128.31","2606:4700::6810:801f, 2606:4700::6810:ff1e, 2606:4700::6810:fe1e, 2606:4700::6810:821f, 2606:4700::6810:811f","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,o1.sendgrid.boozt.com,50.31.61.173,,"adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,o2.ptr4956.boozt.com,149.72.189.164,,"adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
,pages.email.booztlet.com,136.147.129.25,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,pages.virt.s7.exacttarget.com,,,,
,parcel-api.boozt.com,"104.16.130.31, 104.16.254.30, 104.16.255.30, 104.16.128.31, 104.16.129.31","2606:4700::6810:fe1e, 2606:4700::6810:ff1e, 2606:4700::6810:801f, 2606:4700::6810:811f, 2606:4700::6810:821f","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,pub.email.boozt.com,136.147.129.35,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,pub.s7.exacttarget.com,,,,
,pub.email.booztlet.com,,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,pub.s7.exacttarget.com,,,,
,sendgrid.boozt.com,"104.16.254.30, 104.16.130.31, 104.16.255.30, 104.16.129.31, 104.16.128.31","2606:4700::6810:fe1e, 2606:4700::6810:811f, 2606:4700::6810:821f, 2606:4700::6810:ff1e, 2606:4700::6810:801f","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,sp.booztlet.com,"104.18.181.197, 104.18.179.197, 104.18.177.197, 104.18.180.197, 104.18.178.197","2606:4700::6812:b5c5, 2606:4700::6812:b1c5, 2606:4700::6812:b4c5, 2606:4700::6812:b3c5, 2606:4700::6812:b2c5","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,t-dev.booztlet.com,"104.18.178.197, 104.18.181.197, 104.18.180.197, 104.18.179.197, 104.18.177.197","2606:4700::6812:b5c5, 2606:4700::6812:b1c5, 2606:4700::6812:b2c5, 2606:4700::6812:b3c5, 2606:4700::6812:b4c5","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,google-site-verification=e6aqOzCrzTwMlhg-yzB1hMMCLFIz8YJtG_q5eKTv_cg,,,,,
,t.boozt.com,,"2606:4700::6810:801f, 2606:4700::6810:fe1e, 2606:4700::6810:821f, 2606:4700::6810:ff1e, 2606:4700::6810:811f","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,t.booztlet.com,"104.18.178.197, 104.18.180.197, 104.18.181.197, 104.18.177.197, 104.18.179.197","2606:4700::6812:b2c5, 2606:4700::6812:b3c5, 2606:4700::6812:b1c5, 2606:4700::6812:b4c5, 2606:4700::6812:b5c5","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,google-site-verification=g0XBlJeVzIzjEKRSkm-iB3KMIpmdrBBGeu7wVt77js4,,,,,
,transactional.boozt.com,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,u49592.wl093.sendgrid.net,,,,
,view.email.booztlet.com,13.111.46.147,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,
,www.boozt.com,"104.16.255.30, 104.16.128.31, 104.16.129.31, 104.16.130.31, 104.16.254.30","2606:4700::6810:821f, 2606:4700::6810:fe1e, 2606:4700::6810:ff1e, 2606:4700::6810:801f, 2606:4700::6810:811f","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,www.booztlet.com,"104.18.179.197, 104.18.177.197, 104.18.180.197, 104.18.181.197, 104.18.178.197","2606:4700::6812:b5c5, 2606:4700::6812:b1c5, 2606:4700::6812:b3c5, 2606:4700::6812:b2c5, 2606:4700::6812:b4c5","adel.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,www.parcel-api.boozt.com,,,"ns1.google.com, dns-admin.google.com",NOERROR,,,,ghs.googlehosted.com,,,,
