input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_expired,final_url,cdn_name,cdn,location,tls_self_signed
adpxi.post.ch,Not Found,404,315,adpxi.post.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-07T14:41:24Z,2024-03-07T14:41:24Z,"CN=adpxi.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",adpxi.post.ch,Post CH AG,adpxi.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,1d7628d9ed2ab2f7fb6944a32313b19c,9cd002e15bd3117acd7018a5936467543db7c726343f6108a5d152e0fbd260fa,ctls,adpxi.post.ch,443,https://adpxi.post.ch:443,https,Microsoft-HTTPAPI/2.0 Microsoft-HTTPAPI/2.0,text/html,GET,194.41.222.134,/,225052475,194.41.222.134,Microsoft HTTPAPI:2.0,7,False,,,,,,,,,
agentur-int.post.ch,Die Post - HTTP Fehlerseite,401,5769,agentur-int.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-14T08:01:35Z,2023-06-14T08:01:35Z,"CN=agentur-int.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",agentur-int.post.ch,Post CH AG,agentur-int.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,d84fe3c22fd5de4027b41866cb546512,b752ddb0afc7f968db0fb2aae65d5bdd129e1f82d0612bd497cf93189281da75,ctls,agentur-int.post.ch,443,https://agentur-int.post.ch:443,https,Apache,text/html,GET,194.41.248.33,/,1694469138,194.41.248.33,HSTS,176,False,,,,,https://agentur-int.post.ch/sap/bc/ui5_ui5/sap/zpnagenturen/index.html,,,,
agentur.post.ch,Die Post - HTTP Fehlerseite,401,5748,agentur.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-14T10:00:09Z,2023-06-14T10:00:09Z,"CN=agentur.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",agentur.post.ch,Post CH AG,agentur.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,b5a3c4b7cbf9c0b2774a82efd40c2042,ad7c10cc13157744e99aebf1d6c7bd6f2816adf1e66d617955dc0fa05b2ff27d,ctls,agentur.post.ch,443,https://agentur.post.ch:443,https,Apache,text/html,GET,194.41.184.26,/,318323496,194.41.184.26,HSTS,176,False,,,,,https://agentur.post.ch/sap/bc/ui5_ui5/sap/zpnagenturen/index.html,,,,
agenturen.post.ch,"Dialog Marketing Solutions – Werbung, die wirkt | Die Post",200,63932,dialogmarketingsolutions.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:42:06Z,2024-03-13T09:42:06Z,"CN=dialogmarketingsolutions.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",dialogmarketingsolutions.post.ch,Post CH AG,dialogmarketingsolutions3.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,c69af6a308612a418c3f76fc9c3add79,b4645e01f97a2b5a80e183bbed61386f1b5b870e91f5839fcb46a901c7a80fcf,ctls,dialogmarketingsolutions.post.ch,443,https://agenturen.post.ch:443,https,Delivery2,text/html,GET,194.41.184.146,/,,194.41.184.146,Sitecore,1280,False,,,,,https://dialogmarketingsolutions.post.ch/de?shortcut=redirect-dialogmarketingberatung,,,,
agenturen2.post.ch,"Dialog Marketing Solutions – Werbung, die wirkt | Die Post",200,63932,dialogmarketingsolutions.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T09:42:06Z,2024-03-13T09:42:06Z,"CN=dialogmarketingsolutions.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",dialogmarketingsolutions.post.ch,Post CH AG,dialogmarketingsolutions3.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,c69af6a308612a418c3f76fc9c3add79,b4645e01f97a2b5a80e183bbed61386f1b5b870e91f5839fcb46a901c7a80fcf,ctls,dialogmarketingsolutions.post.ch,443,https://agenturen2.post.ch:443,https,Delivery1,text/html,GET,194.41.190.122,/,1260183053,194.41.190.122,Sitecore,1280,False,,,,,https://dialogmarketingsolutions.post.ch/de?shortcut=redirect-dialogmarketingberatung,,,,
agenturenint.post.ch,Die Post - HTTP Fehlerseite,401,5805,int.directpoint.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:22:52Z,2024-03-07T14:22:52Z,"CN=int.directpoint.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",int.directpoint.ch,Post CH AG,int2.directpoint.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,e5303be1ebdb5f75ea96ca5c854c65f7,fdadbc3b901d6559891f8fc4c5b5f2134a94fb1c61dd3d95cf2528af1471d181,ctls,int.directpoint.ch,443,https://agenturenint.post.ch:443,https,Apache,text/html,GET,194.41.248.153,/,53035528,194.41.248.153,HSTS,176,False,,,,,https://int.directpoint.ch/de/inspiration-und-beratung/dialogmarketingberatung,,,,
agenturenint1.post.ch,Die Post - HTTP Fehlerseite,401,5805,int.directpoint.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:22:52Z,2024-03-07T14:22:52Z,"CN=int.directpoint.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",int.directpoint.ch,Post CH AG,int2.directpoint.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,e5303be1ebdb5f75ea96ca5c854c65f7,fdadbc3b901d6559891f8fc4c5b5f2134a94fb1c61dd3d95cf2528af1471d181,ctls,int.directpoint.ch,443,https://agenturenint1.post.ch:443,https,Apache,text/html,GET,194.41.253.223,/,130969176,194.41.253.223,HSTS,176,False,,,,,https://int.directpoint.ch/de/inspiration-und-beratung/dialogmarketingberatung,,,,
agenturenint2.post.ch,Die Post - HTTP Fehlerseite,401,5805,int.directpoint.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-07T14:22:52Z,2024-03-07T14:22:52Z,"CN=int.directpoint.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",int.directpoint.ch,Post CH AG,int2.directpoint.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,e5303be1ebdb5f75ea96ca5c854c65f7,fdadbc3b901d6559891f8fc4c5b5f2134a94fb1c61dd3d95cf2528af1471d181,ctls,int.directpoint.ch,443,https://agenturenint2.post.ch:443,https,Apache,text/html,GET,194.41.255.32,/,-2080406119,194.41.255.32,HSTS,176,False,,,,,https://int.directpoint.ch/de/inspiration-und-beratung/dialogmarketingberatung,,,,
annaeluca.postdoc.post.ch,Il percorso della lettera,200,43473,annaeluca.postdoc.post.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-10T09:05:06Z,2023-07-09T09:05:05Z,CN=annaeluca.postdoc.post.ch,annaeluca.postdoc.post.ch,,sinaundleo.postdoc.post.ch,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,82f14fd64ae92c08d48181de54185cf7,be53ed5ae88d1a889cd848148abacf6550c0fec60c82279e4704fec3e72987be,ctls,annaeluca.postdoc.post.ch,443,https://annaeluca.postdoc.post.ch:443,https,,text/html,GET,13.51.62.86,/,1268266705,13.51.62.86,webpack,1,False,,,,,,,,,
api-int.marge.post.ch,Die Post - HTTP Fehlerseite,404,4582,api-int.marge.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-09T10:51:45Z,2024-03-09T10:51:45Z,"CN=api-int.marge.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",api-int.marge.post.ch,Post CH AG,api-int.marge.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,cef668d6902b3a1a3ba1a09fef571fb7,aa0dfde7396bc2f296de679111fad8041d1e3abf99f8ef35d8bb22f5685debb3,ctls,api-int.marge.post.ch,443,https://api-int.marge.post.ch:443,https,Apache,text/html,GET,194.41.248.173,/,1694469138,194.41.248.173,HSTS,157,False,,,,,,,,,
apim.apis-dev.post.ch,Die Post - HTTP Fehlerseite,403,4258,apim.apis-dev.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-02T08:01:23Z,2024-02-02T08:01:23Z,"CN=apim.apis-dev.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",apim.apis-dev.post.ch,Post CH AG,apim.apis-dev.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,b69432b32e1609dbd7f2dad555fd55b0,2294acdae18e245ebd3d0a449019a66c127770cee1f9c7ef8a3afa282c6b663a,ctls,apim.apis-dev.post.ch,443,https://apim.apis-dev.post.ch:443,https,Apache,text/html,GET,194.41.248.247,/,1694469138,194.41.248.247,HSTS,153,False,,,,,,,,,
apim.apis-int.post.ch,,404,40,apim.apis-int.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-02T08:03:10Z,2024-02-02T08:03:10Z,"CN=apim.apis-int.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",apim.apis-int.post.ch,Post CH AG,apim.apis-int.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,4ded29070b157f234e2f0de7fd768cbd,5ec776835f293b9dd852acaae5f3facf9e7885cfe1510a87c05e59daedd53690,ctls,apim.apis-int.post.ch,443,https://apim.apis-int.post.ch:443,https,Apache (proxied),text/plain,GET,194.41.248.239,/,1694469138,194.41.248.239,HSTS,1,False,,,,,,,,,
apim.apis-test.post.ch,Die Post - HTTP Fehlerseite,403,4258,apim.apis-test.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-02T08:03:54Z,2024-02-02T08:03:54Z,"CN=apim.apis-test.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",apim.apis-test.post.ch,Post CH AG,apim.apis-test.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,46b2df0a7b1243d80d52da2a5df8f19a,e61a9c51e04d03d95a28fa5afc94717f12959aa036c41311051b8262990cea14,ctls,apim.apis-test.post.ch,443,https://apim.apis-test.post.ch:443,https,Apache,text/html,GET,194.41.248.243,/,1694469138,194.41.248.243,HSTS,153,False,,,,,,,,,
apim.apis.post.ch,,404,40,apim.apis.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-02T08:02:22Z,2024-02-02T08:02:22Z,"CN=apim.apis.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",apim.apis.post.ch,Post CH AG,apim.apis.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,2d76a6ef378e7bcb5061cc01e2f61636,caac91dd1e8b6e1e24146638c68384334e262af4da1f42155d0e03ab9d1be44a,ctls,apim.apis.post.ch,443,https://apim.apis.post.ch:443,https,Apache (proxied),text/plain,GET,194.41.184.141,/,318323496,194.41.184.141,HSTS,1,False,,,,,,,,,
apis-gslb.post.ch,Die Post - HTTP Fehlerseite,404,4561,apis-gslb.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-18T11:12:26Z,2023-07-18T11:12:26Z,"CN=apis.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",apis.post.ch,Post CH AG,apis.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,19a3e7830baf95c8aae39a5f8091e79f,15db3bd914d70427fd9a745958628b354180287cefd2192198267cbbd1656d61,ctls,apis-gslb.post.ch,443,https://apis-gslb.post.ch:443,https,Apache,text/html,GET,194.41.184.141,/,318323496,194.41.184.141,HSTS,157,False,True,,,,,,,,
apis-int.post.ch,Die Post - HTTP Fehlerseite,404,4582,apis-int.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-11T08:29:51Z,2024-04-11T08:29:51Z,"CN=apis-int.post.ch, O=Post CH AG, L=Bern, ST=Bern, C=CH",apis-int.post.ch,Post CH AG,apis-int.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,806c017882c666d23c63ee65c118fe38,8b2665227f9fdf60b7814139738437e93692daa22476a18660ff17d475c0598d,ctls,apis-int.post.ch,443,https://apis-int.post.ch:443,https,Apache,text/html,GET,194.41.248.239,/,1694469138,194.41.248.239,HSTS,157,False,,,,,,,,,
apis-test.post.ch,Die Post - HTTP Fehlerseite,404,4582,apis-test.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-18T11:24:36Z,2023-07-18T11:24:36Z,"CN=apis-test.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",apis-test.post.ch,Post CH AG,apis-test.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,0cc75238201b7f5fb8e8e8ed0c38d8a7,08e26590bde5f6b10f86dbe058faff2e77f5d3494400d142fb135673af59e1fb,ctls,apis-test.post.ch,443,https://apis-test.post.ch:443,https,Apache,text/html,GET,194.41.248.243,/,1694469138,194.41.248.243,HSTS,157,False,,,,,,,,,
apis.post.ch,Die Post - HTTP Fehlerseite,404,4561,apis.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-18T11:12:26Z,2023-07-18T11:12:26Z,"CN=apis.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",apis.post.ch,Post CH AG,apis.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,19a3e7830baf95c8aae39a5f8091e79f,15db3bd914d70427fd9a745958628b354180287cefd2192198267cbbd1656d61,ctls,apis.post.ch,443,https://apis.post.ch:443,https,Apache,text/html,GET,194.41.184.141,/,318323496,194.41.184.141,HSTS,157,False,,,,,,,,,
apitest.post.ch,Error,404,1314,apitest.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-07T08:24:40Z,2023-06-07T08:24:40Z,"CN=apitest.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",apitest.post.ch,Post CH AG,apitest.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,b6176aa42580d24578e8b16029e46013,02b84a01d8973334405575c1ef26fb9d20604a7a3183ff9bbdcb2726b29d250e,ctls,apitest.post.ch,443,https://apitest.post.ch:443,https,Apache,text/html,GET,194.41.252.94,/,1457961931,194.41.252.94,HSTS,40,False,,,,,,,,,
apm.post.ch,Die Post - HTTP Fehlerseite,404,4561,apm.post.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-13T08:52:16Z,2023-09-13T08:52:16Z,"CN=apm.post.ch, O=Post CH AG, L=Bern, ST=BE, C=CH",apm.post.ch,Post CH AG,apm.post.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,SwissSign AG,6c95f7477cd87f606613f21d4e67934c,4042503ee37dd7434db85104ca7d6a1f4e265b93d2d362e3ba0ce3942a446c3a,ctls,apm.post.ch,443,https://apm.post.ch:443,https,Apache,text/html,GET,194.41.184.28,/,318323496,194.41.184.28,HSTS,157,False,,,,,,,,,
