new,host,mx,soa,status_code,a,aaaa,cname,txt,cdn,cdn-name,has_internal_ips,internal_ips,ns,caa
[x],www.flyerservice.post.ch,"mxa.eu.mailgun.org, mxb.eu.mailgun.org","dns1.post.ch, domainmanage.post.ch",NOERROR,217.26.52.53,,flyerservice.post.ch,v=spf1 include:eu.mailgun.org ~all,,,,,,
[x],www.sventest.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],xenint.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],xray.tools.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.175,,,,,,,,,
[x],yn-intix.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,10jahre.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,89.16.191.182,,,,,,,,,
,40437124.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,7492963.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,85560.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,85844.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,93412.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,96749.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,_edge.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,v=spf1 ip4:194.41.152.168 ip4:194.41.152.150 ip4:194.41.216.139 ip4:194.41.216.138 ip4:194.41.152.148 -all,,,,,,
,abholung-online.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.146,,,,,,,,,
,abholung-online1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.114,,,,,,,,,
,abholung-online2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.122,,,,,,,,,
,abholung-onlineint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.153,,,,,,,,,
,abholung-onlineint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.255.32,,,,,,,,,
,account.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.182,,,,,,,,,
,accountdev1.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,accountint-sesam.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,accounttest-sesam.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,accounttest.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.253.70,,,,,,,,,
,adfsmsx.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,adfspext.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.159.22,,adfspxext.post.ch,,,,,,,
,admin-int.meetonline.post.ch,,"ns1.fdv2-t-msedge.net, msnhst.microsoft.com, ns1.t-msedge.net",NOERROR,"13.107.237.45, 13.107.238.45","2620:1ec:4e:1::45, 2620:1ec:4f:1::45","cdne-meetonline-admin-int.azureedge.net, cdne-meetonline-admin-int.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, part-0017.t-0009.fdv2-t-msedge.net, dual.part-0017.t-0009.t-msedge.net",,,,,,,
,admin.bot.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,admin.incamail-dev.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.224,,,,,,,,,
,admin.places.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.75,,,,,,,,,
,admin.wsbc-cloud.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,adonis.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.56,,,,,,,,,
,adonisint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.16,,,,,,,,,
,adp.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.222.135,,,,,,,,,
,adpxi.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.222.134,,,,,,,,,
,adress-suchspiel.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,adress-suchspiel1.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,adress-suchspiel2.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,adress-suchspielint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,agentur-int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.33,,,,,,,,,
,agentur.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.26,,,,,,,,,
,agenturen.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.146,,,,,,,,,
,agenturen2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.122,,,,,,,,,
,agenturenint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.153,,,,,,,,,
,agenturenint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.253.223,,,,,,,,,
,agenturenint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.255.32,,,,,,,,,
,altpapier1.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,altpapier2.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,altpapierint.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,altpapierint1.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,altpapierint2.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,amssync.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,annaeluca.postdoc.post.ch,,"ns-1701.awsdns-20.co.uk, awsdns-hostmaster.amazon.com",NOERROR,13.51.62.86,,master-7rqtwti-vxpinvjuxcpxy.eu-5.platformsh.site,,,,,,,
,api-int.marge.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.173,,,,,,,,,
,apiaccess-int.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,apim.apis-dev.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.247,,apis-dev.post.ch,,,,,,,
,apim.apis-int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.239,,apis-int.post.ch,,,,,,,
,apim.apis-test.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.243,,apis-test.post.ch,,,,,,,
,apim.apis.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.141,,apis-gslb.post.ch,,,,,,,
,apis-gslb.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.141,,,,,,,,,
,apis-int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.239,,,,,,,,,
,apis-test.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.243,,,,,,,,,
,apis.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.141,,,,,,,,,
,apitest.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.252.94,,,,,,,,,
,apm.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.28,,,,,,,,,
,apmgate.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.28,,,,,,,,,
,app.pa-cms.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,apps.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.10,,,,,,,,,
,appsint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.11,,,,,,,,,
,appsplusint.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,as.ocsweb.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,asedev1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.160,,,,,,,,,
,asedev2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.249.48,,,,,,,,,
,asendia-int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.228,,,,,,,,,
,asendia.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.61,,,,,,,,,
,asmbplus03.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,assim.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,assimint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.249.3,,,,,,,,,
,at760008161.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,atrium.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.144,,,,,,,,,
,atriumint1.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,authorint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.130,,,,,,,,,
,authorintsc.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,authorms.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,authorsc.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,autodiscover.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.159.24,,outlook.post.ch,,,,,,,
,avenir-desirable1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.114,,,,,,,,,
,avenir-desirable2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.122,,,,,,,,,
,avenir-desirableint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.255.32,,,,,,,,,
,awareness.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.146,,,,,,,,,
,awareness1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.114,,,,,,,,,
,awareness2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.122,,,,,,,,,
,awarenessint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.153,,,,,,,,,
,awarenessint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.255.32,,,,,,,,,
,awmdmint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.144.140,,,,,,,,,
,awproxyint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,awrelay3.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.216.149,,,,,,,,,
,awsegpf.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,awsegpfint.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,awssp.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,awsspint.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,awtun-mdmtest.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.144.157,,,,,,,,,
,awtunnel.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.144.149,,,,,,,,,
,awuag.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.144.159,,,,,,,,,
,awuagint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.144.139,,,,,,,,,
,b2bgatewayint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,b2bweb.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,b2bwebint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,betool-test.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.127,,,,,,,,,
,betool.post.ch,,,NOERROR,194.41.184.191,,,,,,,,,
,betreibungsregisterauszug-int.post.ch,,"ns1.fenceit.cloud, hostmaster.fenceit.cloud",NOERROR,,,"post-diservice-int.fenceit.ch, post-diservice-test.fenceit.cloud, t33rpr.fenceit.cloud",,,,,,,
,betreibungsregisterauszug.post.ch,,,NOERROR,185.235.188.175,,"post-diservice.fenceit.ch, post-diservice-prod.fenceit.cloud, p33rpr.fenceit.cloud",,,,,,,
,billingonline-dev.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,bobiint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,briefmarken-erleben1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,briefmarkenspiel.postdoc.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,bsi-crm-int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,bsi-crm.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,bsicrm-midmarket.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,bsicrm-midmarketint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,bsicrm-test.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,bsicrm.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,bwise.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,canalposte.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,canalposteint.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,canton-admin.e-voting.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,canton.e-voting.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,career-pt1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,career-pt2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,career-ptint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,career-ptint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,career-ptint2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,carsharing.post.ch,,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"carsharing.postcompanycars.post.ch, ECSALB-1840425040.eu-central-1.elb.amazonaws.com",,,,,,,
,cas.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cbt.extern.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cbt.externint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cdn.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cert.webstampint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cert.webstampint2.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cert.ws.ssoint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cert.wspartner.ssoint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cert.wsredesignint1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,certmgrtest04.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,chat.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,chatit.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cinfoni-germany.innovation.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,claimint.extranet.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
,cnd.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
