input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,csp_domains_,final_url
content-stage.hy-vee.com,,403,16,content-stage.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,content-stage.hy-vee.com,cloudflare,443,https://content-stage.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.227.188,/,1268003052,2606:4700::6812:e3bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
corpmail.hy-vee.com,BIG-IP logout page,200,5302,corpmail.hy-vee.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,True,2023-03-06T16:47:44Z,2024-02-08T17:00:34Z,CN=mail.hy-vee.com,mail.hy-vee.com,hybridmail.hy-vee.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",2becfc2d556f28e54a0f2540c33ce09f,3c230448c907b6a026719c82f518d9c3a8e0b18a41b38997d4066ec610f0d29f,ctls,corpmail.hy-vee.com,,443,https://corpmail.hy-vee.com:443,https,BigIP,text/html,GET,207.135.220.1,/,878647854,207.135.220.1,F5 BigIP,131,False,,,,,https://corpmail.hy-vee.com/my.logout.php3?errorcode=19
corporate.hy-vee.com,,403,16,corporate.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,corporate.hy-vee.com,cloudflare,443,https://corporate.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.225.188,/,1253481126,2606:4700::6812:e5bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
corpsf.hy-vee.com,,520,,corpsf.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,corpsf.hy-vee.com,cloudflare,443,https://corpsf.hy-vee.com:443,https,cloudflare,,GET,104.18.228.188,/,-1840324437,2606:4700::6812:e3bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
crm-dev.hy-vee.com,,503,,crm-dev.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,crm-dev.hy-vee.com,cloudflare,443,https://crm-dev.hy-vee.com:443,https,cloudflare,,GET,104.18.228.188,/,-1840324437,2606:4700::6812:e5bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
crm-qa.hy-vee.com,,503,19,crm-qa.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,crm-qa.hy-vee.com,cloudflare,443,https://crm-qa.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.226.188,/,87638684,2606:4700::6812:e5bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
deals-qa.hy-vee.com,,403,16,deals-qa.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,deals-qa.hy-vee.com,cloudflare,443,https://deals-qa.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.229.188,/,1253481126,2606:4700::6812:e4bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
deals.hy-vee.com,Hy-Vee Deals – One-Stop Savings,200,40372,www.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,www.hy-vee.com,cloudflare,443,https://deals.hy-vee.com:443,https,cloudflare,text/html,GET,104.18.229.188,/,1847743655,2606:4700::6812:e2bc,Envoy,22,False,True,"Cloudflare, Inc.",True,,https://www.hy-vee.com/deals/
dev.hy-vee.com,,403,16,dev.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,dev.hy-vee.com,cloudflare,443,https://dev.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.228.188,/,1268003052,2606:4700::6812:e5bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
https://cdn.jsdelivr.net/npm/keen-tracking@4,,200,64799,cdn.jsdelivr.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-23T10:55:14Z,2024-01-24T10:55:13Z,CN=jsdelivr.net,jsdelivr.net,*.jsdelivr.net,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q4, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q4,GlobalSign nv-sa,da1cb454a33b0ee9e8bdd57882145b92,9c4170832bbd729545f286063b1aa6bf7f3ac8b1a04afa9558357e9dddfd0f8e,ctls,cdn.jsdelivr.net,fastly,443,https://cdn.jsdelivr.net:443/npm/keen-tracking@4,https,,application/javascript,GET,146.75.117.229,/npm/keen-tracking@4,-2029005286,2a04:4e42:8d::485,HTTP/3,9,False,True,,True,,
https://cdn.ravenjs.com/3.16.0/raven.min.js,,200,25156,cdn.ravenjs.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-06-03T21:48:24Z,2024-07-04T21:48:23Z,CN=cdn.ravenjs.com,cdn.ravenjs.com,cdn.ravenjs.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,eca76be83ce5760b1406ef0f9d37dfab,6d9856c0ebaf98fc62ff9554d5ac84566615fbda5d22494266a2a864f1543dee,ctls,cdn.ravenjs.com,fastly,443,https://cdn.ravenjs.com:443/3.16.0/raven.min.js,https,Fastly,application/javascript,GET,151.101.66.217,/3.16.0/raven.min.js,1169375646,2a04:4e42:600::729,Fastly,3,False,True,,,,
https://cdnjs.cloudflare.com/ajax/libs/aui/7.9.11/aui/js/aui-experimental.min.js,,200,220980,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,ctls,cdnjs.cloudflare.com,cloudflare,443,https://cdnjs.cloudflare.com:443/ajax/libs/aui/7.9.11/aui/js/aui-experimental.min.js,https,cloudflare,application/javascript,GET,104.17.24.14,/ajax/libs/aui/7.9.11/aui/js/aui-experimental.min.js,2023033722,2606:4700::6811:190e,HTTP/3,1,False,True,"Cloudflare, Inc.",True,,
https://cdnjs.cloudflare.com/ajax/libs/aui/7.9.11/aui/js/aui-soy.min.js,"'+soy.$$escapeHtml(t.windowTitle)+""",200,107016,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,ctls,cdnjs.cloudflare.com,cloudflare,443,https://cdnjs.cloudflare.com:443/ajax/libs/aui/7.9.11/aui/js/aui-soy.min.js,https,cloudflare,application/javascript,GET,104.17.24.14,/ajax/libs/aui/7.9.11/aui/js/aui-soy.min.js,2023033722,2606:4700::6811:190e,HTTP/3,1,False,True,"Cloudflare, Inc.",True,,
https://cdnjs.cloudflare.com/ajax/libs/aui/7.9.11/aui/js/aui.min.js,,200,225029,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,ctls,cdnjs.cloudflare.com,cloudflare,443,https://cdnjs.cloudflare.com:443/ajax/libs/aui/7.9.11/aui/js/aui.min.js,https,cloudflare,application/javascript,GET,104.17.24.14,/ajax/libs/aui/7.9.11/aui/js/aui.min.js,2023033722,2606:4700::6811:190e,HTTP/3,1,False,True,"Cloudflare, Inc.",True,,
https://d285xo09kboqfo.cloudfront.net,,404,50,d285xo09kboqfo.cloudfront.net,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2022-12-08T00:00:00Z,2023-12-07T23:59:59Z,CN=*.cloudfront.net,*.cloudfront.net,*.cloudfront.net,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3ce77498ac0d9db2c0fbac4ace488223,0e61dc9128a6d01c3583e46cb871e9590ca7636f3b394e60b910fdb249e90465,ctls,d285xo09kboqfo.cloudfront.net,cloudfront,443,https://d285xo09kboqfo.cloudfront.net:443,https,Cowboy,application/json,GET,52.222.232.60,/,1257725933,2600:9000:223e:3200:0:80f9:b500:21,Node.js,1,False,True,,True,,
https://www.googletagmanager.com/gtag/js,,200,107186,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,True,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,a70a503bfcd507236a0630c327963b39,f1e109477d076ab7412e70816a90acdcd1fff2d3ab53cc2429c27acccfe6cc5a,ctls,www.googletagmanager.com,,443,https://www.googletagmanager.com:443/gtag/js,https,Google Tag Manager,application/javascript,GET,142.250.184.200,/gtag/js,302920777,2a00:1450:4001:80b::2008,HTTP/3,273,False,,,True,,
huddle.hy-vee.com,Log in to Hy-Vee,200,12821,keycloak.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,keycloak.hy-vee.com,cloudflare,443,https://huddle.hy-vee.com:443,https,cloudflare,text/html,GET,104.18.227.188,/,274011657,2606:4700::6812:e5bc,HSTS,175,False,True,"Cloudflare, Inc.",True,,https://keycloak.hy-vee.com/auth/realms/ad-lds/protocol/openid-connect/auth?client_id=portal&redirect_uri=https%3A%2F%2Fhuddle.hy-vee.com%2Fauth-plugin%2Fhandle-openid-code&response_type=code
hy-vee.com,Grocery Store with Online Ordering | Pick-up and Delivery | Hy-Vee,200,68523,www.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,www.hy-vee.com,cloudflare,443,https://hy-vee.com:443,https,cloudflare,text/html,GET,104.18.226.188,/,-933785396,2606:4700::6812:e4bc,React,444,False,True,"Cloudflare, Inc.",True,,https://www.hy-vee.com/
innovate.hy-vee.com,IT Careers - Company - Hy-Vee - Your employee-owned grocery store,200,61560,www.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,www.hy-vee.com,cloudflare,443,https://innovate.hy-vee.com:443,https,cloudflare,text/html,GET,104.18.226.188,/,-1652882588,2606:4700::6812:e5bc,YouTube,727,False,True,"Cloudflare, Inc.",True,,https://www.hy-vee.com/corporate/careers/it-careers/
jira.hy-vee.com,,403,16,jira.hy-vee.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-11T00:00:00Z,2024-05-10T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,*.hy-vee.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",92b3bce6aaa455a5cce6257715f57650,a3d69f9f2acae5d1e7eebd8a4f01a873eee0befca94997f3dbaaee6598007fb4,ctls,jira.hy-vee.com,cloudflare,443,https://jira.hy-vee.com:443,https,cloudflare,text/plain,GET,104.18.228.188,/,1253481126,2606:4700::6812:e4bc,Cloudflare Bot Management,1,False,True,"Cloudflare, Inc.",True,,
