input,title,status_code,content_length,csp_domains_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,tls_mismatched,cdn_name,cdn,tls_subject_org_
https://cdn.amplitude.com,,403,243,,cdn.amplitude.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-02-11T23:59:59Z,CN=cdn.amplitude.com,cdn.amplitude.com,cdn.amplitude.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3fd89dc14c27c9bfb78be85e8f1ed9b5,aa936f0d9ef28ad4c02afd424a591c22b9f69a882194eda4e2f343e9ac1b7244,,ctls,cdn.amplitude.com,443,https://cdn.amplitude.com:443,https,AmazonS3,application/xml,GET,52.222.206.214,/,-403061421,52.222.206.118,Amazon Web Services,2,False,,,cloudfront,True,
https://cdn.pendo.io,,403,300,,cdn.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-20T00:00:00Z,2023-08-28T23:59:59Z,CN=cdn.pendo.io,cdn.pendo.io,cdn.pendo.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6aeb08edf1d8d2fe98a2996959cc28d7,8ca58b5b1f832ea9af924b02ba686e54db2e86d409e1f32ecc6fa2866740add4,,ctls,cdn.pendo.io,443,https://cdn.pendo.io:443,https,UploadServer,application/xml,GET,18.66.112.94,/,501560377,2600:9000:223f:b000:1f:aa31:7740:93a1,Amazon Web Services,1,False,,,cloudfront,True,
https://cdn.rollbar.com,Rollbar | Error Logging & Tracking Service for Software Teams,200,122531,,cdn.rollbar.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-12T00:00:00Z,2024-06-09T23:59:59Z,CN=cdn.rollbar.com,cdn.rollbar.com,cdn.rollbar.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9d48d43923262c34196abbe14459a738,697804a77e614af87857a9f6987896ef6b31398a5c8b3a42b3ab095d3fe2dd2d,,ctls,cdn.rollbar.com,443,https://cdn.rollbar.com:443,https,nginx,text/html,GET,13.32.99.9,/,-936586016,13.32.99.101,Yoast SEO:20.9,1868,False,,,cloudfront,True,
https://data.pendo-tio.tenable.com,pendo.io,200,2443,,data.pendo-tio.tenable.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-05T00:00:00Z,2024-01-19T23:59:59Z,"CN=data.pendo-tio.tenable.com, O=TENABLE\, INC., L=Columbia, ST=Maryland, C=US",data.pendo-tio.tenable.com,content.pendo-tio.tenable.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2d9f12dfb906c42f3a0afa50cba12fc9,9bb03f58b9f38df6383d7f21fc3949961c8a1d57b6bcfcbb9de8af010f33eabd,,ctls,data.pendo-tio.tenable.com,443,https://data.pendo-tio.tenable.com:443,https,Google Frontend,text/html,GET,142.250.185.179,/,-2025924153,2a00:1450:4001:811::2013,Google Cloud Trace,1,False,,,,,"TENABLE, INC."
https://js.intercomcdn.com,,403,243,,js.intercomcdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-29T23:59:59Z,CN=*.intercomcdn.com,*.intercomcdn.com,*.intercomcdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f95b60c97316f403728b1c96679e6b5b,710d11668eee2865e5441f7650219a51966fefbff87b50788ddb8e9b444fa9a2,True,ctls,js.intercomcdn.com,443,https://js.intercomcdn.com:443,https,AmazonS3,application/xml,GET,18.66.147.3,/,-1026655565,18.66.147.5,HTTP/3,2,False,,,cloudfront,True,
https://lltrck.com,,404,,,lltrck.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-25T12:14:57Z,2023-08-26T12:14:57Z,CN=lltrck.com,lltrck.com,www.lltrck.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",e69fb0432af1ffe62386ee2958f8aeff,5579e7758bd7e49aa397aa5a275ed46f2ddca6e4e722b3b06107c5055ce1d7f3,,ctls,lltrck.com,443,https://lltrck.com:443,https,Kestrel,,GET,52.206.79.35,/,-1840324437,52.200.29.199,Microsoft ASP.NET,1,False,,,,,
https://track.leadlander.com,,404,,,track.leadlander.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T07:28:30Z,2024-04-01T07:28:30Z,CN=*.leadlander.com,*.leadlander.com,leadlander.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",6f5da28e1e2cdc6b7526271df526cfa5,0d43816932f1ccb810fa78fb2c6cd4bdf6e4bd7eec3ff193b813f2aa202aa622,True,ctls,track.leadlander.com,443,https://track.leadlander.com:443,https,Kestrel,,GET,52.200.29.199,/,-1840324437,52.206.79.35,Microsoft ASP.NET,1,False,,,,,
https://www.google-analytics.com,Analytics Tools & Solutions for Your Business - Google Analytics,200,118519,https://csp.withgoogle.com/csp/uxe-owners-acl/marketing_platform,marketingplatform.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-22T08:17:22Z,2023-08-14T08:17:21Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,d4c41662c484e31376c376014fd164d3,e090d78f3e16cf02beb7a0cf40a03494792eff47dddc596d31022a84f7f0a3fd,True,ctls,marketingplatform.google.com,443,https://www.google-analytics.com:443,https,sffe,text/html,GET,142.250.186.142,/,302920777,2a00:1450:4001:82a::200e,HTTP/3,1831,False,https://marketingplatform.google.com/about/analytics/,,,,
https://www.googletagmanager.com,Error 400 (Bad Request)!!1,400,1555,,www.googletagmanager.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-22T08:17:22Z,2023-08-14T08:17:21Z,CN=*.google-analytics.com,*.google-analytics.com,www.googleoptimize.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,31e80e9211e0cae6d5278bc2ca31e951,9f5de514e98bc6ef56891b18010d6d9055bd67e870245f028f538ad7ec8a4f59,True,ctls,www.googletagmanager.com,443,https://www.googletagmanager.com:443,https,Google Tag Manager,text/html,GET,172.217.18.8,/,302920777,2a00:1450:4001:82b::2008,HTTP/3,12,False,,True,,,
lightstream.bitdiscovery.com,,500,37,https://data.pendo-tio.tenable.com,lightstream.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,lightstream.bitdiscovery.com,443,https://lightstream.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,54.177.207.125,/,706918670,52.8.10.117,Nginx:1.18.0,1,False,,,,,
ntt.bitdiscovery.com,NTT - Attack Surface Management,200,4240,https://api-iam.intercom.io,ntt.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,ntt.bitdiscovery.com,443,https://ntt.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,52.8.10.117,/,1155520062,54.177.207.125,Nginx:1.18.0,112,False,,,,,
synopsys.bitdiscovery.com,Synopsys - Attack Surface Management,200,4255,wss://*.intercom.io,synopsys.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,synopsys.bitdiscovery.com,443,https://synopsys.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,54.177.207.125,/,-1730118917,52.8.10.117,Nginx:1.18.0,112,False,,,,,
tenable-staging.bitdiscovery.com,Tenable QA - Attack Surface Management,200,4202,https:,tenable-staging.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,tenable-staging.bitdiscovery.com,443,https://tenable-staging.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,52.52.212.184,/,355053386,13.57.104.195,Nginx:1.18.0,112,False,,,,,
trendmicro.bitdiscovery.com,Trend Micro - Attack Surface Management,200,4264,https:,trendmicro.bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,trendmicro.bitdiscovery.com,443,https://trendmicro.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,52.8.10.117,/,1374496917,54.177.207.125,Nginx:1.18.0,112,False,,,,,
www.bitdiscovery.com,Tenable - Attack Surface Management,200,6274,https:,bitdiscovery.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=bitdiscovery.com,bitdiscovery.com,*.bitdiscovery.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ef2e0f99a86766b2881fe2b6805f6931,f335bcdc0f7a36096dadc49d9252939c473724b67ff6c20636573259ac6ce69f,True,ctls,bitdiscovery.com,443,https://www.bitdiscovery.com:443,https,nginx/1.18.0,text/html,GET,54.177.207.125,/,-1840324437,52.8.10.117,Nginx:1.18.0,141,False,https://bitdiscovery.com/,,,,
