input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,csp_domains_,tls_mismatched,location
gateway-pp.kuna.io,,404,63,gateway-pp.kuna.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=kuna.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",kuna.io,"Cloudflare, Inc.",*.merchant.kuna.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",073520c11919a97f12eaa8f30fd58253,f3e0b9bb670e62766924e68cd14fcb2c3e7c2acfc88ab02d87c62e9ef060fb1b,True,ctls,gateway-pp.kuna.io,cloudflare,443,https://gateway-pp.kuna.io:443,https,cloudflare,application/json,GET,104.17.115.17,/,-1793755213,2606:4700::6811:7311,Envoy,1,False,True,,,,
gateway-saas.kuna.io,,404,66,gateway-saas.kuna.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=kuna.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",kuna.io,"Cloudflare, Inc.",*.merchant.kuna.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",073520c11919a97f12eaa8f30fd58253,f3e0b9bb670e62766924e68cd14fcb2c3e7c2acfc88ab02d87c62e9ef060fb1b,True,ctls,gateway-saas.kuna.io,cloudflare,443,https://gateway-saas.kuna.io:443,https,cloudflare,application/json,GET,104.17.114.17,/,487553774,2606:4700::6811:7311,Envoy,1,False,True,,,,
help.kuna.io,Центр підтримки kuna.io,200,51382,help.kuna.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-08T00:00:00Z,2024-04-07T23:59:59Z,"CN=kuna.io, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",kuna.io,"Cloudflare, Inc.",*.merchant.kuna.io,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",073520c11919a97f12eaa8f30fd58253,f3e0b9bb670e62766924e68cd14fcb2c3e7c2acfc88ab02d87c62e9ef060fb1b,True,ctls,help.kuna.io,cloudflare,443,https://help.kuna.io:443,https,cloudflare,text/html,GET,104.17.114.17,/,-1840324437,2606:4700::6811:7311,Cloudflare,22,False,True,https://help.kuna.io/uk/,https://marketing.intercomcdn.com,,
https://academy.intercom.com,Intercom Academy,200,143203,academy.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-12T23:59:59Z,CN=academy.intercom.com,academy.intercom.com,,academy.intercom.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,99cf526357e739168f8d98ab279962bc,e902cb91daf180836dcff8059b873239f6e4e29c28b3bd687fbb841df06f7051,,ctls,academy.intercom.com,cloudfront,443,https://academy.intercom.com:443,https,gunicorn,text/html,GET,18.66.147.25,/,-1857449216,18.66.147.11,gunicorn,2233,False,True,,,,
https://analytics.google.com,Redirecting...,200,888,analytics.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T11:56:06Z,2023-07-17T11:56:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ccf98682d60d9e7ef59d3d2493cd2a21,190dea597b07fed314c500a17b16b54a5b1cd3646bd078459020b1653ba147d7,True,ctls,analytics.google.com,,443,https://analytics.google.com:443,https,ESF,text/html,GET,216.239.32.181,/,302920777,2a00:1450:4001:82f::200e,HTTP/3,1,False,,https://analytics.google.com/analytics/web/,http:,,
https://app.au.intercom.com,Intercom | The easiest way to see and talk to your users,200,11697,app.au.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-08T23:59:59Z,CN=*.au.intercom.io,*.au.intercom.io,,*.mobile-messenger.au.intercom.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,981caee7c8a24ff7f99d38545198823f,e14f0f455afb8d09022322b2a8ed2cfb8f312f340f2afea2f42d46f57dd1e34d,True,ctls,app.au.intercom.com,,443,https://app.au.intercom.com:443,https,nginx,text/html,GET,52.65.120.223,/,-1840324437,3.105.195.22,Ruby on Rails,236,False,,https://app.au.intercom.com/admins/sign_in,https://app.getsentry.com/api/66205/csp-report/?sentry_key=0d13edc0ffce4b02bd7bc48d0b497300,True,
https://app.eu.intercom.com,Intercom | The easiest way to see and talk to your users,200,11665,app.eu.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-10T00:00:00Z,2024-06-07T23:59:59Z,CN=*.eu.intercom.io,*.eu.intercom.io,,*.intercom-clicks.eu,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1eee4a9e8cfeefc760fd1f82e1cdeef7,c240f5f3b0b1a17c11765a6f1788972ddc95e4eea4b0b3da3c8d042e7ab78199,True,ctls,app.eu.intercom.com,,443,https://app.eu.intercom.com:443,https,nginx,text/html,GET,52.51.1.151,/,-1840324437,52.19.74.241,Ruby on Rails,236,False,,https://app.eu.intercom.com/admins/sign_in,www.loom.com,True,
https://app.intercom.com,Intercom | The easiest way to see and talk to your users,200,12148,app.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-05-10T23:59:59Z,CN=*.intercom.com,*.intercom.com,,intr.cm,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,c0951bf8e99caddb8b5fb0a86acd849a,8bb4b251f6aa931b7ca267c21ae35bffa2ce16bf2a329c060ff773b643a91397,True,ctls,app.intercom.com,,443,https://app.intercom.com:443,https,nginx,text/html,GET,3.221.40.136,/,-1840324437,54.87.122.167,Ruby on Rails,245,False,,https://app.intercom.com/admins/sign_in,uploads.intercomcdn.com,,
https://au.intercom.help,Knowledge Base Software | Intercom,200,597129,www.intercom.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-31T00:00:00Z,2024-02-29T23:59:59Z,CN=*.intercom.com,*.intercom.com,,intercom.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,16a273078de16b234593d38b6d599fb1,1e78e3095b988214d59d22c24591ce1594d50267fd887783e5b5dd71889744ee,True,ctls,www.intercom.com,,443,https://au.intercom.help:443,https,nginx,text/html,GET,13.248.154.55,/,-1840324437,76.223.28.196,Nginx,17,False,,https://www.intercom.com/articles,epsilon.6sense.com,,
https://connect.facebook.net,Facebook - log in or sign up,200,62725,www.facebook.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-05-25T23:59:59Z,"CN=*.facebook.com, O=Meta Platforms\, Inc., L=Menlo Park, ST=California, C=US",*.facebook.com,"Meta Platforms, Inc.",messenger.com,"CN=DigiCert SHA2 High Assurance Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 High Assurance Server CA,DigiCert Inc,8237e69e06afeef0a038b65e6bc096cd,e2b8e99fb14ebcc795e21868c31dd2181282f0b0c45e2c2c8fe64057c6262741,True,ctls,www.facebook.com,,443,https://connect.facebook.net:443,https,,text/html,GET,157.240.251.9,/,966777739,2a03:2880:f084:d:face:b00c:0:3,HTTP/3,31,False,,https://www.facebook.com/,*.oculuscdn.com,,
