input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,csp_domains_,tls_subject_org_,final_url
newhouse.hootsuite.com,Social Media Marketing and Management Tool - Hootsuite,200,203519,www.hootsuite.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-10T15:47:07Z,2023-08-08T15:47:06Z,CN=www.hootsuite.com,www.hootsuite.com,www.hootsuite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,025d6b6c8b84b73898f2fe1576edd0a2,087bbfb3d6c447964ca787c2bf82f10c81ef2c99fe3a09f67906a3adee0faa7d,ctls,www.hootsuite.com,,443,https://newhouse.hootsuite.com:443,https,Vercel,text/html,GET,34.193.24.75,/,-124550747,54.145.190.61,webpack,582,False,,,,https://*.ctfcloud.net,,https://www.hootsuite.com/
old.ow.ly,,404,,,,,,,,,,,,,,,,,,,,80,http://old.ow.ly:80,http,,,GET,54.241.242.79,/,-1840324437,54.241.254.20,,1,False,,,,,,
ow.ly,"Ow.ly - Shorten urls, share files and track visits. - Hootsuite",200,180533,www.hootsuite.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-10T15:47:07Z,2023-08-08T15:47:06Z,CN=www.hootsuite.com,www.hootsuite.com,www.hootsuite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,025d6b6c8b84b73898f2fe1576edd0a2,087bbfb3d6c447964ca787c2bf82f10c81ef2c99fe3a09f67906a3adee0faa7d,ctls,www.hootsuite.com,,443,https://ow.ly:443,https,Vercel,text/html,GET,3.228.57.190,/,-1225065500,34.195.145.0,webpack,480,False,,,,https://blog.hootsuite.com,,https://www.hootsuite.com/pages/owly
payments-staging.hootsuite.com,"Hootsuite - Social Media Management for Teams using Twitter, Facebook, Linkedin",200,1925,payments-staging.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-08-09T23:59:59Z,CN=payments-staging.hootsuite.com,payments-staging.hootsuite.com,payments-staging.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d8ff0f324c1fe599b9e8f6c605b3160b,dd477627127349fe7351862fbf95c86d5330fe2cec44306d5b141aa8828e89c2,ctls,payments-staging.hootsuite.com,cloudfront,443,https://payments-staging.hootsuite.com:443,https,AmazonS3,text/html,GET,13.32.99.100,/,680948833,13.32.99.66,Sentry:5.7.1,1,False,True,,,https://sentry.io/api/1794370/security/?sentry_key=973358fd68184d0cad76b11c0c6d86e0,,
payments.hootsuite.com,"Hootsuite - Social Media Management for Teams using Twitter, Facebook, Linkedin",200,1925,payments.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-09T23:59:59Z,CN=payments.hootsuite.com,payments.hootsuite.com,payments.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,aaabd147a93666153b6cb4908c38bcd0,00e358881b69b9368ff87a8f18be3dd1857f036ff3dff6c3fe6c2c8598648e51,ctls,payments.hootsuite.com,cloudfront,443,https://payments.hootsuite.com:443,https,AmazonS3,text/html,GET,13.225.78.6,/,680948833,13.225.78.57,Sentry:5.7.1,1,False,True,,,https://sentry.io/api/1794370/security/?sentry_key=973358fd68184d0cad76b11c0c6d86e0,,
platform.hootsuite.com,,404,19,platform.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn.hootsuite.com,aperture-cdn.hootsuite.com,bio.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e651ac5026742976bf56f3c6b53cd90d,e52571636180552d53d492435f34c37203a3ea4ade0ad613af6fe5963b014a23,ctls,platform.hootsuite.com,cloudfront,443,https://platform.hootsuite.com:443,https,,text/plain,GET,13.224.189.35,/,-138391155,13.224.189.107,Amazon Web Services,2,False,True,,,,,
playground.birdie.hootsuite.com,Birdie by Hootsuite,200,2788,playground.birdie.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-07T23:59:59Z,CN=playground.birdie.hootsuite.com,playground.birdie.hootsuite.com,*.playground.birdie.hootsuite.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f7bd5462db5cfe620fec7643c0d5b23e,d85a1a848c9cc4aadd5db4509e9376f811a5e30ec9e8c17b4c2e1c8bb84c1be8,ctls,playground.birdie.hootsuite.com,cloudfront,443,https://playground.birdie.hootsuite.com:443,https,AmazonS3,text/html,GET,52.222.214.89,/,-2021060654,52.222.214.127,HSTS,61,False,True,True,,https://playground.birdie.hootsuite.com,,
pm-bounces.hootsuite.com,Postmark — Email delivery for web apps,200,4374,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.hootsuite.com:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,,,,
signup.hootsuite.com,Hootsuite - The Best Way To Manage Social Media,200,152743,signup.hootsuite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-29T10:11:50Z,2023-07-28T10:11:49Z,CN=signup.hootsuite.com,signup.hootsuite.com,signup.hootsuite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7c19b23f4b6e6cb5e63bc94ac664eabf,f31a6b1b486056567aba6b6d92fd55d0eee0943b6d72ce8609cf588a29cea171,ctls,signup.hootsuite.com,,443,https://signup.hootsuite.com:443,https,,text/html,GET,3.69.136.55,/,-1335621053,3.126.202.50,Unbounce,4607,False,,,,,,
signupnow.hootsuite.com,,404,47,signupnow.hootsuite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-09T21:36:39Z,2023-08-07T21:36:38Z,CN=signupnow.hootsuite.com,signupnow.hootsuite.com,signupnow.hootsuite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,38152304c2d395413ac94c19bb243685,514d27fe0dadec4731347a4023d4e83cdca5e02e8f908eb3e08e77a69960a69b,ctls,signupnow.hootsuite.com,,443,https://signupnow.hootsuite.com:443,https,,text/plain,GET,3.126.202.50,/,-1335621053,3.69.136.55,,1,False,,,,,,
signuptoday.hootsuite.com,Hootsuite - The Best Way To Manage Social Media,200,153970,signuptoday.hootsuite.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T18:52:10Z,2023-08-03T18:52:09Z,CN=signuptoday.hootsuite.com,signuptoday.hootsuite.com,signuptoday.hootsuite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c6bb9d3a772a4f3158ffc9e51e06e38e,8971ba11729876ec2435e7950592c0bf7a8a34e2f58b7e1809158d97a763d703,ctls,signuptoday.hootsuite.com,,443,https://signuptoday.hootsuite.com:443,https,,text/html,GET,3.69.136.55,/,-1335621053,3.126.202.50,Unbounce,4611,False,,,,,,
sites.hootsuite.com,Sign in - Google Accounts,200,21561,www.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:16Z,2023-07-17T12:01:15Z,CN=www.google.com,www.google.com,www.google.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,fc50d80049333ccb03bb8013bb58334a,b436c71033b81c75b14d32fbb808165bdab213d2a978246e6bfe5ecaa1f15eeb,ctls,www.google.com,,443,https://sites.hootsuite.com:443,https,GSE,text/html,GET,18.213.136.193,/,-1709261603,34.193.24.75,OpenGSE,846,False,,,,http:,,https://www.google.com/a/hootsuite.com/ServiceLogin?service=jotspot&passive=1209600&continue=https://sites.google.com/a/hootsuite.com/index/&followup=https://sites.google.com/a/hootsuite.com/index/&ul=1
smallbiz.hootsuite.com,Hootsuite Plans & Pricing | Hootsuite - Hootsuite,200,435574,www.hootsuite.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-10T15:47:07Z,2023-08-08T15:47:06Z,CN=www.hootsuite.com,www.hootsuite.com,www.hootsuite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,025d6b6c8b84b73898f2fe1576edd0a2,087bbfb3d6c447964ca787c2bf82f10c81ef2c99fe3a09f67906a3adee0faa7d,ctls,www.hootsuite.com,,443,https://smallbiz.hootsuite.com:443,https,Vercel,text/html,GET,18.213.136.193,/,479423265,54.145.190.61,webpack,555,False,,,,https://*.ctfcloud.net,,https://www.hootsuite.com/plans
sn.ow.ly,"Ow.ly - Shorten urls, share files and track visits. - Hootsuite",200,180533,www.hootsuite.com,443,True,tls13,TLS_CHACHA20_POLY1305_SHA256,2023-05-10T15:47:07Z,2023-08-08T15:47:06Z,CN=www.hootsuite.com,www.hootsuite.com,www.hootsuite.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,025d6b6c8b84b73898f2fe1576edd0a2,087bbfb3d6c447964ca787c2bf82f10c81ef2c99fe3a09f67906a3adee0faa7d,ctls,www.hootsuite.com,,443,https://sn.ow.ly:443,https,Vercel,text/html,GET,3.228.57.190,/,1458160609,54.172.131.150,webpack,480,False,,,,https://blog.hootsuite.com,,https://www.hootsuite.com/pages/owly
staging-api-auth-mobile.hootsuite.com,ERROR: The request could not be satisfied,403,919,staging-api-auth-mobile.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,staging-api-auth-mobile.hootsuite.com,cloudfront,443,https://staging-api-auth-mobile.hootsuite.com:443,https,CloudFront,text/html,GET,13.32.121.94,/,1341882627,13.32.121.21,Amazon Web Services,20,False,True,,,,,
staging-api-auth.hootsuite.com,ERROR: The request could not be satisfied,403,919,staging-api-auth.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,staging-api-auth.hootsuite.com,cloudfront,443,https://staging-api-auth.hootsuite.com:443,https,CloudFront,text/html,GET,13.32.121.21,/,-2120392392,13.32.121.18,Amazon Web Services,20,False,True,,,,,
staging-api-services.hootsuite.com,ERROR: The request could not be satisfied,403,919,staging-api-services.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,staging-api-services.hootsuite.com,cloudfront,443,https://staging-api-services.hootsuite.com:443,https,CloudFront,text/html,GET,13.32.121.18,/,-986642912,13.32.121.39,Amazon Web Services,20,False,True,,,,,
staging-api.hootsuite.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://staging-api.hootsuite.com:80,http,CloudFront,text/html,GET,143.204.215.16,/,-176897085,143.204.215.87,Amazon Web Services,20,False,True,,,,,
staging-apis.hootsuite.com,ERROR: The request could not be satisfied,403,919,staging-apis.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,staging-apis.hootsuite.com,cloudfront,443,https://staging-apis.hootsuite.com:443,https,CloudFront,text/html,GET,13.32.121.94,/,-45927634,13.32.121.39,Amazon Web Services,20,False,True,,,,,
staging-apps.hootsuite.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://staging-apps.hootsuite.com:80,http,CloudFront,text/html,GET,13.32.121.94,/,-72392947,13.32.121.21,Amazon Web Services,20,False,True,,,,,
staging-developers.hootsuite.com,ERROR: The request could not be satisfied,403,919,staging-developers.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,staging-developers.hootsuite.com,cloudfront,443,https://staging-developers.hootsuite.com:443,https,CloudFront,text/html,GET,13.32.121.18,/,-907500520,13.32.121.94,Amazon Web Services,20,False,True,,,,,
staging-eu.birdie.hootsuite.com,Birdie by Hootsuite,200,2788,staging-eu.birdie.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-08T00:00:00Z,2024-03-08T23:59:59Z,CN=staging-eu.birdie.hootsuite.com,staging-eu.birdie.hootsuite.com,*.staging-eu.birdie.hootsuite.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,158acacb1839b640fe672a2bf3e6964b,3ab24dc6e99aff35729be426197bddccfbf80c163eafc114db5ddde354833c0a,ctls,staging-eu.birdie.hootsuite.com,cloudfront,443,https://staging-eu.birdie.hootsuite.com:443,https,AmazonS3,text/html,GET,13.32.121.110,/,-2021060654,13.32.121.41,HSTS,61,False,True,True,,https://*.staging-eu.birdie.hootsuite.com,,
staging-imgssl.hootsuite.com,,403,146,staging-imgssl.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-07-26T23:59:59Z,CN=staging-imgssl.hootsuite.com,staging-imgssl.hootsuite.com,staging-imgssl.hootsuite.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,740bf3b62980fc364d473b21d5457257,47fc4812b44ff58dde6a012349c3042a67e481078a69634c707d5430d2c8d2a5,ctls,staging-imgssl.hootsuite.com,cloudfront,443,https://staging-imgssl.hootsuite.com:443,https,CloudFront,text/xml,GET,18.66.196.94,/,-13968365,18.66.196.125,Amazon Web Services,1,False,True,,,,,
staging-m.hootsuite.com,ERROR: The request could not be satisfied,403,915,,,,,,,,,,,,,,,,,,cloudfront,80,http://staging-m.hootsuite.com:80,http,CloudFront,text/html,GET,143.204.215.87,/,1785227686,143.204.215.56,Amazon Web Services,20,False,True,,,,,
staging-measure.hootsuite.com,ERROR: The request could not be satisfied,403,919,staging-measure.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,staging-measure.hootsuite.com,cloudfront,443,https://staging-measure.hootsuite.com:443,https,CloudFront,text/html,GET,18.165.183.82,/,143414474,18.165.183.75,Amazon Web Services,20,False,True,,,,,
staging-mobile-api.hootsuite.com,ERROR: The request could not be satisfied,403,919,staging-mobile-api.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,staging-mobile-api.hootsuite.com,cloudfront,443,https://staging-mobile-api.hootsuite.com:443,https,CloudFront,text/html,GET,13.32.121.18,/,475507551,13.32.121.21,Amazon Web Services,20,False,True,,,,,
staging-platform.hootsuite.com,ERROR: The request could not be satisfied,403,919,staging-platform.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-cdn-staging.hootsuite.com,aperture-cdn-staging.hootsuite.com,staging-mobile-api.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8af81433cd94621fd1280626a4ab0145,d5cbfe89afad5f7a8373f9197067dfbc16bb954b4a35fa9f11fd50dc9de8495c,ctls,staging-platform.hootsuite.com,cloudfront,443,https://staging-platform.hootsuite.com:443,https,CloudFront,text/html,GET,108.138.189.59,/,-700423020,108.138.189.43,Amazon Web Services,20,False,True,,,,,
staging-webhooks.hootsuite.com,,404,19,staging-webhooks.hootsuite.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-29T00:00:00Z,2024-04-26T23:59:59Z,CN=aperture-webhook-cdn-staging.hootsuite.com,aperture-webhook-cdn-staging.hootsuite.com,aperture-ui-webhooks-staging.hootsuite.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,99f465f58d1059bf49356e947629b91e,3fd0b151e1d9552cc7d157eca221bbe0222022339f61a9cd23c77ccb0bb63eb9,ctls,staging-webhooks.hootsuite.com,cloudfront,443,https://staging-webhooks.hootsuite.com:443,https,,text/plain,GET,99.84.9.116,/,-138391155,99.84.9.32,Amazon Web Services,2,False,True,,,,,
