input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_expired,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,content_type,tls_mismatched,final_url,cdn_name,cdn,csp_domains_,tls_self_signed
api-cds-prod.ual.com,United Login,200,5040,signon-oqa.ual.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-01T00:00:00Z,2023-12-03T23:59:59Z,"CN=*.ual.com, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",*.ual.com,United Airlines Inc,ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,10ea5833c08b719a595cd6d97fef8db0,c6c1528843840448c868ef0171a5167684469b0b635594b3b93ca5b71ff27abc,ctls,signon-oqa.ual.com,443,https://api-cds-prod.ual.com:443,https,Oracle-HTTP-Server,GET,23.212.202.113,/,-366806914,23.212.202.113,Oracle HTTP Server,135,False,True,text/html,,https://signon-oqa.ual.com:443/oam/server/obrareq.cgi?encquery%3DhaoIUvJLLMPiyRN1Ru1yW74kp8hGNnhccZ0ToTPU27XQigP6WJ17fvKx0x3JllcExhVZg7BF5ZV2LjwW6C74F%2BIKf9l7OwPWuIYvzCNUX5v4dbTreDzr%2FzhRTZACb3RiLPmsO1MxMIVWsJN9GQqJNjnXPx6rfXnsn3MSTF3SJ1dGagILMPRh6nj8npHG2WbMgm%2BcaS9DEPOFBRwBEvyEEDFryzOXiG1LYjcbsWbzvlsTEAafoQi97Nat2OtlVj8TK5tUnL0LHEy3K%2BsFkHzJfQ%3D%3D%20agentid%3Dotd-webgate%20ver%3D1%20crmethod%3D2%26cksum%3D9b3ecd6f2147a339150a35e1e01bcc88fbaec12f,,,/signon/pages/Error.jsp?message=expired,
api.dev.aws.united.com,,401,80,api.dev.aws.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T00:00:00Z,2024-04-19T23:59:59Z,"CN=api-qa.united.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",api-qa.united.com,United Airlines Inc,aodcommandcenter-qa.awscloud.ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c51b1c1baa5ccd7947497d8a4d5eafcd,8e657dd2652ef2da9fd8161a86cacc76f80f17be28909f9202a3dede3b7ffb73,ctls,api.dev.aws.united.com,443,https://api.dev.aws.united.com:443,https,,GET,23.37.226.107,/,-1156996142,23.37.226.115,IBM DataPower,1,False,,application/json,,,,,,
api.prd.aws.united.com,,401,80,api.prd.aws.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-29T00:00:00Z,2024-06-28T23:59:59Z,"CN=wingtips.ual.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",wingtips.ual.com,United Airlines Inc,www.unitedcargo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fa9a47a574639b0b6e37f94de9f5a7a7,f17c79084084c3b7e4eba9916db0021f616ec79028248f8d772cea494c6bf410,ctls,api.prd.aws.united.com,443,https://api.prd.aws.united.com:443,https,,GET,104.126.37.138,/,-1156996142,104.126.37.145,IBM DataPower,1,False,,application/json,,,,,,
api.preprod.aws.united.com,,403,80,api.preprod.aws.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T00:00:00Z,2024-04-19T23:59:59Z,"CN=api-qa.united.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",api-qa.united.com,United Airlines Inc,aodcommandcenter-qa.awscloud.ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c51b1c1baa5ccd7947497d8a4d5eafcd,8e657dd2652ef2da9fd8161a86cacc76f80f17be28909f9202a3dede3b7ffb73,ctls,api.preprod.aws.united.com,443,https://api.preprod.aws.united.com:443,https,,GET,2.23.209.132,/,-1156996142,2.23.209.165,IBM DataPower,1,False,,application/json,,,,,,
api.qa.aws.united.com,,401,80,api.qa.aws.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T00:00:00Z,2024-04-19T23:59:59Z,"CN=api-qa.united.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",api-qa.united.com,United Airlines Inc,aodcommandcenter-qa.awscloud.ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c51b1c1baa5ccd7947497d8a4d5eafcd,8e657dd2652ef2da9fd8161a86cacc76f80f17be28909f9202a3dede3b7ffb73,ctls,api.qa.aws.united.com,443,https://api.qa.aws.united.com:443,https,,GET,23.37.226.107,/,-1156996142,23.37.226.115,IBM DataPower,1,False,,application/json,,,,,,
api.stg.aws.united.com,,403,80,api.stg.aws.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T00:00:00Z,2024-04-19T23:59:59Z,"CN=api-qa.united.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",api-qa.united.com,United Airlines Inc,aodcommandcenter-qa.awscloud.ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c51b1c1baa5ccd7947497d8a4d5eafcd,8e657dd2652ef2da9fd8161a86cacc76f80f17be28909f9202a3dede3b7ffb73,ctls,api.stg.aws.united.com,443,https://api.stg.aws.united.com:443,https,,GET,2.20.142.144,/,-1156996142,2.20.142.192,IBM DataPower,1,False,,application/json,,,,,,
apiauth.united.com,,200,232,apiauth.united.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-29T00:00:00Z,2024-07-26T23:59:59Z,"CN=apiauth.united.com, O=United Airlines\, Inc., L=Chicago, ST=Illinois, C=US",apiauth.united.com,"United Airlines, Inc.",apigw.united.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,341af5b5e1396a69aa4f1818cfc9e2d3,b2c22bb7bbaa3731f9e0306905d341a191bf45453e4454c3414273a3bf80de41,ctls,apiauth.united.com,443,https://apiauth.united.com:443,https,,GET,216.136.1.113,/,-1328721946,12.169.195.113,IBM DataPower,10,False,,text/xml,,,,,,
apigw.united.com,,401,514,apigw.united.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-29T00:00:00Z,2024-07-26T23:59:59Z,"CN=apiauth.united.com, O=United Airlines\, Inc., L=Chicago, ST=Illinois, C=US",apiauth.united.com,"United Airlines, Inc.",apigw.united.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,341af5b5e1396a69aa4f1818cfc9e2d3,b2c22bb7bbaa3731f9e0306905d341a191bf45453e4454c3414273a3bf80de41,ctls,apigw.united.com,443,https://apigw.united.com:443,https,,GET,216.136.1.112,/,-1328721946,216.136.1.112,IBM DataPower,1,False,,application/json,,,,,,
appdevqf.united.com,Error,503,176,appdevqf.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-10-14T00:00:00Z,2023-10-14T23:59:59Z,"CN=united.com, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",united.com,United Airlines Inc,*.united.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,4c26517b3be846ca38a7a49e6208eb31,ada4dc32b3873e8ead47f9f7b04a2c5554dba28b8b4ad8fae04114d02ea19e90,ctls,appdevqf.united.com,443,https://appdevqf.united.com:443,https,AkamaiGHost,GET,184.86.251.13,/,-1644994803,184.86.251.9,,5,False,True,text/html,,,,,,
artifactorycloud.ual.com,JFrog,200,3029,artifactorycloud.ual.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-01T00:00:00Z,2023-12-03T23:59:59Z,"CN=*.ual.com, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",*.ual.com,United Airlines Inc,ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,10ea5833c08b719a595cd6d97fef8db0,c6c1528843840448c868ef0171a5167684469b0b635594b3b93ca5b71ff27abc,ctls,artifactorycloud.ual.com,443,https://artifactorycloud.ual.com:443,https,,GET,23.212.202.113,/,131975511,23.212.202.113,HSTS,1,False,True,text/html,,https://artifactorycloud.ual.com/ui/,,,api.appcues.net,
asl-dr.ual.com,Microsoft Azure Web App - Error 404,404,2667,asl-dr.ual.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-01T00:00:00Z,2023-12-03T23:59:59Z,"CN=*.ual.com, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",*.ual.com,United Airlines Inc,ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,10ea5833c08b719a595cd6d97fef8db0,c6c1528843840448c868ef0171a5167684469b0b635594b3b93ca5b71ff27abc,ctls,asl-dr.ual.com,443,https://asl-dr.ual.com:443,https,,GET,23.215.22.102,/,387302845,23.215.22.102,,87,False,True,text/html,,,,,,
asl-prod.ual.com,Sitecore,200,1043,asl-prod.ual.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2022-12-01T00:00:00Z,2023-12-03T23:59:59Z,"CN=*.ual.com, O=United Airlines Inc, L=Chicago, ST=Illinois, C=US",*.ual.com,United Airlines Inc,ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,10ea5833c08b719a595cd6d97fef8db0,c6c1528843840448c868ef0171a5167684469b0b635594b3b93ca5b71ff27abc,ctls,asl-prod.ual.com,443,https://asl-prod.ual.com:443,https,,GET,23.215.22.102,/,-1103538105,23.215.22.102,Microsoft ASP.NET,26,False,True,text/html,,https://asl-prod.ual.com/identity/login/asl/saml2ASL?returnUrl=%2f,,,,
assets.mystatus.united.com,,403,243,assets.mystatus.united.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-04T00:00:00Z,2024-05-04T23:59:59Z,"CN=assets.mystatus.united.com, O=United Airlines\, Inc., L=Chicago, ST=Illinois, C=US",assets.mystatus.united.com,"United Airlines, Inc.",assets.mystatus.united.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,66f2733dc181a71f71434362c27af4b2,05e8b59544024221c8459dec47a2a41e9a772db978c86c98cb2632d023f83e96,ctls,assets.mystatus.united.com,443,https://assets.mystatus.united.com:443,https,AmazonS3,GET,108.138.7.31,/,426723226,2600:9000:2490:c000:19:4bb3:c280:93a1,Amazon Web Services,2,False,,application/xml,,,cloudfront,True,,
atw-dev.united.com,Invalid URL,400,208,atw-dev.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-19T00:00:00Z,2024-03-19T23:59:59Z,"CN=united.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",united.com,United Airlines Inc,*.united.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1341a09569140c26a6a22c8e8f20103a,0784424074d89d8a3d6b03f7517f4e43f6c13985221a9c865b630736eccb437f,ctls,atw-dev.united.com,443,https://atw-dev.united.com:443,https,AkamaiGHost,GET,23.212.221.59,/,85704432,2a02:26f0:1700:383::3aa7,,8,False,True,text/html,,,,,,
aws.oh.devgw.api.united.com,,401,80,aws.oh.devgw.api.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T00:00:00Z,2024-04-19T23:59:59Z,"CN=api-qa.united.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",api-qa.united.com,United Airlines Inc,aodcommandcenter-qa.awscloud.ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c51b1c1baa5ccd7947497d8a4d5eafcd,8e657dd2652ef2da9fd8161a86cacc76f80f17be28909f9202a3dede3b7ffb73,ctls,aws.oh.devgw.api.united.com,443,https://aws.oh.devgw.api.united.com:443,https,,GET,23.53.43.139,/,-1156996142,23.53.43.136,IBM DataPower,1,False,,application/json,,,,,,
aws.oh.prdgw.api.united.com,,401,80,aws.oh.prdgw.api.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-06-29T00:00:00Z,2024-06-28T23:59:59Z,"CN=wingtips.ual.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",wingtips.ual.com,United Airlines Inc,www.unitedcargo.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,fa9a47a574639b0b6e37f94de9f5a7a7,f17c79084084c3b7e4eba9916db0021f616ec79028248f8d772cea494c6bf410,ctls,aws.oh.prdgw.api.united.com,443,https://aws.oh.prdgw.api.united.com:443,https,,GET,104.126.37.138,/,-1156996142,104.126.37.145,IBM DataPower,1,False,,application/json,,,,,,
aws.oh.qagw.api.united.com,,401,80,aws.oh.qagw.api.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T00:00:00Z,2024-04-19T23:59:59Z,"CN=api-qa.united.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",api-qa.united.com,United Airlines Inc,aodcommandcenter-qa.awscloud.ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c51b1c1baa5ccd7947497d8a4d5eafcd,8e657dd2652ef2da9fd8161a86cacc76f80f17be28909f9202a3dede3b7ffb73,ctls,aws.oh.qagw.api.united.com,443,https://aws.oh.qagw.api.united.com:443,https,,GET,2.23.209.165,/,-1156996142,2.23.209.132,IBM DataPower,1,False,,application/json,,,,,,
aws.oh.stagegw.api.united.com,,401,80,aws.oh.stagegw.api.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-04-19T00:00:00Z,2024-04-19T23:59:59Z,"CN=api-qa.united.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",api-qa.united.com,United Airlines Inc,aodcommandcenter-qa.awscloud.ual.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c51b1c1baa5ccd7947497d8a4d5eafcd,8e657dd2652ef2da9fd8161a86cacc76f80f17be28909f9202a3dede3b7ffb73,ctls,aws.oh.stagegw.api.united.com,443,https://aws.oh.stagegw.api.united.com:443,https,,GET,23.53.43.139,/,-1156996142,23.53.43.136,IBM DataPower,1,False,,application/json,,,,,,
aws.qa.webauth.united.com,Invalid URL,400,209,aws.qa.webauth.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-17T00:00:00Z,2024-06-07T23:59:59Z,"CN=wingtips-opreprod.ual.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",wingtips-opreprod.ual.com,United Airlines Inc,wifiqa.united.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,06c81e81ab7a3fb80066a627526a6d50,c84b4caec82bf773bf2e89087c3bf5d44ee165f626680d4e6a13d860ea978aed,ctls,aws.qa.webauth.united.com,443,https://aws.qa.webauth.united.com:443,https,AkamaiGHost,GET,23.53.43.139,/,1635765057,23.53.43.136,,8,False,,text/html,,,,,,
aws.qagw.api.united.com,,403,80,aws.qagw.api.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-17T00:00:00Z,2024-06-07T23:59:59Z,"CN=wingtips-opreprod.ual.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",wingtips-opreprod.ual.com,United Airlines Inc,wifiqa.united.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,06c81e81ab7a3fb80066a627526a6d50,c84b4caec82bf773bf2e89087c3bf5d44ee165f626680d4e6a13d860ea978aed,ctls,aws.qagw.api.united.com,443,https://aws.qagw.api.united.com:443,https,,GET,2.23.209.132,/,-1156996142,2.23.209.165,IBM DataPower,1,False,,application/json,,,,,,
aws.stagegw.api.united.com,,403,80,aws.stagegw.api.united.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-07-17T00:00:00Z,2024-06-07T23:59:59Z,"CN=wingtips-opreprod.ual.com, O=United Airlines Inc, L=Arlington Heights, ST=Illinois, C=US",wingtips-opreprod.ual.com,United Airlines Inc,wifiqa.united.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,06c81e81ab7a3fb80066a627526a6d50,c84b4caec82bf773bf2e89087c3bf5d44ee165f626680d4e6a13d860ea978aed,ctls,aws.stagegw.api.united.com,443,https://aws.stagegw.api.united.com:443,https,,GET,23.53.43.139,/,-1156996142,23.53.43.136,IBM DataPower,1,False,,application/json,,,,,,
