new,host,ttl,a,soa,status_code,aaaa,txt,cname,caa,mx,ns
,ksd.tweakers.net,60,"95.101.111.180, 95.101.111.157, 95.101.111.170, 95.101.111.176, 95.101.111.155, 95.101.111.132, 95.101.111.130","{'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,"2a02:26f0:ab00::5c7a:d729, 2a02:26f0:ab00::5c7a:d72b","google-site-verification=h_qnTzpd_Nf8_OhL6VeVW7D0TXBfuQxcu0h0mWnKu20, v=spf1 ip4:213.239.154.0/26 ip4:31.22.80.128/27 ip4:146.185.48.0/21 ip6:2a00:1188:8::/48 ip6:2001:9a8:0:e::/64 include:_spf.google.com include:aspmx.pardot.com -all, google-site-verification=tjtrPkF9D2SRX23YhDvlENYWExA3B3KJdOlsMxvIc1k, google-site-verification=OEWC3zL_Ft6ZrrC-7GwJq6lH56NulJSvq8v80OUaExc, google-site-verification=ITa8JYMqUe5TOwNLMfvwFEiEMNCRczi6BVI_hCwYE9w, google-site-verification=w5mnMwaZbXK26sFjA7LqNOcf7En9kukKq6dWCjqwk34",tweakers.net,"digicert.com, globalsign.org, letsencrypt.org","mx4-eu.spamexperts.com, mx2-eu.spamexperts.com, mx3-eu.spamexperts.com, mx1-eu.spamexperts.com",
,mail.tweakers.net,300,213.239.154.11,"{'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,,v=spf1 -all,,,,
,mx1.tweakers.net,300,149.13.75.27,"{'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,2001:978:2:7::162:100,,mx1-eu.spamexperts.com,,,
,mx2.tweakers.net,300,149.13.75.27,"{'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'spamexperts.com', 'ns': 'ns-1092.awsdns-08.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,2001:978:2:7::162:100,,mx2-eu.spamexperts.com,,,"ns-1092.awsdns-08.org, ns-146.awsdns-18.com, ns-1612.awsdns-09.co.uk, ns-961.awsdns-56.net"
,ntp.tweakers.net,300,213.239.154.12,"{'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,,v=spf1 -all,arethusa.tweakers.net,,,
,old.tweakers.net,300,"213.239.154.31, 213.239.154.30, 31.22.80.152","{'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,"2001:9a8:0:e:1337:0:80:2, 2a00:1188:8:0:1337:0:80:1, 2001:9a8:0:e:1337:0:80:1",,,,,
,pg.tweakers.net,55,"95.101.111.154, 95.101.111.174","{'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1729600394, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1729600396, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}, {'name': 'dscb.akamaiedge.net', 'ns': 'n0dscb.akamaiedge.net', 'mailbox': 'hostmaster.akamai.com', 'serial': 1729600396, 'refresh': 1000, 'retry': 1000, 'expire': 1000, 'minttl': 1800}",NOERROR,,,"dpgm-pg-global.edgekey.net, e184071.dscb.akamaiedge.net",,,
,pop.tweakers.net,300,213.239.154.11,"{'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}, {'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,2001:9a8:0:e:1337::11,,adonis.tweakers.net,,,
,pricewatch.tweakers.net,84910,"2.17.100.145, 2.17.100.153","{'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,"2a02:26f0:480:22::1726:62e4, 2a02:26f0:480:22::1726:62d1",,tweakers.net,"letsencrypt.org, digicert.com, globalsign.org","mx1-eu.spamexperts.com, mx2-eu.spamexperts.com, mx3-eu.spamexperts.com, mx4-eu.spamexperts.com","eur2.akam.net, eur5.akam.net, eur6.akam.net, usc2.akam.net, use2.akam.net, use5.akam.net, ns1-25.akam.net, ns1-125.akam.net"
,pw.tweakers.net,300,"2.17.100.145, 2.17.100.153","{'name': 'tweakers.net', 'ns': 'ns1-25.akam.net', 'mailbox': 'hostmaster.persgroep.be', 'serial': 10, 'refresh': 3600, 'retry': 600, 'expire': 604800, 'minttl': 300}",NOERROR,,"google-site-verification=OEWC3zL_Ft6ZrrC-7GwJq6lH56NulJSvq8v80OUaExc, v=spf1 ip4:213.239.154.0/26 ip4:31.22.80.128/27 ip4:146.185.48.0/21 ip6:2a00:1188:8::/48 ip6:2001:9a8:0:e::/64 include:_spf.google.com include:aspmx.pardot.com -all, google-site-verification=tjtrPkF9D2SRX23YhDvlENYWExA3B3KJdOlsMxvIc1k, google-site-verification=ITa8JYMqUe5TOwNLMfvwFEiEMNCRczi6BVI_hCwYE9w, google-site-verification=h_qnTzpd_Nf8_OhL6VeVW7D0TXBfuQxcu0h0mWnKu20, google-site-verification=w5mnMwaZbXK26sFjA7LqNOcf7En9kukKq6dWCjqwk34",tweakers.net,,"mx3-eu.spamexperts.com, mx1-eu.spamexperts.com, mx2-eu.spamexperts.com, mx4-eu.spamexperts.com","ns1-25.akam.net, ns1-125.akam.net, usc2.akam.net, use2.akam.net, eur6.akam.net, use5.akam.net, eur5.akam.net, eur2.akam.net"
