new,host,soa,status_code,a,cdn,cdn-name,cname,mx,ns,txt,aaaa,caa
[x],o615.email.dolap.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.97, 104.18.12.97",True,cloudflare,,,,,,
[x],o616.email.dolap.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.97, 104.18.12.97",True,cloudflare,,,,,,
[x],o617.email.dolap.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.13.97, 104.18.12.97",True,cloudflare,,,,,,
[x],ofis.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],orange.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],pages.email.trendyol.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,13.111.18.25,,,pages.virt.s10.exacttarget.com,,,,,
[x],partner.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],paylas.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],payment.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.175.21, 104.18.174.21",True,cloudflare,,,,,,
[x],plm.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],prtg.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],public-mdc.m.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.166.78, 104.18.165.78",True,cloudflare,,,,,,
[x],public-mdc.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],public-sdc.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],public.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],qa-ty-api.dolap.com,"hera.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.18.12.97, 104.18.13.97",True,cloudflare,,,,,,
[x],reports.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],rest.cozumortaklari.trendyol.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"99.80.84.225, 52.208.102.232, 54.247.25.28",,,15972990-prod-external-7927-663226632.eu-west-1.elb.amazonaws.com,,,,,
[x],rest.efaturam.trendyol.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,"52.208.102.232, 54.247.25.28, 99.80.84.225",,,15972990-prod-external-7927-663226632.eu-west-1.elb.amazonaws.com,,,,,
[x],s.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
[x],s3-test.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],s3.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],securefile.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],selfservice.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],servicenowtest.trendyol.com,"edns140.ultradns.com, root.service-now.com",NOERROR,148.139.68.208,,,trendyoltest.service-now.com,,,,,
[x],sitemap.dolap.com,"ns-1190.awsdns-20.org, awsdns-hostmaster.amazon.com",NOERROR,52.219.169.220,,,"sitemap.dolap.com.s3-website.eu-central-1.amazonaws.com, s3-website.eu-central-1.amazonaws.com",,"ns-1890.awsdns-44.co.uk, ns-478.awsdns-59.com, ns-635.awsdns-15.net, ns-1190.awsdns-20.org",639e5aa0898f9d618d404b447e237df5,,
[x],slackbot.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
[x],smetrics.trendyol.com,"ns201.adobe.net, hostmaster.adobe.com",NOERROR,"63.140.62.135, 63.140.62.160, 63.140.62.164",,,trendyol.com.ssl.ldc.d3.sc.omtrdc.net,,,,,
[x],stage.cozumortaklari.trendyol.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,52.30.217.152,,,15972990-kubesystem-limite-d662-1054943982.eu-west-1.elb.amazonaws.com,,"ns-1053.awsdns-03.org, ns-2023.awsdns-60.co.uk, ns-341.awsdns-42.com, ns-739.awsdns-28.net",,,
[x],stageapi.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],supportm.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.136, 104.16.150.136",True,cloudflare,,,,,,
[x],survey.trendyol.com,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"88.221.24.105, 88.221.24.106",,,"trenydolex-primary.vanitydomains.qualtrics.com, survey.trendyol.com.edgekey.net, e130354.b.akamaiedge.net",,,,,
[x],svpn.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,159.20.113.22,,,,,,,,
[x],tak.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,
[x],tech.trendyol.com,"evan.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.136, 104.16.151.136",True,cloudflare,,,,,,
