input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,final_url,cdn_name,cdn,tls_mismatched,csp_domains_,tls_subject_org_,tls_expired
serviciosocial.odoo.com,Home | serviciosocial,200,15125,serviciosocial.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,serviciosocial.odoo.com,443,https://serviciosocial.odoo.com:443,https,nginx,text/html,GET,34.171.173.83,/,-617743584,34.171.173.83,Python,232,False,,google,True,,,,
session.odoo.com,Database not available,200,1092,session.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,session.odoo.com,443,https://session.odoo.com:443,https,nginx,text/html,GET,34.132.31.105,/,1663198142,34.132.31.105,Nginx,24,False,https://session.odoo.com/_odoo/upgrade/session,google,True,,,,
sevenstore.odoo.com,Database not available,200,1092,sevenstore.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,sevenstore.odoo.com,443,https://sevenstore.odoo.com:443,https,nginx,text/html,GET,35.205.97.114,/,416292637,35.205.97.114,Nginx,24,False,https://sevenstore.odoo.com/_odoo/upgrade/sevenstore,google,True,,,,
sewa.odoo.com,Database not available,200,1092,sewa.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,sewa.odoo.com,443,https://sewa.odoo.com:443,https,nginx,text/html,GET,34.81.119.204,/,1565589139,34.81.119.204,Nginx,24,False,https://sewa.odoo.com/_odoo/upgrade/sewa,google,True,,,,
sf-lg.runbot50.odoo.com,Typo | Odoo,200,42143,www.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,www.odoo.com,443,https://sf-lg.runbot50.odoo.com:443,https,nginx,text/html,GET,141.94.74.34,/,258014868,141.94.74.34,Python,596,False,https://www.odoo.com/typo?domain=sf-lg.runbot50.odoo.com&autodbname=sf-lg&hosting=eu177a.odoo.com,,,,,,
sfcg.test.odoo.com,Typo | Odoo,200,40885,www.test.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T08:28:21Z,2023-07-14T08:28:20Z,CN=*.test.odoo.com,*.test.odoo.com,test.odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab8c63bf38925536fa9fd463320dc507,5d26a638d3072aff068347736d6523215f5288f923724af97320fe5307f2d49b,True,ctls,www.test.odoo.com,443,https://sfcg.test.odoo.com:443,https,nginx,text/html,GET,35.187.65.6,/,946870197,35.187.65.6,Python,589,False,https://www.test.odoo.com/typo?domain=sfcg.test.odoo.com&autodbname=sfcg&hosting=tt1.test.odoo.com,google,True,,,,
sftp.runbot50.odoo.com,Typo | Odoo,200,42101,www.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,www.odoo.com,443,https://sftp.runbot50.odoo.com:443,https,nginx,text/html,GET,141.94.74.34,/,228699179,141.94.74.34,Python,596,False,https://www.odoo.com/typo?domain=sftp.runbot50.odoo.com&autodbname=sftp&hosting=eu177a.odoo.com,,,,,,
sftpwebmail.test.odoo.com,Typo | Odoo,200,41503,www.test.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T08:28:21Z,2023-07-14T08:28:20Z,CN=*.test.odoo.com,*.test.odoo.com,test.odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ab8c63bf38925536fa9fd463320dc507,5d26a638d3072aff068347736d6523215f5288f923724af97320fe5307f2d49b,True,ctls,www.test.odoo.com,443,https://sftpwebmail.test.odoo.com:443,https,nginx,text/html,GET,35.187.65.6,/,-413191229,35.187.65.6,Python,591,False,https://www.test.odoo.com/typo?domain=sftpwebmail.test.odoo.com&autodbname=sftpwebmail&hosting=tt1.test.odoo.com,google,True,,,,
sg.runbot50.odoo.com,Typo | Odoo,200,42052,www.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,www.odoo.com,443,https://sg.runbot50.odoo.com:443,https,nginx,text/html,GET,141.94.74.34,/,834437805,141.94.74.34,Python,596,False,https://www.odoo.com/typo?domain=sg.runbot50.odoo.com&autodbname=sg&hosting=eu177a.odoo.com,,,,,,
sgpp.odoo.com,Database not available,200,1092,sgpp.odoo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-15T07:30:56Z,2023-07-14T07:30:55Z,CN=*.odoo.com,*.odoo.com,odoo.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c67064c2551df279623555c2339e1e44,bf8db9cb4860282a546534b8cebd2e8c228c647ee61af6c0d72a3af11f4f5384,True,ctls,sgpp.odoo.com,443,https://sgpp.odoo.com:443,https,nginx,text/html,GET,34.133.237.162,/,1318804021,34.133.237.162,Nginx,24,False,https://sgpp.odoo.com/_odoo/upgrade/sgpp,google,True,,,,
