input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,cdn_name,webserver,final_url,tech_,cdn,tls_wildcard_certificate,tls_subject_org_
colombia.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47188,recargapay.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-25T00:00:00Z,2024-08-06T23:59:59Z,"CN=www.recargapay.com.br, O=RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA, ST=São Paulo, C=BR, businessCategory=Private Organization, jurisdictionCountry=BR, serialNumber=11.275.560/0001-75, businessCategory=Private Organization, jurisdictionCountry=BR",www.recargapay.com.br,recargapay.com.br,"CN=SSL Blindado EV 2, OU=Certificação Digital, OU=Controlled by COMODO exclusively for Site Blindado S.A., O=Site Blindado S.A., L=São Paulo, ST=SP, C=BR",SSL Blindado EV 2,Site Blindado S.A.,352cc09a23c0a562813628456ea7f684,9062894e83444eb10e03070a89eebf3040663929143ab0bcd51cbd809d235b18,ctls,recargapay.com.br,443,https://colombia.recarga.com:443,https,text/html,GET,13.227.219.49,/,-1377407421,13.227.219.11,927,False,cloudfront,istio-envoy,https://recargapay.com.br,Node.js,True,,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA
dapi.of.recargapay.com.br,,404,48,dapi.of.recargapay.com.br,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-28T20:05:50Z,2023-11-28T20:05:50Z,CN=dapi.of.recargapay.com.br,dapi.of.recargapay.com.br,www.dapi.of.recargapay.com.br,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",3bf16b007452b5522ce818836e8ee357,cc332dc886495fefd7ea9686429662ba7ca927678b9b14c8d8be21ef4ecd274e,ctls,dapi.of.recargapay.com.br,443,https://dapi.of.recargapay.com.br:443,https,application/json,GET,2.17.100.201,/,834205737,2a02:26f0:ab00::214:8e71,1,False,,,,,,,
espana.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47189,recargapay.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-25T00:00:00Z,2024-08-06T23:59:59Z,"CN=www.recargapay.com.br, O=RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA, ST=São Paulo, C=BR, businessCategory=Private Organization, jurisdictionCountry=BR, serialNumber=11.275.560/0001-75, businessCategory=Private Organization, jurisdictionCountry=BR",www.recargapay.com.br,recargapay.com.br,"CN=SSL Blindado EV 2, OU=Certificação Digital, OU=Controlled by COMODO exclusively for Site Blindado S.A., O=Site Blindado S.A., L=São Paulo, ST=SP, C=BR",SSL Blindado EV 2,Site Blindado S.A.,352cc09a23c0a562813628456ea7f684,9062894e83444eb10e03070a89eebf3040663929143ab0bcd51cbd809d235b18,ctls,recargapay.com.br,443,https://espana.recarga.com:443,https,text/html,GET,13.32.27.102,/,-1467771901,13.32.27.21,927,False,cloudfront,istio-envoy,https://recargapay.com.br,Node.js,True,,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA
faq.recargapay.com.br,Security check,403,6589,faq.recargapay.com.br,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-06T23:49:42Z,2023-10-04T23:49:41Z,CN=faq.recargapay.com.br,faq.recargapay.com.br,itsm.recargapay.com.br,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5694c9bc46c4656c5ea0b94abe47e87a,97826998e9f294a31d81d009a5d7de2e557825a61509559ad207e7c39e59ba46,ctls,faq.recargapay.com.br,443,https://faq.recargapay.com.br:443,https,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,32,False,cloudflare,cloudflare,https://faq.recargapay.com.br/hc/pt-br,Cloudflare,True,,
itsm.recargapay.com.br,Security check,403,7124,itsm.recargapay.com.br,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-06T23:49:42Z,2023-10-04T23:49:41Z,CN=faq.recargapay.com.br,faq.recargapay.com.br,itsm.recargapay.com.br,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5694c9bc46c4656c5ea0b94abe47e87a,97826998e9f294a31d81d009a5d7de2e557825a61509559ad207e7c39e59ba46,ctls,itsm.recargapay.com.br,443,https://itsm.recargapay.com.br:443,https,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,32,False,cloudflare,cloudflare,https://itsm.recargapay.com.br/hc/pt-br/restricted?return_to=https%3A%2F%2Fitsm.recargapay.com.br%2Fhc&locale=pt-br,Cloudflare,True,,
mexico.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47188,recargapay.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-25T00:00:00Z,2024-08-06T23:59:59Z,"CN=www.recargapay.com.br, O=RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA, ST=São Paulo, C=BR, businessCategory=Private Organization, jurisdictionCountry=BR, serialNumber=11.275.560/0001-75, businessCategory=Private Organization, jurisdictionCountry=BR",www.recargapay.com.br,recargapay.com.br,"CN=SSL Blindado EV 2, OU=Certificação Digital, OU=Controlled by COMODO exclusively for Site Blindado S.A., O=Site Blindado S.A., L=São Paulo, ST=SP, C=BR",SSL Blindado EV 2,Site Blindado S.A.,352cc09a23c0a562813628456ea7f684,9062894e83444eb10e03070a89eebf3040663929143ab0bcd51cbd809d235b18,ctls,recargapay.com.br,443,https://mexico.recarga.com:443,https,text/html,GET,13.227.219.11,/,142300343,13.227.219.127,927,False,cloudfront,istio-envoy,https://recargapay.com.br,Node.js,True,,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA
mtls-dapi.of.recargapay.com.br,,401,87,mtls-dapi.of.recargapay.com.br,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-28T20:05:57Z,2023-11-28T20:05:57Z,CN=mtls-dapi.of.recargapay.com.br,mtls-dapi.of.recargapay.com.br,www.mtls-dapi.of.recargapay.com.br,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",0e222734c77a150d63157efc37c2b058,5d402d9b8c901e2755f406039e4cf803e72e722efa3a0f8e0eca8a690bfde50a,ctls,mtls-dapi.of.recargapay.com.br,443,https://mtls-dapi.of.recargapay.com.br:443,https,application/json,GET,95.101.111.178,/,-844403296,2a02:26f0:480:23::1726:6291,1,False,,,,,,,
pay.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47275,pay.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,pay.recarga.com,443,https://pay.recarga.com:443,https,text/html,GET,13.32.27.11,/,2025554730,13.32.27.102,927,False,cloudfront,istio-envoy,,Node.js,True,True,
policy-bot.recarga.com,PolicyBot,200,2102,policy-bot.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,policy-bot.recarga.com,443,https://policy-bot.recarga.com:443,https,text/html,GET,13.227.219.4,/,2014170787,13.227.219.103,58,False,cloudfront,istio-envoy,,Envoy,True,True,
prepaid.recarga.com,,200,99,prepaid.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,prepaid.recarga.com,443,https://prepaid.recarga.com:443,https,application/hal+json,GET,65.9.86.43,/,-1840324437,65.9.86.109,7,False,cloudfront,istio-envoy,,Envoy,True,True,
prod.recarga.com,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47283,prod.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,prod.recarga.com,443,https://prod.recarga.com:443,https,text/html,GET,13.32.27.88,/,2025554730,13.32.27.102,927,False,cloudfront,istio-envoy,,Node.js,True,True,
recarga.com,RecargaPay: Recarga rápida e simples,200,74020,recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,recarga.com,443,https://recarga.com:443,https,text/html,GET,13.227.219.11,/,2025554730,13.227.219.49,764,False,cloudfront,istio-envoy,,Node.js,True,True,
recargapay.com.br,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47188,recargapay.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-25T00:00:00Z,2024-08-06T23:59:59Z,"CN=www.recargapay.com.br, O=RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA, ST=São Paulo, C=BR, businessCategory=Private Organization, jurisdictionCountry=BR, serialNumber=11.275.560/0001-75, businessCategory=Private Organization, jurisdictionCountry=BR",www.recargapay.com.br,recargapay.com.br,"CN=SSL Blindado EV 2, OU=Certificação Digital, OU=Controlled by COMODO exclusively for Site Blindado S.A., O=Site Blindado S.A., L=São Paulo, ST=SP, C=BR",SSL Blindado EV 2,Site Blindado S.A.,352cc09a23c0a562813628456ea7f684,9062894e83444eb10e03070a89eebf3040663929143ab0bcd51cbd809d235b18,ctls,recargapay.com.br,443,https://recargapay.com.br:443,https,text/html,GET,52.222.139.109,/,2025554730,52.222.139.35,927,False,cloudfront,istio-envoy,,Node.js,True,,RECARGAPAY INSTITUICAO DE PAGAMENTO LTDA
secure-staging.recarga.com,,404,,secure-staging.recarga.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-27T00:00:00Z,2024-05-26T23:59:59Z,CN=secure-staging.recarga.com,secure-staging.recarga.com,secure-staging.recarga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e17b4ce503efee6f661c85e7eee13623,b31795aa805223fb110af7c25d5d09030091f0177618b84b82f1647a52f9fb89,ctls,secure-staging.recarga.com,443,https://secure-staging.recarga.com:443,https,,GET,52.67.31.207,/,-1840324437,54.94.146.25,1,False,,istio-envoy,,,,,
secure.recarga.com,,404,,secure.recarga.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-03T00:00:00Z,2024-01-11T23:59:59Z,CN=secure.recarga.com,secure.recarga.com,www.secure.recarga.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,028344f7e10f62819456ec8eb2faceca,b552809d4c4ae0148fe37535d1d2166cd18753325ab36d162c00343a7c295fb7,ctls,secure.recarga.com,443,https://secure.recarga.com:443,https,,GET,18.228.200.231,/,-1840324437,52.67.210.14,1,False,,istio-envoy,,,,,
staging-brasil.recarga.com,RecargaPay: Recarga rápida e simples,200,74185,staging-brasil.recarga.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-12-28T00:00:00Z,2024-01-26T23:59:59Z,CN=*.recarga.com,*.recarga.com,recarga.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ea1d80ff4cfe386e6a15d02da52c7967,ea466316bffe74dbadd5d1200257f69711f86a59f2ebc2a4ef5e8326d6ba0bbe,ctls,staging-brasil.recarga.com,443,https://staging-brasil.recarga.com:443,https,text/html,GET,52.222.139.64,/,2025554730,52.222.139.19,764,False,cloudfront,istio-envoy,,Node.js,True,True,
staging.recargapay.com.br,"RecargaPay: Pix com Cartão Crédito Parcelado, Pagar Contas e Boletos, Recarga Celular e Recarga de Transporte, Bilhete Único, URBS. | RecargaPay",200,47541,staging.recargapay.com.br,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-19T00:00:00Z,2024-08-17T23:59:59Z,CN=*.recargapay.com.br,*.recargapay.com.br,*.recargapay.com.br,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a7b51ed7169814b8d559efc5397f195d,667eaeaf19327c9556875163d9201fbb0ea7057d179dafff0d918351d3d03944,ctls,staging.recargapay.com.br,443,https://staging.recargapay.com.br:443,https,text/html,GET,108.138.7.31,/,2025554730,108.138.7.77,927,False,cloudfront,istio-envoy,,Node.js,True,True,
