new,host,ttl,a,aaaa,soa,status_code,mx,ns,txt,caa,cname,cdn,cdn-name
,api-staging.btcturk.com,300,"104.19.239.69, 104.19.240.69","2606:4700::6813:ef45, 2606:4700::6813:f045","{'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,api.btcturk.com,300,"104.19.239.69, 104.19.240.69","2606:4700::6813:f045, 2606:4700::6813:ef45","{'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,apim.btcturk.com,300,"104.19.239.69, 104.19.240.69","2606:4700::6813:f045, 2606:4700::6813:ef45","{'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,autodiscover.btcturk.com,300,"40.99.211.8, 40.99.218.152, 40.99.210.8, 40.99.211.24","2603:1026:c0d:c02::8, 2603:1026:c0d:82a::8, 2603:1026:c0d:806::8, 2603:1026:c0d:c1c::8","{'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024116123, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024109627, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024104079, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024229927, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}, {'name': 'ms-acdc-autod.office.com', 'ns': 'ns1-ms-acdc.office.com', 'mailbox': 'hostmaster.microsoft.com', 'serial': 2024321029, 'refresh': 900, 'retry': 600, 'expire': 86400, 'minttl': 60}",NOERROR,,,,,"autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com",,
,ayricaliklar.btcturk.com,300,"104.19.240.69, 104.19.239.69","2606:4700::6813:ef45, 2606:4700::6813:f045","{'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,bff-dev.btcturk.com,300,"104.19.240.69, 104.19.239.69",,"{'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,bff-dev2.btcturk.com,300,"104.19.239.69, 104.19.240.69","2606:4700::6813:ef45, 2606:4700::6813:f045","{'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,bff-staging.btcturk.com,300,"104.19.240.69, 104.19.239.69","2606:4700::6813:ef45, 2606:4700::6813:f045","{'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,bff.btcturk.com,300,"104.19.239.69, 104.19.240.69","2606:4700::6813:ef45, 2606:4700::6813:f045","{'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
,bilgibankasi.btcturk.com,272,"216.198.53.1, 216.198.54.1",,"{'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}, {'name': 'zendesk.com', 'ns': 'ns-1213.awsdns-23.org', 'mailbox': 'awsdns-hostmaster.amazon.com', 'serial': 1, 'refresh': 7200, 'retry': 900, 'expire': 1209600, 'minttl': 86400}",NOERROR,,,"v=spf1 include:mail.zendesk.com ~all, pod=17",,btcturkpro.zendesk.com,,
,bilgibankasi.kripto.btcturk.com,1800,,,"{'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}, {'name': 'btcturk.com', 'ns': 'gina.ns.cloudflare.com', 'mailbox': 'dns.cloudflare.com', 'serial': 2352309802, 'refresh': 10000, 'retry': 2400, 'expire': 604800, 'minttl': 1800}",NOERROR,,,,,,,
