input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,tls_expired,tls_mismatched,csp_domains_,final_url,tls_subject_org_
api4.nozbe.com,,400,211,api4.nozbe.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-15T22:21:55Z,2023-09-13T22:21:54Z,CN=api4.nozbe.com,api4.nozbe.com,api4.nozbe.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,4431cc4ff9cf232cfbb90494dbc90a4f,8234f44f1cceda9b31df56bfbb4b57509040958dc37d3da178d665e622667f38,ctls,api4.nozbe.com,443,https://api4.nozbe.com:443,https,nginx/1.18.0 (Ubuntu),application/json,GET,116.202.203.198,/,-213875066,116.202.203.198,Ubuntu,1,False,,,,,,,,
app.nozbe.com,Nozbe Personal,200,10468,app.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,app.nozbe.com,443,https://app.nozbe.com:443,https,nginx,text/html,GET,52.16.173.74,/,1803798471,52.16.173.74,Nginx,163,False,True,,,,,https://webapp.nozbe.com,,
assets.nozbe.com,,200,38,assets.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,assets.nozbe.com,443,https://assets.nozbe.com:443,https,Apache,application/json,GET,52.29.175.196,/,-366337701,52.29.175.196,Apache,1,False,True,,,,,,,
beta-signup.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://beta-signup.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
beta.nozbe.com,Nozbe Personal,200,10468,beta.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,beta.nozbe.com,443,https://beta.nozbe.com:443,https,nginx,text/html,GET,52.16.173.74,/,1803798471,52.16.173.74,Nginx,163,False,True,,,,,wss://push.nozbe.com:3004,,
blog.nozbe.com,Blogs,200,51144,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://blog.nozbe.com:443,https,AmazonS3,text/html,GET,108.62.123.206,/,-11542733,108.62.123.206,HSTS,1094,False,True,,,,,,https://nozbe.com/blog,
builds.nozbe.com,404 Not Found,404,345,builds.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,builds.nozbe.com,443,https://builds.nozbe.com:443,https,AmazonS3,text/html,GET,18.66.97.81,/,-216180786,18.66.97.109,Amazon Web Services,15,False,True,cloudfront,True,,,,,
check-vat.nozbe.com,,401,,check-vat.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-07-07T19:40:54Z,2023-10-05T19:40:53Z,CN=check-vat.nozbe.com,check-vat.nozbe.com,check-vat.nozbe.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c17d453e8a080340032957f53534e7c1,ae400b7f928189ade01d03e3e6ac014ed8acbd36bda3238d0f5da29b074b3567,ctls,check-vat.nozbe.com,443,https://check-vat.nozbe.com:443,https,nginx,text/html,GET,157.230.106.254,/,190856733,157.230.106.254,Nginx,1,False,,,,,,,,
checkout.nozbe.com,,200,212,checkout.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,2024-05-17T23:59:59Z,CN=checkout.nozbe.com,checkout.nozbe.com,www.checkout.nozbe.com,"CN=RapidSSL TLS RSA CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",RapidSSL TLS RSA CA G1,DigiCert Inc,f5672acdc0ab76f077233ae6585b58fb,a96ba969f7c4f5e6074b86542ed9baa29790638c7561f08c0e13af9688be491e,ctls,checkout.nozbe.com,443,https://checkout.nozbe.com:443,https,,text/html,GET,45.60.14.94,/,-1228961852,45.60.14.94,Imperva,8,False,,incapsula,True,,,,,
dev.webapp.nozbe.com,Michael Sliwinski – by Michael Sliwinski,200,25118,michael.team,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-17T13:09:33Z,2023-09-15T13:09:32Z,CN=michael.team,michael.team,michael.team,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7fd9ec75584de70daaa41fb2449fcf15,57aa6a1a0db66f71269c744c5d904c099bd4326421fb4552aaaaf1693e55647d,ctls,michael.team,443,https://dev.webapp.nozbe.com:443,https,GitHub.com,text/html,GET,108.62.123.206,/,1615106687,108.62.123.206,YouTube,276,False,,,,,,,https://michael.team,
devapi4.nozbe.com,403 Forbidden,403,150,devapi4.nozbe.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-15T22:22:04Z,2023-09-13T22:22:03Z,CN=devapi4.nozbe.com,devapi4.nozbe.com,devapi4.nozbe.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,635f2ff680d01b9e987d51d38fff4e5b,67a843572008c681ef0c2f858e39c9f000d2fd2d2ffcb989bccc573fb784f3e4,ctls,devapi4.nozbe.com,443,https://devapi4.nozbe.com:443,https,nginx/1.18.0 (Ubuntu),text/html,GET,116.202.203.198,/,29599957,116.202.203.198,Ubuntu,8,False,,,,,,,,
e911circuitauditor.staging.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://e911circuitauditor.staging.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
email.nozbe.com,,404,19,email.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T05:52:27Z,2023-09-02T05:52:26Z,CN=email.nozbe.com,email.nozbe.com,email.nozbe.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2b48e0ca053867a5fe53b61f5d1a80a4,a10a3cc0226cdc6991e3f51bf6540a6ad2be3ab0d4e5bff4755d96b74f29b411,ctls,email.nozbe.com,443,https://email.nozbe.com:443,https,,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,,google,True,,,,,
email.sender.nozbe.com,,404,19,email.sender.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-04T05:58:20Z,2023-09-02T05:58:19Z,CN=email.sender.nozbe.com,email.sender.nozbe.com,email.sender.nozbe.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8881c6db9a522bd5ab51e77ee555661d,05237e018f7cf4f8c9cd8b958d52624e0e2a176902653a5b543f2785954d0fb5,ctls,email.sender.nozbe.com,443,https://email.sender.nozbe.com:443,https,,text/plain,GET,34.110.180.34,/,-138391155,34.110.180.34,,2,False,,google,True,,,,,
email.social.nozbe.com,,404,19,email.social.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-23T13:32:14Z,2023-08-21T13:32:13Z,CN=eu.mailgun.org,eu.mailgun.org,eu.mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,2753b34e3b6210c801d396a94e40d92d,6a66728e043e8d82606c4eb20b280e0c9893f209588b457f9ea8713ab3827e89,ctls,email.social.nozbe.com,443,https://email.social.nozbe.com:443,https,,text/plain,GET,34.111.99.212,/,-138391155,34.111.99.212,,2,False,,google,True,,True,,,
files.nozbe.com,404 Not Found,404,345,files.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,files.nozbe.com,443,https://files.nozbe.com:443,https,AmazonS3,text/html,GET,65.9.66.14,/,-1626659746,65.9.66.17,Amazon Web Services,15,False,True,cloudfront,True,,,,,
files2.nozbe.com,404 Not Found,404,345,files2.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,files2.nozbe.com,443,https://files2.nozbe.com:443,https,AmazonS3,text/html,GET,65.9.66.30,/,-1626659746,65.9.66.14,Amazon Web Services,15,False,True,cloudfront,True,,,,,
get.nozbe.com,Nozbe - best project management and collaboration tool,200,130621,nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,nozbe.com,443,https://get.nozbe.com:443,https,AmazonS3,text/html,GET,18.66.112.33,/,1072955389,18.66.112.26,Hugo:0.80.0,5314,False,True,cloudfront,True,,,,https://nozbe.com/?ref=,
greenfield-dogfooding.staging.nozbe.com,Welcome to nginx!,200,612,,,,,,,,,,,,,,,,,,80,http://greenfield-dogfooding.staging.nozbe.com:80,http,nginx/1.4.6 (Ubuntu),text/html,GET,54.93.48.12,/,732758235,54.93.48.12,Ubuntu,26,False,,,,,,,,
hello-logs.nozbe.com,403 Forbidden,403,162,hello-logs.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-07-04T08:32:06Z,2023-10-02T08:32:05Z,CN=hello-logs.nozbe.com,hello-logs.nozbe.com,hello-logs.nozbe.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c994c2833d55951d0516d93454ea8c5a,9f2e39670a99e77f753a5f8291e073b8f24373fd4cc99f88b2d90916e5639302,ctls,hello-logs.nozbe.com,443,https://hello-logs.nozbe.com:443,https,nginx,text/html,GET,157.230.106.254,/,-551736798,157.230.106.254,Nginx,8,False,,,,,,,,
hello.nozbe.com,,200,,hello.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-06-15T07:52:11Z,2023-09-13T07:52:10Z,CN=hello.nozbe.com,hello.nozbe.com,hello.sliwinski.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3ca9faa95243dfb84c6854ddb4dfb8ed,78db9e054d3d02dbbe7f70700c5dc9edcb8b61d0172dd9fa5d662be5243d743d,ctls,hello.nozbe.com,443,https://hello.nozbe.com:443,https,nginx,text/html,GET,157.230.106.254,/,190856733,157.230.106.254,Nginx,1,False,,,,,,,,
help.nozbe.com,Nozbe Personal Help,200,42150,help.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,help.nozbe.com,443,https://help.nozbe.com:443,https,AmazonS3,text/html,GET,65.9.66.60,/,-412430967,65.9.66.27,Hugo:0.77.0,1180,False,True,cloudfront,True,,,,,
how-backup.nozbe.com,Nozbe.how - how to get anything done!,200,29856,how.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,how.nozbe.com,443,https://how-backup.nozbe.com:443,https,AmazonS3,text/html,GET,52.16.173.74,/,-26904094,52.16.173.74,Google Tag Manager,420,False,True,,,,,,https://how.nozbe.com,
how.nozbe.com,Nozbe.how - how to get anything done!,200,29856,how.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,how.nozbe.com,443,https://how.nozbe.com:443,https,AmazonS3,text/html,GET,13.225.78.56,/,1506368158,13.225.78.45,Google Tag Manager,420,False,True,cloudfront,True,,,,,
how2.nozbe.com,Nozbe.how - how to get anything done!,200,29856,how2.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-18T23:59:59Z,CN=nozbe.com,nozbe.com,*.nozbe.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,81263f6656d2585f198a28ee9903bb01,afc0e06d8cd176e4da713e7493281648b4bb664825c4b09d780bb8786d760fa8,ctls,how2.nozbe.com,443,https://how2.nozbe.com:443,https,AmazonS3,text/html,GET,13.225.78.66,/,1506368158,13.225.78.56,Google Tag Manager,420,False,True,cloudfront,True,,,,,
https://push.nozbe.com:3004,,200,21,push.nozbe.com,3004,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,push.nozbe.com,3004,https://push.nozbe.com:3004,https,,,GET,52.16.173.74,/,-1979126843,52.16.173.74,,1,False,True,,,,,,,
https://ssl.gstatic.com,Error 404 (Not Found)!!1,404,1561,ssl.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T08:23:57Z,2023-09-25T08:23:56Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,3fccc39381a19ebf3cd39b539221dd29,650f9dd06c8ea335c94b5eaa983924e84775b2ce310c699e1a47c36e9fe7cc84,ctls,ssl.gstatic.com,443,https://ssl.gstatic.com:443,https,sffe,text/html,GET,142.250.184.227,/,302920777,2a00:1450:4001:812::2003,HTTP/3,12,False,True,,,,,,,
https://webapp.nozbe.com,Nozbe - getting things done gtd software task manager and to-do list for project management and time tracking. Now on Apple iPhone and Mobile Phone!,200,2341,webapp.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,webapp.nozbe.com,443,https://webapp.nozbe.com:443,https,Apache,text/html,GET,85.10.232.84,/,-1840324437,85.10.232.84,Apache,71,False,True,,,,,,,
importer.nozbe.com,,200,9,importer.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,importer.nozbe.com,443,https://importer.nozbe.com:443,https,Apache,text/html,GET,85.10.232.84,/,-366337701,85.10.232.84,Apache,2,False,True,,,,,,,
js.nozbe.com,,200,82,js.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,js.nozbe.com,443,https://js.nozbe.com:443,https,Apache,text/html,GET,85.10.232.84,/,-366337701,85.10.232.84,Apache,5,False,True,,,,,,,
mail.nozbe.com,,200,,mail.nozbe.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-24T00:00:00Z,2023-09-22T23:59:59Z,CN=nozbe.net,nozbe.net,xoutu.be,"CN=cPanel\, Inc. Certification Authority, O=cPanel\, Inc., L=Houston, ST=TX, C=US","cPanel, Inc. Certification Authority","cPanel, Inc.",ec143668801d73031a08e61fc58a9370,99bef4638f0c6fbb06384301398b439a2bc44185ce8a723d75b5628f099935e6,ctls,mail.nozbe.com,443,https://mail.nozbe.com:443,https,Apache,text/html,GET,108.62.123.206,/,-1812417198,108.62.123.206,Apache,1,False,,,,,,,,
mail2.nozbe.com,Michael Sliwinski – by Michael Sliwinski,200,25118,michael.team,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-06-17T13:09:33Z,2023-09-15T13:09:32Z,CN=michael.team,michael.team,michael.team,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7fd9ec75584de70daaa41fb2449fcf15,57aa6a1a0db66f71269c744c5d904c099bd4326421fb4552aaaaf1693e55647d,ctls,michael.team,443,https://mail2.nozbe.com:443,https,GitHub.com,text/html,GET,108.62.123.206,/,1615106687,108.62.123.206,YouTube,276,False,,,,,,,https://michael.team,
mailer.nozbe.com,,401,,mailer.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,mailer.nozbe.com,443,https://mailer.nozbe.com:443,https,nginx,text/html,GET,52.16.173.74,/,190856733,52.16.173.74,PHP,1,False,True,,,,,,,
mailer2.nozbe.com,,401,,mailer2.nozbe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-12T00:00:00Z,2024-02-12T23:59:59Z,CN=*.nozbe.com,*.nozbe.com,nozbe.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",0cc83a8c0ff1a1ec8f8a3aae4a6f7413,e30e7c8f0a3c08aaa91a3fd7872931b5a8c5084c73845221e9ab754e5352053f,ctls,mailer2.nozbe.com,443,https://mailer2.nozbe.com:443,https,nginx,text/html,GET,52.16.173.74,/,190856733,52.16.173.74,PHP,1,False,True,,,,,,,
