input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_subject_org_,tls_wildcard_certificate,tls_mismatched,final_url,csp_domains_
api.netgear.com,,404,,api.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-17T23:59:59Z,CN=api.netgear.com,api.netgear.com,api.io.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6c1fab8c10d51f4704b1a51c0104cc8a,5b112809983d77bc963ae0ade886a4f969a66acd396bc556f3a52c7794435f16,ctls,api.netgear.com,cloudfront,443,https://api.netgear.com:443,https,awselb/2.0,text/plain,GET,18.66.97.49,/,-1840324437,2600:9000:223c:8c00:1d:f406:7980:93a1,Amazon Web Services,1,False,True,,,,,
apidev.netgear.com,502 Bad Gateway,502,122,apidev.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-02-09T23:59:59Z,CN=apidev.netgear.com,apidev.netgear.com,apidev.io.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5ea494185cc37e98f25487642b44fcd1,20dc984fd8b65f8f7dcf47b5589f3461e77c4fbc451c364a1e6f3e9c9d947cf8,ctls,apidev.netgear.com,cloudfront,443,https://apidev.netgear.com:443,https,awselb/2.0,text/html,GET,13.32.99.107,/,590066698,2600:9000:2251:7a00:14:b1ea:8640:93a1,Amazon Web Services,7,False,True,,,,,
apiqa.io.netgear.com,,404,,apiqa.io.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-12-10T23:59:59Z,CN=apiqa.netgear.com,apiqa.netgear.com,apiqa.io.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ec8e6372ab9b1d82ef2ab27bd7d8d7b6,03e47d53cf3b8fd0e87306108a0832afabf2d6a7ffa26e1e14e82ba37b85e81c,ctls,apiqa.io.netgear.com,cloudfront,443,https://apiqa.io.netgear.com:443,https,awselb/2.0,text/plain,GET,18.66.147.15,/,-1840324437,2600:9000:225e:5a00:f:2b5a:80:93a1,Amazon Web Services,1,False,True,,,,,
app-qa.netgear.com,,403,243,app-qa.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,2024-04-19T23:59:59Z,CN=app-qa.netgear.com,app-qa.netgear.com,app-qa.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,84b3e8c794caaa38dd3e8ec7d9e4755b,3f0ca5012d2f4f1b7d47a7f44526f6cfbd37e421586a51223da926ada6fa8728,ctls,app-qa.netgear.com,cloudfront,443,https://app-qa.netgear.com:443,https,AmazonS3,application/xml,GET,13.224.189.28,/,394613162,13.224.189.113,Amazon Web Services,2,False,True,,,,,
arlo-device.messaging.netgear.com,HTTP Status 404 – Not Found,404,431,arlo-device.messaging.netgear.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T06:51:03Z,2023-12-30T06:51:03Z,"CN=arlo.netgear.com, O=Netgear\, Inc, L=San Jose, ST=California, C=US",arlo.netgear.com,arlo-device.messaging.netgear.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",bdf0d120cc7f9016a8a59dec03d8b35b,0bdb504fe73b6ab9b19ae4872c7c1de0c59076465c912237ba2b75179f3de979,ctls,arlo-device.messaging.netgear.com,,443,https://arlo-device.messaging.netgear.com:443,https,,text/html,GET,52.19.130.66,/,-230353730,34.243.92.214,HSTS,1,False,,"Netgear, Inc",,,,
arlo.netgear.com,Just a moment...,403,7211,my.arlo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-08-02T06:39:53Z,2023-08-25T06:39:53Z,"CN=my.arlo.com, O=Arlo Technologies\, Inc., L=Milpitas, ST=California, C=US",my.arlo.com,arlo-device.messaging.arlo.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",b71d9f0259522561803b13fc2f645e22,00c1beaaa7b0aee8e6277a1947d05b229f3dac56c73499639f96d159d901f748,ctls,my.arlo.com,cloudflare,443,https://arlo.netgear.com:443,https,cloudflare,text/html,GET,104.18.30.251,/,275276608,104.18.31.251,Cloudflare Bot Management,88,False,True,"Arlo Technologies, Inc.",,,https://my.arlo.com,
arloupdates.netgear.com,403 Forbidden,403,199,arloupdates.netgear.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-13T11:10:42Z,2024-03-12T11:10:42Z,"CN=arloupdates.netgear.com, O=Netgear\, Inc, L=San Jose, ST=California, C=US",arloupdates.netgear.com,arloupdates.netgear.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",cdb742e51b3bfaedb6c202f0f8e35861,a34dbcf6073e6be605a1ef742ff30260dae8911e2f66ef462635112e092dba37,ctls,arloupdates.netgear.com,,443,https://arloupdates.netgear.com:443,https,Apache/2.4.54 (Amazon),text/html,GET,52.71.131.104,/,-780928015,54.81.111.137,Apache:2.4.54,8,False,,"Netgear, Inc",,,,
armor-qa.netgear.com,NETGEAR Armor powered by Bitdefender,200,19339,armor-qa.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-12-05T23:59:59Z,CN=armor-qa.netgear.com,armor-qa.netgear.com,armor-qa.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,b56d8543d84a07c39fccb75fcdccedb4,bcd97bccf2685e45c1c8b270d302f592747cc22f46e10ae78be61d38f75cfbf0,ctls,armor-qa.netgear.com,cloudfront,443,https://armor-qa.netgear.com:443,https,nginx,text/html,GET,52.222.236.95,/,-198984365,52.222.236.109,Nginx,366,False,True,,,,,https://recommender.scarabresearch.com/
armor-stg.netgear.com,NETGEAR Armor powered by Bitdefender,200,19339,armor-stg.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2023-12-05T23:59:59Z,CN=armor-stg.netgear.com,armor-stg.netgear.com,armor-dev.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,06e543e3b10d5433bf5355d4c7155001,3cd0d9e9b605c8add739326550860d2382607587a36884511d88fcf21bb130f3,ctls,armor-stg.netgear.com,cloudfront,443,https://armor-stg.netgear.com:443,https,nginx,text/html,GET,108.138.7.51,/,-1837129755,108.138.7.34,Nginx,366,False,True,,,,,https://fonts.gstatic.com/
armor.netgear.com,NETGEAR Armor powered by Bitdefender,200,19339,armor.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,2024-05-22T23:59:59Z,CN=armor.netgear.com,armor.netgear.com,armor.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,77206e078a3ad239caca813f99a316a8,28719846331de482de7bc8a91908202cbc0ebc02576cfecbf62de9998021925e,ctls,armor.netgear.com,cloudfront,443,https://armor.netgear.com:443,https,nginx,text/html,GET,52.222.236.30,/,-1837129755,52.222.236.33,Nginx,366,False,True,,,,,https://dpm.demdex.net/
assurancenm.netgear.com,Submit Form,200,1775,sso.connect.pingidentity.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-04T00:00:00Z,2024-01-04T23:59:59Z,"CN=sso.connect.pingidentity.com, O=Ping Identity Corporation, L=Denver, ST=Colorado, C=US",sso.connect.pingidentity.com,sso.connect.pingidentity.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1215a578746e67c2cc6c701fa97c3d5d,5e10947d522805d19c470e09a425257e5b603cd99d43afffd946012f110264f5,ctls,sso.connect.pingidentity.com,cloudfront,443,https://assurancenm.netgear.com:443,https,,text/html,GET,99.86.4.102,/,,2600:9000:2057:be00:2:dfc5:8e00:93a1,HSTS,26,False,True,Ping Identity Corporation,,,https://sso.connect.pingidentity.com/sso/idp/SSO.saml2?idpid=2b8aa788-8935-4852-a5fd-fe6415ddcad5&SAMLRequest=7b0HYBxJliUmL23Ke39K9UrX4HShCIBgEyTYkEAQ7MGIzeaS7B1pRyMpqyqBymVWZV1mFkDM7Z28995777333nvvvfe6O51OJ%2fff%2fz9cZmQBbPbOStrJniGAqsgfP358Hz8iHjfZolw9Ol638%2bWr%2fBet86ZNz55%2b9lEx296%2ff%2f9hfv%2fBdPvB7N759v5%2bPts%2bmGSfbu9kn%2b7cu7%2f78MHD6c5H6U%2fmdVNUy88%2b2hvTX2dNs87Plk2bLVv6aGfv3vbOg%2b2dT9%2fs7D3af%2fBo98F4Z2fnpz5Kn1I%2fxTJr%2bc15266aR3fvNk01nlbLZT5tx6tieVHM8mVbtNf04QJf3i1mq7uvX385Bs57vwf9Vcw%2b25scZNmDg4Ptg4f37m%2fvH9zf287un8%2b2z%2fNP93fvz2bTbHb%2fo%2fSkWjY5UFrXy0dV1hTNo2W2yJtH7fTR6%2bMvnj8i7B9NpdGj9bJZ5dPivMhnH6XvFuWyecRU2vz2qq7aalqVHx09ZirU8urml7KmyWtQ4aMjUIGIkM3OmzGhMbuq6tmyuuLB48O71PKymObN3bZeN%2b3ju9LLkc7gC4J99vRlVRbT6%2fRZVS%2byDaPdHe%2fyJzTL59w0HPNxWVZXJ3WetflnH1Fv%2bUfp3aPHd%2fuscvT%2fAA%3d%3d&RelayState=019fda3e-f590-4fa3-aaa5-251db3fadb75&rp-realm=https://assurancenm.sendwordnow.com:10740/?whr=http://pingone.com/adconnect/460d8f31-cc9c-43f3-8e99-a218fda7a06a,
bc-jira-dev.netgear.com,ERROR: The request could not be satisfied,403,919,bc-jira-dev.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-02-15T23:59:59Z,CN=bc-jira-dev.netgear.com,bc-jira-dev.netgear.com,bc-jira-dev.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58a266d59a53941788706a534efd7ec0,fc8d3325b6c2c5ec00467a909325f3df0acce8b10614e409111faa97fdc4664e,ctls,bc-jira-dev.netgear.com,cloudfront,443,https://bc-jira-dev.netgear.com:443,https,CloudFront,text/html,GET,52.222.236.26,/,-285929614,2600:9000:223e:600:1b:7d6e:b0c0:93a1,Amazon Web Services,20,False,True,,,,,
bc.netgear.com,NETGEAR Insight. Built for Your Business | NETGEAR,200,388743,www.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-19T23:59:59Z,CN=*.netgear.com,*.netgear.com,netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dd660eddded46e447d67e1121e6ec471,b8f64af445e22f2050b15977c959146ed8b961cc919a05cfdff8cc6c2407a89c,ctls,www.netgear.com,,443,https://bc.netgear.com:443,https,,text/html,GET,76.223.14.31,/,-619111294,13.248.140.194,SDL Tridion,5560,False,,,True,,https://www.netgear.com:443/business/services/insight/,
beta.insight.netgear.com,Insight Cloud Portal,200,2870,beta.insight.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-17T15:53:31Z,2024-05-16T15:53:31Z,"CN=insight.netgear.com, O=Netgear\, Inc, L=San Jose, ST=California, C=US",insight.netgear.com,*.insight.netgear.com,"CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",e27b55d5d467235df997939a7b5104cb,bf3677b6510b26da69206990e349f5e729b1a7feda4649d665b8dcc3a5fc4133,ctls,beta.insight.netgear.com,cloudfront,443,https://beta.insight.netgear.com:443,https,,text/html,GET,13.224.189.33,/,1370816232,13.224.189.113,Amazon Web Services,66,False,True,"Netgear, Inc",True,,,
billing-dev.netgear.com,,200,10795,billing-dev.netgear.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-13T00:00:00Z,2024-06-10T23:59:59Z,CN=billing-dev.netgear.com,billing-dev.netgear.com,billing-dev.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,d06ebe0c0c6fd469617d86da2b4e8e26,13c063f45f2ac009f4e96bcb38c103cdb9174c4bcad8fce88ff201ece8cdb22e,ctls,billing-dev.netgear.com,,443,https://billing-dev.netgear.com:443,https,,text/html,GET,35.172.241.246,/,-1255347784,3.213.38.238,Node.js,182,False,,,,,,
billing-qa.netgear.com,,200,11000,billing-qa.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=billing-qa.netgear.com,billing-qa.netgear.com,billingsdk-qa.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,71aa68fab58f76a442cb74cea2986b83,aa0153ded34188d9747cd452e0417c4f5ce2aaab3e943e4418b881f7821f1df9,ctls,billing-qa.netgear.com,cloudfront,443,https://billing-qa.netgear.com:443,https,AmazonS3,text/html,GET,108.138.17.110,/,-1851491385,2600:9000:2491:be00:1f:b6fa:48c0:93a1,HSTS,194,False,True,,,,,
billing-qa2.netgear.com,,200,11000,billing-qa2.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-26T00:00:00Z,2024-07-24T23:59:59Z,CN=billing-qa2.netgear.com,billing-qa2.netgear.com,billingsdk-qa2.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db1e4d5a90ffae7349771a7d7dd352f9,d2a899e2ad9bdda70e8fe4239706be98aac2c5414f463a9317eb64d315aacb7d,ctls,billing-qa2.netgear.com,cloudfront,443,https://billing-qa2.netgear.com:443,https,AmazonS3,text/html,GET,18.66.112.73,/,-1851491385,2600:9000:223f:6e00:1:a96:abc0:93a1,HSTS,194,False,True,,,,,
billing-stg-temp.netgear.com,,200,7367,billing-stg-temp.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2023-09-06T23:59:59Z,CN=billing-stg-temp.netgear.com,billing-stg-temp.netgear.com,payments-cres-stg.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b30684244646bfbf32b1c3b13c768b1b,9746f551024f0866c0ecacfc32157e89c5df64bc6bb90ec024e3e62199a1ebfb,ctls,billing-stg-temp.netgear.com,cloudfront,443,https://billing-stg-temp.netgear.com:443,https,,text/html,GET,18.66.97.79,/,-1255347784,2600:9000:223c:200:c:fec2:5780:93a1,jQuery,174,False,True,,,,,
billing.netgear.com,,200,7367,billing.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T00:00:00Z,2024-05-30T23:59:59Z,CN=billing.netgear.com,billing.netgear.com,payments.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,0fefc49e12b84a1a6f95135473ffe1a5,0ecb0404ff852617594d131e62e8077e251561509eea8681f19711b139173000,ctls,billing.netgear.com,cloudfront,443,https://billing.netgear.com:443,https,,text/html,GET,18.66.147.112,/,-1255347784,2600:9000:225e:b800:1f:9f80:8b00:93a1,jQuery,174,False,True,,,,,
billinggw-prod.netgear.com,,403,23,billinggw-prod.netgear.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-18T00:00:00Z,2024-07-16T23:59:59Z,CN=billinggw-prod.netgear.com,billinggw-prod.netgear.com,billing.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,e5eb53eb6975c4501d26aed512ab2180,ac92076dd7562a0ec5fe43b238924f5719503566fee263528a6dc1ac2662d442,ctls,billinggw-prod.netgear.com,,443,https://billinggw-prod.netgear.com:443,https,,application/json,GET,54.77.16.161,/,968070783,52.211.218.245,,1,False,,,,,,
billinggw-qa.netgear.com,,400,50,billinggw-qa.netgear.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-31T00:00:00Z,2024-06-28T23:59:59Z,CN=billinggw-qa.netgear.com,billinggw-qa.netgear.com,billingsdk-qa.netgear.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,6df5a3b8560c76b277fe4ea106ed28fe,9a6f40c68f1705527d8f39b84594894e13dcacb988530cf429adb910b556852c,ctls,billinggw-qa.netgear.com,,443,https://billinggw-qa.netgear.com:443,https,,application/json,GET,23.22.132.238,/,1823286394,3.210.92.178,,2,False,,,,,,
billingsdk-qa.netgear.com,,200,11000,billingsdk-qa.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-25T00:00:00Z,2024-04-22T23:59:59Z,CN=billing-qa.netgear.com,billing-qa.netgear.com,billingsdk-qa.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,71aa68fab58f76a442cb74cea2986b83,aa0153ded34188d9747cd452e0417c4f5ce2aaab3e943e4418b881f7821f1df9,ctls,billingsdk-qa.netgear.com,cloudfront,443,https://billingsdk-qa.netgear.com:443,https,AmazonS3,text/html,GET,108.138.17.100,/,-1851491385,2600:9000:2491:1a00:1f:b6fa:48c0:93a1,HSTS,194,False,True,,,,,
billingsdk-qa2.netgear.com,,200,11000,billingsdk-qa2.netgear.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-26T00:00:00Z,2024-07-24T23:59:59Z,CN=billing-qa2.netgear.com,billing-qa2.netgear.com,billingsdk-qa2.netgear.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,db1e4d5a90ffae7349771a7d7dd352f9,d2a899e2ad9bdda70e8fe4239706be98aac2c5414f463a9317eb64d315aacb7d,ctls,billingsdk-qa2.netgear.com,cloudfront,443,https://billingsdk-qa2.netgear.com:443,https,AmazonS3,text/html,GET,18.66.112.68,/,-1851491385,2600:9000:223f:7800:1:a96:abc0:93a1,HSTS,194,False,True,,,,,
