new,host,a,cname,soa,status_code,cdn,cdn-name,mx,txt,ns,aaaa,caa,has_internal_ips,internal_ips
,files.payoneer.com,18.155.121.201,d234as9zd4350u.cloudfront.net,"ns-1937.awsdns-50.co.uk, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1086.awsdns-07.org, ns-1937.awsdns-50.co.uk, ns-485.awsdns-60.com, ns-951.awsdns-54.net",,,,
,files.sandbox.payoneer.com,"13.249.9.6, 13.249.9.30, 13.249.9.92, 13.249.9.25",ddld7htqc7zbz.cloudfront.net,"ns-207.awsdns-25.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1308.awsdns-35.org, ns-1979.awsdns-55.co.uk, ns-207.awsdns-25.com, ns-541.awsdns-03.net",,,,
,filesapi.dev.payoneer.com,"108.138.199.106, 108.138.199.36, 108.138.199.115, 108.138.199.32",d22eqj62pubhch.cloudfront.net,"ns-860.awsdns-43.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1303.awsdns-34.org, ns-1853.awsdns-39.co.uk, ns-275.awsdns-34.com, ns-860.awsdns-43.net",,,,
,filesapi.payoneer.com,35.190.33.81,filesapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,fxoperationsapi.payoneer.com,35.190.33.81,fxoperationsapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,fxoperationsapi.sandbox.payoneer.com,130.211.36.192,fxoperationsapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,go.payoneer.com,"104.17.71.206, 104.17.70.206, 104.17.73.206, 104.17.72.206, 104.17.74.206","payoneer.mktoweb.com, sji.mktossl.com","bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
,goto.payoneer.com,35.190.33.81,goto-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,"ns-1226.awsdns-25.org, ns-1972.awsdns-54.co.uk, ns-273.awsdns-34.com, ns-518.awsdns-00.net",,,,
,ironport2.payoneer.com,94.188.129.82,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,israelpost.sandbox.payoneer.com,130.211.36.192,israelpost-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,it.payoneer.com,13.40.42.176,payoneer.beyondtrustcloud.com,"ns-163.awsdns-20.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,2a05:d01c:92a:7d00:d894:f285:637e:659f,,,
,ivrservice.payoneer.com,35.190.33.81,ivrservice-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,ivrservice.sandbox.payoneer.com,82.163.141.42,,"dns1.g01.ns1global.org, hostmaster.nsone.net",NOERROR,,,,,,,,,
,join.payoneer.com,35.190.33.81,join-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,link.payoneer.com,35.190.33.81,link-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,links.email.payoneer.com,,recp.mkt32.net,"ns-1297.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,login.payoneer.com,35.190.33.81,login-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,"ns-1226.awsdns-25.org, ns-1972.awsdns-54.co.uk, ns-273.awsdns-34.com, ns-518.awsdns-00.net",,,,
,loginapi.payoneer.com,35.190.33.81,loginapi-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,loginapi.sandbox.payoneer.com,130.211.36.192,loginapi-sandbox-payoneer-com.payoneerx.prod2.reblaze.com,"ns-518.awsdns-00.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,lyncdiscover.payoneer.com,52.112.192.14,webdir.online.lync.com,"admin.nsatc.net, dns.level3.net",NOERROR,,,,,,2603:1027:0:48::21,,,
,ma-10653.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,"ns-1143.awsdns-14.org, ns-1719.awsdns-22.co.uk, ns-498.awsdns-62.com, ns-772.awsdns-32.net",,,,
,ma-11060.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,"ns-1143.awsdns-14.org, ns-1719.awsdns-22.co.uk, ns-498.awsdns-62.com, ns-772.awsdns-32.net",,,,
,ma-17056.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,ma-25587.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
,ma-27506.sandbox.payoneer.com,35.227.233.197,mafeature-sandbox-payoneer-com.payoneerstg.prod2.reblaze.com,"ns-498.awsdns-62.com, awsdns-hostmaster.amazon.com",NOERROR,True,google,,,,,,,
