new,host,a,soa,ns,status_code,cname,mx,txt,cdn,cdn-name,caa,aaaa,has_internal_ips,internal_ips
[x],url9438.sendcloud.com,"167.89.123.54, 167.89.123.124, 167.89.115.120, 167.89.115.56","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com","ns12.dnsmadeeasy.com, ns15.dnsmadeeasy.com, ns13.dnsmadeeasy.com, ns10.dnsmadeeasy.com, ns11.dnsmadeeasy.com, ns14.dnsmadeeasy.com",NOERROR,sendgrid.net,"mx2.sendgrid.net, mx.sendgrid.net","mailru-verification: 2e3995fa8a7d00e0, google-site-verification=1UEf8ey-RibUjY6gnpqIZFjWNqMknmeyeHz1zTmj0DE, p8bnb2lp424dkl3c4io1aemiei, v=spf1 ip4:167.89.0.0/17 ip4:208.117.48.0/20 ip4:50.31.32.0/19 ip4:198.37.144.0/20 ip4:198.21.0.0/21 ip4:192.254.112.0/20 ip4:168.245.0.0/17 ip4:149.72.0.0/16 ip4:159.183.0.0/16 include:ab.sendgrid.net ~all",,,"amazonaws.com, godaddy.com",,,
[x],usw2-web-ce06-shield.carriersdk.sendcloud.com,"3.123.111.203, 3.68.81.75, 18.159.140.23","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],v2-jenkinselasticbeanstalktemp-sftp.carriersdk.sendcloud.com,"3.68.81.75, 3.123.111.203, 18.159.140.23","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],v355-si2.carriersdk.sendcloud.com,"3.123.111.203, 18.159.140.23, 3.68.81.75","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],v3en-log-b2bsystem.carriersdk.sendcloud.com,"3.123.111.203, 18.159.140.23, 3.68.81.75","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],varaamo.shared.sendcloud.com,"52.57.218.212, 3.72.55.244, 35.157.161.78","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],videopostmaster-assets-defaultproduction.carriersdk.sendcloud.com,"3.123.111.203, 18.159.140.23, 3.68.81.75","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],vnsd46.carriersdk.sendcloud.com,"3.68.81.75, 18.159.140.23, 3.123.111.203","ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],wish.integration.sendcloud.com,"3.68.81.75, 3.123.111.203, 18.159.140.23","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,eks-third-party-c0a1b12ae2dbb1f3.elb.eu-central-1.amazonaws.com,,,,,,,,
[x],workopedia.sendcloud.com,142.250.185.211,"ns1.google.com, dns-admin.google.com",,NOERROR,ghs.googlehosted.com,,,,,,2a00:1450:4001:810::2013,,
[x],wpengine-cloudflare-test.sendcloud.com,"141.193.213.21, 141.193.213.20","darwin.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,jx0axttuursk.wpeproxy.com,,,,,,,,
[x],www.onlinestore.sendcloud.com,,"ns-758.awsdns-30.net, awsdns-hostmaster.amazon.com",,NOERROR,onlinestore.sendcloud.com,,,,,,,,
[x],www.sendcloud.com,,"darwin.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,jx0axttuursk.wpeproxy.com,,,,,,,,
[x],zendesk1.sendcloud.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,mail1.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,,,,
[x],zendesk2.sendcloud.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,mail2.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,,,,
[x],zendesk3.sendcloud.com,"162.159.138.6, 162.159.128.7","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,mail3.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,,,,
[x],zendesk4.sendcloud.com,"162.159.128.7, 162.159.138.6","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,NOERROR,mail4.zendesk.com,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,True,cloudflare,,,,
,config-confluence-repositoryerpalt.shared.sendcloud.com,"52.57.218.212, 3.72.55.244, 35.157.161.78","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,,,,,,,,
,miscompute.shared.sendcloud.com,,"ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",,NOERROR,pod-shared-eks-5da7d6e7780e3924.elb.eu-central-1.amazonaws.com,,,,,,,,
