input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,method,host,path,favicon_path,a_,tech_,lines,failed,cdn,knowledgebase_PageType,knowledgebase_pHash,content_type,favicon,csp_domains_,final_url,tls_mismatched,tls_subject_org_
admins1-autodandomainshopdatatest.shared.sendcloud.com,,404,,admins1-autodandomainshopdatatest.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,admins1-autodandomainshopdatatest.shared.sendcloud.com,cloudfront,443,https://admins1-autodandomainshopdatatest.shared.sendcloud.com,https,envoy,GET,3.161.82.72,/,/favicon.ico,3.161.82.59,Envoy,1,False,True,other,0,,,,,,
admmgmt-autodandomainshopdatamta-sts.shared.sendcloud.com,,404,,admmgmt-autodandomainshopdatamta-sts.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,admmgmt-autodandomainshopdatamta-sts.shared.sendcloud.com,cloudfront,443,https://admmgmt-autodandomainshopdatamta-sts.shared.sendcloud.com,https,envoy,GET,3.161.82.115,/,/favicon.ico,3.161.82.59,Envoy,1,False,True,other,0,,,,,,
aimagelab.m2m.sendcloud.com,,404,,aimagelab.m2m.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-09T00:00:00Z,2026-03-10T23:59:59Z,CN=m2m.sendcloud.com,m2m.sendcloud.com,*.m2m.sendcloud.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d3a7d5d2a4408ab5c8ca6619c5da5ffa,6849521f04f92c2bb2c7ad807ed9afd120f1679a1ebc5f6430f99c8c1d6b002c,True,ctls,aimagelab.m2m.sendcloud.com,cloudfront,443,https://aimagelab.m2m.sendcloud.com,https,envoy,GET,18.244.18.95,/,/favicon.ico,2600:9000:275d:ae00:14:6a63:dec0:93a1,Envoy,1,False,True,other,0,,,,,,
aiteko10.eu-central-1-0.sendcloud.com,,404,,aiteko10.eu-central-1-0.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-25T23:59:59Z,CN=*.sendcloud.com,*.sendcloud.com,*.integration.eu-central-1-0.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,db4d7e3df6172571e3cb59b0a066d86a,9a41ad139ce64ae607fa1c178a6b320cd8d0c7e76d839b491b47128bee9d3a41,True,ctls,aiteko10.eu-central-1-0.sendcloud.com,cloudfront,443,https://aiteko10.eu-central-1-0.sendcloud.com,https,envoy,GET,18.66.102.120,/,/favicon.ico,18.66.102.16,Envoy,1,False,True,other,0,,,,,,
analytics.sendcloud.com,,404,9,analytics.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-09-02T00:00:00Z,2025-10-01T23:59:59Z,CN=analytics.sendcloud.com,analytics.sendcloud.com,analytics.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,f83e515fb124fc09cbdd54e18a2b197d,8ea5b950f50ecdcf096d627b22586345a571ad49e05c98a5a9600e1bdc7fae22,,ctls,analytics.sendcloud.com,cloudfront,443,https://analytics.sendcloud.com,https,fasthttp,GET,143.204.98.129,/,/favicon.ico,143.204.98.94,Amazon Web Services,1,False,True,nonerror,0,text/plain,,,,,
api.appcues.net,Appcues Public API,200,279302,api.appcues.net,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-06-03T00:00:00Z,2025-07-02T23:59:59Z,CN=appcues.net,appcues.net,*.appcues.net,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,262e71ea028c28910044f4101817960a,06c251722650f0dfea2bb0fcc87956755939b1595dbcaa5544bd26f258de6cf1,True,ctls,api.appcues.net,,443,https://api.appcues.net,https,,GET,35.167.130.185,/,/v2/images/favicon.png,35.81.214.64,,5270,False,,other,0,text/html,587032660,,https://api.appcues.net/v2/docs,,
api.autodandomainshop1-autodandomainshopdata.shared.sendcloud.com,ERROR: The request could not be satisfied,502,937,api.autodandomainshop1-autodandomainshopdata.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,api.autodandomainshop1-autodandomainshopdata.shared.sendcloud.com,cloudfront,443,https://api.autodandomainshop1-autodandomainshopdata.shared.sendcloud.com,https,,GET,3.161.82.72,/,/favicon.ico,3.161.82.115,Amazon Web Services,19,False,True,error,0,,,,,True,
api.eu-central-1-0.app.sendcloud.com,,404,,api.eu-central-1-0.app.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-25T23:59:59Z,CN=*.sendcloud.com,*.sendcloud.com,*.integration.eu-central-1-0.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,db4d7e3df6172571e3cb59b0a066d86a,9a41ad139ce64ae607fa1c178a6b320cd8d0c7e76d839b491b47128bee9d3a41,True,ctls,api.eu-central-1-0.app.sendcloud.com,cloudfront,443,https://api.eu-central-1-0.app.sendcloud.com,https,envoy,GET,18.66.102.120,/,/favicon.ico,18.66.102.55,Envoy,1,False,True,other,0,,,,,,
api.market-autodandomainshoppay.internal.shared.sendcloud.com,ERROR: The request could not be satisfied,502,937,api.market-autodandomainshoppay.internal.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,api.market-autodandomainshoppay.internal.shared.sendcloud.com,cloudfront,443,https://api.market-autodandomainshoppay.internal.shared.sendcloud.com,https,,GET,3.161.82.72,/,/favicon.ico,3.161.82.59,Amazon Web Services,19,False,True,error,0,,,,,True,
api.maze.co,Error,404,139,api.maze.co,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-06T00:00:00Z,2026-03-08T23:59:59Z,CN=*.maze.co,*.maze.co,*.maze.co,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,82d9e7d2fefe7248947566b5e64c7b28,df4fdd32a3bff7d176979f0bda9a2a02d79e690ffd5a3088b15b313d95d5f715,True,ctls,api.maze.co,,443,https://api.maze.co,https,,GET,44.209.187.34,/,/favicon.ico,54.160.25.215,Node.js,11,False,,error,0,text/html,,,,,
api.segment.io,,404,,api.segment.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2024-11-13T00:00:00Z,2025-12-13T23:59:59Z,CN=*.segment.io,*.segment.io,segment.io,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,4f4f8541d4edeb7969f55d83364c8026,f867f35f3a6a4087a3a44d0fcf6965e8ccd4a35a5e73179e0d0ff4e813adcc86,True,ctls,api.segment.io,,443,https://api.segment.io,https,awselb/2.0,GET,54.203.25.147,/,/favicon.ico,35.163.144.222,Amazon Web Services,1,False,,other,0,text/plain,,,,,
api.sendcloud.com,,404,,api.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-13T00:00:00Z,2026-02-11T23:59:59Z,CN=api.sendcloud.com,api.sendcloud.com,api.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,d6127dec89e41dca70d9ebda79f8a1c7,216c549a7fdcf7c5e70d8adab3abeb5a00baefac74dfabf977ff141cfe020b6b,,ctls,api.sendcloud.com,cloudfront,443,https://api.sendcloud.com,https,envoy,GET,65.9.66.115,/,/favicon.ico,2600:9000:206f:4400:4:77c6:5440:93a1,Envoy,1,False,True,other,0,,,,,,
app-store-api.sendcloud.com,,404,,app-store-api.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-01-14T00:00:00Z,2026-02-13T23:59:59Z,CN=app-store-api.sendcloud.com,app-store-api.sendcloud.com,app-store-api.sendcloud.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,a64947aebdb6a0473846f9cec9263b30,f4be339df4d9261f721b03ca86d917780882ba4ae73475dd0deee8a9a0bf1bcc,,ctls,app-store-api.sendcloud.com,cloudfront,443,https://app-store-api.sendcloud.com,https,envoy,GET,13.32.27.125,/,/favicon.ico,2600:9000:211e:3a00:17:4876:ca00:93a1,Envoy,1,False,True,other,0,,,,,,
app-store.sendcloud.com,Essential E-commerce Apps | Sendcloud App Store,200,96558,app-store.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-05-09T00:00:00Z,2025-06-07T23:59:59Z,CN=app-store.sendcloud.com,app-store.sendcloud.com,appstore.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,35ebc32f1ca15aed6286247370a1638a,d1392f13363572fa3a67d04673c9037a59c5095811fd985af698739257121121,,ctls,app-store.sendcloud.com,cloudfront,443,https://app-store.sendcloud.com,https,envoy,GET,52.222.214.42,/,/app-store-icons/favicon-32x32.png,2600:9000:223d:8e00:1d:3d58:ad80:93a1,Vue.js,107,False,True,other,0,text/html,-1793698270,,,,
app.m2m.sendcloud.com,,404,,app.m2m.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-09T00:00:00Z,2026-03-10T23:59:59Z,CN=m2m.sendcloud.com,m2m.sendcloud.com,*.m2m.sendcloud.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d3a7d5d2a4408ab5c8ca6619c5da5ffa,6849521f04f92c2bb2c7ad807ed9afd120f1679a1ebc5f6430f99c8c1d6b002c,True,ctls,app.m2m.sendcloud.com,cloudfront,443,https://app.m2m.sendcloud.com,https,envoy,GET,18.244.18.74,/,/favicon.ico,2600:9000:275d:8800:14:6a63:dec0:93a1,Envoy,1,False,True,other,0,,,,,,
app.satismeter.com,Attention Required! | Cloudflare,403,4517,app.satismeter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-01T15:55:06Z,2025-05-02T16:55:02Z,CN=satismeter.com,satismeter.com,*.satismeter.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,2610e771c299b6845fe728b0e41feac2,65876cd02714db5c7c034d4fabcc2187d72a660f5c9b599f92cfcae10769add6,True,ctls,app.satismeter.com,cloudflare,443,https://app.satismeter.com,https,cloudflare,GET,104.18.2.19,/,/favicon.ico,2606:4700::6812:313,Cloudflare Bot Management,94,False,True,nonerror,0,text/html,,,,,
app.satismeter.com/js,Attention Required! | Cloudflare,403,4517,app.satismeter.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2025-02-01T15:55:06Z,2025-05-02T16:55:02Z,CN=satismeter.com,satismeter.com,*.satismeter.com,"CN=WE1, O=Google Trust Services, C=US",WE1,Google Trust Services,2610e771c299b6845fe728b0e41feac2,65876cd02714db5c7c034d4fabcc2187d72a660f5c9b599f92cfcae10769add6,True,ctls,app.satismeter.com,cloudflare,443,https://app.satismeter.com/js,https,cloudflare,GET,104.18.2.19,/js,/js/favicon.ico,2606:4700::6812:313,Cloudflare Bot Management,94,False,True,nonerror,0,text/html,,,,,
app.sendcloud.com,Sendcloud,200,6413,app.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-09-20T00:00:00Z,2025-10-19T23:59:59Z,CN=*.sendcloud.com,*.sendcloud.com,*.sendcloud.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,23e50d4685b22bee64f5f9ecb4e8163c,b8a475dd158beaba279a433cf01c342dfdfbcef66db34184fdf6520a76bb572e,True,ctls,app.sendcloud.com,cloudfront,443,https://app.sendcloud.com,https,AmazonS3,GET,18.172.112.74,/,/favicon.ico,18.172.112.9,Amazon Web Services,1,False,True,error,0,text/html,1719896065,vars.hotjar.com,,,
apps-backupconfig.eu-central-1-0.sendcloud.com,,404,,apps-backupconfig.eu-central-1-0.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-27T00:00:00Z,2025-09-25T23:59:59Z,CN=*.sendcloud.com,*.sendcloud.com,*.integration.eu-central-1-0.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,db4d7e3df6172571e3cb59b0a066d86a,9a41ad139ce64ae607fa1c178a6b320cd8d0c7e76d839b491b47128bee9d3a41,True,ctls,apps-backupconfig.eu-central-1-0.sendcloud.com,cloudfront,443,https://apps-backupconfig.eu-central-1-0.sendcloud.com,https,envoy,GET,18.66.102.16,/,/favicon.ico,18.66.102.55,Envoy,1,False,True,other,0,,,,,,
apps.sendcloud.com,Essential E-commerce Apps | Sendcloud App Store,200,96558,app-store.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-05-09T00:00:00Z,2025-06-07T23:59:59Z,CN=app-store.sendcloud.com,app-store.sendcloud.com,appstore.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,35ebc32f1ca15aed6286247370a1638a,d1392f13363572fa3a67d04673c9037a59c5095811fd985af698739257121121,,ctls,app-store.sendcloud.com,cloudfront,443,https://apps.sendcloud.com,https,envoy,GET,52.222.214.43,/,/app-store-icons/favicon-32x32.png,2600:9000:223d:2800:1d:3d58:ad80:93a1,Vue.js,107,False,True,other,0,text/html,-1793698270,,https://app-store.sendcloud.com/,,
appstore.sendcloud.com,Essential E-commerce Apps | Sendcloud App Store,200,96558,app-store.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-05-09T00:00:00Z,2025-06-07T23:59:59Z,CN=app-store.sendcloud.com,app-store.sendcloud.com,appstore.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,35ebc32f1ca15aed6286247370a1638a,d1392f13363572fa3a67d04673c9037a59c5095811fd985af698739257121121,,ctls,app-store.sendcloud.com,cloudfront,443,https://appstore.sendcloud.com,https,envoy,GET,52.222.214.43,/,/app-store-icons/favicon-32x32.png,2600:9000:223d:e800:1d:3d58:ad80:93a1,Vue.js,107,False,True,other,0,text/html,-1793698270,,https://app-store.sendcloud.com/,,
asset.shared.sendcloud.com,,404,,asset.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,asset.shared.sendcloud.com,cloudfront,443,https://asset.shared.sendcloud.com,https,envoy,GET,3.161.82.35,/,/favicon.ico,3.161.82.115,Envoy,1,False,True,other,0,,,,,,
assets-docautodandomainshop.inter.shared.sendcloud.com,ERROR: The request could not be satisfied,502,937,assets-docautodandomainshop.inter.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,assets-docautodandomainshop.inter.shared.sendcloud.com,cloudfront,443,https://assets-docautodandomainshop.inter.shared.sendcloud.com,https,,GET,3.161.82.72,/,/favicon.ico,3.161.82.115,Amazon Web Services,19,False,True,error,0,,,,,True,
assets.customer.io,,403,275,assets.customer.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-09-17T00:00:00Z,2025-10-14T23:59:59Z,CN=*.customer.io,*.customer.io,customer.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4726a66e9490e797e16dc0837123e0f2,6c49543e73b6b06026739f3dbb176539206217ccba30a10483807083058cd39e,True,ctls,assets.customer.io,cloudfront,443,https://assets.customer.io,https,AmazonS3,GET,18.66.102.12,/,/favicon.ico,2600:9000:223c:6000:11:9cfd:9400:93a1,Amazon Web Services,2,False,True,error,0,application/xml,,,,,
autodandomainshop-staging.shared.shared.sendcloud.com,ERROR: The request could not be satisfied,502,937,autodandomainshop-staging.shared.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,autodandomainshop-staging.shared.shared.sendcloud.com,cloudfront,443,https://autodandomainshop-staging.shared.shared.sendcloud.com,https,,GET,3.161.82.115,/,/favicon.ico,3.161.82.59,Amazon Web Services,19,False,True,error,0,,,,,True,
autodandomainshopdata-origin-stripe-new.shared.sendcloud.com,,404,,autodandomainshopdata-origin-stripe-new.shared.sendcloud.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2024-08-29T00:00:00Z,2025-09-27T23:59:59Z,CN=*.shared.sendcloud.com,*.shared.sendcloud.com,*.shared.sendcloud.com,"CN=Amazon RSA 2048 M03, O=Amazon, C=US",Amazon RSA 2048 M03,Amazon,5cacf45c915a97783d47f41d19baab38,14df2776a63908973f607a83a92b36813d1bfe501e66a10c1eccc32eead3a02a,True,ctls,autodandomainshopdata-origin-stripe-new.shared.sendcloud.com,cloudfront,443,https://autodandomainshopdata-origin-stripe-new.shared.sendcloud.com,https,envoy,GET,3.161.82.115,/,/favicon.ico,3.161.82.72,Envoy,1,False,True,other,0,,,,,,
