input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn_name,cdn,webserver,final_url,tls_subject_org_,csp_domains_,tls_mismatched
community.system.floqast.app,,404,3,community.system.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-01T23:59:59Z,CN=system.floqast.app,system.floqast.app,*.system.floqast.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,736fb4203f333089e20d67a27b443f44,e447717800eaa5d93821fdeb4c9bb407db115a9d0998f385794386370c4e6cc7,True,ctls,community.system.floqast.app,443,https://community.system.floqast.app:443,https,text/plain,GET,52.34.182.208,/,-1285597174,44.238.94.201,,1,False,,,awselb/2.0,,,,
compliance.system.floqast.app,,404,3,compliance.system.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-01T23:59:59Z,CN=system.floqast.app,system.floqast.app,*.system.floqast.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,736fb4203f333089e20d67a27b443f44,e447717800eaa5d93821fdeb4c9bb407db115a9d0998f385794386370c4e6cc7,True,ctls,compliance.system.floqast.app,80,http://compliance.system.floqast.app:80,http,text/plain,GET,52.40.42.14,/,-1285597174,44.229.41.10,,1,False,,,awselb/2.0,https://compliance.system.floqast.app:443/,,,
csp.system.floqast.app,,404,3,csp.system.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-01T23:59:59Z,CN=system.floqast.app,system.floqast.app,*.system.floqast.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,736fb4203f333089e20d67a27b443f44,e447717800eaa5d93821fdeb4c9bb407db115a9d0998f385794386370c4e6cc7,True,ctls,csp.system.floqast.app,80,http://csp.system.floqast.app:80,http,text/plain,GET,54.70.246.30,/,-1285597174,52.24.186.111,,1,False,,,awselb/2.0,https://csp.system.floqast.app:443/,,,
documents.system.floqast.app,,404,3,documents.system.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-01T23:59:59Z,CN=system.floqast.app,system.floqast.app,*.system.floqast.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,736fb4203f333089e20d67a27b443f44,e447717800eaa5d93821fdeb4c9bb407db115a9d0998f385794386370c4e6cc7,True,ctls,documents.system.floqast.app,443,https://documents.system.floqast.app:443,https,text/plain,GET,44.228.244.61,/,-1285597174,18.236.58.204,,1,False,,,awselb/2.0,,,,
external.system.floqast.app,,404,3,external.system.floqast.app,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-10T00:00:00Z,2024-02-01T23:59:59Z,CN=system.floqast.app,system.floqast.app,*.system.floqast.app,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,736fb4203f333089e20d67a27b443f44,e447717800eaa5d93821fdeb4c9bb407db115a9d0998f385794386370c4e6cc7,True,ctls,external.system.floqast.app,443,https://external.system.floqast.app:443,https,text/plain,GET,54.203.122.68,/,-1285597174,54.187.60.134,,1,False,,,awselb/2.0,,,,
http://play.vidyard.com,,200,,play.vidyard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-07-01T21:45:14Z,2024-08-01T21:45:13Z,CN=*.vidyard.com,*.vidyard.com,*.vidyard.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,da607dbda2b1b64fb373330de3fc3f61,6d7387558487e23ecc511f8384c80186ed0fdc485400a65ebbe863b4d15215f2,True,ctls,play.vidyard.com,443,https://play.vidyard.com:443,https,,GET,151.101.1.181,/,1988711852,146.75.117.181,Varnish,1,False,fastly,True,,,,,
http://player.vimeo.com,Features and Tools | Vimeo,200,164176,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,True,ctls,vimeo.com,443,https://player.vimeo.com:443,https,text/html,GET,162.159.128.61,/,1154390870,162.159.138.60,Varnish,1367,False,cloudflare,True,cloudflare,https://vimeo.com/features,"Cloudflare, Inc.",https:,
http://www.youtube.com,YouTube,200,283106,m.youtube.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:16:09Z,2023-09-11T08:16:08Z,CN=*.google.com,*.google.com,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,77fce969f6da9c23b46a4179eeece1a8,cd9aec87aa4ae96416bd900a0b81fba5a0f3f8e3b5fd4b2ea159059797f70790,True,ctls,m.youtube.com,443,https://www.youtube.com:443,https,text/html,GET,142.250.186.142,/,1179099333,2a00:1450:4001:831::200e,HTTP/3,13,False,,,ESF,https://m.youtube.com/,,,True
https://app.pendo.io,pendo.io,200,2443,app.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:46:05Z,2023-09-14T01:42:00Z,CN=pendo.io,pendo.io,*.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,900e6766944486c762eb58ab1f7cdba0,ea305a8f289c8c4e29b58900113a21e5c91f73ae5b2f3851b585eca9d0378963,True,ctls,app.pendo.io,443,https://app.pendo.io:443,https,text/html,GET,34.149.155.70,/,636254061,34.149.155.70,HTTP/3,1,False,google,True,,,,,
https://avatars.floqast.app,,403,243,avatars.floqast.app,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2023-09-20T23:59:59Z,CN=floqast.app,floqast.app,*.floqast.app,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,920184a095d8a3bf0890f5a252fd42de,055f0277f852bae816933e9ce47dfe85d2f7ea5cfa13a130c8d4ff397bfd4a5c,True,ctls,avatars.floqast.app,443,https://avatars.floqast.app:443,https,application/xml,GET,108.138.17.93,/,2091842789,108.138.17.13,Amazon Web Services,2,False,cloudfront,True,AmazonS3,,,,
https://browser.sentry-cdn.com,,403,13,browser.sentry-cdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-28T14:23:42Z,2023-10-30T14:23:41Z,CN=*.sentry-cdn.com,*.sentry-cdn.com,*.sentry-cdn.com,"CN=GlobalSign Atlas R3 DV TLS CA 2022 Q3, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2022 Q3,GlobalSign nv-sa,6e433db3958de2b57c2af1d06e7132fe,b3f3760b62b17bcab6fa6d72972ad45d4ea879940ca4ff1c33252af388c095e6,True,ctls,browser.sentry-cdn.com,443,https://browser.sentry-cdn.com:443,https,text/plain,GET,151.101.194.217,/,-729950194,2a04:4e42:400::729,HSTS,1,False,fastly,True,Fastly,,,,
https://cdn.pendo.io,,403,300,cdn.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-30T00:00:00Z,2024-07-28T23:59:59Z,CN=cdn.pendo.io,cdn.pendo.io,cdn.pendo.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,9c9491645f3c8b427c66d268808719f1,a48ce4cccd8a459089daba972c598b8addfc2c1b08ca409e77cc10357b1d6521,,ctls,cdn.pendo.io,443,https://cdn.pendo.io:443,https,application/xml,GET,18.66.112.44,/,501560377,2600:9000:223f:e800:1f:aa31:7740:93a1,Amazon Web Services,1,False,cloudfront,True,UploadServer,,,,
https://cdnjs.cloudflare.com/ajax/libs/pusher/,,404,18,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,True,ctls,cdnjs.cloudflare.com,443,https://cdnjs.cloudflare.com:443/ajax/libs/pusher/,https,text/plain,GET,104.17.24.14,/ajax/libs/pusher/,2023033722,2606:4700::6811:180e,HTTP/3,1,False,cloudflare,True,cloudflare,,"Cloudflare, Inc.",,
https://cdnjs.cloudflare.com/ajax/libs/react-dom/,,404,18,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,True,ctls,cdnjs.cloudflare.com,443,https://cdnjs.cloudflare.com:443/ajax/libs/react-dom/,https,text/plain,GET,104.17.24.14,/ajax/libs/react-dom/,2023033722,2606:4700::6811:180e,HTTP/3,1,False,cloudflare,True,cloudflare,,"Cloudflare, Inc.",,
https://cdnjs.cloudflare.com/ajax/libs/react-is/,,404,18,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,True,ctls,cdnjs.cloudflare.com,443,https://cdnjs.cloudflare.com:443/ajax/libs/react-is/,https,text/plain,GET,104.17.24.14,/ajax/libs/react-is/,2023033722,2606:4700::6811:180e,HTTP/3,1,False,cloudflare,True,cloudflare,,"Cloudflare, Inc.",,
https://cdnjs.cloudflare.com/ajax/libs/react-router-dom/,,404,18,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,True,ctls,cdnjs.cloudflare.com,443,https://cdnjs.cloudflare.com:443/ajax/libs/react-router-dom/,https,text/plain,GET,104.17.24.14,/ajax/libs/react-router-dom/,2023033722,2606:4700::6811:180e,HTTP/3,1,False,cloudflare,True,cloudflare,,"Cloudflare, Inc.",,
https://cdnjs.cloudflare.com/ajax/libs/react/,,404,18,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,True,ctls,cdnjs.cloudflare.com,443,https://cdnjs.cloudflare.com:443/ajax/libs/react/,https,text/plain,GET,104.17.24.14,/ajax/libs/react/,2023033722,2606:4700::6811:180e,HTTP/3,1,False,cloudflare,True,cloudflare,,"Cloudflare, Inc.",,
https://cdnjs.cloudflare.com/ajax/libs/styled-components/,,404,18,cdnjs.cloudflare.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-07-03T00:00:00Z,2024-07-02T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,sni.cloudflaressl.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",380a56ffb036e768cf453e6f16eb5414,d99edad76f5ae08716f33ea0a8348b84b7b098302d18d853e63c090619480754,True,ctls,cdnjs.cloudflare.com,443,https://cdnjs.cloudflare.com:443/ajax/libs/styled-components/,https,text/plain,GET,104.17.24.14,/ajax/libs/styled-components/,2023033722,2606:4700::6811:180e,HTTP/3,1,False,cloudflare,True,cloudflare,,"Cloudflare, Inc.",,
https://data.pendo.io,pendo.io,200,2443,data.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-16T00:46:05Z,2023-09-14T01:42:00Z,CN=pendo.io,pendo.io,*.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,900e6766944486c762eb58ab1f7cdba0,ea305a8f289c8c4e29b58900113a21e5c91f73ae5b2f3851b585eca9d0378963,True,ctls,data.pendo.io,443,https://data.pendo.io:443,https,text/html,GET,34.149.155.70,/,636254061,34.149.155.70,HTTP/3,1,False,google,True,,,,,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=upload.video.google.com,upload.video.google.com,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,7f788b7c7e4fd6cca34ea1266e90216c,34ce8d965483353d15d17e6813cc68da1fb1b8344b5fe78e48b33f6bde169573,True,ctls,fonts.googleapis.com,443,https://fonts.googleapis.com:443,https,text/html,GET,142.250.185.138,/,-606046040,2a00:1450:4001:829::200a,HTTP/3,1,False,,,ESF,,,,
https://fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-06-19T08:20:47Z,2023-09-11T08:20:46Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,c7c819cf4dd7eaac32596a27df440c3a,4232a61304d4799519d0c90e6c12f5aa385c549d99242ed0f0565857dbe97608,True,ctls,fonts.gstatic.com,443,https://fonts.gstatic.com:443,https,text/html,GET,172.217.18.3,/,302920777,2a00:1450:4001:829::2003,HTTP/3,12,False,,,sffe,,,,
https://fq-production-amortization-export-rec.s3.us-west-2.amazonaws.com,,403,243,fq-production-amortization-export-rec.s3.us-west-2.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-28T23:59:59Z,CN=*.s3-us-west-2.amazonaws.com,*.s3-us-west-2.amazonaws.com,s3-deprecated.us-west-2.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4c5943f3868e788b9bebd073fb792ce8,85d34ef0417d142afc707c81223d336c6aa7c97b1173d51d9d4fa5190af158be,True,ctls,fq-production-amortization-export-rec.s3.us-west-2.amazonaws.com,443,https://fq-production-amortization-export-rec.s3.us-west-2.amazonaws.com:443,https,application/xml,GET,52.218.218.169,/,417310633,52.218.132.145,Amazon Web Services,2,False,,,AmazonS3,,,,
https://fq-production-amortization-uploaded-items.s3.us-west-2.amazonaws.com,,403,243,fq-production-amortization-uploaded-items.s3.us-west-2.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-28T23:59:59Z,CN=*.s3-us-west-2.amazonaws.com,*.s3-us-west-2.amazonaws.com,s3-deprecated.us-west-2.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4c5943f3868e788b9bebd073fb792ce8,85d34ef0417d142afc707c81223d336c6aa7c97b1173d51d9d4fa5190af158be,True,ctls,fq-production-amortization-uploaded-items.s3.us-west-2.amazonaws.com,443,https://fq-production-amortization-uploaded-items.s3.us-west-2.amazonaws.com:443,https,application/xml,GET,52.92.251.146,/,1485364325,52.92.160.42,Amazon Web Services,2,False,,,AmazonS3,,,,
https://fq-production-application-temporary-exports.s3.us-west-2.amazonaws.com,,403,243,fq-production-application-temporary-exports.s3.us-west-2.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-28T23:59:59Z,CN=*.s3-us-west-2.amazonaws.com,*.s3-us-west-2.amazonaws.com,s3-deprecated.us-west-2.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4c5943f3868e788b9bebd073fb792ce8,85d34ef0417d142afc707c81223d336c6aa7c97b1173d51d9d4fa5190af158be,True,ctls,fq-production-application-temporary-exports.s3.us-west-2.amazonaws.com,443,https://fq-production-application-temporary-exports.s3.us-west-2.amazonaws.com:443,https,application/xml,GET,52.218.213.73,/,-599534032,52.92.152.10,Amazon Web Services,2,False,,,AmazonS3,,,,
https://fq-production-internal-ip-restricted.s3-us-west-2.amazonaws.com,,403,243,fq-production-internal-ip-restricted.s3-us-west-2.amazonaws.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2023-12-28T23:59:59Z,CN=*.s3-us-west-2.amazonaws.com,*.s3-us-west-2.amazonaws.com,s3-deprecated.us-west-2.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4c5943f3868e788b9bebd073fb792ce8,85d34ef0417d142afc707c81223d336c6aa7c97b1173d51d9d4fa5190af158be,True,ctls,fq-production-internal-ip-restricted.s3-us-west-2.amazonaws.com,443,https://fq-production-internal-ip-restricted.s3-us-west-2.amazonaws.com:443,https,application/xml,GET,52.218.128.141,/,-1012081928,3.5.84.114,Amazon Web Services,2,False,,,AmazonS3,,,,
https://fq-production-txm.s3-accelerate.amazonaws.com,,403,243,fq-production-txm.s3-accelerate.amazonaws.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T00:00:00Z,2024-01-11T23:59:59Z,CN=*.s3-accelerate.amazonaws.com,*.s3-accelerate.amazonaws.com,*.cf-ofp-eu-west-3c.s3-accelerate.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,642d4642b125c2fede731d7d9cfc8c1b,72340188b464aac10ef9449aacc77d17fee570afc1a8fa756bd5a13478b83933,True,ctls,fq-production-txm.s3-accelerate.amazonaws.com,443,https://fq-production-txm.s3-accelerate.amazonaws.com:443,https,application/xml,GET,108.138.20.146,/,-92815719,108.138.20.146,Amazon Web Services,2,False,cloudfront,True,AmazonS3,,,,
