new,host,mx,soa,status_code,a,cname,ns,aaaa,cdn,cdn-name,caa,txt,has_internal_ips,internal_ips
,apex.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,api-c1.lyvebeta.seagate.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,52.241.139.79,,,,True,azure,,,,
,api-c2.lyvebeta.seagate.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,13.87.230.182,,,,True,azure,,,,
,api-tm.lyvebeta.seagate.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,13.86.186.180,,,,True,azure,,,,
,api.dev.ingest.lyve.seagate.com,,"ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,"13.107.246.45, 13.107.213.45","hs-nonprod-huhydcgxd0cneygp.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net",,"2620:1ec:46::45, 2620:1ec:bdf::45",,,,,,
,api.dev.lyve.seagate.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,20.107.196.26,"udx-eu-dev-tm.trafficmanager.net, agw-dev-lh-northeu.northeurope.cloudapp.azure.com",,,,,,,,
,api.gcc.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,api.ingest.lyve.seagate.com,,"ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,"13.107.246.45, 13.107.213.45","hs-prod-hwhjbadka6fjgshe.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net",,"2620:1ec:bdf::45, 2620:1ec:46::45",,,,,,
,api.lyve.seagate.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,20.166.89.86,"udx-prod-tm.trafficmanager.net, agw-prod-lh.northeurope.cloudapp.azure.com",,,,,,,,
,api.lyvebeta.seagate.com,,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,api.lyvecloud.seagate.com,,"dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
,api.okla.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,api.qa.lyve.seagate.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,20.234.4.172,"udx-eu-qa-tm.trafficmanager.net, agw-qa-lh-northeu-pip.northeurope.cloudapp.azure.com",,,,,,,,
,api.stage.ingest.lyve.seagate.com,,"ns1.t-msedge.net, msnhst.microsoft.com",NOERROR,"13.107.213.45, 13.107.246.45","hs-prod-hwhjbadka6fjgshe.z01.azurefd.net, star-azurefd-prod.trafficmanager.net, dual.part-0017.t-0009.t-msedge.net, part-0017.t-0009.t-msedge.net",,"2620:1ec:46::45, 2620:1ec:bdf::45",,,,,,
,api.stage.lyve.seagate.com,,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,20.238.86.40,"stage.lyve.trafficmanager.net, agw-staging-lh-northeu.northeurope.cloudapp.azure.com",,,,,,,,
,api.us-central-1.lyvecloud.seagate.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,192.55.5.25,,,,,,,,,
,api.us-east-1.lyvecloud.seagate.com,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,192.55.6.23,,,,,,,,,
,api.us-west-1-stg.lyvecloud.seagate.com,,"dns1.p03.nsone.net, hostmaster.nsone.net",NOERROR,134.204.221.151,,,,,,,,,
,api.us-west-1.lyvecloud.seagate.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,192.55.9.22,,,,,,,,,
,api.us-west-4-stg.lyvecloud.seagate.com,,"dns1.p08.nsone.net, hostmaster.nsone.net",NOERROR,192.55.7.30,,,,,,,,,
,apidev.okla.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apihelp.lyvecloud.seagate.com,,"dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153",lyvecloud.github.io,,"2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153",,,"digicert.com, letsencrypt.org",,,
,apipub.okla.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apipubdev.okla.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apipubtst.okla.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apistore.okla.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apistore.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,134.204.236.53,,,,,,,,,
,apitst.okla.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,134.204.238.46,,,,,,,,,
,apitst.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,134.204.238.46,apitst.okla.seagate.com,,,,,,,,
,apj.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apjrewards.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,app.e.seagate.com,,"ns1.p201.dns.oraclecloud.net, hostmaster.t.en25.com",NOERROR,192.29.8.185,"s43975733.t.en25.com, p01k.t.en25.com","ns4.p201.dns.oraclecloud.net, ns2.p201.dns.oraclecloud.net, ns1.p201.dns.oraclecloud.net, ns3.p201.dns.oraclecloud.net",,True,oracle,,,,
,app.messages.seagate.com,,"ns1.p201.dns.oraclecloud.net, hostmaster.t.en25.com",NOERROR,209.167.231.27,"S261.t.en25.com, p01.t.en25.com",,,,,,,,
,applications.okla.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,appredirect.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,134.204.236.101,,,,,,,,,
,apps.gcc.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apps.okla.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apps.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apps1tst.okla.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,134.204.238.15,sgpayroll-test.seagate.com,,,,,,,,
,apps1tst.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,134.204.238.15,"apps1tst.okla.seagate.com, sgpayroll-test.seagate.com",,,,,,,,
,apps2.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,apps2.okla.seagate.com,,,,,,,,
,apps2a.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,apps2a.okla.seagate.com,,,,,,,,
,apps2b.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,apps2b.okla.seagate.com,,,,,,,,
,appstore-apac.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,appstore-eu.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,appstore-in.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,appstst.okla.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,apptio.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asdissc1.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asdissn1.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asdissn2.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asia22.ang.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asia66.ang.sing.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asia68.ang.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiadtscm1.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapbpctxweb3a.citrixad.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapbpctxweb3a.sing.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapbpctxweb3b.citrixad.seagate.com,,"ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapbpctxweb3b.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapcti1a.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapcti1b.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapestweb1a.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapestweb1b.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapgrc1.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapgrc2.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiaphrwlg1.ang.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiaphyp1.ang.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapmobapp1a.ad.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapscm1.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapspapp2a.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapspapp2b.eng.ang.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapspapp2b.sing.seagate.com,"mx2.hc4959-67.iphmx.com, mx1.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapstweb2.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapstweb3.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiapstweb4.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiarbpctxweb3.citrixad.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
,asiarbpctxweb3.sing.seagate.com,"mx1.hc4959-67.iphmx.com, mx2.hc4959-67.iphmx.com","ns4.seagate.com, hostmaster.seagate.com",NOERROR,,,,,,,,,,
