new,host,a,soa,status_code,cdn,cdn-name,aaaa,cname,has_internal_ips,internal_ips
,imap.bimeanalytics.com,217.70.178.4,"dns0.gandi.net, hostmaster.gandi.net",NOERROR,,,,access.mail.gandi.net,,
,lapp394.bimeanalytics.com,"104.16.91.80, 104.16.87.80, 104.16.90.80, 104.16.89.80, 104.16.88.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5850, 2606:4700::6810:5b50, 2606:4700::6810:5a50, 2606:4700::6810:5950, 2606:4700::6810:5750",,,
,livestreamedgetee-upload-shv-01-lga3.bimeanalytics.com,"104.16.91.80, 104.16.90.80, 104.16.87.80, 104.16.89.80, 104.16.88.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5750, 2606:4700::6810:5b50, 2606:4700::6810:5950, 2606:4700::6810:5850",,,
,log-b2bsystem.bimeanalytics.com,"104.16.90.80, 104.16.87.80, 104.16.88.80, 104.16.89.80, 104.16.91.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5750, 2606:4700::6810:5950, 2606:4700::6810:5b50, 2606:4700::6810:5850",,,
,mail.bimeanalytics.com,142.250.186.211,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:401b:80d::2013,ghs.googlehosted.com,,
,mvsap6.bimeanalytics.com,"104.16.91.80, 104.16.90.80, 104.16.88.80, 104.16.89.80, 104.16.87.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5850, 2606:4700::6810:5a50, 2606:4700::6810:5b50, 2606:4700::6810:5950, 2606:4700::6810:5750",,,
,partnerportal.bimeanalytics.com,216.58.212.179,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:400a:800::2013,ghs.googlehosted.com,,
,pop.bimeanalytics.com,217.70.178.4,"dns0.gandi.net, hostmaster.gandi.net",NOERROR,,,,access.mail.gandi.net,,
,smtp.bimeanalytics.com,217.70.178.3,"dns0.gandi.net, hostmaster.gandi.net",NOERROR,,,,relay.mail.gandi.net,,
,st10611003c.bimeanalytics.com,"104.16.90.80, 104.16.88.80, 104.16.89.80, 104.16.91.80, 104.16.87.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,
,staging-en-2015.bimeanalytics.com,"104.16.91.80, 104.16.87.80, 104.16.88.80, 104.16.89.80, 104.16.90.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5b50, 2606:4700::6810:5750, 2606:4700::6810:5850, 2606:4700::6810:5950",,,
,staging-fr-2015.bimeanalytics.com,"104.16.90.80, 104.16.89.80, 104.16.91.80, 104.16.87.80, 104.16.88.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5750, 2606:4700::6810:5850, 2606:4700::6810:5a50, 2606:4700::6810:5950, 2606:4700::6810:5b50",,,
,sync400288.bimeanalytics.com,,"dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5b50, 2606:4700::6810:5950, 2606:4700::6810:5a50, 2606:4700::6810:5750, 2606:4700::6810:5850",,,
,test.bimeanalytics.com,"104.16.89.80, 104.16.90.80, 104.16.91.80, 104.16.87.80, 104.16.88.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5950, 2606:4700::6810:5750, 2606:4700::6810:5a50, 2606:4700::6810:5850, 2606:4700::6810:5b50",,,
,try.bimeanalytics.com,"104.16.91.80, 104.16.88.80, 104.16.87.80, 104.16.90.80, 104.16.89.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5850, 2606:4700::6810:5950, 2606:4700::6810:5b50, 2606:4700::6810:5750",,,
,use1-safety-alert-prod.bimeanalytics.com,"104.16.88.80, 104.16.89.80, 104.16.90.80, 104.16.87.80, 104.16.91.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5b50, 2606:4700::6810:5950, 2606:4700::6810:5750, 2606:4700::6810:5850",,,
,videoclick.theeconomist.bime.io,0.0.0.0,"fake-for-negative-caching.adguard.com, hostmaster.videoclick.theeconomist.bime.io",NOERROR,,,::,,True,0.0.0.0
,webmail.bimeanalytics.com,,"dns0.gandi.net, hostmaster.gandi.net",NOERROR,,,,"agent.mail.gandi.net, webmail.gandi.net",,
,www.bimeanalytics.com,"104.16.88.80, 104.16.91.80, 104.16.87.80, 104.16.89.80, 104.16.90.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5b50, 2606:4700::6810:5850, 2606:4700::6810:5750, 2606:4700::6810:5a50, 2606:4700::6810:5950",,,
,www.get.bimeanalytics.com,"104.16.87.80, 104.16.89.80, 104.16.91.80, 104.16.90.80, 104.16.88.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5850, 2606:4700::6810:5750, 2606:4700::6810:5a50, 2606:4700::6810:5b50, 2606:4700::6810:5950",,,
,www.try.bimeanalytics.com,"104.16.89.80, 104.16.90.80, 104.16.88.80, 104.16.87.80, 104.16.91.80","dana.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,"2606:4700::6810:5a50, 2606:4700::6810:5850, 2606:4700::6810:5b50, 2606:4700::6810:5750, 2606:4700::6810:5950",,,
