new,host,a,cname,soa,status_code,cdn,cdn-name,mx,txt,aaaa,ns,caa,has_internal_ips,internal_ips
[x],adhesion.my.salesforce.com,"13.110.26.12, 13.110.26.13, 13.110.26.11","n.edge2.salesforce.com, ord.edge2.salesforce.com","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],adj.my.salesforce.com,"101.53.169.118, 101.53.169.246, 101.53.168.118","ap26.my.salesforce.com, ap26-hnd.my.salesforce.com, ap26-hnd.hnd.r.my.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adler.my.salesforce.com,"35.183.166.180, 3.99.18.77, 15.222.207.169","can27.my.sfdc-58ktaz.salesforce.com, can27.sfdc-58ktaz.salesforce.com","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],admin.salesforce.com,"151.101.193.145, 151.101.1.145, 151.101.65.145, 151.101.129.145",devforce.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],admin.us01.dx.commercecloud.salesforce.com,"54.147.234.135, 34.203.78.166, 3.208.56.208",,"ns-1810.awsdns-34.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],admin1.my.salesforce.com,"160.8.8.150, 160.8.242.150, 160.8.246.150","cs173.force.com, cs173-cdg.force.com, cs173-cdg.cdg.r.force.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],admin12.my.salesforce.com,"160.8.254.33, 160.8.248.33, 160.8.14.161","cs189.force.com, cs189-fra.force.com, cs189-fra.fra.r.force.com","ns1-fra.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],admin2.my.salesforce.com,"160.8.242.150, 160.8.8.150, 160.8.246.150","cs173.force.com, cs173-cdg.force.com, cs173-cdg.cdg.r.force.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],admin9.my.salesforce.com,"160.8.242.153, 160.8.240.153, 160.8.10.153","cs174.force.com, cs174-cdg.force.com, cs174-cdg.cdg.r.force.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],administrator.my.salesforce.com,"161.71.8.186, 161.71.11.58, 161.71.9.186","um8.salesforce.com, um8-lo3.salesforce.com, um8-lo3.lo3.r.salesforce.com","ns1-lo3.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adminprod.my.salesforce.com,"101.53.163.86, 101.53.162.214, 101.53.160.214","ap16.salesforce.com, ap16-ukb.salesforce.com, ap16-ukb.ukb.r.salesforce.com","ns1-ukb.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adminworkshop.salesforce.com,"23.213.161.221, 23.213.161.216","www.salesforce.com, www.salesforce.com.edgekey.net, e63490.dsca.akamaiedge.net","n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,"2a02:26f0:1700:11::b856:6796, 2a02:26f0:1700:11::b856:6791",,,,
[x],admiral.my.salesforce.com,"160.8.247.12, 160.8.246.12, 160.8.11.12","eu42.my.salesforce.com, eu42-cdg.my.salesforce.com, eu42-cdg.cdg.r.my.salesforce.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adobe.my.salesforce.com,"13.109.185.161, 13.109.188.161, 13.110.62.161","na156.my.salesforce.com, na156-ia4.my.salesforce.com, na156-ia4.ia4.r.my.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adr.my.salesforce.com,"13.110.89.193, 13.110.90.193, 13.110.91.193","na116.my.salesforce.com, na116-ph2.my.salesforce.com, na116-ph2.ph2.r.my.salesforce.com","ns1-ph2.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adrm.my.salesforce.com,"160.8.11.5, 160.8.247.133, 160.8.242.133","eu40.salesforce.com, eu40-cdg.salesforce.com, eu40-cdg.cdg.r.salesforce.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adscanner.my.salesforce.com,"160.8.246.12, 160.8.11.12, 160.8.247.12","eu42.my.salesforce.com, eu42-cdg.my.salesforce.com, eu42-cdg.cdg.r.my.salesforce.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adv.my.salesforce.com,"101.53.170.195, 101.53.169.67, 101.53.168.195","ap18.my.salesforce.com, ap18-hnd.my.salesforce.com, ap18-hnd.hnd.r.my.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],advanced.my.salesforce.com,"13.110.44.167, 13.110.41.167, 13.110.40.167","na159.my.salesforce.com, na159-ia5.my.salesforce.com, na159-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],advo.my.salesforce.com,"161.71.2.22, 161.71.2.150, 161.71.3.22","um7.my.salesforce.com, um7-lo2.my.salesforce.com, um7-lo2.lo2.r.my.salesforce.com","ns1-lo2.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],adways.my.salesforce.com,"101.53.162.215, 101.53.160.215, 101.53.161.215","ap16.my.salesforce.com, ap16-ukb.my.salesforce.com, ap16-ukb.ukb.r.my.salesforce.com","ns1-ukb.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aea.my.salesforce.com,"3.77.4.144, 18.192.146.114, 52.28.3.100","deu3.my.sfdc-yzvdd4.salesforce.com, deu3.sfdc-yzvdd4.salesforce.com","dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],aegis.my.salesforce.com,"101.53.170.234, 101.53.171.106, 101.53.171.234","ap15.my.salesforce.com, ap15-hnd.my.salesforce.com, ap15-hnd.hnd.r.my.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aeis.my.salesforce.com,"13.110.56.210, 13.109.191.210, 13.109.186.210","na170.salesforce.com, na170-ia4.salesforce.com, na170-ia4.ia4.r.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aem.my.salesforce.com,"15.156.122.152, 3.97.156.19, 15.223.128.40","can1.my.sfdc-58ktaz.salesforce.com, can1.sfdc-58ktaz.salesforce.com","dns1.p07.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],aep.my.salesforce.com,"13.110.80.59, 13.110.81.59, 13.110.33.59","na109.my.salesforce.com, na109-ia2.my.salesforce.com, na109-ia2.ia2.r.my.salesforce.com","ns1-ia2.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aeris.my.salesforce.com,"13.109.190.205, 13.109.187.205, 13.109.191.205","na168.my.salesforce.com, na168-ia4.my.salesforce.com, na168-ia4.ia4.r.my.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aerospace.my.salesforce.com,"161.71.3.18, 161.71.1.18, 161.71.0.18","um5.my.salesforce.com, um5-lo2.my.salesforce.com, um5-lo2.lo2.r.my.salesforce.com","ns1-lo2.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aetos.my.salesforce.com,"13.110.47.236, 13.110.44.236, 13.110.69.236","na209.salesforce.com, na209-ia5.salesforce.com, na209-ia5.ia5.r.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],afa.my.salesforce.com,"101.53.168.135, 101.53.169.7, 101.53.171.7","ap4.my.salesforce.com, ap4-hnd.my.salesforce.com, ap4-hnd.hnd.r.my.salesforce.com","ns1-hnd.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],afss.my.salesforce.com,"136.146.16.3, 136.146.17.3, 136.146.27.3","na224.salesforce.com, na224-ia6.salesforce.com, na224-ia6.ia6.r.salesforce.com","ns1-ia6.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],agatha.my.salesforce.com,"101.53.160.214, 101.53.162.214, 101.53.163.86","ap16.salesforce.com, ap16-ukb.salesforce.com, ap16-ukb.ukb.r.salesforce.com","ns1-ukb.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],agence.my.salesforce.com,"160.8.8.145, 160.8.9.145, 160.8.11.145","eu45.salesforce.com, eu45-cdg.salesforce.com, eu45-cdg.cdg.r.salesforce.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],agency.my.salesforce.com,"161.71.3.147, 161.71.0.19, 161.71.0.147","um6.my.salesforce.com, um6-lo2.my.salesforce.com, um6-lo2.lo2.r.my.salesforce.com","ns1-lo2.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],agg.my.salesforce.com,"136.146.16.3, 136.146.17.3, 136.146.27.3","na224.salesforce.com, na224-ia6.salesforce.com, na224-ia6.ia6.r.salesforce.com","ns1-ia6.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],agh.my.salesforce.com,"13.110.91.193, 13.110.89.193, 13.110.90.193","na116.my.salesforce.com, na116-ph2.my.salesforce.com, na116-ph2.ph2.r.my.salesforce.com","ns1-ph2.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],agiliti.my.salesforce.com,"136.146.36.123, 136.146.40.123, 136.146.44.123","na238.salesforce.com, na238-ia7.salesforce.com, na238-ia7.ia7.r.salesforce.com","ns1-ia7.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],agree.my.salesforce.com,"13.110.67.235, 13.110.68.235, 13.110.46.235","na210.my.salesforce.com, na210-ia5.my.salesforce.com, na210-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],ah.my.salesforce.com,"13.110.59.43, 13.109.184.43, 13.109.186.43","na173.my.salesforce.com, na173-ia4.my.salesforce.com, na173-ia4.ia4.r.my.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],ahf.my.salesforce.com,"13.50.12.177, 13.50.12.178, 13.50.12.176","hc.edge2.salesforce.com, ca1.edge.sfdc-cehfhs.edge2.salesforce.com","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ahl.my.salesforce.com,"13.110.47.149, 13.110.70.149, 13.110.67.149","na150.my.salesforce.com, na150-ia5.my.salesforce.com, na150-ia5.ia5.r.my.salesforce.com","ns1-ia5.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],ahlstrom.my.salesforce.com,"160.8.9.145, 160.8.8.145, 160.8.11.145","eu45.salesforce.com, eu45-cdg.salesforce.com, eu45-cdg.cdg.r.salesforce.com","ns1-cdg.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],ahp.my.salesforce.com,"136.146.27.9, 136.146.29.9, 136.146.28.9","na226.salesforce.com, na226-ia6.salesforce.com, na226-ia6.ia6.r.salesforce.com","ns1-ia6.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],ahs.my.salesforce.com,"13.110.58.184, 13.110.56.184, 13.109.185.184","na161.my.salesforce.com, na161-ia4.my.salesforce.com, na161-ia4.ia4.r.my.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],ai.my.salesforce.com,"3.6.233.138, 13.233.175.75, 13.232.227.72",ind88.sfdc-y37hzm.salesforce.com,"dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,
[x],ai.salesforce.com,"44.205.191.3, 52.201.53.157, 3.232.123.62, 52.45.45.51",,"ns-1467.awsdns-55.org, awsdns-hostmaster.amazon.com",NOERROR,,,"mxa-00177002.gslb.pphosted.com, mxb-00177002.gslb.pphosted.com","google-site-verification=61qMElwfUeHH3qYHu5k3lu-6QKgVKq40n8QNsbL5ZlQ, fe66b641-3262-412e-b661-c9c1f58c58e5",,"ns-1467.awsdns-55.org, ns-323.awsdns-40.com, ns-607.awsdns-11.net, ns-1844.awsdns-38.co.uk",,,
[x],aic.my.salesforce.com,"13.109.186.210, 13.109.191.210, 13.110.56.210","na170.salesforce.com, na170-ia4.salesforce.com, na170-ia4.ia4.r.salesforce.com","ns1-ia4.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
[x],aie.my.salesforce.com,"96.43.152.168, 96.43.152.40","na21.my.salesforce.com, na21-chx.gia1.my.salesforce.com, na21-chx.my.salesforce.com","dns01.salesforce.com, hostmaster.salesforce.com",NOERROR,,,,,,,,,
