input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,csp_domains_,tls_expired,final_url
creative-champions.wd.com,401 Unauthorized,401,381,creative-champions.wd.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-20T15:20:58Z,2023-12-20T15:20:58Z,CN=*.oekostrom.at,*.oekostrom.at,,oekostrom.at,"CN=Starfield Secure Certificate Authority - G2, OU=http://certs.starfieldtech.com/repository/, O=Starfield Technologies\, Inc., L=Scottsdale, ST=Arizona, C=US",Starfield Secure Certificate Authority - G2,"Starfield Technologies, Inc.",f1675c6242249af153895d14f26ff9eb,0861d604a168cb9cdd14fddf925d60550f2949ebc8c564b5c70435c910995efa,True,ctls,creative-champions.wd.com,,443,https://creative-champions.wd.com:443,https,Apache,text/html,GET,146.255.58.49,/,-392200610,2a02:1b8:3:1::49,Basic,13,False,,True,*.oekostrom.at,,
dcs.westerndigital.com,Just a moment...,403,7250,app-sj05.marketo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-04-03T23:59:59Z,"CN=app-sj05.marketo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",app-sj05.marketo.com,"Cloudflare, Inc.",app-sj05.marketo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",5370a0d7e094cd9165a3075351eb8a49,b164f1a5680af1ad8bf0d8d9f0980d1bcafbdc3336bc042424fe326293cd0c7a,,ctls,app-sj05.marketo.com,cloudflare,443,https://dcs.westerndigital.com:443,https,cloudflare,text/html,GET,104.17.72.206,/,-1470948300,104.17.70.206,Cloudflare Bot Management,87,False,True,,,,https://app-sj05.marketo.com/homepage/login
developer.westerndigital.com,"High-Performance SSDs, HDDs, USB Drives, & Memory Cards | Western Digital",200,1325291,www.westerndigital.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-06T00:00:00Z,2024-01-08T23:59:59Z,"CN=www.sandisk.com, O=Western Digital Corporation, L=Milpitas, ST=California, C=US",www.sandisk.com,Western Digital Corporation,www.westerndigital.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,0c729c31120e78225f38fd3659ae34ff,0af4f1735760de252521ae6a556fb22e01e959b3ba3170c476acafa2e8263603,,ctls,www.westerndigital.com,,443,https://developer.westerndigital.com:443,https,Apache,text/html,GET,184.25.218.133,/,1854174669,184.25.218.133,PayPal,26786,False,,,*.criteo.com,,https://www.westerndigital.com
documentation.bugcrowd.com,Changelog,200,290976,documentation.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-10T00:00:00Z,2023-07-10T23:59:59Z,"CN=documentation.bugcrowd.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",documentation.bugcrowd.com,"Cloudflare, Inc.",documentation.bugcrowd.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",9971cf777fec551a86d2e66b932c8f73,43f80ef4cf7c45283d5fc37109be6da04bf7ad39df904b96215ecd6df40987b7,,ctls,documentation.bugcrowd.com,cloudflare,443,https://documentation.bugcrowd.com:443,https,cloudflare,text/html,GET,104.18.210.56,/,-1972962719,2606:4700::6812:d338,Heroku,197,False,True,,,,https://documentation.bugcrowd.com/reference/changelog
email.assetinventory.bugcrowd.com,,404,19,email.assetinventory.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:08:40Z,2023-07-31T04:08:39Z,CN=email.assetinventory.bugcrowd.com,email.assetinventory.bugcrowd.com,,email.assetinventory.bugcrowd.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,812495560e2aae07701b87a9fb5867e7,5f267bdd5e3f8c6a3377ec14e42c991fb701e7c89af8076d84e71d7d78a2d8b7,,ctls,email.assetinventory.bugcrowd.com,google,443,https://email.assetinventory.bugcrowd.com:443,https,,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,,,,
email.bugs.bugcrowd.com,,404,19,email.bugs.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:09:05Z,2023-07-31T04:09:04Z,CN=email.bugs.bugcrowd.com,email.bugs.bugcrowd.com,,email.bugs.bugcrowd.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,49819043f427d08e3f456657a61238b7,611a3714cabc10440833980ea42a8652b209dae37e59d57efa884c62612d105a,,ctls,email.bugs.bugcrowd.com,google,443,https://email.bugs.bugcrowd.com:443,https,,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,,,,
email.crowdcontrol.bugcrowd.com,,404,19,email.crowdcontrol.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:09:49Z,2023-07-31T04:09:48Z,CN=email.crowdcontrol.bugcrowd.com,email.crowdcontrol.bugcrowd.com,,email.crowdcontrol.bugcrowd.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,de2963af611f4e9a9f8db5b2153b43c3,0edb67131866614090bf90d077cc90235c5c56b30fb713ed5c0761501a7bfac9,,ctls,email.crowdcontrol.bugcrowd.com,google,443,https://email.crowdcontrol.bugcrowd.com:443,https,,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,,,,
email.forum.bugcrowd.com,,404,19,email.forum.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:10:20Z,2023-07-31T04:10:19Z,CN=email.forum.bugcrowd.com,email.forum.bugcrowd.com,,email.forum.bugcrowd.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,1bae34c95e78620a816b74850738ce79,1d49c5a8a12d8bef253bb8d0ac309d479c31318552e22d8cd00beb913a6601e8,,ctls,email.forum.bugcrowd.com,google,443,https://email.forum.bugcrowd.com:443,https,,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,,,,
email.submit.bugcrowd.com,,404,19,email.submit.bugcrowd.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-02T04:07:34Z,2023-07-31T04:07:33Z,CN=email.submit.bugcrowd.com,email.submit.bugcrowd.com,,email.submit.bugcrowd.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,018f4ac6eaf6a286d7afba1be84304ea,0da3748b62a81c20e4cf413106fe1a152fd30079192052ee07791050214b79ff,,ctls,email.submit.bugcrowd.com,google,443,https://email.submit.bugcrowd.com:443,https,,text/plain,GET,34.102.239.211,/,-138391155,34.102.239.211,,2,False,True,,,,
epp.westerndigital.com,Partners | Western Digital,200,1264747,www.westerndigital.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-06T00:00:00Z,2024-01-08T23:59:59Z,"CN=www.sandisk.com, O=Western Digital Corporation, L=Milpitas, ST=California, C=US",www.sandisk.com,Western Digital Corporation,www.westerndigital.com,"CN=GeoTrust RSA CA 2018, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust RSA CA 2018,DigiCert Inc,0c729c31120e78225f38fd3659ae34ff,0af4f1735760de252521ae6a556fb22e01e959b3ba3170c476acafa2e8263603,,ctls,www.westerndigital.com,,443,https://epp.westerndigital.com:443,https,Apache,text/html,GET,52.89.127.54,/,1857261588,52.36.92.3,PayPal,30918,False,,,www.google.com,,https://www.westerndigital.com/company/partners
