input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_wildcard_certificate,cdn_name,cdn,final_url,csp_domains_
https://citrix-cloud-data.customer.pendo.io,pendo.io,200,2443,citrix-cloud-data.customer.pendo.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-01T15:47:16Z,2023-07-30T16:35:26Z,CN=citrix-cloud-data.customer.pendo.io,citrix-cloud-data.customer.pendo.io,,citrix-cloud-data.customer.pendo.io,"CN=GTS CA 1D4, O=Google Trust Services LLC, C=US",GTS CA 1D4,Google Trust Services LLC,62fdde6506a51a060ddd462f84e256b8,012d9045e180b0e8c5712427c8f11144f27ba1e88b7063203d3bf2acb1bbfe9b,ctls,citrix-cloud-data.customer.pendo.io,443,https://citrix-cloud-data.customer.pendo.io:443,https,Google Frontend,text/html,GET,172.217.18.115,/,-2039334881,2a00:1450:4001:827::2013,Google Cloud Trace,1,False,,,,,
https://client.wvd.microsoft.com/arm/webclient/aadj.html,,200,84,client.wvd.microsoft.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-05-31T14:51:22Z,2023-11-27T14:51:22Z,"CN=*.wvd.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.wvd.microsoft.com,Microsoft Corporation,*.wvd.microsoft.com,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,b1861fcdc1a6a7a0177977759a4a4262,da42d8d5a4d0f4089186c17ef6c1ea0ada138ca0367a77ce89ec7806b3b0e1b1,ctls,client.wvd.microsoft.com,443,https://client.wvd.microsoft.com:443/arm/webclient/aadj.html,https,Microsoft-IIS/10.0,text/html,GET,51.116.225.44,/arm/webclient/aadj.html,1772087922,51.116.225.44,Windows Server,6,False,True,azure,True,,
https://fonts.googleapis.com,Error 404 (Not Found)!!1,404,1607,fonts.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T12:57:42Z,2023-08-11T12:57:41Z,CN=upload.video.google.com,upload.video.google.com,,bg-call-donation-dev.goog,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,b5a3f1a6025d2831a2025cd1229f5eb1,f6b217e7058f30b38cd19c0de67bd0f1d0b366b2c020708621bee2781b99d2ff,ctls,fonts.googleapis.com,443,https://fonts.googleapis.com:443,https,ESF,text/html,GET,142.250.184.234,/,-606046040,2a00:1450:4001:831::200a,HTTP/3,1,False,True,,,,
https://iws-prod-global-cdn-endpoint.azureedge.net,,400,351,iws-prod-global-cdn-endpoint.azureedge.net,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-20T10:26:00Z,2024-04-14T10:26:00Z,"CN=*.azureedge.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.azureedge.net,Microsoft Corporation,*.streaming.mediaservices.windows.net,"CN=Microsoft Azure TLS Issuing CA 05, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 05,Microsoft Corporation,1cf60e102bec7fce7f39e618a6491cd9,f3b7f233a835735a9539a9fe92a3fdfb197264097ea4a61575badffa784239c1,ctls,iws-prod-global-cdn-endpoint.azureedge.net,443,https://iws-prod-global-cdn-endpoint.azureedge.net:443,https,,application/xml,GET,13.107.246.45,/,-234668946,2620:1ec:46::45,Azure Front Door,3,False,True,,,,
https://js-agent.newrelic.com,,403,243,js-agent.newrelic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-04-13T21:45:59Z,2024-05-14T21:45:58Z,CN=js-agent.newrelic.com,js-agent.newrelic.com,,js-agent.newrelic.com,"CN=GlobalSign Atlas R3 DV TLS CA 2023 Q2, O=GlobalSign nv-sa, C=BE",GlobalSign Atlas R3 DV TLS CA 2023 Q2,GlobalSign nv-sa,35b4a439d18d86cd47e25f1a3d5f395a,9d0fc0c11d074cab210985f552a207cfae67f241f5bc36ff2be96769a7fbff7c,ctls,js-agent.newrelic.com,443,https://js-agent.newrelic.com:443,https,AmazonS3,application/xml,GET,151.101.2.137,/,1289204299,151.101.194.137,Varnish,2,False,,fastly,True,,
https://login.microsoftonline.com/,Sign in to your account,200,43854,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-01T00:00:00Z,2024-06-01T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,3e5363ca089bb6cd32f00c16e8c60c1d,722ffa737efee47ce8a79dd30a184c0967708de86a0c20d85e015d7c21075dee,ctls,login.microsoftonline.com,443,https://login.microsoftonline.com:443,https,,text/html,GET,20.190.159.4,/,-1840324437,40.126.31.71,HSTS,94,False,,azure,True,https://login.microsoftonline.com/common/oauth2/v2.0/authorize?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&redirect_uri=https%3A%2F%2Fwww.office.com%2Flandingv2&response_type=code%20id_token&scope=openid%20profile%20https%3A%2F%2Fwww.office.com%2Fv2%2FOfficeHome.All&response_mode=form_post&nonce=638220471529874114.OWM1NTRlMTYtOGJhYy00ZjI2LWFlN2QtODA1MTAxMmU3NmE0ZDMxNWQ3ZjctMjNlYi00MGY0LWJjOTgtM2VjOTJmOWZkODY3&ui_locales=en-US&mkt=en-US&state=rxKPOvuV8i-uKaEakOySxLae4BCdoz3cazOJeOIgWP2WD4iFLeSYxqSr7HvTqvf1hwfIr9iQSNIjkYNrtSh-YraqoljIUeT3YwZHgdH3o0tkaS6SuYPrWSG-G9vTRVKQKr2nqszxAEKYHpVJJq2N8xoJ9MWyfB2GFZZKn_5ITK1TkU-eEYH8OiZXKFfFiSYydvRVU9FkIg8j_ur75E1cUiDk51fbr0fLgDOKVteoQa38pOHWxVWSbD2twAa6xZIyPYAV67wTlGqXbT4_7VfuOg&x-client-SKU=ID_NET6_0&x-client-ver=6.26.1.0,
https://maps.googleapis.com,Google Maps Platform  |  Google for Developers,200,216416,developers.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T12:53:06Z,2023-08-11T12:53:05Z,CN=*.google.com,*.google.com,,source.android.google.cn,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,445215b2dc12d0ce2131cae978248fc8,e85d3546a46216866031dae34478188a6c9627ed4593b8de4d4ed0e522d9382e,ctls,developers.google.com,443,https://maps.googleapis.com:443,https,Google Frontend,text/html,GET,142.250.185.234,/,302920777,2a00:1450:4001:808::200a,HTTP/3,9456,False,True,,,https://developers.google.com/maps/,https://csp.withgoogle.com/csp/devsite/v2
https://pendo-static-6508245000126464.storage.googleapis.com,,403,300,pendo-static-6508245000126464.storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2023-05-19T12:57:13Z,2023-08-11T12:57:12Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,afbbf0026c0ad334da7bb9eabfd134f5,8037d5ba1b822a7e71cc8d3ba4dca1191f93b9ad6a9df2b843639585f13aa6bf,ctls,pendo-static-6508245000126464.storage.googleapis.com,443,https://pendo-static-6508245000126464.storage.googleapis.com:443,https,UploadServer,application/xml,GET,142.250.186.144,/,501560377,2a00:1450:4001:82a::2010,HTTP/3,1,False,True,,,,
https://radar.cedexis.com,,200,63,radar.cedexis.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2023-04-26T00:00:00Z,2024-04-25T23:59:59Z,"CN=radar.cedexis.com, O=Citrix Systems\, Inc., L=Fort Lauderdale, ST=Florida, C=US",radar.cedexis.com,"Citrix Systems, Inc.",rpt-cdxcn.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,418c1a37946539a4b9d400e4d8dc2641,9702a3fba07de77ea18ea94507ace21da67e6a41efd3e33e2b644c34973efad3,ctls,radar.cedexis.com,443,https://radar.cedexis.com:443,https,nginx,text/html,GET,45.54.49.5,/,190856733,45.54.49.5,Nginx,1,False,,,,,
https://sentry.io,Application Performance Monitoring & Error Tracking Software | Sentry,200,326945,sentry.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2023-06-06T00:00:00Z,2024-07-06T23:59:59Z,"CN=sentry.io, O=Sentry, L=San Francisco, ST=California, C=US",sentry.io,Sentry,docs.getsentry.com,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,8aa2a24875398028247e02e02bd6a18c,35ab2e5c10207ed42095c781cdb718a763c420eb2f9973c52aef4ca5b2f20449,ctls,sentry.io,443,https://sentry.io:443,https,nginx,text/html,GET,35.188.42.15,/,-1840324437,35.188.42.15,webpack,72,False,,google,True,https://sentry.io/welcome/,www.googletagmanager.com
https://workspace.standard.com/,,200,47220,workspace.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,2022-10-13T00:00:00Z,2023-10-13T23:59:59Z,"CN=workspace.standard.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",workspace.standard.com,Microsoft Corporation,workspace.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,41745a534e20e01403f51c1d7a64692b,0b16866354f0e214b85bdc21df6a07c618f144e9984f1875047a9af56b182600,ctls,workspace.standard.com,443,https://workspace.standard.com:443,https,,text/html,GET,13.107.246.45,/,-1840324437,2620:1ec:46::45,HSTS,187,False,,,,https://workspace.standard.com/Citrix/StoreWeb/,https://fonts.googleapis.com
id-dev.standard.com,,403,42,id-dev.standard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-10-31T00:00:00Z,2023-11-10T23:59:59Z,"CN=id-dev.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",id-dev.standard.com,Standard Insurance Company,id-dev.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,270c4e6c4ccca22a97fc684b60cf004d,7ecb8283c97575401c7fccd0e6717e0f1d6771a4aa1f4385bd0a67392d4cc8c5,ctls,id-dev.standard.com,443,https://id-dev.standard.com:443,https,,application/json,GET,13.32.99.129,/,768769774,2600:9000:2251:c000:10:9913:6a40:93a1,Amazon Web Services,1,False,,cloudfront,True,,
id-nonprod.standard.com,,403,42,id-nonprod.standard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,2022-10-26T00:00:00Z,2023-11-16T23:59:59Z,"CN=id-nonprod.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",id-nonprod.standard.com,Standard Insurance Company,id-nonprod.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a46dd971de9194ca11113a9a6ace8a39,97068232585110dae20bcdce7cbe697a78c3aa7ad5ce75bb7226e7eb3c5dc2cd,ctls,id-nonprod.standard.com,443,https://id-nonprod.standard.com:443,https,,application/json,GET,13.224.189.40,/,768769774,2600:9000:20eb:8400:a:a2f1:e300:93a1,Amazon Web Services,1,False,,cloudfront,True,,
image.message.standard.com,Access Denied,403,279,image.message.standard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,2023-03-02T00:00:00Z,2024-04-01T23:59:59Z,"CN=akamai-san243.exacttarget.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",akamai-san243.exacttarget.com,"Salesforce.com, Inc.",image.patient.nurtec.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,a5964f90eb9c9789cc36c2666c427b99,a08d76c60de71a83927495e81e1406767b719f6af1f4421b1d853502ecb0ebc8,ctls,image.message.standard.com,443,https://image.message.standard.com:443,https,AkamaiGHost,text/html,GET,23.53.43.123,/,60703580,2a02:26f0:3500:1b::1724:a39a,,10,False,,,,,
investor.standard.com,Invalid URL,400,209,investor.standard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,2023-05-16T00:00:00Z,2024-05-15T23:59:59Z,"CN=a248.e.akamai.net, O=Akamai Technologies\, Inc., L=Cambridge, ST=Massachusetts, C=US",a248.e.akamai.net,"Akamai Technologies, Inc.",*.akamaihd-staging.net,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,1698995d9038e8e48e56122247ea04c1,22723fe90c8cb62a43cc528408564613075e76acf7ff45e9542c7ce77c6db372,ctls,investor.standard.com,443,https://investor.standard.com:443,https,AkamaiGHost,text/html,GET,2.16.238.160,/,-331899837,2a02:26f0:480:f::213:7edd,,8,False,True,,,,
ites-apis.standard.com,403 Forbidden,403,179,ites-apis.standard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,2022-10-20T00:00:00Z,2023-11-20T23:59:59Z,"CN=ites-apis.standard.com, O=Standard Insurance Company, L=Portland, ST=Oregon, C=US",ites-apis.standard.com,Standard Insurance Company,ites-apis.standard.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,f8fa710ee6184ae3038bcfa9e2aef004,f35d115962ac72686d5a15ae2c7263d43d4d2a452d3ac9bef68df20ed066af6b,ctls,ites-apis.standard.com,443,https://ites-apis.standard.com:443,https,Microsoft-Azure-Application-Gateway/v2,text/html,GET,104.42.181.198,/,1525958878,104.42.181.198,,8,False,,azure,True,,
