input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_subject_org_,final_url,csp_domains_,cdn_name,cdn,tls_mismatched
*.pingdom.net,Website Performance and Availability Monitoring - Pingdom,200,105086,www.pingdom.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=www.solarwinds.com, O=SolarWinds Worldwide\, LLC, L=Austin, ST=Texas, C=US",www.solarwinds.com,blog.appoptics.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5412615dfbb43e935d918783a0eb8437,94f0625b63df487ba07d297c6c03577fb2d890379667e14fdda7fae91c78f6b6,,ctls,www.pingdom.com,443,https://pingdom.net:443,https,nginx,text/html,GET,172.67.5.216,/,-1840324437,2606:4700:10::ac43:5d8,Yoast SEO:19.10,814,False,"SolarWinds Worldwide, LLC",https://www.pingdom.com/,https://nurture.solarwinds.com/,cloudflare,True,
*.pinimg.com,Pinterest,200,264077,www.pinterest.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-28T00:00:00Z,2023-08-08T23:59:59Z,"CN=*.pinterest.com, O=Pinterest\, Inc., L=San Francisco, ST=California, C=US",*.pinterest.com,*.testing.pinterest.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,61f68a1d3e503e0803056f90024c9f30,8b54c984af414728957594d4bb0b0dc0374362de6e2005f611494f74558315f4,True,ctls,www.pinterest.com,443,https://pinimg.com:443,https,,text/html,GET,151.101.64.84,/,1528355650,151.101.0.84,React,39,False,"Pinterest, Inc.",https://www.pinterest.com/,*.googleadservices.com,fastly,True,
*.stripe.com,Stripe | Online-Bezahldienst und weltweiter Zahlungsdienstleister,200,1129391,stripe.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-06-28T00:00:00Z,2023-09-30T23:59:59Z,"CN=stripe.com, O=Stripe\, Inc, L=South San Francisco, ST=California, C=US, serialNumber=4675506, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",stripe.com,www.stripe.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,c57ad0b99b9156dcafc8c222ec129d37,c6a0ce087bbb2f5a715a2783a822bfd1f1fd5ce3a6e7310947a9b9aa6b5d4749,,ctls,stripe.com,443,https://stripe.com:443,https,nginx,text/html,GET,54.186.23.98,/,1008897269,54.187.159.182,Nginx,32453,False,"Stripe, Inc",https://stripe.com/de,https://register.stripesessions.com,,,
*.typeform.com,Typeform: People-Friendly Forms and Surveys,200,381780,www.typeform.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-29T23:59:59Z,CN=*.typeform.com,*.typeform.com,typeform.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8e1477c166714b5937c19a1b04935cd7,62c86491abbae2a2d7b0e004e4272e8e7702abd68f392842f77bcfe405929c25,True,ctls,www.typeform.com,443,https://typeform.com:443,https,istio-envoy,text/html,GET,99.86.4.38,/,-154867415,99.86.4.115,Node.js,938,False,,https://www.typeform.com/,https:,cloudfront,True,
*.vimeo.com,Vimeo Interactive Video Experience Platform,200,198578,vimeo.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-09-21T00:00:00Z,2023-09-20T23:59:59Z,"CN=vimeo.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",vimeo.com,vimeo.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",abfbe98ee21ae761e7c907a2c2b11739,194c25b1c83430e1b8571f3a61c8671e0c371c345f741e485c2458d8b9e2a85b,True,ctls,vimeo.com,443,https://vimeo.com:443,https,cloudflare,text/html,GET,162.159.138.60,/,1154390870,162.159.128.61,Varnish,465,False,"Cloudflare, Inc.",,https:,cloudflare,True,
*.zscaler.com,Cybersecurity and Zero Trust Leader | Zscaler,200,369150,www.zscaler.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-07T00:00:00Z,2024-03-09T23:59:59Z,"CN=www.zscaler.com, O=Zscaler\, Inc., L=San Jose, ST=California, C=US, serialNumber=4431830, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US, businessCategory=Private Organization, jurisdictionStateOrProvince=Delaware, jurisdictionCountry=US",www.zscaler.com,cms.zscaler.com,"CN=DigiCert SHA2 Extended Validation Server CA, OU=www.digicert.com, O=DigiCert Inc, C=US",DigiCert SHA2 Extended Validation Server CA,DigiCert Inc,97448e5c3d9d9a8480aab579bcf1e2a5,2dd675aa88b84a2412fc1f90001fccdc271dda6929b0e438daf6c4390dcbc04a,,ctls,www.zscaler.com,443,https://zscaler.com:443,https,cloudflare,text/html,GET,104.18.28.74,/,1683512394,104.18.29.74,webpack,80,False,"Zscaler, Inc.",https://www.zscaler.com/,https://embedwistia-a.akamaihd.net,cloudflare,True,
04-02-9.stripocdn-test.stripo.email,404 Not Found,404,146,04-02-9.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,04-02-9.stripocdn-test.stripo.email,443,https://04-02-9.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
04-77-87.stripocdn-test.stripo.email,404 Not Found,404,146,04-77-87.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,04-77-87.stripocdn-test.stripo.email,443,https://04-77-87.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
05-6-95-1.stripocdn-test.stripo.email,404 Not Found,404,146,05-6-95-1.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,05-6-95-1.stripocdn-test.stripo.email,443,https://05-6-95-1.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
131-20.stripocdn-test.stripo.email,404 Not Found,404,146,131-20.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,131-20.stripocdn-test.stripo.email,443,https://131-20.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
17-121-113-81.stripocdn-test.stripo.email,404 Not Found,404,146,17-121-113-81.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,17-121-113-81.stripocdn-test.stripo.email,443,https://17-121-113-81.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
17-121-115-89.stripocdn-test.stripo.email,404 Not Found,404,146,17-121-115-89.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,17-121-115-89.stripocdn-test.stripo.email,443,https://17-121-115-89.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
17-121-116-38.stripocdn-test.stripo.email,404 Not Found,404,146,17-121-116-38.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,17-121-116-38.stripocdn-test.stripo.email,443,https://17-121-116-38.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
17-121-116-73.stripocdn-test.stripo.email,404 Not Found,404,146,17-121-116-73.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,17-121-116-73.stripocdn-test.stripo.email,443,https://17-121-116-73.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
17-121-120-44.stripocdn-test.stripo.email,404 Not Found,404,146,17-121-120-44.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,17-121-120-44.stripocdn-test.stripo.email,443,https://17-121-120-44.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
17-121-123-58.stripocdn-test.stripo.email,404 Not Found,404,146,17-121-123-58.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,17-121-123-58.stripocdn-test.stripo.email,443,https://17-121-123-58.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
17-121-124-45.stripocdn-test.stripo.email,404 Not Found,404,146,17-121-124-45.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,17-121-124-45.stripocdn-test.stripo.email,443,https://17-121-124-45.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
17-121-124-92.stripocdn-test.stripo.email,404 Not Found,404,146,17-121-124-92.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,17-121-124-92.stripocdn-test.stripo.email,443,https://17-121-124-92.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
1ww.stripocdn-test.stripo.email,404 Not Found,404,146,1ww.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,1ww.stripocdn-test.stripo.email,443,https://1ww.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
2-4-1.stripocdn-test.stripo.email,404 Not Found,404,146,2-4-1.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,2-4-1.stripocdn-test.stripo.email,443,https://2-4-1.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
255fwevideoradio-planorama.stripocdn-test.stripo.email,404 Not Found,404,146,255fwevideoradio-planorama.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,255fwevideoradio-planorama.stripocdn-test.stripo.email,443,https://255fwevideoradio-planorama.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
27-6-8.stripocdn-test.stripo.email,404 Not Found,404,146,27-6-8.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,27-6-8.stripocdn-test.stripo.email,443,https://27-6-8.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
287-2.stripocdn-test.stripo.email,404 Not Found,404,146,287-2.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,287-2.stripocdn-test.stripo.email,443,https://287-2.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
2ecd47da-dde6-4.stripocdn-test.stripo.email,404 Not Found,404,146,2ecd47da-dde6-4.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,2ecd47da-dde6-4.stripocdn-test.stripo.email,443,https://2ecd47da-dde6-4.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
35-2-67.stripocdn-test.stripo.email,404 Not Found,404,146,35-2-67.stripocdn-test.stripo.email,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-15T05:54:11Z,2023-08-13T05:54:10Z,CN=*.stripocdn-test.stripo.email,*.stripocdn-test.stripo.email,stripocdn-test.stripo.email,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,26249cdef48fe0e12f2900f03c54517e,a7564f88b5d212b1126333b51f402c1d0ac3c300fb1e27c7cd185f4a44bff367,True,ctls,35-2-67.stripocdn-test.stripo.email,443,https://35-2-67.stripocdn-test.stripo.email:443,https,nginx,text/html,GET,52.16.207.172,/,1494302000,52.16.207.172,Nginx,8,False,,,,,,
