new,host,a,soa,status_code,aaaa,cdn,cdn-name,cname,ns,mx,txt,has_internal_ips,internal_ips,caa
,dev.distributorlookup.api.odcdn.com.au,"18.165.83.127, 18.165.83.86, 18.165.83.52, 18.165.83.89, 205.251.192.243, 205.251.195.14, 205.251.197.235, 205.251.199.163","ns-782.awsdns-33.net, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,d3odhudb9nnosm.cloudfront.net,"ns-1955.awsdns-52.co.uk, ns-243.awsdns-30.com, ns-782.awsdns-33.net, ns-1515.awsdns-61.org",,,,,
,dev.ftr.api.odcdn.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,d3cifbak70rqwh.cloudfront.net,,,,,,
,devel1.originenergy.com.au,,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,devel1.rack.origindigital-dac.com.au,,,,,,
,developer.mydata.cdr.originenergy.com.au,"172.64.147.145, 104.18.40.111","alexis.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:4400::ac40:9391, 2606:4700:4400::6812:286f",True,cloudflare,,,,,,,
,digital.api.odcdn.com.au,"18.165.242.99, 18.165.242.87, 18.165.242.120, 18.165.242.54","ns-1093.awsdns-08.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,dfhpgr5v3tnel.cloudfront.net,"ns-827.awsdns-39.net, ns-1093.awsdns-08.org, ns-1803.awsdns-33.co.uk, ns-468.awsdns-58.com",,,,,
,digital.origindigital-pac.com.au,"18.66.112.49, 18.66.112.60, 18.66.112.103, 18.66.112.54","ns-565.awsdns-06.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:223f:e400:8:258e:49c0:93a1, 2600:9000:223f:d400:8:258e:49c0:93a1, 2600:9000:223f:3800:8:258e:49c0:93a1, 2600:9000:223f:9000:8:258e:49c0:93a1, 2600:9000:223f:1c00:8:258e:49c0:93a1, 2600:9000:223f:f600:8:258e:49c0:93a1, 2600:9000:223f:1e00:8:258e:49c0:93a1, 2600:9000:223f:600:8:258e:49c0:93a1",True,cloudfront,d3px07g4cxomjr.cloudfront.net,"ns-1041.awsdns-02.org, ns-1904.awsdns-46.co.uk, ns-343.awsdns-42.com, ns-565.awsdns-06.net",,,,,
,distributorlookup.api.odcdn.com.au,"13.224.245.125, 13.224.245.27, 13.224.245.55, 13.224.245.128","ns-1486.awsdns-57.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,d2ofhcib3yyprq.cloudfront.net,"ns-595.awsdns-10.net, ns-1486.awsdns-57.org, ns-1898.awsdns-45.co.uk, ns-402.awsdns-50.com",,,,,
,download.originenergy.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,"bill-download-prod.origindigital-pac.com.au, diqsu22oxs2jh.cloudfront.net",,,,,,
,email.originenergy.com.au,208.70.139.62,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"cl4bak1smtp1.na.epidm.net, cl4bak2smtp1.na.epidm.net, inc18smtp1.na.epidm.net, cl4bak1smtp2.na.epidm.net","spf2.0/pra include:na.epidm.net ~all, v=spf1 include:na.epidm.net ip4:180.92.216.0/21 ~all",,,
,enehwgtm01.originenergy.com.au,203.20.195.136,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,enekwgtm01.originenergy.com.au,203.20.195.16,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,energymanager.originenergy.com.au,119.9.38.130,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,575643-prod-mail1.originenergy.com.au,v=spf1 mx -all,,,
,enterpriseenrollment.originenergy.com.au,13.74.111.192,"ns1-201.azure-dns.com, msnhst.microsoft.com, ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com",,,,,,
,enterpriseregistration.originenergy.com.au,20.190.137.40,"tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,,True,azure,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net, www.tm.prd.adrs.trafficmanager.net",,,,,,
,files.originenergy.com.au,"52.85.242.113, 52.85.242.23, 52.85.242.75, 52.85.242.57","ns-568.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:223c:8200:1:6140:9400:93a1, 2600:9000:223c:600:1:6140:9400:93a1, 2600:9000:223c:7400:1:6140:9400:93a1, 2600:9000:223c:1200:1:6140:9400:93a1, 2600:9000:223c:e800:1:6140:9400:93a1, 2600:9000:223c:dc00:1:6140:9400:93a1, 2600:9000:223c:a00:1:6140:9400:93a1, 2600:9000:223c:d400:1:6140:9400:93a1",True,cloudfront,"files-cdn-prod.originrx-pac.com.au, d753uvqt5tdg0.cloudfront.net","ns-568.awsdns-07.net, ns-1469.awsdns-55.org, ns-1947.awsdns-51.co.uk, ns-463.awsdns-57.com",,,,,
,go.largebusiness.originenergy.com.au,,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,"go.pardot.com, pi.pardot.com, pi-ue1.pardot.com, pi-ue1-public-lb-f0209c6950285322.elb.us-east-1.amazonaws.com",,,,,,
,greenflux.api.fe-dev.originenergy.com.au,13.54.170.91,"ns-1750.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,greenflux.api.fe-stg.originenergy.com.au,52.64.109.172,"ns-1254.awsdns-28.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,greenflux.api.fe.originenergy.com.au,"13.210.55.101, 54.79.241.112, 52.64.147.233","ns-527.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,vppdmz-prod-greenflux-88f1b00b4e25a076.elb.ap-southeast-2.amazonaws.com,,,,,,
,gslb5.originenergy.com.au,203.20.195.53,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,gslb6.originenergy.com.au,203.20.195.54,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,gslb7.originenergy.com.au,203.20.195.137,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,gslb8.originenergy.com.au,203.20.195.138,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,gtm-access.originenergy.com.au,"203.20.195.222, 203.20.195.122","slen.gtm.idc.telstra.com, hostmaster.slen.gtm.idc.telstra.com",NOERROR,,,,,"slen.gtm.idc.telstra.com, exhi.gtm.idc.telstra.com",,,,,
,gtm-iproc.originenergy.com.au,"203.20.195.79, 203.20.195.179","slen.gtm.idc.telstra.com, hostmaster.slen.gtm.idc.telstra.com",NOERROR,,,,,"exhi.gtm.idc.telstra.com, slen.gtm.idc.telstra.com",,,,,
,haas-admin.mydata.cdr.originenergy.com.au,"172.64.147.145, 104.18.40.111","alexis.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:4400::6812:286f, 2606:4700:4400::ac40:9391",True,cloudflare,,,,,,,
,id-be.dev.originenergy.com.au,,"ns-1133.awsdns-13.org, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"id-be.dev.non-prod.etrm.io, d3myo99wg8tgy9.cloudfront.net",,,,,,
,id-be.test.originenergy.com.au,"108.157.4.56, 108.157.4.120, 108.157.4.80, 108.157.4.83","ns-1727.awsdns-23.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2315:d600:7:fea2:9640:93a1, 2600:9000:2315:b600:7:fea2:9640:93a1, 2600:9000:2315:2c00:7:fea2:9640:93a1, 2600:9000:2315:3a00:7:fea2:9640:93a1, 2600:9000:2315:7800:7:fea2:9640:93a1, 2600:9000:2315:3000:7:fea2:9640:93a1, 2600:9000:2315:7600:7:fea2:9640:93a1, 2600:9000:2315:9800:7:fea2:9640:93a1",True,cloudfront,"id-be.test.non-prod.etrm.io, dx9xefuh2vza1.cloudfront.net","ns-1727.awsdns-23.co.uk, ns-380.awsdns-47.com, ns-978.awsdns-58.net, ns-1432.awsdns-51.org",,,,,
,id-preprod-b.originenergy.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,d6dzne5e7eso0.cloudfront.net,,,,,,
,id-preprod-be.origindigital-pac.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,d2v6wsmrdcb1z.cloudfront.net,,,,,,
,id-preprod.origindigital-pac.com.au,"108.138.17.119, 108.138.17.102, 108.138.17.38, 108.138.17.127","ns-1821.awsdns-35.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:2491:6c00:12:c1dd:7b00:93a1, 2600:9000:2491:ea00:12:c1dd:7b00:93a1, 2600:9000:2491:e800:12:c1dd:7b00:93a1, 2600:9000:2491:3a00:12:c1dd:7b00:93a1, 2600:9000:2491:1000:12:c1dd:7b00:93a1, 2600:9000:2491:1200:12:c1dd:7b00:93a1, 2600:9000:2491:a200:12:c1dd:7b00:93a1, 2600:9000:2491:b200:12:c1dd:7b00:93a1",True,cloudfront,d3gqjuuj8ak63w.cloudfront.net,"ns-1465.awsdns-55.org, ns-1821.awsdns-35.co.uk, ns-370.awsdns-46.com, ns-539.awsdns-03.net",,,,,
,id.dev.originenergy.com.au,"18.66.248.51, 18.66.248.49, 18.66.248.26, 18.66.248.92","ns-1686.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:224a:4800:13:94cc:9680:93a1, 2600:9000:224a:3a00:13:94cc:9680:93a1, 2600:9000:224a:b000:13:94cc:9680:93a1, 2600:9000:224a:9800:13:94cc:9680:93a1, 2600:9000:224a:6000:13:94cc:9680:93a1, 2600:9000:224a:d000:13:94cc:9680:93a1, 2600:9000:224a:7200:13:94cc:9680:93a1, 2600:9000:224a:1400:13:94cc:9680:93a1",True,cloudfront,d18a2jhahb0py2.cloudfront.net,"ns-1097.awsdns-09.org, ns-1686.awsdns-18.co.uk, ns-297.awsdns-37.com, ns-847.awsdns-41.net",,,,,
,id.originenergy.com.au,"52.84.195.71, 52.84.195.62, 52.84.195.38, 52.84.195.48, 205.251.198.79","ns-45.awsdns-05.com, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:20ae:6a00:16:46d:fd40:93a1, 2600:9000:20ae:1200:16:46d:fd40:93a1, 2600:9000:20ae:f400:16:46d:fd40:93a1, 2600:9000:20ae:4e00:16:46d:fd40:93a1, 2600:9000:20ae:3200:16:46d:fd40:93a1, 2600:9000:20ae:9400:16:46d:fd40:93a1, 2600:9000:20ae:da00:16:46d:fd40:93a1, 2600:9000:20ae:dc00:16:46d:fd40:93a1, 2600:9000:5306:4f00::1",True,cloudfront,d2nljugyn5ko39.cloudfront.net,"ns-916.awsdns-50.net, ns-1615.awsdns-09.co.uk, ns-45.awsdns-05.com, ns-1209.awsdns-23.org",,,,,
,id.staging.originenergy.com.au,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,ddg0klvdg3wm7.cloudfront.net,,,,,,
,id.test.originenergy.com.au,"18.66.147.17, 18.66.147.40, 18.66.147.93, 18.66.147.117","ns-1332.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:225e:b200:13:cc04:940:93a1, 2600:9000:225e:4600:13:cc04:940:93a1, 2600:9000:225e:4c00:13:cc04:940:93a1, 2600:9000:225e:5c00:13:cc04:940:93a1, 2600:9000:225e:b600:13:cc04:940:93a1, 2600:9000:225e:9200:13:cc04:940:93a1, 2600:9000:225e:d200:13:cc04:940:93a1, 2600:9000:225e:200:13:cc04:940:93a1",True,cloudfront,"id-test.origindigital-dac.com.au, d2c2wyma7vckyt.cloudfront.net","ns-1332.awsdns-38.org, ns-1745.awsdns-26.co.uk, ns-313.awsdns-39.com, ns-655.awsdns-17.net",,,,,
,idm.dataportal.originenergy.com.au,203.20.195.174,"ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,im-ds.originenergy.com.au,"54.66.24.112, 52.64.241.112, 52.64.199.163","ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,lb-ext-1262204475.ap-southeast-2.elb.amazonaws.com,,,,,,
,im-extra-test.originenergy.com.au,144.140.187.3,"slen.gtm.idc.telstra.com, hostmaster.slen.gtm.idc.telstra.com",NOERROR,,,,,slen.gtm.idc.telstra.com,,,,,
,im-extra.originenergy.com.au,,"slen.gtm.idc.telstra.com, hostmaster.slen.gtm.idc.telstra.com",NOERROR,,,,,,,,,,
,im-pp-ds.originenergy.com.au,"3.106.65.85, 54.252.79.5, 54.253.145.73","ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,pp-lb-ext-278837901.ap-southeast-2.elb.amazonaws.com,,,,,,
,im-stage.originenergy.com.au,"18.66.147.82, 18.66.147.128, 18.66.147.55, 18.66.147.78","ns-223.awsdns-27.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,d2oc6c7p5in9in.cloudfront.net,"ns-223.awsdns-27.com, ns-566.awsdns-06.net, ns-1292.awsdns-33.org, ns-2036.awsdns-62.co.uk",,,,,
,im.originenergy.com.au,"143.204.215.23, 143.204.215.54, 143.204.215.106, 143.204.215.101","ns-2018.awsdns-60.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"2600:9000:214f:4800:b:ab23:f40:93a1, 2600:9000:214f:fa00:b:ab23:f40:93a1, 2600:9000:214f:3800:b:ab23:f40:93a1, 2600:9000:214f:ce00:b:ab23:f40:93a1, 2600:9000:214f:3000:b:ab23:f40:93a1, 2600:9000:214f:e800:b:ab23:f40:93a1, 2600:9000:214f:c200:b:ab23:f40:93a1, 2600:9000:214f:4400:b:ab23:f40:93a1",True,cloudfront,d2j70o93yrzltp.cloudfront.net,"ns-2018.awsdns-60.co.uk, ns-792.awsdns-35.net, ns-1113.awsdns-11.org, ns-190.awsdns-23.com",,,,,
,image.lpg.originenergy.com.au,"80.239.137.171, 80.239.137.146","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,"2001:2030:21::50ef:8992, 2001:2030:21::50ef:89ab",,,"tlsprovisioning-san-s10-4.edgekey.net, e91587.dscx.akamaiedge.net",,,,,,
,incap-im.originenergy.com.au,52.237.241.62,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,True,azure,,,,,,,
,incap-web-corp-test.originenergy.com.au,13.73.195.156,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,True,azure,,,,,,,
,incap-web-corp.originenergy.com.au,104.210.112.205,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,True,azure,,,,,,,
,int-dev.originenergy.com.au,,"ns-99.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,boomi-dev-elb-328141026.ap-southeast-2.elb.amazonaws.com,,,,,,
,iproc.originenergy.com.au,,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
