new,host,a,cname,soa,status_code,ns,has_internal_ips,internal_ips,cdn,cdn-name,txt,aaaa,mx
[x],error-internal-link.certisign.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],eventslink-tunnel-mx.certisign.personio-internal.de,"18.194.11.143, 3.67.18.148, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],example-monorepo-service.dev.personio-internal.de,"3.126.100.102, 35.157.181.243, 18.159.173.75",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],fresnellenssemont-5-11.certisign.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],frm-gui.dev.personio-internal.de,"52.85.151.55, 52.85.151.67, 52.85.151.103, 52.85.151.107",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],gcore-sbx02-app02.certisign.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],gcp-deveu.stage.personio-internal.de,"35.159.42.147, 18.194.164.223, 18.185.185.207",,"ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],geo-www.certisign.personio-internal.de,,alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],gitlab-beta-k8s.personio-internal.de,"18.194.11.143, 18.158.145.126, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],gitlab-mysql.personio-internal.de,"18.158.145.126, 3.67.18.148, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],gitlab-tutorial-origin.personio-internal.de,,alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],googleproxy-66-249-80-160.personio-internal.de,"3.67.18.148, 18.194.11.143, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],groupe-beaumanoir.certisign.personio-internal.de,"18.158.145.126, 3.67.18.148, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],grpc-subscription-management-service.dev.personio-internal.de,"35.157.153.165, 18.157.229.191, 18.198.226.28",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],grpc-subscription-service.dev.personio-internal.de,"18.157.229.191, 18.198.226.28, 35.157.153.165",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],grpc-task-management-service.taw.dev.personio-internal.de,"18.198.226.28, 18.157.229.191, 35.157.153.165",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],h-135-207-138-11.gitlab2.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],h-135-207-160-97.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],h-135-207-160-972018.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],h-135-207-53-81.certisign.personio-internal.de,"18.158.145.126, 3.67.18.148, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],honda-civic-98.prod.personio-internal.de,"3.66.153.7, 3.64.247.23, 3.65.215.97",,"ns-1584.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1101.awsdns-09.org, ns-1584.awsdns-06.co.uk, ns-62.awsdns-07.com, ns-976.awsdns-58.net",,,,,,,
[x],hshanmugara.prod.personio-internal.de,"3.65.215.97, 3.64.247.23, 3.66.153.7",,"ns-1584.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],http-m-wikihow-com0-0.certisign.personio-internal.de,,alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],http-translate-reference-com1-5.certisign.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],http-www-olx-co-za88.certisign.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],https-upload-wikimedia-org0-1.certisign.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],httpshttp-www-googlehiphop-com7-4.x.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1326.awsdns-37.org, ns-1689.awsdns-19.co.uk, ns-417.awsdns-52.com, ns-613.awsdns-12.net",,,,,,,
[x],ia-space.certisign.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],jvptfz1.certisign.personio-internal.de,"3.67.18.148, 18.194.11.143, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],kieran-test.ie.dev.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],lbauto-10-11-229-75.pentest.personio-internal.de,,alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],ldap.gitlab2.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],legacy.stage.personio-internal.de,"18.194.164.223, 18.185.185.207, 35.159.42.147",,"ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],live2primary.certisign.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],livestream-edgetee-ws-upload-staging-shv-01-fco2.certisign.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1326.awsdns-37.org, ns-1689.awsdns-19.co.uk, ns-417.awsdns-52.com, ns-613.awsdns-12.net",,,,,,,
[x],login-logs.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],lon3-appstore-a2.stage.personio-internal.de,"18.194.164.223, 35.159.42.147, 18.185.185.207",,"ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],lon3-pl4cassandra-b10.certisign.personio-internal.de,"3.67.18.148, 18.194.11.143, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],lon3-productuser-readonly1.unifi.personio-internal.de,"18.158.145.126, 3.67.18.148, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1326.awsdns-37.org, ns-1689.awsdns-19.co.uk, ns-417.awsdns-52.com, ns-613.awsdns-12.net, ns-1011.awsdns-62.net, ns-102.awsdns-12.com, ns-1162.awsdns-17.org, ns-1720.awsdns-23.co.uk",,,,,,,
[x],lon3-staticwebsite-a1.redis.personio-internal.de,"18.158.145.126, 3.67.18.148, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],market-gitlab-qa.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],marketpost.certisign.personio-internal.de,"18.158.145.126, 3.67.18.148, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mescec07.salflender.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],monitor-design.personio-internal.de,"18.158.145.126, 3.67.18.148, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mr00.login.personio-internal.de,"18.158.145.126, 3.67.18.148, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],myatt-qa3.certisign.personio-internal.de,"3.67.18.148, 18.194.11.143, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mypatients.conbase.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],mysecretmovie.certisign.personio-internal.de,"18.194.11.143, 3.67.18.148, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],netmri.certisign.personio-internal.de,"3.67.18.148, 18.194.11.143, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],notification-service.dev.personio-internal.de,"35.157.181.243, 3.126.100.102, 18.159.173.75",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],onlineq.certisign.personio-internal.de,,alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],org-management-service.dev.personio-internal.de,"18.159.173.75, 35.157.181.243, 3.126.100.102",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],oversight-ap-dev.stage.personio-internal.de,"18.194.164.223, 18.185.185.207, 35.159.42.147",,"ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1246.awsdns-27.org, ns-1829.awsdns-36.co.uk, ns-565.awsdns-06.net, ns-63.awsdns-07.com",,,,,,,
[x],pay-unifi.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],payroll-tooling-bff.dev.personio-internal.de,"18.159.173.75, 35.157.181.243, 3.126.100.102",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],personio-internal.de,,,"ns-1162.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1011.awsdns-62.net, ns-102.awsdns-12.com, ns-1162.awsdns-17.org, ns-1720.awsdns-23.co.uk",,,,,,,parse.mailjet.com
[x],personio.tools,"18.195.92.60, 18.156.211.153, 52.58.4.10",,"ns-1596.awsdns-07.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1363.awsdns-42.org, ns-1596.awsdns-07.co.uk, ns-270.awsdns-33.com, ns-518.awsdns-00.net",,,,,,,
[x],playground-client.personio-internal.de,"18.194.11.143, 18.158.145.126, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],poc-grpc-service.dev.personio-internal.de,"3.126.100.102, 18.159.173.75, 35.157.181.243",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1423.awsdns-49.org, ns-1881.awsdns-43.co.uk, ns-386.awsdns-48.com, ns-625.awsdns-14.net",,,,,,,
[x],primmr-zeythkesnlqon5lo.certisign.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],pukara-backend-joao-test.certisign.personio-internal.de,"18.194.11.143, 18.158.145.126, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],qwantbot-137-162-242-91.certisign.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],reactor.certisign.personio-internal.de,"18.194.11.143, 3.67.18.148, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],rustenburg.certisign.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],sfmi04.certisign.personio-internal.de,"18.158.145.126, 3.67.18.148, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],shrine.certisign.personio-internal.de,"18.194.11.143, 3.67.18.148, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],sjc1-ginger-a2.redis.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],slack-2-96.personio-internal.de,"3.67.18.148, 18.194.11.143, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],smefdm11prod.certisign.personio-internal.de,"18.194.11.143, 3.67.18.148, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],speinfohub.certisign.personio-internal.de,"3.67.18.148, 18.194.11.143, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],st11p01ad-iadctest.prod.personio-internal.de,"3.66.153.7, 3.65.215.97, 3.64.247.23",,"ns-1584.awsdns-06.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],stagewww.personio-internal.de,"3.67.18.148, 18.194.11.143, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],starout01.x.personio-internal.de,"18.194.11.143, 3.67.18.148, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],sto5-fantomextranscoder-b39.pentest.personio-internal.de,"3.67.18.148, 18.158.145.126, 18.194.11.143",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],support-settings-service.ca.dev.personio-internal.de,"18.159.173.75, 3.126.100.102, 35.157.181.243",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],tableau-old.certisign.personio-internal.de,,alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],test167.personio-internal.de,"18.194.11.143, 3.67.18.148, 18.158.145.126",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1326.awsdns-37.org, ns-1689.awsdns-19.co.uk, ns-417.awsdns-52.com, ns-613.awsdns-12.net",,,,,,,
[x],third-party-data-service.ca.dev.personio-internal.de,"3.126.100.102, 35.157.181.243, 18.159.173.75",,"ns-1881.awsdns-43.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],tor230-266-pda.certisign.personio-internal.de,"18.194.11.143, 18.158.145.126, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],tor249-303-pda.certisign.personio-internal.de,"18.158.145.126, 18.194.11.143, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],unificdn.personio-internal.de,"18.194.11.143, 18.158.145.126, 3.67.18.148",alb-external-951264900.eu-central-1.elb.amazonaws.com,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],usbos2.stage.personio-internal.de,"18.185.185.207, 18.194.164.223, 35.159.42.147",,"ns-63.awsdns-07.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
